"in order to"-preposition-en "per tal de"-preposition-ca
"per tal de"-preposition-ca "in order to"-preposition-en
"intel·ligent"-adjective-ca "intelligent"-adjective-en
"intelligent"-adjective-en "intel·ligent"-adjective-ca
"competent"-adjective-ca "competent"-adjective-en
"competent"-adjective-en "competent"-adjective-ca
"comprensible"-adjective-ca "comprehensible"-adjective-en
"comprehensible"-adjective-en "comprensible"-adjective-ca
"civil"-adjective-ca "civil"-adjective-en
"civil"-adjective-en "civil"-adjective-ca
"acceptable"-adjective-ca "acceptable"-adjective-en
"acceptable"-adjective-en "acceptable"-adjective-ca
"impotent"-adjective-en "impotent"-adjective-ca
"impotent"-adjective-ca "impotent"-adjective-en
"habitual"-adjective-ca "usual"-adjective-en
"usual"-adjective-en "habitual"-adjective-ca
"municipal"-adjective-ca "municipal"-adjective-en
"municipal"-adjective-en "municipal"-adjective-ca
"sublime"-adjective-en "sublim"-adjective-ca
"sublim"-adjective-ca "sublime"-adjective-en
"noble"-adjective-ca "noble"-adjective-en
"noble"-adjective-en "noble"-adjective-ca
"recent"-adjective-en "recent"-adjective-ca
"recent"-adjective-ca "recent"-adjective-en
"fresc"-adjective-ca "cool"-adjective-en
"fresc"-adjective-ca "fresh"-adjective-en
"cool"-adjective-en "fresc"-adjective-ca
"fresh"-adjective-en "fresc"-adjective-ca
"obedient"-adjective-ca "obedient"-adjective-en
"obedient"-adjective-ca "dutiful"-adjective-en
"obedient"-adjective-en "obedient"-adjective-ca
"dutiful"-adjective-en "obedient"-adjective-ca
"instrumental"-adjective-ca "instrumental"-adjective-en
"instrumental"-adjective-en "instrumental"-adjective-ca
"fidel"-adjective-ca "faithful"-adjective-en
"faithful"-adjective-en "fidel"-adjective-ca
"inicial"-adjective-ca "initial"-adjective-en
"initial"-adjective-en "inicial"-adjective-ca
"individual"-adjective-ca "individual"-adjective-en
"individual"-adjective-en "individual"-adjective-ca
"inoperant"-adjective-ca "inoperable"-adjective-en
"inoperable"-adjective-en "inoperant"-adjective-ca
"irregular"-adjective-ca "irregular"-adjective-en
"irregular"-adjective-en "irregular"-adjective-ca
"fenomenal"-adjective-ca "phenomenal"-adjective-en
"phenomenal"-adjective-en "fenomenal"-adjective-ca
"lliberal"-adjective-ca "liberal"-adjective-en
"liberal"-adjective-en "lliberal"-adjective-ca
"liberal"-adjective-en "liberal"-adjective-ca
"liberal"-adjective-ca "liberal"-adjective-en
"reial"-adjective-ca "royal"-adjective-en
"royal"-adjective-en "reial"-adjective-ca
"previsible"-adjective-ca "predictable"-adjective-en
"predictable"-adjective-en "previsible"-adjective-ca
"igual"-adjective-ca "equal"-adjective-en
"equal"-adjective-en "igual"-adjective-ca
"solvent"-adjective-en "solvent"-adjective-ca
"solvent"-adjective-ca "solvent"-adjective-en
"exterior"-adjective-ca "outside"-adjective-en
"exterior"-adjective-ca "outer"-adjective-en
"exterior"-adjective-ca "exterior"-adjective-en
"outside"-adjective-en "exterior"-adjective-ca
"outer"-adjective-en "exterior"-adjective-ca
"exterior"-adjective-en "exterior"-adjective-ca
"provisional"-adjective-ca "provisional"-adjective-en
"provisional"-adjective-en "provisional"-adjective-ca
"pessimistic"-adjective-en "pessimista"-adjective-ca
"pessimista"-adjective-ca "pessimistic"-adjective-en
"artificial"-adjective-ca "artificial"-adjective-en
"artificial"-adjective-en "artificial"-adjective-ca
"popular"-adjective-ca "popular"-adjective-en
"popular"-adjective-en "popular"-adjective-ca
"local"-adjective-en "local"-adjective-ca
"local"-adjective-en "regional"-adjective-ca
"local"-adjective-en "comarcal"-adjective-ca
"local"-adjective-ca "local"-adjective-en
"regional"-adjective-ca "local"-adjective-en
"regional"-adjective-ca "regional"-adjective-en
"comarcal"-adjective-ca "local"-adjective-en
"comarcal"-adjective-ca "regional"-adjective-en
"regional"-adjective-en "regional"-adjective-ca
"regional"-adjective-en "comarcal"-adjective-ca
"provincial"-adjective-ca "provincial"-adjective-en
"provincial"-adjective-en "provincial"-adjective-ca
"mighty"-adjective-en "potent"-adjective-ca
"potent"-adjective-ca "mighty"-adjective-en
"amistós"-adjective-ca "friendly"-adjective-en
"friendly"-adjective-en "amistós"-adjective-ca
"friendly"-adjective-en "amical"-adjective-ca
"amical"-adjective-ca "friendly"-adjective-en
"formal"-adjective-ca "formal"-adjective-en
"formal"-adjective-en "formal"-adjective-ca
"tradicional"-adjective-ca "traditional"-adjective-en
"traditional"-adjective-en "tradicional"-adjective-ca
"cultural"-adjective-ca "cultural"-adjective-en
"cultural"-adjective-en "cultural"-adjective-ca
"incomprensible"-adjective-ca "incomprehensible"-adjective-en
"incomprehensible"-adjective-en "incomprensible"-adjective-ca
"anormal"-adjective-ca "abnormal"-adjective-en
"abnormal"-adjective-en "anormal"-adjective-ca
"corresponent"-adjective-ca "corresponding"-adjective-en
"corresponding"-adjective-en "corresponent"-adjective-ca
"fonamental"-adjective-ca "fundamental"-adjective-en
"fundamental"-adjective-en "fonamental"-adjective-ca
"espiritual"-adjective-ca "spiritual"-adjective-en
"spiritual"-adjective-en "espiritual"-adjective-ca
"central"-adjective-ca "centre"-adjective-en
"central"-adjective-ca "central"-adjective-en
"centre"-adjective-en "central"-adjective-ca
"central"-adjective-en "central"-adjective-ca
"verbal"-adjective-ca "verbal"-adjective-en
"verbal"-adjective-en "verbal"-adjective-ca
"oral"-adjective-ca "oral"-adjective-en
"oral"-adjective-en "oral"-adjective-ca
"realista"-adjective-ca "realistic"-adjective-en
"realistic"-adjective-en "realista"-adjective-ca
"healthy"-adjective-en "sa"-adjective-ca
"sa"-adjective-ca "healthy"-adjective-en
"inflamable"-adjective-ca "inflammable"-adjective-en
"inflamable"-adjective-ca "flammable"-adjective-en
"inflammable"-adjective-en "inflamable"-adjective-ca
"flammable"-adjective-en "inflamable"-adjective-ca
"monumental"-adjective-ca "monumental"-adjective-en
"monumental"-adjective-en "monumental"-adjective-ca
"informal"-adjective-ca "informal"-adjective-en
"informal"-adjective-en "informal"-adjective-ca
"personal"-adjective-ca "personal"-adjective-en
"personal"-adjective-en "personal"-adjective-ca
"material"-adjective-ca "material"-adjective-en
"material"-adjective-en "material"-adjective-ca
"visible"-adjective-ca "visible"-adjective-en
"visible"-adjective-en "visible"-adjective-ca
"black"-adjective-en "negre"-adjective-ca
"negre"-adjective-ca "black"-adjective-en
"gris"-adjective-ca "grey"-adjective-en
"grey"-adjective-en "gris"-adjective-ca
"marró"-adjective-ca "brown"-adjective-en
"brown"-adjective-en "marró"-adjective-ca
"sentimental"-adjective-ca "sentimental"-adjective-en
"sentimental"-adjective-en "sentimental"-adjective-ca
"lent"-adjective-ca "slow"-adjective-en
"slow"-adjective-en "lent"-adjective-ca
"humble"-adjective-en "humil"-adjective-ca
"humil"-adjective-ca "humble"-adjective-en
"lleig"-adjective-ca "ugly"-adjective-en
"ugly"-adjective-en "lleig"-adjective-ca
"inferior"-adjective-ca "inferior"-adjective-en
"inferior"-adjective-en "inferior"-adjective-ca
"irreversible"-adjective-ca "irreversible"-adjective-en
"irreversible"-adjective-en "irreversible"-adjective-ca
"irreal"-adjective-ca "unreal"-adjective-en
"unreal"-adjective-en "irreal"-adjective-ca
"important"-adjective-ca "of note"-adjective-en
"important"-adjective-ca "major"-adjective-en
"important"-adjective-ca "important"-adjective-en
"of note"-adjective-en "important"-adjective-ca
"major"-adjective-en "important"-adjective-ca
"important"-adjective-en "important"-adjective-ca
"excepcional"-adjective-ca "exceptional"-adjective-en
"exceptional"-adjective-en "excepcional"-adjective-ca
"social"-adjective-ca "social"-adjective-en
"social"-adjective-en "social"-adjective-ca
"parcial"-adjective-ca "partial"-adjective-en
"partial"-adjective-en "parcial"-adjective-ca
"uniforme"-adjective-ca "uniform"-adjective-en
"uniform"-adjective-en "uniforme"-adjective-ca
"elemental"-adjective-ca "elementary"-adjective-en
"elementary"-adjective-en "elemental"-adjective-ca
"verge"-adjective-ca "virgin"-adjective-en
"virgin"-adjective-en "verge"-adjective-ca
"strident"-adjective-en "estrident"-adjective-ca
"estrident"-adjective-ca "strident"-adjective-en
"solemne"-adjective-ca "solemn"-adjective-en
"solemn"-adjective-en "solemne"-adjective-ca
"suficient"-adjective-ca "sufficient"-adjective-en
"sufficient"-adjective-en "suficient"-adjective-ca
"independent"-adjective-ca "independent"-adjective-en
"independent"-adjective-en "independent"-adjective-ca
"subtil"-adjective-ca "subtle"-adjective-en
"subtle"-adjective-en "subtil"-adjective-ca
"anterior"-adjective-ca "former"-adjective-en
"former"-adjective-en "anterior"-adjective-ca
"prudent"-adjective-ca "careful"-adjective-en
"careful"-adjective-en "prudent"-adjective-ca
"apte"-adjective-ca "fit"-adjective-en
"fit"-adjective-en "apte"-adjective-ca
"adroit"-adjective-en "hàbil"-adjective-ca
"hàbil"-adjective-ca "adroit"-adjective-en
"hàbil"-adjective-ca "skillful"-adjective-en
"skillful"-adjective-en "hàbil"-adjective-ca
"prim"-adjective-ca "thin"-adjective-en
"thin"-adjective-en "prim"-adjective-ca
"thin"-adjective-en "magre"-adjective-ca
"magre"-adjective-ca "thin"-adjective-en
"feeble"-adjective-en "dèbil"-adjective-ca
"feeble"-adjective-en "feble"-adjective-ca
"dèbil"-adjective-ca "feeble"-adjective-en
"dèbil"-adjective-ca "weak"-adjective-en
"feble"-adjective-ca "feeble"-adjective-en
"feble"-adjective-ca "weak"-adjective-en
"weak"-adjective-en "dèbil"-adjective-ca
"weak"-adjective-en "feble"-adjective-ca
"vell"-adjective-ca "old"-adjective-en
"vell"-adjective-ca "venerable"-adjective-en
"old"-adjective-en "vell"-adjective-ca
"venerable"-adjective-en "vell"-adjective-ca
"lofty"-adjective-en "alt"-adjective-ca
"alt"-adjective-ca "lofty"-adjective-en
