"el teu"-determiner-ca "thy"-determiner-en
"thy"-determiner-en "el teu"-determiner-ca
"en algun lloc"-adverb-ca "someplace"-adverb-en
"someplace"-adverb-en "en algun lloc"-adverb-ca
"el que"-pronoun-ca "the one which"-pronoun-en
"el que"-pronoun-ca "the ones that"-pronoun-en
"el que"-pronoun-ca "those that"-pronoun-en
"the one which"-pronoun-en "el que"-pronoun-ca
"the ones that"-pronoun-en "el que"-pronoun-ca
"those that"-pronoun-en "el que"-pronoun-ca
"with the exception of"-preposition-en "a excepció de"-preposition-ca
"a excepció de"-preposition-ca "with the exception of"-preposition-en
"menys"-preposition-ca "minus"-preposition-en
"minus"-preposition-en "menys"-preposition-ca
"i"-coordinatingConjunction-ca "&"-coordinatingConjunction-en
"&"-coordinatingConjunction-en "i"-coordinatingConjunction-ca
"than"-subordinatingConjunction-en "que"-subordinatingConjunction-ca
"que"-subordinatingConjunction-ca "than"-subordinatingConjunction-en
"concretament"-adverb-ca "concretely"-adverb-en
"concretely"-adverb-en "concretament"-adverb-ca
"és a dir"-adverb-ca "to wit"-adverb-en
"to wit"-adverb-en "és a dir"-adverb-ca
"habitualment"-adverb-ca "habitually"-adverb-en
"habitually"-adverb-en "habitualment"-adverb-ca
"extremadament"-adverb-ca "grossly"-adverb-en
"grossly"-adverb-en "extremadament"-adverb-ca
"by now"-adverb-en "a hores d'ara"-adverb-ca
"a hores d'ara"-adverb-ca "by now"-adverb-en
"a hores d'ara"-adverb-ca "by this time"-adverb-en
"by this time"-adverb-en "a hores d'ara"-adverb-ca
"at the moment"-adverb-en "per ara"-adverb-ca
"per ara"-adverb-ca "at the moment"-adverb-en
"per ara"-adverb-ca "so far"-adverb-en
"so far"-adverb-en "per ara"-adverb-ca
"etcètera"-adverb-ca "and so forth"-adverb-en
"etcètera"-adverb-ca "et cetera"-adverb-en
"and so forth"-adverb-en "etcètera"-adverb-ca
"et cetera"-adverb-en "etcètera"-adverb-ca
"excepcionalment"-adverb-ca "peculiarly"-adverb-en
"peculiarly"-adverb-en "excepcionalment"-adverb-ca
"per sempre"-adverb-ca "ever after"-adverb-en
"ever after"-adverb-en "per sempre"-adverb-ca
"una altra vegada"-adverb-ca "once more"-adverb-en
"once more"-adverb-en "una altra vegada"-adverb-ca
"time after time"-adverb-en "nombroses vegades"-adverb-ca
"nombroses vegades"-adverb-ca "time after time"-adverb-en
"for a while"-adverb-en "durant una estona"-adverb-ca
"durant una estona"-adverb-ca "for a while"-adverb-en
"as such"-adverb-en "com a tal"-adverb-ca
"com a tal"-adverb-ca "as such"-adverb-en
"sí"-adverb-ca "yeah"-adverb-en
"yeah"-adverb-en "sí"-adverb-ca
"realment"-adverb-ca "maximally"-adverb-en
"maximally"-adverb-en "realment"-adverb-ca
"face to face"-adverb-en "cara a cara"-adverb-ca
"cara a cara"-adverb-ca "face to face"-adverb-en
"in time"-adverb-en "a temps"-adverb-ca
"a temps"-adverb-ca "in time"-adverb-en
"anteriorment"-adverb-ca "anteriorly"-adverb-en
"anteriorly"-adverb-en "anteriorment"-adverb-ca
"in unison"-adverb-en "a l'uníson"-adverb-ca
"a l'uníson"-adverb-ca "in unison"-adverb-en
"a l'uníson"-adverb-ca "in chorus"-adverb-en
"a l'uníson"-adverb-ca "with one voice"-adverb-en
"in chorus"-adverb-en "a l'uníson"-adverb-ca
"with one voice"-adverb-en "a l'uníson"-adverb-ca
"Christmas"-noun-en "Nadal"-noun-ca
"Nadal"-noun-ca "Christmas"-noun-en
"de nit"-adverb-ca "by night"-adverb-en
"by night"-adverb-en "de nit"-adverb-ca
"tant"-determiner-ca "as many"-determiner-en
"as many"-determiner-en "tant"-determiner-ca
"shall"-modal-en "haver de"-modal-ca
"haver de"-modal-ca "shall"-modal-en
"haver de"-modal-ca "must"-modal-en
"must"-modal-en "haver de"-modal-ca
"can"-modal-en "poder"-modal-ca
"poder"-modal-ca "can"-modal-en
"poder"-modal-ca "may"-modal-en
"poder"-modal-ca "might"-modal-en
"may"-modal-en "poder"-modal-ca
"might"-modal-en "poder"-modal-ca
"Phillips"-noun-en "Phillips"-noun-ca
"Phillips"-noun-en "Phillips"-properNoun-ca
"Phillips"-noun-ca "Phillips"-noun-en
"Phillips"-noun-ca "Phillips"-properNoun-en
"Phillips"-properNoun-ca "Phillips"-noun-en
"Phillips"-properNoun-ca "Phillips"-properNoun-en
"Phillips"-properNoun-en "Phillips"-noun-ca
"Phillips"-properNoun-en "Phillips"-properNoun-ca
"Cambridge"-properNoun-en "Cambridge"-properNoun-ca
"Cambridge"-properNoun-ca "Cambridge"-properNoun-en
"Liverpool"-properNoun-en "Liverpool"-properNoun-ca
"Liverpool"-properNoun-ca "Liverpool"-properNoun-en
"Netherlands"-properNoun-en "Països Baixos"-properNoun-ca
"Països Baixos"-properNoun-ca "Netherlands"-properNoun-en
"acephalia"-noun-en "acefàlia"-noun-ca
"acefàlia"-noun-ca "acephalia"-noun-en
"acidimetry"-noun-en "acidimetria"-noun-ca
"acidimetria"-noun-ca "acidimetry"-noun-en
"actinometry"-noun-en "actinometria"-noun-ca
"actinometria"-noun-ca "actinometry"-noun-en
"agrobiology"-noun-en "agrobiologia"-noun-ca
