"cualquier"-determiner-es "whatsoever"-determiner-en
"whatsoever"-determiner-en "cualquier"-determiner-es
"entre"-preposition-es "amidst"-preposition-en
"amidst"-preposition-en "entre"-preposition-es
"antes de"-preposition-es "ere"-preposition-en
"ere"-preposition-en "antes de"-preposition-es
"anterior"-adjective-es "anterior"-adjective-en
"anterior"-adjective-en "anterior"-adjective-es
"hasta"-preposition-es "till"-preposition-en
"till"-preposition-en "hasta"-preposition-es
"besides that"-adverb-en "además de eso"-adverb-es
"además de eso"-adverb-es "besides that"-adverb-en
"bolsa"-noun-es "stock exchange"-noun-en
"stock exchange"-noun-en "bolsa"-noun-es
"stock exchange"-noun-en "bolsa de valores"-noun-es
"cansancio"-noun-es "tiredness"-noun-en
"tiredness"-noun-en "cansancio"-noun-es
"bifurcación"-noun-es "bifurcation"-noun-en
"bifurcation"-noun-en "bifurcación"-noun-es
"garra"-noun-es "clutches"-noun-en
"clutches"-noun-en "garra"-noun-es
"respiración"-noun-es "respiration"-noun-en
"respiration"-noun-en "respiración"-noun-es
"tallow"-noun-en "sebo"-noun-es
"sebo"-noun-es "tallow"-noun-en
"genetics"-noun-en "genética"-noun-es
"genética"-noun-es "genetics"-noun-en
"ether"-noun-en "éter"-noun-es
"éter"-noun-es "ether"-noun-en
"longevity"-noun-en "longevidad"-noun-es
"longevidad"-noun-es "longevity"-noun-en
"heterogeneity"-noun-en "heterogeneidad"-noun-es
"heterogeneidad"-noun-es "heterogeneity"-noun-en
"sufficiency"-noun-en "suficiencia"-noun-es
"suficiencia"-noun-es "sufficiency"-noun-en
"ergonomics"-noun-en "ergonomía"-noun-es
"ergonomía"-noun-es "ergonomics"-noun-en
"dysentery"-noun-en "disentería"-noun-es
"disentería"-noun-es "dysentery"-noun-en
"nimiedad"-noun-es "triviality"-noun-en
"triviality"-noun-en "nimiedad"-noun-es
"triviality"-noun-en "trivialidad"-noun-es
"feudalism"-noun-en "feudalismo"-noun-es
"feudalismo"-noun-es "feudalism"-noun-en
"deafness"-noun-en "sordera"-noun-es
"sordera"-noun-es "deafness"-noun-en
"torpeza"-noun-es "awkwardness"-noun-en
"awkwardness"-noun-en "torpeza"-noun-es
"hibernation"-noun-en "hibernación"-noun-es
"hibernación"-noun-es "hibernation"-noun-en
"falsedad"-noun-es "deceitfulness"-noun-en
"deceitfulness"-noun-en "falsedad"-noun-es
"sophism"-noun-en "sofisma"-noun-es
"sofisma"-noun-es "sophism"-noun-en
"rhubarb"-noun-en "ruibarbo"-noun-es
"ruibarbo"-noun-es "rhubarb"-noun-en
"hypochondria"-noun-en "hipocondría"-noun-es
"hipocondría"-noun-es "hypochondria"-noun-en
"constipation"-noun-en "estreñimiento"-noun-es
"estreñimiento"-noun-es "constipation"-noun-en
"vestuario"-noun-es "changing room"-noun-en
"changing room"-noun-en "vestuario"-noun-es
"changing room"-noun-en "probador"-noun-es
"unicorn"-noun-en "unicornio"-noun-es
"unicornio"-noun-es "unicorn"-noun-en
"cocina"-noun-es "cooker"-noun-en
"cocina"-noun-es "cookery"-noun-en
"cooker"-noun-en "cocina"-noun-es
"cookery"-noun-en "cocina"-noun-es
"sapphire"-noun-en "zafiro"-noun-es
"zafiro"-noun-es "sapphire"-noun-en
"podiatry"-noun-en "podología"-noun-es
