"the"-determiner-en "lo"-determiner-es
"lo"-determiner-es "the"-determiner-en
"this"-determiner-en "ese"-determiner-es
"ese"-determiner-es "this"-determiner-en
"a lot of"-determiner-en "mucho"-determiner-es
"mucho"-determiner-es "a lot of"-determiner-en
"mucho"-determiner-es "lots of"-determiner-en
"mucho"-determiner-es "many"-determiner-en
"mucho"-determiner-es "much"-determiner-en
"lots of"-determiner-en "mucho"-determiner-es
"many"-determiner-en "mucho"-determiner-es
"much"-determiner-en "mucho"-determiner-es
"more"-determiner-en "más"-determiner-es
"más"-determiner-es "more"-determiner-en
"a few"-determiner-en "unos cuantos"-determiner-es
"unos cuantos"-determiner-es "a few"-determiner-en
"how"-adverb-en "qué tal"-adverb-es
"qué tal"-adverb-es "how"-adverb-en
"any"-determiner-en "alguno"-determiner-es
"any"-determiner-en "cualquier"-determiner-es
"alguno"-determiner-es "any"-determiner-en
"alguno"-determiner-es "some"-determiner-en
"cualquier"-determiner-es "any"-determiner-en
"cualquier"-determiner-es "either"-determiner-en
"cualquier"-determiner-es "whatever"-determiner-en
"some"-determiner-en "alguno"-determiner-es
"some"-determiner-en "uno"-determiner-es
"some"-determiner-en "cierto"-determiner-es
"either"-determiner-en "cualquier"-determiner-es
"either"-determiner-en "ninguno"-determiner-es
"whatever"-determiner-en "cualquier"-determiner-es
"ninguno"-determiner-es "either"-determiner-en
"alguien"-pronoun-es "anyone"-pronoun-en
"alguien"-pronoun-es "anybody"-pronoun-en
"anyone"-pronoun-en "alguien"-pronoun-es
"anyone"-pronoun-en "nadie"-pronoun-es
"anyone"-pronoun-en "cualquiera"-pronoun-es
"anybody"-pronoun-en "alguien"-pronoun-es
"anybody"-pronoun-en "nadie"-pronoun-es
"anybody"-pronoun-en "cualquiera"-pronoun-es
"nadie"-pronoun-es "anyone"-pronoun-en
"nadie"-pronoun-es "anybody"-pronoun-en
"cualquiera"-pronoun-es "anyone"-pronoun-en
"cualquiera"-pronoun-es "anybody"-pronoun-en
"cualquiera"-pronoun-es "any"-pronoun-en
"cualquiera"-pronoun-es "any one"-pronoun-en
"cualquiera"-pronoun-es "either"-pronoun-en
"any"-pronoun-en "cualquiera"-pronoun-es
"any"-pronoun-en "ninguno"-pronoun-es
"any"-pronoun-en "alguno"-pronoun-es
"any one"-pronoun-en "cualquiera"-pronoun-es
"either"-pronoun-en "cualquiera"-pronoun-es
"either"-pronoun-en "ninguno"-pronoun-es
"something"-pronoun-en "alguna cosa"-pronoun-es
"alguna cosa"-pronoun-es "something"-pronoun-en
"algo"-pronoun-es "anything"-pronoun-en
"anything"-pronoun-en "algo"-pronoun-es
"anything"-pronoun-en "cualquier cosa"-pronoun-es
"anything"-pronoun-en "nada"-pronoun-es
"somewhat"-adverb-en "un poco"-adverb-es
"un poco"-adverb-es "somewhat"-adverb-en
"un poco"-adverb-es "a bit"-adverb-en
"un poco"-adverb-es "a little bit"-adverb-en
"un poco"-adverb-es "mildly"-adverb-en
"un poco"-adverb-es "some"-adverb-en
"a bit"-adverb-en "un poco"-adverb-es
"a little bit"-adverb-en "un poco"-adverb-es
"mildly"-adverb-en "un poco"-adverb-es
"mildly"-adverb-en "blandamente"-adverb-es
"mildly"-adverb-en "levemente"-adverb-es
"some"-adverb-en "un poco"-adverb-es
"somewhere"-adverb-en "en algún lugar"-adverb-es
"en algún lugar"-adverb-es "somewhere"-adverb-en
"which"-noun-en "cuál"-pronoun-es
"which"-noun-en "que"-relativePronoun-es
"which"-noun-en "el cual"-relativePronoun-es
"cuál"-pronoun-es "which"-noun-en
"cuál"-pronoun-es "which one"-pronoun-en
"que"-relativePronoun-es "which"-noun-en
"el cual"-relativePronoun-es "which"-noun-en
"el cual"-relativePronoun-es "which"-relativePronoun-en
"which one"-pronoun-en "cuál"-pronoun-es
"which"-relativePronoun-en "el cual"-relativePronoun-es
"who"-relativePronoun-en "quien"-noun-es
"who"-relativePronoun-en "quien"-relativePronoun-es
"quien"-noun-es "who"-relativePronoun-en
"quien"-noun-es "whom"-relativePronoun-en
"quien"-relativePronoun-es "who"-relativePronoun-en
"quien"-relativePronoun-es "whom"-relativePronoun-en
"what"-noun-en "qué"-pronoun-es
"what"-noun-en "cuanto"-adverb-es
"what"-noun-en "cuanto"-relativePronoun-es
"qué"-pronoun-es "what"-noun-en
"cuanto"-adverb-es "what"-noun-en
"cuanto"-adverb-es "what"-relativePronoun-en
"cuanto"-adverb-es "those that"-noun-en
"cuanto"-adverb-es "those that"-relativePronoun-en
"cuanto"-relativePronoun-es "what"-noun-en
"cuanto"-relativePronoun-es "what"-relativePronoun-en
"cuanto"-relativePronoun-es "those that"-noun-en
"cuanto"-relativePronoun-es "those that"-relativePronoun-en
"what"-relativePronoun-en "cuanto"-adverb-es
"what"-relativePronoun-en "cuanto"-relativePronoun-es
"this"-pronoun-en "ello"-pronoun-es
"this"-pronoun-en "eso"-pronoun-es
"ello"-pronoun-es "this"-pronoun-en
"eso"-pronoun-es "this"-pronoun-en
"that"-pronoun-en "ese"-pronoun-es
"that"-pronoun-en "ése"-pronoun-es
"ese"-pronoun-es "that"-pronoun-en
"ese"-pronoun-es "that"-relativePronoun-en
"ése"-pronoun-es "that"-pronoun-en
"ése"-pronoun-es "that"-relativePronoun-en
"aquello"-pronoun-es "that"-relativePronoun-en
"that"-relativePronoun-en "ese"-pronoun-es
"that"-relativePronoun-en "ése"-pronoun-es
"that"-relativePronoun-en "aquello"-pronoun-es
"that"-relativePronoun-en "aquel"-pronoun-es
"that"-relativePronoun-en "aquél"-pronoun-es
"aquel"-pronoun-es "that"-relativePronoun-en
"aquél"-pronoun-es "that"-relativePronoun-en
"where"-adverb-en "adónde"-adverb-es
"where"-adverb-en "adonde"-adverb-es
"where"-adverb-en "adonde"-relativePronoun-es
"adónde"-adverb-es "where"-adverb-en
"adónde"-adverb-es "whither"-adverb-en
"adonde"-adverb-es "where"-adverb-en
"adonde"-adverb-es "where"-relativePronoun-en
"adonde"-relativePronoun-es "where"-adverb-en
"adonde"-relativePronoun-es "where"-relativePronoun-en
"whither"-adverb-en "adónde"-adverb-es
"whither"-adverb-en "dónde"-adverb-es
"dónde"-adverb-es "whither"-adverb-en
"on"-preposition-en "en"-preposition-es
"en"-preposition-es "on"-preposition-en
"en"-preposition-es "at"-preposition-en
"at"-preposition-en "en"-preposition-es
"at"-preposition-en "a"-preposition-es
"sobre"-preposition-es "over"-preposition-en
"over"-preposition-en "sobre"-preposition-es
"over"-preposition-en "durante"-preposition-es
"over"-preposition-en "a lo largo de"-preposition-es
"for"-preposition-en "en nombre de"-preposition-es
"for"-preposition-en "durante"-preposition-es
"en nombre de"-preposition-es "for"-preposition-en
"durante"-preposition-es "over"-preposition-en
"durante"-preposition-es "for"-preposition-en
"para"-preposition-es "in order to"-preposition-en
"in order to"-preposition-en "para"-preposition-es
"hacia"-preposition-es "toward"-preposition-en
"toward"-preposition-en "hacia"-preposition-es
"a lo largo de"-preposition-es "over"-preposition-en
"a lo largo de"-preposition-es "along"-preposition-en
"a lo largo de"-preposition-es "throughout"-preposition-en
"along"-preposition-en "a lo largo de"-preposition-es
"throughout"-preposition-en "a lo largo de"-preposition-es
"through"-preposition-en "por"-preposition-es
"por"-preposition-es "through"-preposition-en
"a través de"-preposition-es "across"-preposition-en
"across"-preposition-en "a través de"-preposition-es
"sin"-preposition-es "with no"-preposition-en
