"qualsevol"-determiner-ca "ajna"-determiner-eo
"ajna"-determiner-eo "qualsevol"-determiner-ca
"neniu"-determiner-eo "cap"-determiner-ca
"cap"-determiner-ca "neniu"-determiner-eo
"algun"-determiner-ca "iu"-determiner-eo
"iu"-determiner-eo "algun"-determiner-ca
"iu"-determiner-eo "cert"-determiner-ca
"cert"-determiner-ca "iu"-determiner-eo
"kelka"-determiner-eo "uns quants"-determiner-ca
"uns quants"-determiner-ca "kelka"-determiner-eo
"la"-determiner-eo "el"-determiner-ca
"el"-determiner-ca "la"-determiner-eo
"ĉi tiu"-determiner-eo "aquest"-determiner-ca
"ĉi tiu"-determiner-eo "este"-determiner-ca
"aquest"-determiner-ca "ĉi tiu"-determiner-eo
"este"-determiner-ca "ĉi tiu"-determiner-eo
"tiu"-determiner-eo "aquell"-determiner-ca
"tiu"-determiner-eo "eixe"-determiner-ca
"tiu"-determiner-eo "aqueix"-determiner-ca
"aquell"-determiner-ca "tiu"-determiner-eo
"eixe"-determiner-ca "tiu"-determiner-eo
"aqueix"-determiner-ca "tiu"-determiner-eo
"molt"-determiner-ca "multa"-determiner-eo
"multa"-determiner-eo "molt"-determiner-ca
"inclusivament"-adverb-ca "inkluzive"-adverb-eo
"inkluzive"-adverb-eo "inclusivament"-adverb-ca
"fins i tot"-adverb-ca "eĉ"-adverb-eo
"eĉ"-adverb-eo "fins i tot"-adverb-ca
"libere"-adverb-eo "lliurement"-adverb-ca
"lliurement"-adverb-ca "libere"-adverb-eo
"majoritàriament"-adverb-ca "majoritate"-adverb-eo
"majoritate"-adverb-eo "majoritàriament"-adverb-ca
"fonamentalment"-adverb-ca "fundamente"-adverb-eo
"fundamente"-adverb-eo "fonamentalment"-adverb-ca
"malrapide"-adverb-eo "lentament"-adverb-ca
"malrapide"-adverb-eo "a poc a poc"-adverb-ca
"lentament"-adverb-ca "malrapide"-adverb-eo
"a poc a poc"-adverb-ca "malrapide"-adverb-eo
"aviat"-adverb-ca "frue"-adverb-eo
"frue"-adverb-eo "aviat"-adverb-ca
"frue"-adverb-eo "d'hora"-adverb-ca
"ràpidament"-adverb-ca "rapide"-adverb-eo
"rapide"-adverb-eo "ràpidament"-adverb-ca
"rapide"-adverb-eo "de pressa"-adverb-ca
"de pressa"-adverb-ca "rapide"-adverb-eo
"d'hora"-adverb-ca "frue"-adverb-eo
"publike"-adverb-eo "públicament"-adverb-ca
"públicament"-adverb-ca "publike"-adverb-eo
"aparentment"-adverb-ca "ŝajne"-adverb-eo
"ŝajne"-adverb-eo "aparentment"-adverb-ca
"possiblement"-adverb-ca "eble"-adverb-eo
"eble"-adverb-eo "possiblement"-adverb-ca
"eble"-adverb-eo "potser"-adverb-ca
"potser"-adverb-ca "eble"-adverb-eo
"forte"-adverb-eo "fortament"-adverb-ca
"fortament"-adverb-ca "forte"-adverb-eo
"samtempe"-adverb-eo "alhora"-adverb-ca
"samtempe"-adverb-eo "simultàniament"-adverb-ca
"alhora"-adverb-ca "samtempe"-adverb-eo
"simultàniament"-adverb-ca "samtempe"-adverb-eo
"paral·lelament"-adverb-ca "paralele"-adverb-eo
"paralele"-adverb-eo "paral·lelament"-adverb-ca
"prop"-adverb-ca "apude"-adverb-eo
"apude"-adverb-eo "prop"-adverb-ca
"apude"-adverb-eo "a la vora"-adverb-ca
"a la vora"-adverb-ca "apude"-adverb-eo
