"10a"-adjective-eo "X"-adjective-ca
"X"-adjective-ca "10a"-adjective-eo
"11a"-adjective-eo "XI"-adjective-ca
"XI"-adjective-ca "11a"-adjective-eo
"12a"-adjective-eo "XII"-adjective-ca
"XII"-adjective-ca "12a"-adjective-eo
"13a"-adjective-eo "XIII"-adjective-ca
"XIII"-adjective-ca "13a"-adjective-eo
"14a"-adjective-eo "XIV"-adjective-ca
"XIV"-adjective-ca "14a"-adjective-eo
"15a"-adjective-eo "XV"-adjective-ca
"XV"-adjective-ca "15a"-adjective-eo
"16a"-adjective-eo "XVI"-adjective-ca
"XVI"-adjective-ca "16a"-adjective-eo
"17a"-adjective-eo "XVII"-adjective-ca
"XVII"-adjective-ca "17a"-adjective-eo
"18a"-adjective-eo "XVIII"-adjective-ca
"XVIII"-adjective-ca "18a"-adjective-eo
"19a"-adjective-eo "XIX"-adjective-ca
"XIX"-adjective-ca "19a"-adjective-eo
"1a"-adjective-eo "I"-adjective-ca
"I"-adjective-ca "1a"-adjective-eo
"20a"-adjective-eo "XX"-adjective-ca
"XX"-adjective-ca "20a"-adjective-eo
"21a"-adjective-eo "XXI"-adjective-ca
"XXI"-adjective-ca "21a"-adjective-eo
"22a"-adjective-eo "XXII"-adjective-ca
"XXII"-adjective-ca "22a"-adjective-eo
"2a"-adjective-eo "II"-adjective-ca
"II"-adjective-ca "2a"-adjective-eo
"3a"-adjective-eo "III"-adjective-ca
"III"-adjective-ca "3a"-adjective-eo
"4a"-adjective-eo "IV"-adjective-ca
"IV"-adjective-ca "4a"-adjective-eo
"5a"-adjective-eo "V"-adjective-ca
"V"-adjective-ca "5a"-adjective-eo
"6a"-adjective-eo "VI"-adjective-ca
"VI"-adjective-ca "6a"-adjective-eo
"7a"-adjective-eo "VII"-adjective-ca
"VII"-adjective-ca "7a"-adjective-eo
"8a"-adjective-eo "VIII"-adjective-ca
"VIII"-adjective-ca "8a"-adjective-eo
"9a"-adjective-eo "IX"-adjective-ca
"IX"-adjective-ca "9a"-adjective-eo
"abatejo"-noun-eo "abadia"-noun-ca
"abadia"-noun-ca "abatejo"-noun-eo
"Abbott"-properNoun-eo "Abbott"-properNoun-ca
"Abbott"-properNoun-ca "Abbott"-properNoun-eo
"Abbott"-properNoun-ca "Abbott"-noun-eo
"Abbott"-noun-eo "Abbott"-properNoun-ca
"abdomeno"-noun-eo "abdomen"-noun-ca
"abdomen"-noun-ca "abdomeno"-noun-eo
"abelujo"-noun-eo "arna"-noun-ca
"abelujo"-noun-eo "buc"-noun-ca
"abelujo"-noun-eo "rusc"-noun-ca
"arna"-noun-ca "abelujo"-noun-eo
"arna"-noun-ca "skvamo"-noun-eo
"arna"-noun-ca "tineo"-noun-eo
"buc"-noun-ca "abelujo"-noun-eo
"buc"-noun-ca "hulo"-noun-eo
"buc"-noun-ca "ŝakto"-noun-eo
"buc"-noun-ca "ŝelo"-noun-eo
"buc"-noun-ca "ŝipo"-noun-eo
"rusc"-noun-ca "abelujo"-noun-eo
"skvamo"-noun-eo "arna"-noun-ca
"skvamo"-noun-eo "caspa"-noun-ca
"skvamo"-noun-eo "escata"-noun-ca
"tineo"-noun-eo "arna"-noun-ca
"hulo"-noun-eo "buc"-noun-ca
"hulo"-noun-eo "onatge"-noun-ca
"ŝakto"-noun-eo "buc"-noun-ca
"ŝakto"-noun-eo "caixa"-noun-ca
"ŝakto"-noun-eo "pou"-noun-ca
"ŝelo"-noun-eo "buc"-noun-ca
"ŝelo"-noun-eo "closca"-noun-ca
"ŝelo"-noun-eo "clofolla"-noun-ca
"ŝelo"-noun-eo "crosta"-noun-ca
"ŝelo"-noun-eo "escorça"-noun-ca
"ŝipo"-noun-eo "buc"-noun-ca
"ŝipo"-noun-eo "bastiment"-noun-ca
"ŝipo"-noun-eo "embarcació"-noun-ca
"aberacio"-noun-eo "aberració"-noun-ca
"aberració"-noun-ca "aberacio"-noun-eo
"abio"-noun-eo "avet"-noun-ca
"avet"-noun-ca "abio"-noun-eo
"abismo"-noun-eo "cingle"-noun-ca
"cingle"-noun-ca "abismo"-noun-eo
"abisme"-noun-ca "marĉo"-noun-eo
"abisme"-noun-ca "senfundaĵo"-noun-eo
"marĉo"-noun-eo "abisme"-noun-ca
"marĉo"-noun-eo "pou"-noun-ca
"senfundaĵo"-noun-eo "abisme"-noun-ca
"abnegacio"-noun-eo "abnegació"-noun-ca
"abnegació"-noun-ca "abnegacio"-noun-eo
"abnegació"-noun-ca "sinforgeso"-noun-eo
"abnegació"-noun-ca "sinofero"-noun-eo
"sinforgeso"-noun-eo "abnegació"-noun-ca
"sinofero"-noun-eo "abnegació"-noun-ca
"sinofero"-noun-eo "sacrifici"-noun-ca
"aboco"-noun-eo "beceroles"-noun-ca
"beceroles"-noun-ca "aboco"-noun-eo
"abomenaĵo"-noun-eo "atrocitat"-noun-ca
"abomenaĵo"-noun-eo "horror"-noun-ca
"atrocitat"-noun-ca "abomenaĵo"-noun-eo
"horror"-noun-ca "abomenaĵo"-noun-eo
"abomene"-adverb-eo "abominablement"-adverb-ca
"abominablement"-adverb-ca "abomene"-adverb-eo
"abomeninda"-adjective-eo "detestable"-adjective-ca
"abomeninda"-adjective-eo "execrable"-adjective-ca
"detestable"-adjective-ca "abomeninda"-adjective-eo
"execrable"-adjective-ca "abomeninda"-adjective-eo
"abomeno"-noun-eo "abominació"-noun-ca
"abomeno"-noun-eo "aversió"-noun-ca
"abomeno"-noun-eo "repulsió"-noun-ca
"abominació"-noun-ca "abomeno"-noun-eo
"aversió"-noun-ca "abomeno"-noun-eo
"repulsió"-noun-ca "abomeno"-noun-eo
"aborigeno"-noun-eo "aborigen"-noun-ca
"aborigen"-noun-ca "aborigeno"-noun-eo
"aborto"-noun-eo "avortament"-noun-ca
"avortament"-noun-ca "aborto"-noun-eo
"abrikotarbo"-noun-eo "albercoquer"-noun-ca
"albercoquer"-noun-ca "abrikotarbo"-noun-eo
"abrikoto"-noun-eo "albercoc"-noun-ca
"albercoc"-noun-ca "abrikoto"-noun-eo
"abrupta"-adjective-eo "abrupte"-adjective-ca
"abrupta"-adjective-eo "brusc"-adjective-ca
"abrupte"-adjective-ca "abrupta"-adjective-eo
"brusc"-adjective-ca "abrupta"-adjective-eo
"brusc"-adjective-ca "malĝentila"-adjective-eo
"brusc"-adjective-ca "bruska"-adjective-eo
"malĝentila"-adjective-eo "brusc"-adjective-ca
"malĝentila"-adjective-eo "descortès"-adjective-ca
"malĝentila"-adjective-eo "incívic"-adjective-ca
"bruska"-adjective-eo "brusc"-adjective-ca
"absceso"-noun-eo "abscés"-noun-ca
"abscés"-noun-ca "absceso"-noun-eo
"absolutismo"-noun-eo "absolutisme"-noun-ca
"absolutisme"-noun-ca "absolutismo"-noun-eo
"absoldre"-verb-ca "malkondamni"-verb-eo
"malkondamni"-verb-eo "absoldre"-verb-ca
"abstinado"-noun-eo "abstinència"-noun-ca
"abstinado"-noun-eo "dejuni"-noun-ca
"abstinència"-noun-ca "abstinado"-noun-eo
"dejuni"-noun-ca "abstinado"-noun-eo
"absurd"-adjective-ca "sensenca"-adjective-eo
"sensenca"-adjective-eo "absurd"-adjective-ca
"abunda"-adjective-eo "copiós"-adjective-ca
"copiós"-adjective-ca "abunda"-adjective-eo
"abunde"-adverb-eo "en abundància"-adverb-ca
"en abundància"-adverb-ca "abunde"-adverb-eo
"abundeco"-noun-eo "exuberància"-noun-ca
"exuberància"-noun-ca "abundeco"-noun-eo
"abundo"-noun-eo "profusió"-noun-ca
"profusió"-noun-ca "abundo"-noun-eo
"aĉa"-adjective-eo "desagradable"-adjective-ca
"aĉa"-adjective-eo "dolent"-adjective-ca
"aĉa"-adjective-eo "fastigós"-adjective-ca
"desagradable"-adjective-ca "aĉa"-adjective-eo
"desagradable"-adjective-ca "malagrabla"-adjective-eo
"desagradable"-adjective-ca "malplaĉa"-adjective-eo
"dolent"-adjective-ca "aĉa"-adjective-eo
"dolent"-adjective-ca "misa"-adjective-eo
"fastigós"-adjective-ca "aĉa"-adjective-eo
"fastigós"-adjective-ca "naŭza"-adjective-eo
"malagrabla"-adjective-eo "desagradable"-adjective-ca
"malplaĉa"-adjective-eo "desagradable"-adjective-ca
"misa"-adjective-eo "dolent"-adjective-ca
"misa"-adjective-eo "defectuós"-adjective-ca
"naŭza"-adjective-eo "fastigós"-adjective-ca
"acetono"-noun-eo "acetona"-noun-ca
"acetona"-noun-ca "acetono"-noun-eo
"agre"-adjective-ca "akra"-adjective-eo
"akra"-adjective-eo "agre"-adjective-ca
"akra"-adjective-eo "acre"-adjective-ca
"akra"-adjective-eo "aspre"-adjective-ca
"Adam"-properNoun-eo "Adam"-properNoun-ca
"Adam"-properNoun-ca "Adam"-properNoun-eo
"Adam"-properNoun-ca "Adam"-noun-eo
"Adam"-noun-eo "Adam"-properNoun-ca
"adaptilo"-noun-eo "adaptador"-noun-ca
"adaptador"-noun-ca "adaptilo"-noun-eo
"adequat"-adjective-ca "laŭcela"-adjective-eo
"laŭcela"-adjective-eo "adequat"-adjective-ca
"laŭcela"-adjective-eo "eficaç"-adjective-ca
"adepto"-noun-eo "adepte"-noun-ca
"adepte"-noun-ca "adepto"-noun-eo
"adheri"-verb-eo "adherir"-verb-ca
"adherir"-verb-ca "adheri"-verb-eo
"comiat"-noun-ca "forpermeso"-noun-eo
"forpermeso"-noun-eo "comiat"-noun-ca
"forpermeso"-noun-eo "llicència"-noun-ca
