"neniu"-determiner-eo "either"-determiner-en
"either"-determiner-en "neniu"-determiner-eo
"tiu"-determiner-eo "this"-determiner-en
"this"-determiner-en "tiu"-determiner-eo
"inkluzive"-adverb-eo "even"-adverb-en
"even"-adverb-en "inkluzive"-adverb-eo
"aparte"-adverb-eo "aside"-adverb-en
"aparte"-adverb-eo "apart"-adverb-en
"aparte"-adverb-eo "particularly"-adverb-en
"aside"-adverb-en "aparte"-adverb-eo
"apart"-adverb-en "aparte"-adverb-eo
"particularly"-adverb-en "aparte"-adverb-eo
"facile"-adverb-eo "readily"-adverb-en
"facile"-adverb-eo "effortlessly"-adverb-en
"readily"-adverb-en "facile"-adverb-eo
"effortlessly"-adverb-en "facile"-adverb-eo
"properly"-adverb-en "ĝuste"-adverb-eo
"ĝuste"-adverb-eo "properly"-adverb-en
"ĝuste"-adverb-eo "rightly"-adverb-en
"ĝuste"-adverb-eo "just"-adverb-en
"rightly"-adverb-en "ĝuste"-adverb-eo
"just"-adverb-en "ĝuste"-adverb-eo
"apenaŭ"-adverb-eo "hardly"-adverb-en
"hardly"-adverb-en "apenaŭ"-adverb-eo
"kutime"-adverb-eo "regularly"-adverb-en
"regularly"-adverb-en "kutime"-adverb-eo
"jointly"-adverb-en "kune"-adverb-eo
"kune"-adverb-eo "jointly"-adverb-en
"commonly"-adverb-en "ĝenerale"-adverb-eo
"ĝenerale"-adverb-eo "commonly"-adverb-en
"fine"-adverb-eo "eventually"-adverb-en
"fine"-adverb-eo "at long last"-adverb-en
"fine"-adverb-eo "at last"-adverb-en
"eventually"-adverb-en "fine"-adverb-eo
"at long last"-adverb-en "fine"-adverb-eo
"at last"-adverb-en "fine"-adverb-eo
"extensively"-adverb-en "vaste"-adverb-eo
"vaste"-adverb-eo "extensively"-adverb-en
"vaste"-adverb-eo "widely"-adverb-en
"vaste"-adverb-eo "amply"-adverb-en
"widely"-adverb-en "vaste"-adverb-eo
"amply"-adverb-en "vaste"-adverb-eo
"milde"-adverb-eo "softly"-adverb-en
"softly"-adverb-en "milde"-adverb-eo
"mallarĝe"-adverb-eo "tightly"-adverb-en
"tightly"-adverb-en "mallarĝe"-adverb-eo
"proksimume"-adverb-eo "roughly"-adverb-en
"roughly"-adverb-en "proksimume"-adverb-eo
"malantaŭe"-adverb-eo "behind"-adverb-en
"malantaŭe"-adverb-eo "backwards"-adverb-en
"malantaŭe"-adverb-eo "back"-adverb-en
"behind"-adverb-en "malantaŭe"-adverb-eo
"backwards"-adverb-en "malantaŭe"-adverb-eo
"back"-adverb-en "malantaŭe"-adverb-eo
"back"-adverb-en "malantaŭen"-adverb-eo
"malantaŭen"-adverb-eo "back"-adverb-en
"senĉese"-adverb-eo "continuously"-adverb-en
"senĉese"-adverb-eo "continually"-adverb-en
"continuously"-adverb-en "senĉese"-adverb-eo
"continually"-adverb-en "senĉese"-adverb-eo
"nuntempe"-adverb-eo "presently"-adverb-en
"presently"-adverb-en "nuntempe"-adverb-eo
"kontraŭe"-adverb-eo "conversely"-adverb-en
"kontraŭe"-adverb-eo "instead"-adverb-en
"conversely"-adverb-en "kontraŭe"-adverb-eo
"instead"-adverb-en "kontraŭe"-adverb-eo
"serioze"-adverb-eo "seriously"-adverb-en
"seriously"-adverb-en "serioze"-adverb-eo
"konkrete"-adverb-eo "namely"-adverb-en
"namely"-adverb-en "konkrete"-adverb-eo
"kategorie"-adverb-eo "roundly"-adverb-en
"roundly"-adverb-en "kategorie"-adverb-eo
"supozeble"-adverb-eo "purportedly"-adverb-en
"supozeble"-adverb-eo "supposedly"-adverb-en
"supozeble"-adverb-eo "allegedly"-adverb-en
"purportedly"-adverb-en "supozeble"-adverb-eo
"supposedly"-adverb-en "supozeble"-adverb-eo
"allegedly"-adverb-en "supozeble"-adverb-eo
"same"-adverb-eo "equally"-adverb-en
"same"-adverb-eo "alike"-adverb-en
"equally"-adverb-en "same"-adverb-eo
"alike"-adverb-en "same"-adverb-eo
"eĉ"-adverb-eo "still"-adverb-en
"eĉ"-adverb-eo "yet"-adverb-en
"still"-adverb-en "eĉ"-adverb-eo
"yet"-adverb-en "eĉ"-adverb-eo
"only"-adverb-en "sole"-adverb-eo
"sole"-adverb-eo "only"-adverb-en
"verŝajne"-adverb-eo "surely"-adverb-en
"surely"-adverb-en "verŝajne"-adverb-eo
"of course"-adverb-en "kompreneble"-adverb-eo
"kompreneble"-adverb-eo "of course"-adverb-en
"evidente"-adverb-eo "evidently"-adverb-en
"evidently"-adverb-en "evidente"-adverb-eo
"entirely"-adverb-en "plene"-adverb-eo
"plene"-adverb-eo "entirely"-adverb-en
"plene"-adverb-eo "totally"-adverb-en
"plene"-adverb-eo "hopelessly"-adverb-en
"totally"-adverb-en "plene"-adverb-eo
"hopelessly"-adverb-en "plene"-adverb-eo
"profunde"-adverb-eo "acutely"-adverb-en
"acutely"-adverb-en "profunde"-adverb-eo
"fakte"-adverb-eo "indeed"-adverb-en
"indeed"-adverb-en "fakte"-adverb-eo
"rather"-adverb-en "sufiĉe"-adverb-eo
"sufiĉe"-adverb-eo "rather"-adverb-en
"enormously"-adverb-en "ege"-adverb-eo
"ege"-adverb-eo "enormously"-adverb-en
"pli"-adverb-eo "most"-adverb-en
"pli"-adverb-eo "best"-adverb-en
"pli"-adverb-eo "any more"-adverb-en
"most"-adverb-en "pli"-adverb-eo
"best"-adverb-en "pli"-adverb-eo
"any more"-adverb-en "pli"-adverb-eo
"in front"-adverb-en "antaŭe"-adverb-eo
"antaŭe"-adverb-eo "in front"-adverb-en
"ekstreme"-adverb-eo "monumentally"-adverb-en
"ekstreme"-adverb-eo "exceedingly"-adverb-en
"monumentally"-adverb-en "ekstreme"-adverb-eo
"exceedingly"-adverb-en "ekstreme"-adverb-eo
"forte"-adverb-eo "heavily"-adverb-en
"heavily"-adverb-en "forte"-adverb-eo
"certe"-adverb-eo "admittedly"-adverb-en
"admittedly"-adverb-en "certe"-adverb-eo
"bone"-adverb-eo "right"-adverb-en
"right"-adverb-en "bone"-adverb-eo
"precipe"-adverb-eo "principally"-adverb-en
"precipe"-adverb-eo "primarily"-adverb-en
"precipe"-adverb-eo "mainly"-adverb-en
"precipe"-adverb-eo "chiefly"-adverb-en
"precipe"-adverb-eo "above all"-adverb-en
"principally"-adverb-en "precipe"-adverb-eo
"primarily"-adverb-en "precipe"-adverb-eo
