"abako"-noun-eo "abacus"-noun-en
"abacus"-noun-en "abako"-noun-eo
"abatejo"-noun-eo "abbey"-noun-en
"abbey"-noun-en "abatejo"-noun-eo
"abato"-noun-eo "abbot"-noun-en
"abbot"-noun-en "abato"-noun-eo
"abdiko"-noun-eo "abdication"-noun-en
"abdication"-noun-en "abdiko"-noun-eo
"abdomeno"-noun-eo "abdomen"-noun-en
"abdomen"-noun-en "abdomeno"-noun-eo
"abelo"-noun-eo "bee"-noun-en
"bee"-noun-en "abelo"-noun-eo
"aberacio"-noun-eo "aberration"-noun-en
"aberration"-noun-en "aberacio"-noun-eo
"abio"-noun-eo "fir"-noun-en
"fir"-noun-en "abio"-noun-eo
"Abisenio"-properNoun-eo "Abyssinia"-properNoun-en
"Abyssinia"-properNoun-en "Abisenio"-properNoun-eo
"abisma"-adjective-eo "pitiful"-adjective-en
"pitiful"-adjective-en "abisma"-adjective-eo
"abismo"-noun-eo "abyss"-noun-en
"abyss"-noun-en "abismo"-noun-eo
"ablacio"-noun-eo "ablation"-noun-en
"ablation"-noun-en "ablacio"-noun-eo
"abnegacio"-noun-eo "abnegation"-noun-en
"abnegation"-noun-en "abnegacio"-noun-eo
"abolish"-verb-en "abolicii"-verb-eo
"abolish"-verb-en "neniigi"-verb-eo
"abolicii"-verb-eo "abolish"-verb-en
"neniigi"-verb-eo "abolish"-verb-en
"abomena"-adjective-eo "vile"-adjective-en
"abomena"-adjective-eo "atrocious"-adjective-en
"abomena"-adjective-eo "appalling"-adjective-en
"abomena"-adjective-eo "monstrous"-adjective-en
"vile"-adjective-en "abomena"-adjective-eo
"vile"-adjective-en "malinda"-adjective-eo
"vile"-adjective-en "malnobla"-adjective-eo
"atrocious"-adjective-en "abomena"-adjective-eo
"appalling"-adjective-en "abomena"-adjective-eo
"monstrous"-adjective-en "abomena"-adjective-eo
"malinda"-adjective-eo "vile"-adjective-en
"malinda"-adjective-eo "unworthy"-adjective-en
"malnobla"-adjective-eo "vile"-adjective-en
"abomenaĵo"-noun-eo "atrocity"-noun-en
"atrocity"-noun-en "abomenaĵo"-noun-eo
"abomeninde"-adverb-eo "abominably"-adverb-en
"abominably"-adverb-en "abomeninde"-adverb-eo
"abomeno"-noun-eo "disgust"-noun-en
"abomeno"-noun-eo "abomination"-noun-en
"disgust"-noun-en "abomeno"-noun-eo
