"cualquier"-determiner-es "neniu"-determiner-eo
"neniu"-determiner-eo "cualquier"-determiner-es
"alguno"-determiner-es "kelka"-determiner-eo
"kelka"-determiner-eo "alguno"-determiner-es
"aquel"-determiner-es "ĉi tiu"-determiner-eo
"ĉi tiu"-determiner-eo "aquel"-determiner-es
"ĉi tiu"-determiner-eo "ese"-determiner-es
"ese"-determiner-es "ĉi tiu"-determiner-eo
"alegremente"-adverb-es "gaje"-adverb-eo
"gaje"-adverb-eo "alegremente"-adverb-es
"denove"-adverb-eo "novedosamente"-adverb-es
"novedosamente"-adverb-es "denove"-adverb-eo
"aparte"-adverb-eo "sobre todo"-adverb-es
"aparte"-adverb-eo "especialmente"-adverb-es
"sobre todo"-adverb-es "aparte"-adverb-eo
"sobre todo"-adverb-es "precipe"-adverb-eo
"especialmente"-adverb-es "aparte"-adverb-eo
"especialmente"-adverb-es "precipe"-adverb-eo
"precipe"-adverb-eo "sobre todo"-adverb-es
"precipe"-adverb-eo "especialmente"-adverb-es
"precipe"-adverb-eo "en especial"-adverb-es
"laŭdire"-adverb-eo "supuestamente"-adverb-es
"supuestamente"-adverb-es "laŭdire"-adverb-eo
"probablemente"-adverb-es "verŝajne"-adverb-eo
"verŝajne"-adverb-eo "probablemente"-adverb-es
"seguramente"-adverb-es "certe"-adverb-eo
"certe"-adverb-eo "seguramente"-adverb-es
"eble"-adverb-eo "de ser posible"-adverb-es
"de ser posible"-adverb-es "eble"-adverb-eo
"prefere"-adverb-eo "más bien"-adverb-es
"más bien"-adverb-es "prefere"-adverb-eo
"fuera"-adverb-es "eksteren"-adverb-eo
"eksteren"-adverb-eo "fuera"-adverb-es
"senfine"-adverb-eo "indefinidamente"-adverb-es
"indefinidamente"-adverb-es "senfine"-adverb-eo
"sisteme"-adverb-eo "por sistema"-adverb-es
"por sistema"-adverb-es "sisteme"-adverb-eo
"tute"-adverb-eo "absolutamente"-adverb-es
"tute"-adverb-eo "cabalmente"-adverb-es
"tute"-adverb-eo "totalmente"-adverb-es
"absolutamente"-adverb-es "tute"-adverb-eo
"cabalmente"-adverb-es "tute"-adverb-eo
"totalmente"-adverb-es "tute"-adverb-eo
"kiel decas"-adverb-eo "debidamente"-adverb-es
"debidamente"-adverb-es "kiel decas"-adverb-eo
"en debida forma"-adverb-es "laŭdeve"-adverb-eo
"laŭdeve"-adverb-eo "en debida forma"-adverb-es
"ĝuste"-adverb-eo "certeramente"-adverb-es
"ĝuste"-adverb-eo "bien"-adverb-es
"certeramente"-adverb-es "ĝuste"-adverb-eo
"bien"-adverb-es "ĝuste"-adverb-eo
"pure"-adverb-eo "puramente"-adverb-es
"puramente"-adverb-es "pure"-adverb-eo
"simple"-adverb-eo "meramente"-adverb-es
"meramente"-adverb-es "simple"-adverb-eo
"sólo"-adverb-es "sole"-adverb-eo
"sole"-adverb-eo "sólo"-adverb-es
"sole"-adverb-eo "solamente"-adverb-es
"sole"-adverb-eo "solo"-adverb-es
"solamente"-adverb-es "sole"-adverb-eo
"solo"-adverb-es "sole"-adverb-eo
"incluso"-adverb-es "eĉ"-adverb-eo
"eĉ"-adverb-eo "incluso"-adverb-es
"igualmente"-adverb-es "egale"-adverb-eo
"egale"-adverb-eo "igualmente"-adverb-es
"fácilmente"-adverb-es "senpene"-adverb-eo
"senpene"-adverb-eo "fácilmente"-adverb-es
"francamente"-adverb-es "sincere dirite"-adverb-eo
"sincere dirite"-adverb-eo "francamente"-adverb-es
"sincere"-adverb-eo "a decir verdad"-adverb-es
"a decir verdad"-adverb-es "sincere"-adverb-eo
"habitualmente"-adverb-es "ordinare"-adverb-eo
