"abrogar"-verb-es "abrogi"-verb-eo
"abrogi"-verb-eo "abrogar"-verb-es
"adhesión"-noun-es "alligiteco"-noun-eo
"alligiteco"-noun-eo "adhesión"-noun-es
"admiración"-noun-es "admirado"-noun-eo
"admirado"-noun-eo "admiración"-noun-es
"licenciado"-noun-es "licenciito"-noun-eo
"licenciito"-noun-eo "licenciado"-noun-es
"mayor"-adjective-es "pli aĝa"-adjective-eo
"pli aĝa"-adjective-eo "mayor"-adjective-es
"efervescencia"-noun-es "ŝaŭmado"-noun-eo
"ŝaŭmado"-noun-eo "efervescencia"-noun-es
"sintonía"-noun-es "indiksignalo"-noun-eo
"indiksignalo"-noun-eo "sintonía"-noun-es
"agresor"-noun-es "agresinto"-noun-eo
"agresinto"-noun-eo "agresor"-noun-es
"agrícola"-adjective-es "terkultura"-adjective-eo
"terkultura"-adjective-eo "agrícola"-adjective-es
"terkultura"-adjective-eo "agropecuario"-adjective-es
"aceleración"-noun-es "rapidiĝo"-noun-eo
"rapidiĝo"-noun-eo "aceleración"-noun-es
"cobertizo"-noun-es "antaŭtegmento"-noun-eo
"antaŭtegmento"-noun-eo "cobertizo"-noun-es
"heterosexual"-adjective-es "heteroseksa"-adjective-eo
"heteroseksa"-adjective-eo "heterosexual"-adjective-es
"altruista"-noun-es "sindonemulo"-noun-eo
"sindonemulo"-noun-eo "altruista"-noun-es
"mediático"-adjective-es "amaskomunika"-adjective-eo
"amaskomunika"-adjective-eo "mediático"-adjective-es
"amazónico"-adjective-es "amazona"-adjective-eo
"amazona"-adjective-eo "amazónico"-adjective-es
"sustitutivo"-adjective-es "anstataŭiga"-adjective-eo
"anstataŭiga"-adjective-eo "sustitutivo"-adjective-es
"prevención"-noun-es "preventado"-noun-eo
"preventado"-noun-eo "prevención"-noun-es
"antioxidante"-noun-es "rust-imunigaĵo"-noun-eo
"rust-imunigaĵo"-noun-eo "antioxidante"-noun-es
"apio"-noun-es "tubercelerio"-noun-eo
"tubercelerio"-noun-eo "apio"-noun-es
"ártico"-adjective-es "nordpolusa"-adjective-eo
"nordpolusa"-adjective-eo "ártico"-adjective-es
"arrogante"-adjective-es "aroga"-adjective-eo
"aroga"-adjective-eo "arrogante"-adjective-es
"ascendente"-adjective-es "leviĝanta"-adjective-eo
"leviĝanta"-adjective-eo "ascendente"-adjective-es
"leviĝanta"-adjective-eo "ascendiente"-adjective-es
"ascendiente"-adjective-es "leviĝanta"-adjective-eo
"asistente"-noun-es "asista"-noun-eo
"asista"-noun-eo "asistente"-noun-es
"asturiano"-adjective-es "astura"-adjective-eo
"astura"-adjective-eo "asturiano"-adjective-es
"astura"-adjective-eo "astur"-adjective-es
"atacante"-adjective-es "atakinto"-adjective-eo
"atakinto"-adjective-eo "atacante"-adjective-es
"austriaco"-noun-es "aŭstriano"-noun-eo
"aŭstriano"-noun-eo "austriaco"-noun-es
"autodidacta"-noun-es "memlernanto"-noun-eo
"memlernanto"-noun-eo "autodidacta"-noun-es
"avellano"-noun-es "avel-arbo"-noun-eo
"avel-arbo"-noun-eo "avellano"-noun-es
"babilonio"-noun-es "babiloniano"-noun-eo
"babiloniano"-noun-eo "babilonio"-noun-es
"banca"-noun-es "bankismo"-noun-eo
"bankismo"-noun-eo "banca"-noun-es
"baño"-noun-es "banado"-noun-eo
"banado"-noun-eo "baño"-noun-es
"preso"-noun-es "predaĵo"-noun-eo
"predaĵo"-noun-eo "preso"-noun-es
"indio"-adjective-es "india"-adjective-eo
"india"-adjective-eo "indio"-adjective-es
"indio"-noun-es "hindio"-noun-eo
"hindio"-noun-eo "indio"-noun-es
"bajista"-noun-es "basgitaristo"-noun-eo
"basgitaristo"-noun-eo "bajista"-noun-es
"luchador"-noun-es "luktanto"-noun-eo
"luchador"-noun-es "luktemulo"-noun-eo
