"la"-determiner-eo "un"-determiner-fr
"un"-determiner-fr "la"-determiner-eo
"peu à peu"-adverb-fr "malrapide"-adverb-eo
"malrapide"-adverb-eo "peu à peu"-adverb-fr
"malrapide"-adverb-eo "doucement"-adverb-fr
"doucement"-adverb-fr "malrapide"-adverb-eo
"vite"-adverb-fr "frue"-adverb-eo
"frue"-adverb-eo "vite"-adverb-fr
"simple nur"-adverb-eo "purement"-adverb-fr
"purement"-adverb-fr "simple nur"-adverb-eo
"probablement"-adverb-fr "verŝajne"-adverb-eo
"verŝajne"-adverb-eo "probablement"-adverb-fr
"jes"-adverb-eo "si"-adverb-fr
"si"-adverb-fr "jes"-adverb-eo
"kiam"-adverb-eo "quand"-relativePronoun-fr
"quand"-relativePronoun-fr "kiam"-adverb-eo
"aparte"-adverb-eo "notamment"-adverb-fr
"aparte"-adverb-eo "spécialement"-adverb-fr
"notamment"-adverb-fr "aparte"-adverb-eo
"notamment"-adverb-fr "precipe"-adverb-eo
"spécialement"-adverb-fr "aparte"-adverb-eo
"precipe"-adverb-eo "notamment"-adverb-fr
"ainsi"-adverb-fr "tiele"-adverb-eo
"ainsi"-adverb-fr "jene"-adverb-eo
"tiele"-adverb-eo "ainsi"-adverb-fr
"jene"-adverb-eo "ainsi"-adverb-fr
"complètement"-adverb-fr "plene"-adverb-eo
"plene"-adverb-eo "complètement"-adverb-fr
"tute"-adverb-eo "totalement"-adverb-fr
"tute"-adverb-eo "entièrement"-adverb-fr
"totalement"-adverb-fr "tute"-adverb-eo
"entièrement"-adverb-fr "tute"-adverb-eo
"kutime"-adverb-eo "normalement"-adverb-fr
"kutime"-adverb-eo "couramment"-adverb-fr
"normalement"-adverb-fr "kutime"-adverb-eo
"couramment"-adverb-fr "kutime"-adverb-eo
"habituellement"-adverb-fr "ordinare"-adverb-eo
"ordinare"-adverb-eo "habituellement"-adverb-fr
"intense"-adverb-eo "fortement"-adverb-fr
"fortement"-adverb-fr "intense"-adverb-eo
"essentiellement"-adverb-fr "esence"-adverb-eo
"esence"-adverb-eo "essentiellement"-adverb-fr
"beaucoup"-adverb-fr "tre"-adverb-eo
"tre"-adverb-eo "beaucoup"-adverb-fr
"antaŭen"-adverb-eo "devant"-adverb-fr
"devant"-adverb-fr "antaŭen"-adverb-eo
"par contre"-adverb-fr "male"-adverb-eo
"male"-adverb-eo "par contre"-adverb-fr
"constamment"-adverb-fr "konstante"-adverb-eo
"konstante"-adverb-eo "constamment"-adverb-fr
"naturellement"-adverb-fr "kompreneble"-adverb-eo
"kompreneble"-adverb-eo "naturellement"-adverb-fr
"récemment"-adverb-fr "ĵus"-adverb-eo
"ĵus"-adverb-eo "récemment"-adverb-fr
"ĵus"-adverb-eo "naguère"-adverb-fr
"naguère"-adverb-fr "ĵus"-adverb-eo
"au-dessous"-adverb-fr "malsupre"-adverb-eo
"malsupre"-adverb-eo "au-dessous"-adverb-fr
"encore"-adverb-fr "eĉ"-adverb-eo
"eĉ"-adverb-eo "encore"-adverb-fr
"eĉ"-adverb-eo "voire"-adverb-fr
"eĉ"-adverb-eo "voire même"-adverb-fr
"voire"-adverb-fr "eĉ"-adverb-eo
"voire même"-adverb-fr "eĉ"-adverb-eo
"ŝia"-determiner-eo "leur"-determiner-fr
"leur"-determiner-fr "ŝia"-determiner-eo
"leur"-determiner-fr "ĝia"-determiner-eo
"leur"-determiner-fr "lia"-determiner-eo
"leur"-determiner-fr "sia"-determiner-eo
"son"-determiner-fr "ilia"-determiner-eo
"ilia"-determiner-eo "son"-determiner-fr
"ĝia"-determiner-eo "leur"-determiner-fr
"lia"-determiner-eo "leur"-determiner-fr
"sia"-determiner-eo "leur"-determiner-fr
