"2a"-adjective-eo "IInd"-adjective-fr
"IInd"-adjective-fr "2a"-adjective-eo
"a"-numeral-eo "e"-numeral-fr
"e"-numeral-fr "a"-numeral-eo
"abako"-noun-eo "boulier"-noun-fr
"boulier"-noun-fr "abako"-noun-eo
"abandono"-noun-eo "abandonnement"-noun-fr
"abandonnement"-noun-fr "abandono"-noun-eo
"ABB"-properNoun-eo "ABB"-properNoun-fr
"ABB"-properNoun-fr "ABB"-properNoun-eo
"Abbott Laboratories"-properNoun-eo "Abbott Laboratories"-properNoun-fr
"Abbott Laboratories"-properNoun-fr "Abbott Laboratories"-properNoun-eo
"abdiki"-verb-eo "démettre"-verb-fr
"démettre"-verb-fr "abdiki"-verb-eo
"démettre"-verb-fr "demisii"-verb-eo
"demisii"-verb-eo "démettre"-verb-fr
"abisme"-adverb-eo "incommensurablement"-adverb-fr
"incommensurablement"-adverb-fr "abisme"-adverb-eo
"abismo"-noun-eo "abime"-noun-fr
"abismo"-noun-eo "tréfonds"-noun-fr
"abime"-noun-fr "abismo"-noun-eo
"abime"-noun-fr "profundegaĵo"-noun-eo
"abime"-noun-fr "senfundaĵo"-noun-eo
"tréfonds"-noun-fr "abismo"-noun-eo
"profundegaĵo"-noun-eo "abime"-noun-fr
"senfundaĵo"-noun-eo "abime"-noun-fr
"détaché"-adjective-fr "indiferenta"-adjective-eo
"indiferenta"-adjective-eo "détaché"-adjective-fr
"indiferenta"-adjective-eo "blasé"-adjective-fr
"indiferenta"-adjective-eo "sans distinction"-adjective-fr
"indiferenta"-adjective-eo "sans importance"-adjective-fr
"abnegacio"-noun-eo "désintéressement"-noun-fr
"désintéressement"-noun-fr "abnegacio"-noun-eo
"abomena"-adjective-eo "répugnant"-adjective-fr
"répugnant"-adjective-fr "abomena"-adjective-eo
"répugnant"-adjective-fr "abomeninda"-adjective-eo
"abomeninda"-adjective-eo "répugnant"-adjective-fr
"abomeninde"-adverb-eo "affreusement"-adverb-fr
"affreusement"-adverb-fr "abomeninde"-adverb-eo
"affreusement"-adverb-fr "hide"-adverb-eo
"affreusement"-adverb-fr "horore"-adverb-eo
"affreusement"-adverb-fr "terure"-adverb-eo
"affreusement"-adverb-fr "timige"-adverb-eo
"hide"-adverb-eo "affreusement"-adverb-fr
"hide"-adverb-eo "hideusement"-adverb-fr
"horore"-adverb-eo "affreusement"-adverb-fr
"terure"-adverb-eo "affreusement"-adverb-fr
"terure"-adverb-eo "vachement"-adverb-fr
"timige"-adverb-eo "affreusement"-adverb-fr
"abonilo"-noun-eo "bulletin d'abonnement"-noun-fr
"bulletin d'abonnement"-noun-fr "abonilo"-noun-eo
"abortaĵo"-noun-eo "avorton"-noun-fr
"avorton"-noun-fr "abortaĵo"-noun-eo
"aborti"-verb-eo "capoter"-verb-fr
"aborti"-verb-eo "tourner court"-verb-fr
"capoter"-verb-fr "aborti"-verb-eo
"tourner court"-verb-fr "aborti"-verb-eo
"absciso"-noun-eo "coordonnée x"-noun-fr
"coordonnée x"-noun-fr "absciso"-noun-eo
"absolute"-adverb-eo "suprêmement"-adverb-fr
"suprêmement"-adverb-fr "absolute"-adverb-eo
"abstini"-verb-eo "faire abstinence"-verb-fr
"abstini"-verb-eo "faire maigre"-verb-fr
"faire abstinence"-verb-fr "abstini"-verb-eo
"faire maigre"-verb-fr "abstini"-verb-eo
"abstrakta"-adjective-eo "non-figuratif"-adjective-fr
"non-figuratif"-adjective-fr "abstrakta"-adjective-eo
"abstrakte"-adverb-eo "non-figurativement"-adverb-fr
"non-figurativement"-adverb-fr "abstrakte"-adverb-eo
"absurda"-adjective-eo "farfelu"-adjective-fr
"farfelu"-adjective-fr "absurda"-adjective-eo
"absurde"-adverb-eo "stupidement"-adverb-fr
"stupidement"-adverb-fr "absurde"-adverb-eo
"stupidement"-adverb-fr "stulte"-adverb-eo
"stulte"-adverb-eo "stupidement"-adverb-fr
"stulte"-adverb-eo "sottement"-adverb-fr
"abunda"-adjective-eo "fourni"-adjective-fr
"abunda"-adjective-eo "opulant"-adjective-fr
"fourni"-adjective-fr "abunda"-adjective-eo
"opulant"-adjective-fr "abunda"-adjective-eo
"abunde"-adverb-eo "plantureusement"-adverb-fr
"plantureusement"-adverb-fr "abunde"-adverb-eo
"abundeco"-noun-eo "foison"-noun-fr
"abundeco"-noun-eo "luxuriance"-noun-fr
"abundeco"-noun-eo "opulence"-noun-fr
"foison"-noun-fr "abundeco"-noun-eo
"foison"-noun-fr "abundo"-noun-eo
"luxuriance"-noun-fr "abundeco"-noun-eo
"luxuriance"-noun-fr "abundo"-noun-eo
"opulence"-noun-fr "abundeco"-noun-eo
"opulence"-noun-fr "abundo"-noun-eo
"abundo"-noun-eo "foison"-noun-fr
"abundo"-noun-eo "luxuriance"-noun-fr
"abundo"-noun-eo "opulence"-noun-fr
"abundi"-verb-eo "être plein"-verb-fr
"abundi"-verb-eo "montrer abondant"-verb-fr
"abundi"-verb-eo "regorger"-verb-fr
"être plein"-verb-fr "abundi"-verb-eo
"montrer abondant"-verb-fr "abundi"-verb-eo
"regorger"-verb-fr "abundi"-verb-eo
"aĉaĵo"-noun-eo "saloperie"-noun-fr
"saloperie"-noun-fr "aĉaĵo"-noun-eo
"Accenture"-properNoun-eo "Accenture"-properNoun-fr
"Accenture"-properNoun-fr "Accenture"-properNoun-eo
"Acer"-properNoun-eo "Acer"-properNoun-fr
"Acer"-properNoun-fr "Acer"-properNoun-eo
"acerbement"-adverb-fr "akre"-adverb-eo
"akre"-adverb-eo "acerbement"-adverb-fr
"akre"-adverb-eo "acidement"-adverb-fr
"acero"-noun-eo "érable"-noun-fr
"acero"-noun-eo "faux platane"-noun-fr
"acero"-noun-eo "sycomore"-noun-fr
"érable"-noun-fr "acero"-noun-eo
"faux platane"-noun-fr "acero"-noun-eo
"sycomore"-noun-fr "acero"-noun-eo
"sycomore"-noun-fr "sikomoro"-noun-eo
"sikomoro"-noun-eo "sycomore"-noun-fr
"aĉetebla"-adjective-eo "à vendre"-adjective-fr
"aĉetebla"-adjective-eo "achetable"-adjective-fr
"aĉetebla"-adjective-eo "en vente"-adjective-fr
"à vendre"-adjective-fr "aĉetebla"-adjective-eo
"achetable"-adjective-fr "aĉetebla"-adjective-eo
"en vente"-adjective-fr "aĉetebla"-adjective-eo
"aceto"-noun-eo "acide acétique"-noun-fr
"acide acétique"-noun-fr "aceto"-noun-eo
"acide"-adverb-eo "acidement"-adverb-fr
"acidement"-adverb-fr "akre"-adverb-eo
"acidement"-adverb-fr "acide"-adverb-eo
"Acoroj"-properNoun-eo "les Açores"-properNoun-fr
"les Açores"-properNoun-fr "Acoroj"-properNoun-eo
"ACS"-properNoun-eo "ACS"-properNoun-fr
"ACS"-properNoun-fr "ACS"-properNoun-eo
"adaĝo"-noun-eo "adagio"-noun-fr
"adagio"-noun-fr "adaĝo"-noun-eo
"adekvata"-adjective-eo "adapté"-adjective-fr
"adapté"-adjective-fr "adekvata"-adjective-eo
"adapté"-adjective-fr "konforma"-adjective-eo
"konforma"-adjective-eo "adapté"-adjective-fr
"adiaŭdiri"-verb-eo "dire adieu"-verb-fr
"adiaŭdiri"-verb-eo "faire ses adieux"-verb-fr
"adiaŭdiri"-verb-eo "prendre congé"-verb-fr
"dire adieu"-verb-fr "adiaŭdiri"-verb-eo
"faire ses adieux"-verb-fr "adiaŭdiri"-verb-eo
"prendre congé"-verb-fr "adiaŭdiri"-verb-eo
"adiciato"-noun-eo "nombre à ajouter"-noun-fr
"nombre à ajouter"-noun-fr "adiciato"-noun-eo
"adjudiko"-noun-eo "appel d'offres"-noun-fr
"adjudiko"-noun-eo "enchères"-noun-fr
"appel d'offres"-noun-fr "adjudiko"-noun-eo
"enchères"-noun-fr "adjudiko"-noun-eo
"adjutanto"-noun-eo "aide-de-camp"-noun-fr
"aide-de-camp"-noun-fr "adjutanto"-noun-eo
"admiralitato"-noun-eo "amirauté"-noun-fr
"amirauté"-noun-fr "admiralitato"-noun-eo
"admono"-noun-eo "mise en garde"-noun-fr
"admono"-noun-eo "réprimande"-noun-fr
"mise en garde"-noun-fr "admono"-noun-eo
"réprimande"-noun-fr "admono"-noun-eo
"réprimande"-noun-fr "riproĉo"-noun-eo
"riproĉo"-noun-eo "réprimande"-noun-fr
"riproĉo"-noun-eo "blâme"-noun-fr
"riproĉo"-noun-eo "remontrance"-noun-fr
"adresanto"-noun-eo "destinateur"-noun-fr
"destinateur"-noun-fr "adresanto"-noun-eo
"adresaro"-noun-eo "carnet d'adresses"-noun-fr
"carnet d'adresses"-noun-fr "adresaro"-noun-eo
"adulta"-adjective-eo "infidéle"-adjective-fr
"infidéle"-adjective-fr "adulta"-adjective-eo
"cocufiage"-noun-fr "adulto"-noun-eo
"adulto"-noun-eo "cocufiage"-noun-fr
"adultulo"-noun-eo "adultérin"-noun-fr
"adultulo"-noun-eo "homme adultère"-noun-fr
"adultulo"-noun-eo "femme adultère"-noun-fr
"adultérin"-noun-fr "adultulo"-noun-eo
"homme adultère"-noun-fr "adultulo"-noun-eo
"femme adultère"-noun-fr "adultulo"-noun-eo
"adverse"-adverb-eo "adversement"-adverb-fr
"adversement"-adverb-fr "adverse"-adverb-eo
"adzo"-noun-eo "asse"-noun-fr
"adzo"-noun-eo "erminette"-noun-fr
"asse"-noun-fr "adzo"-noun-eo
"erminette"-noun-fr "adzo"-noun-eo
"Aegon"-properNoun-eo "Aegon"-properNoun-fr
"Aegon"-properNoun-fr "Aegon"-properNoun-eo
"AEON"-properNoun-eo "AEON"-properNoun-fr
"AEON"-properNoun-fr "AEON"-properNoun-eo
"aera"-adjective-eo "d'air"-adjective-fr
"aera"-adjective-eo "inconsistant"-adjective-fr
"d'air"-adjective-fr "aera"-adjective-eo
"inconsistant"-adjective-fr "aera"-adjective-eo
"inconsistant"-adjective-fr "senenhava"-adjective-eo
"senenhava"-adjective-eo "inconsistant"-adjective-fr
"senenhava"-adjective-eo "creux"-adjective-fr
"aerodromo"-noun-eo "terrain d'aviation"-noun-fr
"terrain d'aviation"-noun-fr "aerodromo"-noun-eo
"aerofloto"-noun-eo "flotte aérienne"-noun-fr
"flotte aérienne"-noun-fr "aerofloto"-noun-eo
"flotte aérienne"-noun-fr "aviadilaro"-noun-eo
"aviadilaro"-noun-eo "flotte aérienne"-noun-fr
