"10a"-adjective-eo "Xème"-adjective-fr
"Xème"-adjective-fr "10a"-adjective-eo
"11a"-adjective-eo "XIème"-adjective-fr
"XIème"-adjective-fr "11a"-adjective-eo
"12a"-adjective-eo "XIIème"-adjective-fr
"XIIème"-adjective-fr "12a"-adjective-eo
"13a"-adjective-eo "XIIIème"-adjective-fr
"XIIIème"-adjective-fr "13a"-adjective-eo
"14a"-adjective-eo "XIVème"-adjective-fr
"XIVème"-adjective-fr "14a"-adjective-eo
"15a"-adjective-eo "XVème"-adjective-fr
"XVème"-adjective-fr "15a"-adjective-eo
"16a"-adjective-eo "XVIème"-adjective-fr
"XVIème"-adjective-fr "16a"-adjective-eo
"17a"-adjective-eo "XVIIème"-adjective-fr
"XVIIème"-adjective-fr "17a"-adjective-eo
"18a"-adjective-eo "XVIIIème"-adjective-fr
"XVIIIème"-adjective-fr "18a"-adjective-eo
"19a"-adjective-eo "XIXème"-adjective-fr
"XIXème"-adjective-fr "19a"-adjective-eo
"1a"-adjective-eo "1er"-adjective-fr
"1a"-adjective-eo "Ier"-adjective-fr
"1er"-adjective-fr "1a"-adjective-eo
"Ier"-adjective-fr "1a"-adjective-eo
"1a"-numeral-eo "I"-numeral-fr
"I"-numeral-fr "1a"-numeral-eo
"20a"-adjective-eo "XXème"-adjective-fr
"XXème"-adjective-fr "20a"-adjective-eo
"21a"-adjective-eo "XXIème"-adjective-fr
"XXIème"-adjective-fr "21a"-adjective-eo
"22a"-adjective-eo "XXIIème"-adjective-fr
"XXIIème"-adjective-fr "22a"-adjective-eo
"2a"-adjective-eo "2nd"-adjective-fr
"2a"-adjective-eo "IIème"-adjective-fr
"2nd"-adjective-fr "2a"-adjective-eo
"IIème"-adjective-fr "2a"-adjective-eo
"2a"-numeral-eo "II"-numeral-fr
"II"-numeral-fr "2a"-numeral-eo
"3a"-adjective-eo "IIIème"-adjective-fr
"IIIème"-adjective-fr "3a"-adjective-eo
"3a"-numeral-eo "III"-numeral-fr
"III"-numeral-fr "3a"-numeral-eo
"4a"-adjective-eo "IVème"-adjective-fr
"IVème"-adjective-fr "4a"-adjective-eo
"4a"-numeral-eo "IV"-numeral-fr
"IV"-numeral-fr "4a"-numeral-eo
"5a"-adjective-eo "Vème"-adjective-fr
"Vème"-adjective-fr "5a"-adjective-eo
"6a"-adjective-eo "VIème"-adjective-fr
"VIème"-adjective-fr "6a"-adjective-eo
"7a"-adjective-eo "VIIème"-adjective-fr
"VIIème"-adjective-fr "7a"-adjective-eo
"8a"-adjective-eo "VIIIème"-adjective-fr
"VIIIème"-adjective-fr "8a"-adjective-eo
"9a"-adjective-eo "IXème"-adjective-fr
"IXème"-adjective-fr "9a"-adjective-eo
","-comma-eo ","-comma-fr
","-comma-fr ","-comma-eo
"abako"-noun-eo "nomogramme"-noun-fr
"abako"-noun-eo "table"-noun-fr
"nomogramme"-noun-fr "abako"-noun-eo
"table"-noun-fr "abako"-noun-eo
"table"-noun-fr "tabulo"-noun-eo
"tabulo"-noun-eo "table"-noun-fr
"tabulo"-noun-eo "panneau"-noun-fr
"tabulo"-noun-eo "tableau"-noun-fr
"tabulo"-noun-eo "planche"-noun-fr
"abasido"-noun-eo "Abbasside"-noun-fr
"Abbasside"-noun-fr "abasido"-noun-eo
"Abaso"-properNoun-eo "Abbas"-properNoun-fr
"Abbas"-properNoun-fr "Abaso"-properNoun-eo
"abato"-noun-eo "abbesse"-noun-fr
"abbesse"-noun-fr "abato"-noun-eo
"abdiki"-verb-eo "démissionner"-verb-fr
"démissionner"-verb-fr "abdiki"-verb-eo
"abdiko"-noun-eo "abdication"-noun-fr
"abdiko"-noun-eo "démission"-noun-fr
"abdication"-noun-fr "abdiko"-noun-eo
"démission"-noun-fr "abdiko"-noun-eo
"démission"-noun-fr "demisio"-noun-eo
"demisio"-noun-eo "démission"-noun-fr
"abela"-adjective-eo "abélien"-adjective-fr
"abela"-adjective-eo "commutatif"-adjective-fr
"abélien"-adjective-fr "abela"-adjective-eo
"commutatif"-adjective-fr "abela"-adjective-eo
"abelejo"-noun-eo "rucher"-noun-fr
"rucher"-noun-fr "abelejo"-noun-eo
"abelisto"-noun-eo "apiculteur"-noun-fr
"apiculteur"-noun-fr "abelisto"-noun-eo
"Abelo"-properNoun-eo "Abel"-properNoun-fr
"Abel"-properNoun-fr "Abelo"-properNoun-eo
"reine"-noun-fr "kondukilo"-noun-eo
"reine"-noun-fr "reĝo"-noun-eo
"kondukilo"-noun-eo "reine"-noun-fr
"kondukilo"-noun-eo "conduite"-noun-fr
"kondukilo"-noun-eo "bride"-noun-fr
"kondukilo"-noun-eo "guide"-noun-fr
"kondukilo"-noun-eo "conduit"-noun-fr
"kondukilo"-noun-eo "conducteur"-noun-fr
"kondukilo"-noun-eo "rêne"-noun-fr
