"algun"-determiner-ca "certain"-determiner-fr
"certain"-determiner-fr "algun"-determiner-ca
"quelque"-determiner-fr "cert"-determiner-ca
"cert"-determiner-ca "quelque"-determiner-fr
"el teu"-determiner-ca "votre"-determiner-fr
"votre"-determiner-fr "el teu"-determiner-ca
"ton"-determiner-fr "el vostre"-determiner-ca
"el vostre"-determiner-ca "ton"-determiner-fr
"tothom"-pronoun-ca "tout"-pronoun-fr
"tout"-pronoun-fr "tothom"-pronoun-ca
"quelqu'un"-pronoun-fr "algun"-pronoun-ca
"algun"-pronoun-ca "quelqu'un"-pronoun-fr
"prèviament"-adverb-ca "antérieurement"-adverb-fr
"antérieurement"-adverb-fr "prèviament"-adverb-ca
"préalablement"-adverb-fr "anteriorment"-adverb-ca
"anteriorment"-adverb-ca "préalablement"-adverb-fr
"à la fois"-adverb-fr "a la vegada"-adverb-ca
"a la vegada"-adverb-ca "à la fois"-adverb-fr
"alhora"-adverb-ca "en même temps"-adverb-fr
"en même temps"-adverb-fr "alhora"-adverb-ca
"aproximadament"-adverb-ca "à peu près"-adverb-fr
"à peu près"-adverb-fr "aproximadament"-adverb-ca
"al voltant"-adverb-ca "alentour"-adverb-fr
"al voltant"-adverb-ca "aux alentours"-adverb-fr
"alentour"-adverb-fr "al voltant"-adverb-ca
"aux alentours"-adverb-fr "al voltant"-adverb-ca
"a la vora"-adverb-ca "auprès"-adverb-fr
"a la vora"-adverb-ca "à côté"-adverb-fr
"auprès"-adverb-fr "a la vora"-adverb-ca
"auprès"-adverb-fr "prop"-adverb-ca
"à côté"-adverb-fr "a la vora"-adverb-ca
"à côté"-adverb-fr "prop"-adverb-ca
"à côté"-adverb-fr "a prop"-adverb-ca
"prop"-adverb-ca "auprès"-adverb-fr
"prop"-adverb-ca "à côté"-adverb-fr
"a prop"-adverb-ca "à côté"-adverb-fr
"bientôt"-adverb-fr "d'hora"-adverb-ca
"d'hora"-adverb-ca "bientôt"-adverb-fr
"rapidement"-adverb-fr "de pressa"-adverb-ca
"de pressa"-adverb-ca "rapidement"-adverb-fr
"de pressa"-adverb-ca "promptement"-adverb-fr
