"Guida"-properNoun-fr "Guida"-properNoun-ca
"Guida"-properNoun-ca "Guida"-properNoun-fr
"apoptotique"-adjective-fr "apoptòtic"-adjective-ca
"apoptòtic"-adjective-ca "apoptotique"-adjective-fr
"athématique"-adjective-fr "atemàtic"-adjective-ca
"atemàtic"-adjective-ca "athématique"-adjective-fr
"Dentamaro"-noun-fr "Dentamaro"-noun-ca
"Dentamaro"-noun-fr "Dentamaro"-properNoun-ca
"Dentamaro"-noun-ca "Dentamaro"-noun-fr
"Dentamaro"-noun-ca "Dentamaro"-properNoun-fr
"Dentamaro"-properNoun-ca "Dentamaro"-noun-fr
"Dentamaro"-properNoun-ca "Dentamaro"-properNoun-fr
"Dentamaro"-properNoun-fr "Dentamaro"-noun-ca
"Dentamaro"-properNoun-fr "Dentamaro"-properNoun-ca
"France"-noun-fr "France"-noun-ca
"France"-noun-fr "France"-properNoun-ca
"France"-noun-ca "France"-noun-fr
"France"-properNoun-ca "France"-noun-fr
"apesanteur"-noun-fr "apesantor"-noun-ca
"apesantor"-noun-ca "apesanteur"-noun-fr
"Lussana"-noun-fr "Lussana"-noun-ca
"Lussana"-noun-fr "Lussana"-properNoun-ca
"Lussana"-noun-ca "Lussana"-noun-fr
"Lussana"-noun-ca "Lussana"-properNoun-fr
"Lussana"-properNoun-ca "Lussana"-noun-fr
"Lussana"-properNoun-ca "Lussana"-properNoun-fr
"Lussana"-properNoun-fr "Lussana"-noun-ca
"Lussana"-properNoun-fr "Lussana"-properNoun-ca
"Vignolo"-noun-fr "Vignolo"-noun-ca
"Vignolo"-noun-fr "Vignolo"-properNoun-ca
"Vignolo"-noun-ca "Vignolo"-noun-fr
"Vignolo"-noun-ca "Vignolo"-properNoun-fr
"Vignolo"-properNoun-ca "Vignolo"-noun-fr
"Vignolo"-properNoun-ca "Vignolo"-properNoun-fr
"Vignolo"-properNoun-fr "Vignolo"-noun-ca
"Vignolo"-properNoun-fr "Vignolo"-properNoun-ca
"Caccavale"-noun-fr "Caccavale"-noun-ca
"Caccavale"-noun-fr "Caccavale"-properNoun-ca
"Caccavale"-noun-ca "Caccavale"-noun-fr
"Caccavale"-noun-ca "Caccavale"-properNoun-fr
"Caccavale"-properNoun-ca "Caccavale"-noun-fr
"Caccavale"-properNoun-ca "Caccavale"-properNoun-fr
"Caccavale"-properNoun-fr "Caccavale"-noun-ca
"Caccavale"-properNoun-fr "Caccavale"-properNoun-ca
"Colli"-noun-fr "Colli"-noun-ca
"Colli"-noun-fr "Colli"-properNoun-ca
"Colli"-noun-ca "Colli"-noun-fr
"Colli"-noun-ca "Colli"-properNoun-fr
