"France"-noun-fr "França"-properNoun-ca
"França"-properNoun-ca "France"-noun-fr
"cultural"-adjective-fr "cultural"-adjective-ca
"cultural"-adjective-ca "cultural"-adjective-fr
"Thomasine"-properNoun-fr "Thomasine"-properNoun-ca
"Thomasine"-properNoun-ca "Thomasine"-properNoun-fr
"nosaltres"-pronoun-ca "nous on"-reflexivePersonalPronoun-fr
"nosaltres"-pronoun-ca "nous on"-pronoun-fr
"nous on"-reflexivePersonalPronoun-fr "nosaltres"-pronoun-ca
"nous on"-pronoun-fr "nosaltres"-pronoun-ca
"acostumar a"-verb-ca "habituer à"-verb-fr
"habituer à"-verb-fr "acostumar a"-verb-ca
"coofficialité"-noun-fr "cooficialitat"-noun-ca
"cooficialitat"-noun-ca "coofficialité"-noun-fr
"seigneurial"-adjective-fr "senyorial"-adjective-ca
"senyorial"-adjective-ca "seigneurial"-adjective-fr
"Isòvol"-properNoun-fr "Isòvol"-properNoun-ca
"Isòvol"-properNoun-ca "Isòvol"-properNoun-fr
"jeûner"-verb-fr "dejunar"-verb-ca
"dejunar"-verb-ca "jeûner"-verb-fr
"Segart"-properNoun-fr "Segart"-properNoun-ca
"Segart"-properNoun-ca "Segart"-properNoun-fr
"bobo"-noun-fr "pupa"-noun-ca
"pupa"-noun-ca "bobo"-noun-fr
"rameau"-noun-fr "ram"-noun-ca
"ram"-noun-ca "rameau"-noun-fr
"agregat"-noun-ca "agrégat"-noun-fr
"agrégat"-noun-fr "agregat"-noun-ca
"AutoCAD"-properNoun-fr "AutoCAD"-properNoun-ca
"AutoCAD"-properNoun-ca "AutoCAD"-properNoun-fr
"éminemment"-adverb-fr "eminentment"-adverb-ca
"eminentment"-adverb-ca "éminemment"-adverb-fr
"frôler"-verb-fr "fregar"-verb-ca
"fregar"-verb-ca "frôler"-verb-fr
"stimulus"-noun-fr "estímul"-noun-ca
"estímul"-noun-ca "stimulus"-noun-fr
"inusuel"-adjective-fr "inusual"-adjective-ca
"inusual"-adjective-ca "inusuel"-adjective-fr
"repatriació"-noun-ca "repatriation"-noun-fr
"repatriation"-noun-fr "repatriació"-noun-ca
"desviar"-verb-ca "dérouter"-verb-fr
"dérouter"-verb-fr "desviar"-verb-ca
"Forcall"-properNoun-fr "Forcall"-properNoun-ca
"Forcall"-properNoun-ca "Forcall"-properNoun-fr
"Audience nationale"-properNoun-fr "Audiència Nacional"-properNoun-ca
"Audiència Nacional"-properNoun-ca "Audience nationale"-properNoun-fr
"injectable"-adjective-fr "injectable"-adjective-ca
"injectable"-adjective-ca "injectable"-adjective-fr
"Bouchra"-properNoun-fr "Bouchra"-properNoun-ca
"Bouchra"-properNoun-ca "Bouchra"-properNoun-fr
"colloquial"-adjective-fr "col·loquial"-adjective-ca
"col·loquial"-adjective-ca "colloquial"-adjective-fr
"pite"-noun-fr "pita"-noun-ca
"pita"-noun-ca "pite"-noun-fr
"maquisard"-noun-fr "maqui"-noun-ca
"maqui"-noun-ca "maquisard"-noun-fr
"timbre-poste"-noun-fr "segell"-noun-ca
"segell"-noun-ca "timbre-poste"-noun-fr
"Anna"-properNoun-ca "Anna"-noun-fr
"Anna"-noun-fr "Anna"-properNoun-ca
"fregir"-verb-ca "faire frire"-verb-fr
"faire frire"-verb-fr "fregir"-verb-ca
"lineal"-adjective-ca "linéal"-adjective-fr
"linéal"-adjective-fr "lineal"-adjective-ca
"Israa"-properNoun-fr "Israa"-properNoun-ca
"Israa"-properNoun-ca "Israa"-properNoun-fr
"Aiguafreda"-properNoun-fr "Aiguafreda"-properNoun-ca
"Aiguafreda"-properNoun-ca "Aiguafreda"-properNoun-fr
"biophysique"-adjective-fr "biofísic"-adjective-ca
"biofísic"-adjective-ca "biophysique"-adjective-fr
"iconique"-adjective-fr "icònic"-adjective-ca
"icònic"-adjective-ca "iconique"-adjective-fr
"Palafrugell"-properNoun-fr "Palafrugell"-properNoun-ca
"Palafrugell"-properNoun-ca "Palafrugell"-properNoun-fr
"causatif"-adjective-fr "causatiu"-adjective-ca
"causatiu"-adjective-ca "causatif"-adjective-fr
"Sex Pistols"-properNoun-fr "Sex Pistols"-properNoun-ca
"Sex Pistols"-properNoun-ca "Sex Pistols"-properNoun-fr
