"quelque"-determiner-fr "unos cuantos"-determiner-es
"unos cuantos"-determiner-es "quelque"-determiner-fr
"à la fois"-adverb-fr "a la vegada"-adverb-es
"a la vegada"-adverb-es "à la fois"-adverb-fr
"pas du tout"-adverb-fr "nada"-adverb-es
"nada"-adverb-es "pas du tout"-adverb-fr
"entre-temps"-adverb-fr "entretanto"-adverb-es
"entretanto"-adverb-es "entre-temps"-adverb-fr
"actuellement"-adverb-fr "en la actualidad"-adverb-es
"en la actualidad"-adverb-es "actuellement"-adverb-fr
"en la actualidad"-adverb-es "à l'heure actuelle"-adverb-fr
"à l'heure actuelle"-adverb-fr "en la actualidad"-adverb-es
"systématiquement"-adverb-fr "por sistema"-adverb-es
"por sistema"-adverb-es "systématiquement"-adverb-fr
"ensemble"-adverb-fr "juntamente"-adverb-es
"juntamente"-adverb-es "ensemble"-adverb-fr
"juntamente"-adverb-es "de concert"-adverb-fr
"juntamente"-adverb-es "conjointement"-adverb-fr
"de concert"-adverb-fr "juntamente"-adverb-es
"conjointement"-adverb-fr "juntamente"-adverb-es
"agréablement"-adverb-fr "agradablemente"-adverb-es
"agradablemente"-adverb-es "agréablement"-adverb-fr
"à nouveau"-adverb-fr "de nuevo"-adverb-es
"de nuevo"-adverb-es "à nouveau"-adverb-fr
"de nuevo"-adverb-es "de nouveau"-adverb-fr
"de nouveau"-adverb-fr "de nuevo"-adverb-es
"a propósito"-adverb-es "expressément"-adverb-fr
"expressément"-adverb-fr "a propósito"-adverb-es
"usualmente"-adverb-es "habituellement"-adverb-fr
"habituellement"-adverb-fr "usualmente"-adverb-es
"généralement"-adverb-fr "por lo general"-adverb-es
"por lo general"-adverb-es "généralement"-adverb-fr
"complètement"-adverb-fr "por completo"-adverb-es
"por completo"-adverb-es "complètement"-adverb-fr
"extensamente"-adverb-es "largement"-adverb-fr
"largement"-adverb-fr "extensamente"-adverb-es
"avant"-adverb-fr "con anterioridad"-adverb-es
"con anterioridad"-adverb-es "avant"-adverb-fr
"con anterioridad"-adverb-es "préalablement"-adverb-fr
"con anterioridad"-adverb-es "antérieurement"-adverb-fr
"préalablement"-adverb-fr "con anterioridad"-adverb-es
"antérieurement"-adverb-fr "con anterioridad"-adverb-es
"devant"-adverb-fr "a la cabeza"-adverb-es
"a la cabeza"-adverb-es "devant"-adverb-fr
"con posterioridad"-adverb-es "postérieurement"-adverb-fr
"postérieurement"-adverb-fr "con posterioridad"-adverb-es
"postérieurement"-adverb-fr "más tarde"-adverb-es
"más tarde"-adverb-es "postérieurement"-adverb-fr
"simplement"-adverb-fr "lisa y llanamente"-adverb-es
"lisa y llanamente"-adverb-es "simplement"-adverb-fr
"pleinement"-adverb-fr "llenamente"-adverb-es
"pleinement"-adverb-fr "henchidamente"-adverb-es
"llenamente"-adverb-es "pleinement"-adverb-fr
"henchidamente"-adverb-es "pleinement"-adverb-fr
"enfin"-adverb-fr "al fin"-adverb-es
"al fin"-adverb-es "enfin"-adverb-fr
"doucement"-adverb-fr "suavemente"-adverb-es
"suavemente"-adverb-es "doucement"-adverb-fr
"près"-adverb-fr "al lado"-adverb-es
"al lado"-adverb-es "près"-adverb-fr
"comment"-adverb-fr "qué tal"-adverb-es
"qué tal"-adverb-es "comment"-adverb-fr
"lequel"-relativePronoun-fr "quien"-pronoun-es
"lequel"-relativePronoun-fr "que"-pronoun-es
"lequel"-relativePronoun-fr "el que"-pronoun-es
"lequel"-relativePronoun-fr "el cual"-pronoun-es
"lequel"-relativePronoun-fr "cual"-pronoun-es
"lequel"-relativePronoun-fr "a quién"-pronoun-es
"quien"-pronoun-es "lequel"-relativePronoun-fr
"quien"-pronoun-es "qui est-ce qui"-pronoun-fr
"quien"-pronoun-es "que"-relativePronoun-fr
"quien"-pronoun-es "que"-pronoun-fr
"quien"-pronoun-es "qui"-relativePronoun-fr
"quien"-pronoun-es "quel"-pronoun-fr
"quien"-pronoun-es "qui"-pronoun-fr
"que"-pronoun-es "lequel"-relativePronoun-fr
"que"-pronoun-es "qui est-ce qui"-pronoun-fr
"que"-pronoun-es "que"-relativePronoun-fr
"que"-pronoun-es "que"-pronoun-fr
"que"-pronoun-es "qui"-relativePronoun-fr
"que"-pronoun-es "quel"-pronoun-fr
"que"-pronoun-es "qui"-pronoun-fr
"el que"-pronoun-es "lequel"-relativePronoun-fr
"el que"-pronoun-es "qui est-ce qui"-pronoun-fr
"el que"-pronoun-es "que"-relativePronoun-fr
"el que"-pronoun-es "que"-pronoun-fr
"el que"-pronoun-es "qui"-relativePronoun-fr
"el que"-pronoun-es "quel"-pronoun-fr
"el que"-pronoun-es "qui"-pronoun-fr
"el cual"-pronoun-es "lequel"-relativePronoun-fr
"el cual"-pronoun-es "qui est-ce qui"-pronoun-fr
"el cual"-pronoun-es "que"-relativePronoun-fr
"el cual"-pronoun-es "que"-pronoun-fr
"el cual"-pronoun-es "qui"-relativePronoun-fr
"el cual"-pronoun-es "quel"-pronoun-fr
"el cual"-pronoun-es "qui"-pronoun-fr
"cual"-pronoun-es "lequel"-relativePronoun-fr
"cual"-pronoun-es "qui est-ce qui"-pronoun-fr
"cual"-pronoun-es "que"-relativePronoun-fr
"cual"-pronoun-es "que"-pronoun-fr
"cual"-pronoun-es "qui"-relativePronoun-fr
"cual"-pronoun-es "quel"-pronoun-fr
"cual"-pronoun-es "qui"-pronoun-fr
"a quién"-pronoun-es "lequel"-relativePronoun-fr
"a quién"-pronoun-es "qui est-ce qui"-pronoun-fr
