"Hermes"-properNoun-fr "Hermes"-properNoun-es
"Hermes"-properNoun-es "Hermes"-properNoun-fr
"notification légale"-noun-fr "aviso legal"-noun-es
"aviso legal"-noun-es "notification légale"-noun-fr
"américain"-noun-fr "americano"-noun-es
"americano"-noun-es "américain"-noun-fr
"Isocrate"-properNoun-fr "Isócrates"-properNoun-es
"Isócrates"-properNoun-es "Isocrate"-properNoun-fr
"Aldecoa"-properNoun-fr "Aldecoa"-properNoun-es
"Aldecoa"-properNoun-es "Aldecoa"-properNoun-fr
"Oñati"-properNoun-fr "Oñati"-properNoun-es
"Oñati"-properNoun-es "Oñati"-properNoun-fr
"Bera"-properNoun-fr "Bera"-properNoun-es
"Bera"-properNoun-es "Bera"-properNoun-fr
"L'Hospitalet de Llobregat"-properNoun-fr "L'Hospitalet de Llobregat"-properNoun-es
"L'Hospitalet de Llobregat"-properNoun-es "L'Hospitalet de Llobregat"-properNoun-fr
"Sierra Morena"-properNoun-fr "Sierra Morena"-properNoun-es
"Sierra Morena"-properNoun-es "Sierra Morena"-properNoun-fr
"dès lors"-adverb-fr "desde entonces"-adverb-es
"desde entonces"-adverb-es "dès lors"-adverb-fr
"Banque Internationale pour la Reconstruction et le Développement"-properNoun-fr "Banco Internacional de Reconstrucción y Fomento"-properNoun-es
"Banco Internacional de Reconstrucción y Fomento"-properNoun-es "Banque Internationale pour la Reconstruction et le Développement"-properNoun-fr
"de guérilleros"-adjective-fr "guerrillero"-adjective-es
"guerrillero"-adjective-es "de guérilleros"-adjective-fr
"par ordre de"-preposition-fr "por orden de"-preposition-es
"por orden de"-preposition-es "par ordre de"-preposition-fr
"Urcabal"-properNoun-fr "Urcabal"-properNoun-es
"Urcabal"-properNoun-es "Urcabal"-properNoun-fr
"chorégraphier"-verb-fr "coreografiar"-verb-es
"coreografiar"-verb-es "chorégraphier"-verb-fr
"trámite"-noun-es "démarches"-noun-fr
"démarches"-noun-fr "trámite"-noun-es
"chalutier"-noun-fr "trainera"-noun-es
"trainera"-noun-es "chalutier"-noun-fr
"trainera"-noun-es "trainera"-noun-fr
"trainera"-noun-fr "trainera"-noun-es
