"avoir l'habitude de"-verb-fr "soler"-verb-es
"soler"-verb-es "avoir l'habitude de"-verb-fr
"IX"-numeral-fr "IX"-numeral-es
"IX"-numeral-es "IX"-numeral-fr
"intensification"-noun-fr "intensificación"-noun-es
"intensificación"-noun-es "intensification"-noun-fr
"caricaturer"-verb-fr "caricaturizar"-verb-es
"caricaturizar"-verb-es "caricaturer"-verb-fr
"coopérateur"-noun-fr "cooperador"-noun-es
"cooperador"-noun-es "coopérateur"-noun-fr
"énième"-adjective-fr "enésimo"-adjective-es
"enésimo"-adjective-es "énième"-adjective-fr
"consommer"-verb-fr "consumir"-verb-es
"consumir"-verb-es "consommer"-verb-fr
"Illarramendi"-properNoun-fr "Illarramendi"-properNoun-es
"Illarramendi"-properNoun-es "Illarramendi"-properNoun-fr
"étouffer"-verb-fr "asfixiar"-verb-es
"asfixiar"-verb-es "étouffer"-verb-fr
"Acevedo"-properNoun-fr "Acevedo"-properNoun-es
"Acevedo"-properNoun-es "Acevedo"-properNoun-fr
"veau"-noun-fr "ternera"-noun-es
"ternera"-noun-es "veau"-noun-fr
"bimensuel"-adjective-fr "quincenal"-adjective-es
"quincenal"-adjective-es "bimensuel"-adjective-fr
"constater"-verb-fr "constatar"-verb-es
"constatar"-verb-es "constater"-verb-fr
"actuariel"-adjective-fr "actuarial"-adjective-es
"actuarial"-adjective-es "actuariel"-adjective-fr
"Garaizar"-properNoun-fr "Garaizar"-properNoun-es
"Garaizar"-properNoun-es "Garaizar"-properNoun-fr
"rapatriement"-noun-fr "repatriación"-noun-es
"repatriación"-noun-es "rapatriement"-noun-fr
"indigent"-noun-fr "indigente"-noun-es
"indigente"-noun-es "indigent"-noun-fr
"dévier"-verb-fr "desviar"-verb-es
"desviar"-verb-es "dévier"-verb-fr
"desviar"-verb-es "détourner"-verb-fr
"desviar"-verb-es "infléchir"-verb-fr
"détourner"-verb-fr "desviar"-verb-es
"infléchir"-verb-fr "desviar"-verb-es
"Aibar"-properNoun-fr "Aibar"-properNoun-es
"Aibar"-properNoun-es "Aibar"-properNoun-fr
"criminaliser"-verb-fr "criminalizar"-verb-es
"criminalizar"-verb-es "criminaliser"-verb-fr
"pertinence"-noun-fr "idoneidad"-noun-es
"pertinence"-noun-fr "conveniencia"-noun-es
"idoneidad"-noun-es "pertinence"-noun-fr
"conveniencia"-noun-es "pertinence"-noun-fr
"métaphysique"-adjective-fr "metafísico"-adjective-es
"metafísico"-adjective-es "métaphysique"-adjective-fr
"aliénation"-noun-fr "enajenación"-noun-es
"aliénation"-noun-fr "alienación"-noun-es
"enajenación"-noun-es "aliénation"-noun-fr
"alienación"-noun-es "aliénation"-noun-fr
"espacer"-verb-fr "espaciar"-verb-es
"espaciar"-verb-es "espacer"-verb-fr
"mettre à jour"-verb-fr "actualizar"-verb-es
"actualizar"-verb-es "mettre à jour"-verb-fr
"actualizar"-verb-es "actualiser"-verb-fr
"actualiser"-verb-fr "actualizar"-verb-es
"clic"-noun-fr "clic"-noun-es
"clic"-noun-es "clic"-noun-fr
