"tanmateix"-adverb-ca "pasmens"-adverb-oc
"pasmens"-adverb-oc "tanmateix"-adverb-ca
"ara"-adverb-oc "ara"-adverb-ca
"ara"-adverb-ca "ara"-adverb-oc
"sobtadament"-adverb-ca "sobtament"-adverb-oc
"sobtament"-adverb-oc "sobtadament"-adverb-ca
"d'ara endavant"-adverb-ca "desenant"-adverb-oc
"desenant"-adverb-oc "d'ara endavant"-adverb-ca
"que"-relativePronoun-oc "que"-relativePronoun-ca
"que"-relativePronoun-ca "que"-relativePronoun-oc
"li"-pronoun-oc "li"-pronoun-ca
"li"-pronoun-ca "li"-pronoun-oc
"jo"-pronoun-oc "mi"-pronoun-ca
"mi"-pronoun-ca "jo"-pronoun-oc
"tu"-pronoun-oc "tu"-pronoun-ca
"tu"-pronoun-ca "tu"-pronoun-oc
"a"-preposition-ca "a"-preposition-oc
"a"-preposition-ca "en"-preposition-oc
"a"-preposition-oc "a"-preposition-ca
"en"-preposition-oc "a"-preposition-ca
"en"-preposition-oc "en"-preposition-ca
"en"-preposition-ca "en"-preposition-oc
"de"-preposition-ca "de"-preposition-oc
"de"-preposition-oc "de"-preposition-ca
"en contra de"-preposition-ca "contra"-preposition-oc
"contra"-preposition-oc "en contra de"-preposition-ca
"gris"-adjective-oc "gris"-adjective-ca
"gris"-adjective-ca "gris"-adjective-oc
"dictar"-verb-oc "dictar"-verb-ca
"dictar"-verb-ca "dictar"-verb-oc
"complicar"-verb-oc "complicar"-verb-ca
"complicar"-verb-ca "complicar"-verb-oc
"perfeccionar"-verb-oc "perfeccionar"-verb-ca
"perfeccionar"-verb-ca "perfeccionar"-verb-oc
"unificar"-verb-oc "unificar"-verb-ca
"unificar"-verb-ca "unificar"-verb-oc
"saber"-verb-oc "saber"-verb-ca
"saber"-verb-ca "saber"-verb-oc
"auxiliar"-verb-oc "ajudar"-verb-ca
"auxiliar"-verb-oc "auxiliar"-verb-ca
"ajudar"-verb-ca "auxiliar"-verb-oc
"ajudar"-verb-ca "ajudar"-verb-oc
"auxiliar"-verb-ca "auxiliar"-verb-oc
"auxiliar"-verb-ca "ajudar"-verb-oc
"ajudar"-verb-oc "ajudar"-verb-ca
"ajudar"-verb-oc "auxiliar"-verb-ca
"catalogar"-verb-oc "catalogar"-verb-ca
"catalogar"-verb-ca "catalogar"-verb-oc
"afirmatiu"-adjective-ca "afirmatiu"-adjective-oc
"afirmatiu"-adjective-oc "afirmatiu"-adjective-ca
"patrocinar"-verb-oc "patrocinar"-verb-ca
"patrocinar"-verb-ca "patrocinar"-verb-oc
"consistir"-verb-oc "consistir"-verb-ca
"consistir"-verb-ca "consistir"-verb-oc
"importar"-verb-oc "importar"-verb-ca
"importar"-verb-ca "importar"-verb-oc
"inaugurar"-verb-oc "inaugurar"-verb-ca
"inaugurar"-verb-ca "inaugurar"-verb-oc
"interpretar"-verb-oc "interpretar"-verb-ca
"interpretar"-verb-ca "interpretar"-verb-oc
"restablir"-verb-oc "restablir"-verb-ca
"restablir"-verb-ca "restablir"-verb-oc
"crear"-verb-oc "crear"-verb-ca
"crear"-verb-ca "crear"-verb-oc
"intensiu"-adjective-oc "intensiu"-adjective-ca
"intensiu"-adjective-ca "intensiu"-adjective-oc
"progressiu"-adjective-oc "progressiu"-adjective-ca
"progressiu"-adjective-ca "progressiu"-adjective-oc
"equipar"-verb-oc "equipar"-verb-ca
"equipar"-verb-ca "equipar"-verb-oc
"motor"-noun-oc "motor"-noun-ca
"motor"-noun-ca "motor"-noun-oc
"activitat"-noun-oc "activitat"-noun-ca
"activitat"-noun-ca "activitat"-noun-oc
"crisi"-noun-oc "crisi"-noun-ca
"crisi"-noun-ca "crisi"-noun-oc
"fotografia"-noun-oc "fotografia"-noun-ca
"fotografia"-noun-ca "fotografia"-noun-oc
"sentida"-noun-oc "olfacte"-noun-ca
"olfacte"-noun-ca "sentida"-noun-oc
"olfacte"-noun-ca "flaire"-noun-oc
"flaire"-noun-oc "olfacte"-noun-ca
"retaule"-noun-oc "retaule"-noun-ca
"retaule"-noun-ca "retaule"-noun-oc
"delicte"-noun-oc "delicte"-noun-ca
"delicte"-noun-ca "delicte"-noun-oc
"mina"-noun-oc "mina"-noun-ca
"mina"-noun-ca "mina"-noun-oc
"universitat"-noun-oc "universitat"-noun-ca
"universitat"-noun-ca "universitat"-noun-oc
"productor"-noun-oc "productor"-noun-ca
"productor"-noun-ca "productor"-noun-oc
"dopatge"-noun-ca "dopatge"-noun-oc
"dopatge"-noun-oc "dopatge"-noun-ca
"biga"-noun-oc "biga"-noun-ca
"biga"-noun-ca "biga"-noun-oc
"amplària"-noun-ca "amplada"-noun-oc
"amplada"-noun-oc "amplària"-noun-ca
"amplada"-noun-oc "amplada"-noun-ca
"amplada"-noun-ca "amplada"-noun-oc
"anterioritat"-noun-oc "anterioritat"-noun-ca
"anterioritat"-noun-ca "anterioritat"-noun-oc
"agricultura"-noun-oc "agricultura"-noun-ca
"agricultura"-noun-ca "agricultura"-noun-oc
"cultura"-noun-oc "cultura"-noun-ca
"cultura"-noun-ca "cultura"-noun-oc
"realitat"-noun-oc "realitat"-noun-ca
"realitat"-noun-ca "realitat"-noun-oc
"monument"-noun-oc "monument"-noun-ca
"monument"-noun-ca "monument"-noun-oc
"memòria"-noun-oc "memòria"-noun-ca
"memòria"-noun-ca "memòria"-noun-oc
"pes"-noun-oc "pes"-noun-ca
"pes"-noun-ca "pes"-noun-oc
"art"-noun-oc "art"-noun-ca
"art"-noun-ca "art"-noun-oc
"actualitat"-noun-ca "actualitat"-noun-oc
"actualitat"-noun-oc "actualitat"-noun-ca
"incendi"-noun-oc "incendi"-noun-ca
"incendi"-noun-ca "incendi"-noun-oc
"granit"-noun-ca "granit"-noun-oc
"granit"-noun-oc "granit"-noun-ca
