"a càrrec de"-preposition-ca "a la carga de"-preposition-oc
"a la carga de"-preposition-oc "a càrrec de"-preposition-ca
"a petició de"-preposition-ca "ara demanda de"-preposition-oc
"ara demanda de"-preposition-oc "a petició de"-preposition-ca
"excepte"-preposition-ca "a excepcion de"-preposition-oc
"a excepcion de"-preposition-oc "excepte"-preposition-ca
"en ocasió de"-preposition-ca "ena escadença de"-preposition-oc
"en ocasió de"-preposition-ca "en ocasion de"-preposition-oc
"en ocasió de"-preposition-ca "damb ocasion de"-preposition-oc
"en ocasió de"-preposition-ca "damb era ocasion de"-preposition-oc
"ena escadença de"-preposition-oc "en ocasió de"-preposition-ca
"en ocasion de"-preposition-oc "en ocasió de"-preposition-ca
"damb ocasion de"-preposition-oc "en ocasió de"-preposition-ca
"damb era ocasion de"-preposition-oc "en ocasió de"-preposition-ca
"fins a"-preposition-ca "d'aquí a"-preposition-oc
"d'aquí a"-preposition-oc "fins a"-preposition-ca
"i"-adverb-oc "hi"-pronoun-ca
"hi"-pronoun-ca "i"-adverb-oc
"hi"-pronoun-ca "lai"-pronoun-oc
"hi"-pronoun-ca "çai"-pronoun-oc
"lai"-pronoun-oc "hi"-pronoun-ca
"çai"-pronoun-oc "hi"-pronoun-ca
"el que"-relativePronoun-ca "eth que"-relativePronoun-oc
"eth que"-relativePronoun-oc "el que"-relativePronoun-ca
"vegada"-noun-ca "vetz"-noun-oc
"vetz"-noun-oc "vegada"-noun-ca
"sort"-noun-ca "astrada"-noun-oc
"sort"-noun-ca "chança"-noun-oc
"astrada"-noun-oc "sort"-noun-ca
"chança"-noun-oc "sort"-noun-ca
"tornada"-noun-ca "recorson"-noun-oc
"recorson"-noun-oc "tornada"-noun-ca
"fel"-noun-ca "hèu"-noun-oc
"hèu"-noun-oc "fel"-noun-ca
"estada"-noun-ca "estada"-noun-oc
"estada"-noun-oc "estada"-noun-ca
"trimestre"-noun-ca "trimesadèr"-noun-oc
"trimesadèr"-noun-oc "trimestre"-noun-ca
"recompte"-noun-ca "recompte"-noun-oc
"recompte"-noun-oc "recompte"-noun-ca
"ultratge"-noun-ca "oltratge"-noun-oc
"oltratge"-noun-oc "ultratge"-noun-ca
"nit"-noun-ca "nuòch"-noun-oc
"nuòch"-noun-oc "nit"-noun-ca
"por"-noun-ca "páur"-noun-oc
"páur"-noun-oc "por"-noun-ca
"pinta"-noun-ca "piente"-noun-oc
"pinta"-noun-ca "pientòla"-noun-oc
"piente"-noun-oc "pinta"-noun-ca
"pientòla"-noun-oc "pinta"-noun-ca
"infant"-noun-ca "manit"-noun-oc
"manit"-noun-oc "infant"-noun-ca
"brutícia"-noun-ca "brutitge"-noun-oc
"brutitge"-noun-oc "brutícia"-noun-ca
"pessebre"-noun-ca "presèp"-noun-oc
"presèp"-noun-oc "pessebre"-noun-ca
"espurna"-noun-ca "bua"-noun-oc
"espurna"-noun-ca "bualh"-noun-oc
"espurna"-noun-ca "buarla"-noun-oc
"espurna"-noun-ca "esperla"-noun-oc
