"cuando"-relativePronoun-es "quan"-relativePronoun-oc
"quan"-relativePronoun-oc "cuando"-relativePronoun-es
"a pesar de"-preposition-es "a despièch de"-preposition-oc
"a despièch de"-preposition-oc "a pesar de"-preposition-es
"desde"-preposition-es "des de"-preposition-oc
"des de"-preposition-oc "desde"-preposition-es
"cuarenta y dos"-numeral-es "seishanta dos"-numeral-oc
"seishanta dos"-numeral-oc "cuarenta y dos"-numeral-es
"cincuenta y dos"-numeral-es "nauanta dos"-numeral-oc
"nauanta dos"-numeral-oc "cincuenta y dos"-numeral-es
"convenio"-noun-es "conveni"-noun-oc
"conveni"-noun-oc "convenio"-noun-es
"enmienda"-noun-es "esmena"-noun-oc
"esmena"-noun-oc "enmienda"-noun-es
"esmena"-noun-oc "subsanación"-noun-es
"electrodoméstico"-noun-es "estic"-noun-oc
"estic"-noun-oc "electrodoméstico"-noun-es
"entrenamiento"-noun-es "entrenament"-noun-oc
"entrenament"-noun-oc "entrenamiento"-noun-es
"octubre"-noun-es "octubre"-noun-oc
"octubre"-noun-oc "octubre"-noun-es
"plazo"-noun-es "termini"-noun-oc
"plazo"-noun-es "plaç"-noun-oc
"termini"-noun-oc "plazo"-noun-es
"plaç"-noun-oc "plazo"-noun-es
"romería"-noun-es "romeria"-noun-oc
"romeria"-noun-oc "romería"-noun-es
"tía"-noun-es "tia"-noun-oc
"tia"-noun-oc "tía"-noun-es
"temporada"-noun-es "temporada"-noun-oc
"temporada"-noun-oc "temporada"-noun-es
"seriedad"-noun-es "seriositat"-noun-oc
"seriositat"-noun-oc "seriedad"-noun-es
"madre"-noun-es "mare"-noun-oc
"mare"-noun-oc "madre"-noun-es
"mayoría"-noun-es "majoria"-noun-oc
"majoria"-noun-oc "mayoría"-noun-es
"igualdad"-noun-es "igualtat"-noun-oc
"igualtat"-noun-oc "igualdad"-noun-es
"agua"-noun-es "aigua"-noun-oc
"aigua"-noun-oc "agua"-noun-es
"anchoa"-noun-es "anxova"-noun-oc
"anxova"-noun-oc "anchoa"-noun-es
"éxito"-noun-es "èxit"-noun-oc
"èxit"-noun-oc "éxito"-noun-es
"carretera"-noun-es "carretera"-noun-oc
"carretera"-noun-oc "carretera"-noun-es
"descenso"-noun-es "descens"-noun-oc
"descens"-noun-oc "descenso"-noun-es
"equipo"-noun-es "equip"-noun-oc
"equip"-noun-oc "equipo"-noun-es
"guerra"-noun-es "guerra"-noun-oc
"guerra"-noun-oc "guerra"-noun-es
"pasarela"-noun-es "palanca"-noun-oc
"palanca"-noun-oc "pasarela"-noun-es
"aula"-noun-es "aula"-noun-oc
"aula"-noun-oc "aula"-noun-es
"toponimia"-noun-es "toponímia"-noun-oc
"toponímia"-noun-oc "toponimia"-noun-es
"piso"-noun-es "pis"-noun-oc
"pis"-noun-oc "piso"-noun-es
"certamen"-noun-es "certamen"-noun-oc
"certamen"-noun-oc "certamen"-noun-es
"cruz"-noun-es "creu"-noun-oc
"creu"-noun-oc "cruz"-noun-es
"estrecho"-noun-es "estret"-noun-oc
"estret"-noun-oc "estrecho"-noun-es
"gusto"-noun-es "gust"-noun-oc
"gust"-noun-oc "gusto"-noun-es
"entrega"-noun-es "entrega"-noun-oc
"entrega"-noun-oc "entrega"-noun-es
"red"-noun-es "xarxa"-noun-oc
"xarxa"-noun-oc "red"-noun-es
"pezuña"-noun-es "peülla"-noun-oc
"peülla"-noun-oc "pezuña"-noun-es
"rebaño"-noun-es "ramat"-noun-oc
"ramat"-noun-oc "rebaño"-noun-es
"validez"-noun-es "validesa"-noun-oc
"validesa"-noun-oc "validez"-noun-es
"acceso"-noun-es "accés"-noun-oc
"accés"-noun-oc "acceso"-noun-es
"ganadero"-noun-es "ramader"-noun-oc
"ramader"-noun-oc "ganadero"-noun-es
"pensionista"-noun-es "pensionista"-noun-oc
"pensionista"-noun-oc "pensionista"-noun-es
"quinto"-adjective-es "cincau"-adjective-oc
"cincau"-adjective-oc "quinto"-adjective-es
"segundo"-adjective-es "dosen"-adjective-oc
"dosen"-adjective-oc "segundo"-adjective-es
"décimo"-adjective-es "detau"-adjective-oc
"detau"-adjective-oc "décimo"-adjective-es
"entero"-adjective-es "sencer"-adjective-oc
"sencer"-adjective-oc "entero"-adjective-es
"angosto"-adjective-es "estret"-adjective-oc
"estret"-adjective-oc "angosto"-adjective-es
"estret"-adjective-oc "estrecho"-adjective-es
"estrecho"-adjective-es "estret"-adjective-oc
"gratuito"-adjective-es "gratuït"-adjective-oc
"gratuït"-adjective-oc "gratuito"-adjective-es
"octavo"-adjective-es "oiten"-adjective-oc
"oiten"-adjective-oc "octavo"-adjective-es
