"en plaça de"-preposition-oc "à la place de"-preposition-fr
"à la place de"-preposition-fr "en plaça de"-preposition-oc
"i"-pronoun-oc "y"-adverb-fr
"y"-adverb-fr "i"-pronoun-oc
"qué"-pronoun-oc "qué"-pronoun-fr
"qué"-pronoun-fr "qué"-pronoun-oc
"mantun"-determiner-oc "maint"-determiner-fr
"maint"-determiner-fr "mantun"-determiner-oc
"mantun"-pronoun-oc "maint"-pronoun-fr
"maint"-pronoun-fr "mantun"-pronoun-oc
"setanta un"-numeral-oc "soixante et onze"-numeral-fr
"soixante et onze"-numeral-fr "setanta un"-numeral-oc
"dos cents"-numeral-oc "deux-cent"-numeral-fr
"deux-cent"-numeral-fr "dos cents"-numeral-oc
"tres cents"-numeral-oc "trois-cent"-numeral-fr
"trois-cent"-numeral-fr "tres cents"-numeral-oc
"quatre cents"-numeral-oc "quatre-cent"-numeral-fr
"quatre-cent"-numeral-fr "quatre cents"-numeral-oc
"cinc cents"-numeral-oc "cinq-cent"-numeral-fr
"cinq-cent"-numeral-fr "cinc cents"-numeral-oc
"sièis cents"-numeral-oc "six-cent"-numeral-fr
"six-cent"-numeral-fr "sièis cents"-numeral-oc
"sèt cents"-numeral-oc "sept-cent"-numeral-fr
"sept-cent"-numeral-fr "sèt cents"-numeral-oc
"uèch cents"-numeral-oc "huit-cent"-numeral-fr
"huit-cent"-numeral-fr "uèch cents"-numeral-oc
"huit-cent"-numeral-fr "uèit cents"-numeral-oc
"uèit cents"-numeral-oc "huit-cent"-numeral-fr
"nòu cents"-numeral-oc "neuf-cent"-numeral-fr
"neuf-cent"-numeral-fr "nòu cents"-numeral-oc
"neuf-cent"-numeral-fr "nau cents"-numeral-oc
"nau cents"-numeral-oc "neuf-cent"-numeral-fr
"Jacint"-properNoun-oc "Jacint"-properNoun-fr
"Jacint"-properNoun-fr "Jacint"-properNoun-oc
"bòsc"-noun-oc "futaie"-noun-fr
"futaie"-noun-fr "bòsc"-noun-oc
"capelan"-noun-oc "capelan"-noun-fr
"capelan"-noun-fr "capelan"-noun-oc
"divertiment"-noun-oc "distraccion"-noun-fr
"distraccion"-noun-fr "divertiment"-noun-oc
"estanh"-noun-oc "étain"-noun-fr
"étain"-noun-fr "estanh"-noun-oc
"e-mail"-noun-oc "mel"-noun-fr
"mel"-noun-fr "e-mail"-noun-oc
"maset"-noun-oc "mazet"-noun-fr
"mazet"-noun-fr "maset"-noun-oc
"quatrin"-noun-oc "quatrain"-noun-fr
"quatrain"-noun-fr "quatrin"-noun-oc
"tamborèu"-noun-oc "tombereau"-noun-fr
"tombereau"-noun-fr "tamborèu"-noun-oc
"tricòt"-noun-oc "tricot"-noun-fr
"tricot"-noun-fr "tricòt"-noun-oc
"nud"-noun-oc "nu"-noun-fr
"nu"-noun-fr "nud"-noun-oc
"atencion"-interjection-oc "attention"-interjection-fr
"attention"-interjection-fr "atencion"-interjection-oc
"reorganizacion"-noun-oc "reorganization"-noun-fr
"reorganization"-noun-fr "reorganizacion"-noun-oc
"normativizacion"-noun-oc "normativisation"-noun-fr
"normativisation"-noun-fr "normativizacion"-noun-oc
"esterilitat"-noun-oc "sterilité"-noun-fr
"sterilité"-noun-fr "esterilitat"-noun-oc
"dialectica"-noun-oc "dialéctique"-noun-fr
"dialéctique"-noun-fr "dialectica"-noun-oc
"aranha"-noun-oc "vive"-noun-fr
"vive"-noun-fr "aranha"-noun-oc
"balança"-noun-oc "truble"-noun-fr
"truble"-noun-fr "balança"-noun-oc
"bestiole"-noun-fr "babau"-noun-oc
"babau"-noun-oc "bestiole"-noun-fr
"biga"-noun-oc "bigue"-noun-fr
"bigue"-noun-fr "biga"-noun-oc
"capa"-noun-oc "chape"-noun-fr
"chape"-noun-fr "capa"-noun-oc
"cara"-noun-oc "chère"-noun-fr
"chère"-noun-fr "cara"-noun-oc
"filmotèca"-noun-oc "filmothèque"-noun-fr
"filmothèque"-noun-fr "filmotèca"-noun-oc
"formiga"-noun-oc "formica"-noun-fr
"formica"-noun-fr "formiga"-noun-oc
"formica"-noun-fr "hormiga"-noun-oc
"hormiga"-noun-oc "formica"-noun-fr
"majorana"-noun-oc "marjolaine"-noun-fr
"marjolaine"-noun-fr "majorana"-noun-oc
"paissièira"-noun-oc "vivier"-noun-fr
"vivier"-noun-fr "paissièira"-noun-oc
"parpèla"-noun-oc "chassie"-noun-fr
"chassie"-noun-fr "parpèla"-noun-oc
"postura"-noun-oc "posture"-noun-fr
"posture"-noun-fr "postura"-noun-oc
"brot"-noun-oc "brout"-noun-fr
"brout"-noun-fr "brot"-noun-oc
"entèsta"-noun-oc "en-tête"-noun-fr
"en-tête"-noun-fr "entèsta"-noun-oc
"morre"-noun-oc "groin"-noun-fr
"groin"-noun-fr "morre"-noun-oc
"manjar"-noun-oc "manger"-noun-fr
"manger"-noun-fr "manjar"-noun-oc
"manger"-noun-fr "minjar"-noun-oc
"minjar"-noun-oc "manger"-noun-fr
"penon"-noun-oc "peton"-noun-fr
"peton"-noun-fr "penon"-noun-oc
"net"-noun-oc "propre"-noun-fr
"propre"-noun-fr "net"-noun-oc
"malentendut"-noun-oc "quiproquo"-noun-fr
"quiproquo"-noun-fr "malentendut"-noun-oc
"arriu"-noun-oc "arroyo"-noun-fr
"arroyo"-noun-fr "arriu"-noun-oc
"espirala"-noun-oc "spire"-noun-fr
"spire"-noun-fr "espirala"-noun-oc
"pèl"-noun-oc "zeste"-noun-fr
"zeste"-noun-fr "pèl"-noun-oc
"baile"-noun-oc "marguillier"-noun-fr
"marguillier"-noun-fr "baile"-noun-oc
"aurièra"-noun-oc "orée"-noun-fr
"orée"-noun-fr "aurièra"-noun-oc
"abestit"-adjective-oc "abruti"-adjective-fr
"abruti"-adjective-fr "abestit"-adjective-oc
"abruti"-adjective-fr "abrutit"-adjective-oc
"abrutit"-adjective-oc "abruti"-adjective-fr
"abscons"-adjective-fr "escur"-adjective-oc
"escur"-adjective-oc "abscons"-adjective-fr
"curé"-adjective-fr "rector"-adjective-oc
"rector"-adjective-oc "curé"-adjective-fr
"isotòp"-adjective-oc "isotope"-adjective-fr
"isotope"-adjective-fr "isotòp"-adjective-oc
"malaisit"-adjective-oc "malaisé"-adjective-fr
"malaisé"-adjective-fr "malaisit"-adjective-oc
"malentendant"-adjective-fr "sord"-adjective-oc
"sord"-adjective-oc "malentendant"-adjective-fr
"lord"-adjective-oc "malpropre"-adjective-fr
"malpropre"-adjective-fr "lord"-adjective-oc
"successeur"-adjective-fr "successor"-adjective-oc
"successor"-adjective-oc "successeur"-adjective-fr
"sordid"-adjective-oc "sordide"-adjective-fr
"sordide"-adjective-fr "sordid"-adjective-oc
"peculiar"-adjective-oc "péculier"-adjective-fr
"péculier"-adjective-fr "peculiar"-adjective-oc
"aital"-adverb-oc "comme ça"-adverb-fr
"comme ça"-adverb-fr "aital"-adverb-oc
"naut"-adverb-oc "haut"-adverb-fr
"haut"-adverb-fr "naut"-adverb-oc
"là-haut"-adverb-fr "ailamont"-adverb-oc
"ailamont"-adverb-oc "là-haut"-adverb-fr
"al bòrd"-adverb-oc "au bord"-adverb-fr
"au bord"-adverb-fr "al bòrd"-adverb-oc
"arunan"-adverb-oc "l'an dernier"-adverb-fr
"l'an dernier"-adverb-fr "arunan"-adverb-oc
"totara"-adverb-oc "tout à l'heure"-adverb-fr
"tout à l'heure"-adverb-fr "totara"-adverb-oc
"sulpic"-adverb-oc "sur l'heure"-adverb-fr
"sur l'heure"-adverb-fr "sulpic"-adverb-oc
"empassar"-verb-oc "empiffrer"-verb-fr
"empiffrer"-verb-fr "empassar"-verb-oc
"tornar"-verb-oc "rétorquer"-verb-fr
"rétorquer"-verb-fr "tornar"-verb-oc
"acordar"-verb-oc "fiancer"-verb-fr
"fiancer"-verb-fr "acordar"-verb-oc
"adobar"-verb-oc "adouber"-verb-fr
"adouber"-verb-fr "adobar"-verb-oc
"escarraunhar"-verb-oc "baragouiner"-verb-fr
"baragouiner"-verb-fr "escarraunhar"-verb-oc
"davalar"-verb-oc "dévaler"-verb-fr
"dévaler"-verb-fr "davalar"-verb-oc
"plegar"-verb-oc "ployer"-verb-fr
"ployer"-verb-fr "plegar"-verb-oc
"tastar"-verb-oc "gouter"-verb-fr
"gouter"-verb-fr "tastar"-verb-oc
"avenir"-verb-oc "advenir"-verb-fr
"advenir"-verb-fr "avenir"-verb-oc
"apelar"-verb-oc "appeler en appel"-verb-fr
"appeler en appel"-verb-fr "apelar"-verb-oc
"désapprendre"-verb-fr "desapréner"-verb-oc
"désapprendre"-verb-fr "desaprene"-verb-oc
"desapréner"-verb-oc "désapprendre"-verb-fr
