"l"-noun-oc "l"-noun-fr
"l"-noun-fr "l"-noun-oc
"o"-coordinatingConjunction-oc "ou"-coordinatingConjunction-fr
"ou"-coordinatingConjunction-fr "o"-coordinatingConjunction-oc
"a l'entorn"-adverb-oc "alentour"-adverb-fr
"a l'entorn"-adverb-oc "aux alentours"-adverb-fr
"alentour"-adverb-fr "a l'entorn"-adverb-oc
"aux alentours"-adverb-fr "a l'entorn"-adverb-oc
"a"-preposition-oc "à"-preposition-fr
"à"-preposition-fr "a"-preposition-oc
"de"-preposition-oc "de"-preposition-fr
"de"-preposition-fr "de"-preposition-oc
"a causa de"-preposition-oc "en raison de"-preposition-fr
"a causa de"-preposition-oc "pour cause de"-preposition-fr
"en raison de"-preposition-fr "a causa de"-preposition-oc
"en raison de"-preposition-fr "en rason de"-preposition-oc
"en raison de"-preposition-fr "per causa de"-preposition-oc
"pour cause de"-preposition-fr "a causa de"-preposition-oc
"pour cause de"-preposition-fr "per causa de"-preposition-oc
"pour cause de"-preposition-fr "per encausa de"-preposition-oc
"en rason de"-preposition-oc "en raison de"-preposition-fr
"per causa de"-preposition-oc "en raison de"-preposition-fr
"per causa de"-preposition-oc "pour cause de"-preposition-fr
"per encausa de"-preposition-oc "pour cause de"-preposition-fr
"a cargue de"-preposition-oc "chargé de"-preposition-fr
"chargé de"-preposition-fr "a cargue de"-preposition-oc
"en dépit de"-preposition-fr "a despiet de"-preposition-oc
"a despiet de"-preposition-oc "en dépit de"-preposition-fr
"a la demanda de"-preposition-oc "à la demande de"-preposition-fr
"à la demande de"-preposition-fr "a la demanda de"-preposition-oc
"a l'excepcion de"-preposition-oc "à l'exception de"-preposition-fr
"à l'exception de"-preposition-fr "a l'excepcion de"-preposition-oc
"a partir de"-preposition-oc "à partir de"-preposition-fr
"à partir de"-preposition-fr "a partir de"-preposition-oc
"a l'escasença de"-preposition-oc "à l'occasion de"-preposition-fr
"à l'occasion de"-preposition-fr "a l'escasença de"-preposition-oc
"en seguida de"-preposition-oc "à la suite de"-preposition-fr
"à la suite de"-preposition-fr "en seguida de"-preposition-oc
"au moyen de"-preposition-fr "mejançant"-preposition-oc
"mejançant"-preposition-oc "au moyen de"-preposition-fr
"cap a"-preposition-oc "envers"-preposition-fr
"cap a"-preposition-oc "vers"-preposition-fr
"envers"-preposition-fr "cap a"-preposition-oc
"envers"-preposition-fr "envers"-preposition-oc
"vers"-preposition-fr "cap a"-preposition-oc
"envers"-preposition-oc "envers"-preposition-fr
"contra"-preposition-oc "contre"-preposition-fr
"contre"-preposition-fr "contra"-preposition-oc
"cossent damb"-preposition-oc "en accord avec"-preposition-fr
"en accord avec"-preposition-fr "cossent damb"-preposition-oc
"sur"-preposition-fr "sobre"-preposition-oc
"sobre"-preposition-oc "sur"-preposition-fr
"durant"-preposition-oc "durant"-preposition-fr
"durant"-preposition-oc "lors de"-preposition-fr
"durant"-preposition-oc "pendant"-preposition-fr
"durant"-preposition-fr "durant"-preposition-oc
"lors de"-preposition-fr "durant"-preposition-oc
"lors de"-preposition-fr "pendent"-preposition-oc
"pendant"-preposition-fr "durant"-preposition-oc
"pendent"-preposition-oc "lors de"-preposition-fr
"en"-preposition-oc "chez"-preposition-fr
"en"-preposition-oc "en"-preposition-fr
"en"-preposition-oc "ès"-preposition-fr
"chez"-preposition-fr "en"-preposition-oc
"en"-preposition-fr "en"-preposition-oc
"ès"-preposition-fr "en"-preposition-oc
"en cas de"-preposition-oc "en cas de"-preposition-fr
"en cas de"-preposition-fr "en cas de"-preposition-oc
"en ce qui concerne"-preposition-fr "en çò que tanh a"-preposition-oc
"en ce qui concerne"-preposition-fr "en çò que tanh"-preposition-oc
"en ce qui concerne"-preposition-fr "entad açò que tanh"-preposition-oc
"en ce qui concerne"-preposition-fr "entad aiçò que tanh"-preposition-oc
"en ce qui concerne"-preposition-fr "per çò que tanh"-preposition-oc
"en çò que tanh a"-preposition-oc "en ce qui concerne"-preposition-fr
"en çò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"entad açò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"entad aiçò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"per çò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"par rapport à"-preposition-fr "pertocant"-preposition-oc
"par rapport à"-preposition-fr "per rapòrt a"-preposition-oc
"pertocant"-preposition-oc "par rapport à"-preposition-fr
"pertocant"-preposition-oc "pour ce qui est de"-preposition-fr
"pertocant"-preposition-oc "quant à"-preposition-fr
"per rapòrt a"-preposition-oc "par rapport à"-preposition-fr
"pour ce qui est de"-preposition-fr "pertocant"-preposition-oc
"quant à"-preposition-fr "pertocant"-preposition-oc
"en mai de"-preposition-oc "en plus de"-preposition-fr
"en plus de"-preposition-fr "en mai de"-preposition-oc
"en plaça de"-preposition-oc "au défaut de"-preposition-fr
"au défaut de"-preposition-fr "en plaça de"-preposition-oc
"per"-preposition-oc "par"-preposition-fr
"par"-preposition-fr "per"-preposition-oc
"per'mor de"-preposition-oc "afin de"-preposition-fr
"afin de"-preposition-fr "per'mor de"-preposition-oc
"afin de"-preposition-fr "pr'amor de"-preposition-oc
"pr'amor de"-preposition-oc "afin de"-preposition-fr
"prèp de"-preposition-oc "près de"-preposition-fr
"près de"-preposition-fr "prèp de"-preposition-oc
"près de"-preposition-fr "près de"-preposition-oc
"près de"-preposition-oc "près de"-preposition-fr
"au dire de"-preposition-fr "segons"-preposition-oc
"au dire de"-preposition-fr "segontes"-preposition-oc
"segons"-preposition-oc "au dire de"-preposition-fr
"segontes"-preposition-oc "au dire de"-preposition-fr
"segon"-preposition-oc "suivant"-preposition-fr
"segon"-preposition-oc "d'après"-preposition-fr
"suivant"-preposition-fr "segon"-preposition-oc
"d'après"-preposition-fr "segon"-preposition-oc
"tre"-preposition-oc "dès"-preposition-fr
"dès"-preposition-fr "tre"-preposition-oc
"aquò"-pronoun-oc "ceci"-pronoun-fr
"ceci"-pronoun-fr "aquò"-pronoun-oc
"cela"-pronoun-fr "çò"-pronoun-oc
"çò"-pronoun-oc "cela"-pronoun-fr
"celui-ci"-pronoun-fr "aiceste"-pronoun-oc
"aiceste"-pronoun-oc "celui-ci"-pronoun-fr
"sans"-preposition-fr "sense"-preposition-oc
"sense"-preposition-oc "sans"-preposition-fr
"ieu"-pronoun-oc "je"-pronoun-fr
"ieu"-pronoun-oc "moi"-pronoun-fr
"je"-pronoun-fr "ieu"-pronoun-oc
"je"-pronoun-fr "jo"-pronoun-oc
"moi"-pronoun-fr "ieu"-pronoun-oc
"moi"-pronoun-fr "jo"-pronoun-oc
"jo"-pronoun-oc "je"-pronoun-fr
"jo"-pronoun-oc "moi"-pronoun-fr
"tu"-pronoun-oc "tu"-pronoun-fr
"tu"-pronoun-fr "tu"-pronoun-oc
"el"-pronoun-oc "lui il"-pronoun-fr
"lui il"-pronoun-fr "el"-pronoun-oc
"lui"-pronoun-fr "li"-pronoun-oc
"li"-pronoun-oc "lui"-pronoun-fr
"li"-pronoun-oc "leur"-pronoun-fr
