"10a"-adjective-eo "X"-adjective-ca
"11a"-adjective-eo "XI"-adjective-ca
"12a"-adjective-eo "XII"-adjective-ca
"13a"-adjective-eo "XIII"-adjective-ca
"14a"-adjective-eo "XIV"-adjective-ca
"15a"-adjective-eo "XV"-adjective-ca
"16a"-adjective-eo "XVI"-adjective-ca
"17a"-adjective-eo "XVII"-adjective-ca
"18a"-adjective-eo "XVIII"-adjective-ca
"19a"-adjective-eo "XIX"-adjective-ca
"1a"-adjective-eo "I"-adjective-ca
"20a"-adjective-eo "XX"-adjective-ca
"21a"-adjective-eo "XXI"-adjective-ca
"22a"-adjective-eo "XXII"-adjective-ca
"2a"-adjective-eo "II"-adjective-ca
"3a"-adjective-eo "III"-adjective-ca
"4a"-adjective-eo "IV"-adjective-ca
"5a"-adjective-eo "V"-adjective-ca
"6a"-adjective-eo "VI"-adjective-ca
"7a"-adjective-eo "VII"-adjective-ca
"8a"-adjective-eo "VIII"-adjective-ca
"9a"-adjective-eo "IX"-adjective-ca
","-comma-eo ","-comma-ca
"abako"-noun-eo "àbac"-noun-ca
"abatejo"-noun-eo "abadia"-noun-ca
"abato"-noun-eo "abat"-noun-ca
"Abbott"-properNoun-eo "Abbott"-properNoun-ca
"Abbott"-noun-eo "Abbott"-properNoun-ca
"abdiki"-verb-eo "abdicar"-verb-ca
"abdomeno"-noun-eo "abdomen"-noun-ca
"abelo"-noun-eo "abella"-noun-ca
"abelujo"-noun-eo "arna"-noun-ca
"abelujo"-noun-eo "buc"-noun-ca
"abelujo"-noun-eo "rusc"-noun-ca
"aberacio"-noun-eo "aberració"-noun-ca
"abio"-noun-eo "avet"-noun-ca
"Abisenio"-properNoun-eo "Abissínia"-properNoun-ca
"abismo"-noun-eo "abisme"-noun-ca
"abismo"-noun-eo "cingle"-noun-ca
"abismo"-noun-eo "estimball"-noun-ca
"abismo"-noun-eo "precipici"-noun-ca
"ablativo"-noun-eo "ablatiu"-noun-ca
"abnegacio"-noun-eo "abnegació"-noun-ca
"abnegacio"-noun-eo "renunciament"-noun-ca
"aboco"-noun-eo "abecedari"-noun-ca
"aboco"-noun-eo "abecé"-noun-ca
"aboco"-noun-eo "beceroles"-noun-ca
"aboli"-verb-eo "abolir"-verb-ca
"abolo"-noun-eo "abolició"-noun-ca
"abomenaĵo"-noun-eo "atrocitat"-noun-ca
"abomenaĵo"-noun-eo "horror"-noun-ca
"abomene"-adverb-eo "abominablement"-adverb-ca
"abomeninda"-adjective-eo "detestable"-adjective-ca
"abomeninda"-adjective-eo "execrable"-adjective-ca
"abomeno"-noun-eo "abominació"-noun-ca
"abomeno"-noun-eo "aversió"-noun-ca
"abomeno"-noun-eo "repulsió"-noun-ca
"abono"-noun-eo "subscripció"-noun-ca
"aborigena"-adjective-eo "aborigen"-adjective-ca
"aborigeno"-noun-eo "aborigen"-noun-ca
"abortaĵo"-noun-eo "avortó"-noun-ca
"aborti"-verb-eo "avortar"-verb-ca
"aborto"-noun-eo "avortament"-noun-ca
