"l"-noun-oc "l"-noun-fr
"e"-coordinatingConjunction-oc "et"-coordinatingConjunction-fr
"mas"-coordinatingConjunction-oc "mais"-coordinatingConjunction-fr
"mai"-coordinatingConjunction-oc "mais"-coordinatingConjunction-fr
"ni"-coordinatingConjunction-oc "ni"-coordinatingConjunction-fr
"ne mai"-coordinatingConjunction-oc "ni"-coordinatingConjunction-fr
"ni mai"-coordinatingConjunction-oc "ni"-coordinatingConjunction-fr
"o"-coordinatingConjunction-oc "ou"-coordinatingConjunction-fr
"ò"-coordinatingConjunction-oc "ou"-coordinatingConjunction-fr
"que"-subordinatingConjunction-oc "que"-subordinatingConjunction-fr
"qué que ne siá"-adverb-oc "quoi qu'il en soit"-adverb-fr
"quand"-relativePronoun-oc "quand"-relativePronoun-fr
"a l'entorn"-adverb-oc "autour"-adverb-fr
"a l'entorn"-adverb-oc "alentour"-adverb-fr
"a l'entorn"-adverb-oc "aux alentours"-adverb-fr
"a"-preposition-oc "à"-preposition-fr
"de"-preposition-oc "de"-preposition-fr
"a biais de"-preposition-oc "en guise de"-preposition-fr
"a causa de"-preposition-oc "à cause de"-preposition-fr
"a causa de"-preposition-oc "en raison de"-preposition-fr
"a causa de"-preposition-oc "pour cause de"-preposition-fr
"a mòda de"-preposition-oc "en guise de"-preposition-fr
"en guisa de"-preposition-oc "en guise de"-preposition-fr
"a mens de"-preposition-oc "à moins de"-preposition-fr
"a cargue de"-preposition-oc "chargé de"-preposition-fr
"a l'agrat de"-preposition-oc "au gré de"-preposition-fr
"a l'interior de"-preposition-oc "à l'intérieur de"-preposition-fr
"a l'exterior de"-preposition-oc "à l'extérieur de"-preposition-fr
"a còps de"-preposition-oc "à coup de"-preposition-fr
"amb lo pretèxt de"-preposition-oc "au prétexte de"-preposition-fr
"amb lo pretèxte de"-preposition-oc "au prétexte de"-preposition-fr
"en despièch de"-preposition-oc "en dépit de"-preposition-fr
"en despiech de"-preposition-oc "en dépit de"-preposition-fr
"en despièit de"-preposition-oc "en dépit de"-preposition-fr
"a despiet de"-preposition-oc "en dépit de"-preposition-fr
"a despiet de"-preposition-oc "malgré"-preposition-fr
"fauta de"-preposition-oc "à défaut de"-preposition-fr
"fauta de"-preposition-oc "faute de"-preposition-fr
"fraita de"-preposition-oc "faute de"-preposition-fr
"a flor e a mesura"-adverb-oc "au fur et à mesure"-adverb-fr
"a fin e a mesura"-adverb-oc "au fur et à mesure"-adverb-fr
"a flor e a mesura de"-preposition-oc "au fur et à mesure de"-preposition-fr
"a fin e a mesura de"-preposition-oc "au fur et à mesure de"-preposition-fr
"a flor e mesura"-adverb-oc "au fur et à mesure"-adverb-fr
"a fin e mesura"-adverb-oc "au fur et à mesure"-adverb-fr
"a flor e mesura de"-preposition-oc "au fur et à mesure de"-preposition-fr
"a fin e mesura de"-preposition-oc "au fur et à mesure de"-preposition-fr
"a dicha que"-preposition-oc "au fur et à mesure que"-preposition-fr
"a fòrça de"-preposition-oc "à force de"-preposition-fr
"a dich de"-preposition-oc "à force de"-preposition-fr
"a dit de"-preposition-oc "à force de"-preposition-fr
"a grands renfòrts de"-preposition-oc "à grand renfort de"-preposition-fr
"a grands refòrts de"-preposition-oc "à grand renfort de"-preposition-fr
"a poder de"-preposition-oc "à force de"-preposition-fr
"a rasís de"-preposition-oc "tout près de"-preposition-fr
"a destinacion de"-preposition-oc "à destination de"-preposition-fr
"al detriment de"-preposition-oc "au détriment de"-preposition-fr
"a la demanda de"-preposition-oc "à la demande de"-preposition-fr
"a l'encontra de"-preposition-oc "à l'encontre de"-preposition-fr
"a la contra de"-preposition-oc "à l'encontre de"-preposition-fr
"a l'epòca de"-preposition-oc "à l'époque de"-preposition-fr
"del temps de"-preposition-oc "à l'époque de"-preposition-fr
"a l'entorn de"-preposition-oc "à l'entour de"-preposition-fr
"a l'entorn de"-preposition-oc "aux environs de"-preposition-fr
"a l'espròva de"-preposition-oc "à l'épreuve de"-preposition-fr
"a la pròva de"-preposition-oc "à l'épreuve de"-preposition-fr
"a espròva de"-preposition-oc "à l'épreuve de"-preposition-fr
"a l'excepcion de"-preposition-oc "à l'exception de"-preposition-fr
"a l'exemple de"-preposition-oc "à l'instar de"-preposition-fr
"a l'exemple de"-preposition-oc "à l'exemple de"-preposition-fr
"a l'imitacion de"-preposition-oc "à l'imitation de"-preposition-fr
"a l'ombra de"-preposition-oc "à l'ombre de"-preposition-fr
"a l'opausat de"-preposition-oc "à l'opposé de"-preposition-fr
"a la diferéncia de"-preposition-oc "à l'opposé de"-preposition-fr
"a la fin de"-preposition-oc "à la fin de"-preposition-fr
"a la requèsta de"-preposition-oc "à la requête de"-preposition-fr
"a la requèsta de"-preposition-oc "sur la requête de"-preposition-fr
"a las pòrtas de"-preposition-oc "aux portes de"-preposition-fr
"al cap de"-preposition-oc "au bout de"-preposition-fr
"al lum de"-preposition-oc "à la lumière de"-preposition-fr
"au lum de"-preposition-oc "à la lumière de"-preposition-fr
"al ras de"-preposition-oc "au ras de"-preposition-fr
"au ras de"-preposition-oc "au ras de"-preposition-fr
"al revèrs de"-preposition-oc "à rebours de"-preposition-fr
"a títol de"-preposition-oc "à titre de"-preposition-fr
"al lòc de"-preposition-oc "au lieu de"-preposition-fr
"al luòc de"-preposition-oc "au lieu de"-preposition-fr
"au luòc de"-preposition-oc "au lieu de"-preposition-fr
"en luòga de"-preposition-oc "au lieu de"-preposition-fr
"al risc de"-preposition-oc "au risque de"-preposition-fr
"au risc de"-preposition-oc "au risque de"-preposition-fr
"al sen de"-preposition-oc "au sein de"-preposition-fr
