mı	particle	crh	mı	particle	tur
degil	adjective	crh	değil	adjective	tur
ve	coordinatingConjunction	crh	ve	coordinatingConjunction	tur
faqat	coordinatingConjunction	crh	fakat	coordinatingConjunction	tur
em	coordinatingConjunction	crh	hem	coordinatingConjunction	tur
amma	coordinatingConjunction	crh	ama	coordinatingConjunction	tur
ya	coordinatingConjunction	crh	ya	coordinatingConjunction	tur
ya da	coordinatingConjunction	crh	ya da	coordinatingConjunction	tur
lâkin	coordinatingConjunction	crh	lakin	coordinatingConjunction	tur
ancaq	coordinatingConjunction	crh	ancak	coordinatingConjunction	tur
ki	subordinatingConjunction	crh	ki	subordinatingConjunction	tur
eger	subordinatingConjunction	crh	eğer	subordinatingConjunction	tur
çünki	subordinatingConjunction	crh	çünkü	subordinatingConjunction	tur
guya	subordinatingConjunction	crh	güya	adverb	tur
sanki	subordinatingConjunction	crh	sanki	adverb	tur
bile	subordinatingConjunction	crh	bile	subordinatingConjunction	tur
çünki	subordinatingConjunction	crh	çünkü	coordinatingConjunction	tur
yani	subordinatingConjunction	crh	yani	subordinatingConjunction	tur
atta	subordinatingConjunction	crh	hatta	subordinatingConjunction	tur
yoqsa	subordinatingConjunction	crh	yoksa	subordinatingConjunction	tur
sız	postposition	crh	sız	postposition	tur
binaen	postposition	crh	göre	postposition	tur
lı	postposition	crh	lı	postposition	tur
doğru	postposition	crh	doğru	postposition	tur
üzere	postposition	crh	üzere	postposition	tur
başqa	postposition	crh	başka	postposition	tur
qarşı	postposition	crh	karşı	postposition	tur
sayın	postposition	crh	sonra	postposition	tur
berli	postposition	crh	beri	postposition	tur
ögüne	postposition	crh	ön	noun	tur
taba	postposition	crh	doğru	postposition	tur
sebep	postposition	crh	dolayı	postposition	tur
sebep	postposition	crh	ötürü	postposition	tur
itibaren	postposition	crh	itibaren	postposition	tur
soñ	postposition	crh	sonra	postposition	tur
qadar	postposition	crh	kadar	postposition	tur
köre	postposition	crh	göre	postposition	tur
boyunca	postposition	crh	boyunca	postposition	tur
kibi	postposition	crh	gibi	postposition	tur
ile	postposition	crh	ile	postposition	tur
içün	postposition	crh	için	postposition	tur
evel	postposition	crh	önce	postposition	tur
evel	postposition	crh	evvel	postposition	tur
ğayrı	postposition	crh	hariç	postposition	tur
ğayrı	postposition	crh	gayrı	adverb	tur
sebep	postposition	crh	dolayı	postposition	tur
sebep	postposition	crh	ötürü	postposition	tur
bu	pronoun	crh	bu	pronoun	tur
şu	pronoun	crh	şu	pronoun	tur
şu	pronoun	crh	bu	pronoun	tur
ne	pronoun	crh	ne	pronoun	tur
kendi	pronoun	crh	kendi	pronoun	tur
öz	pronoun	crh	kendi	pronoun	tur
o	pronoun	crh	o	pronoun	tur
men	pronoun	crh	ben	pronoun	tur
sen	pronoun	crh	sen	pronoun	tur
biz	pronoun	crh	biz	pronoun	tur
siz	pronoun	crh	siz	pronoun	tur
bizler	pronoun	crh	bizler	pronoun	tur
sizler	pronoun	crh	sizler	pronoun	tur
olar	pronoun	crh	onlar	pronoun	tur
ekseri	pronoun	crh	ekseri	pronoun	tur
kimse	pronoun	crh	kimse	pronoun	tur
birev	pronoun	crh	kimse	pronoun	tur
erkes	pronoun	crh	herkes	pronoun	tur
birisi	pronoun	crh	birisi	pronoun	tur
kim	pronoun	crh	kim	pronoun	tur
ep	pronoun	crh	hep	pronoun	tur
bütün	determiner	crh	bütün	determiner	tur
boyle	determiner	crh	böyle	determiner	tur
bir	determiner	crh	bir	determiner	tur
iç bir	determiner	crh	hiç bir	determiner	tur
ep	determiner	crh	hep	determiner	tur
er	determiner	crh	her	determiner	tur
öz	determiner	crh	kendi	determiner	tur
diger	determiner	crh	diğer	adjective	tur
diger	pronoun	crh	diğer	adjective	tur
