"1a"-numeral-eo "1st"-numeral-en
"2a"-numeral-eo "2nd"-numeral-en
"3a"-numeral-eo "3rd"-numeral-en
"4a"-numeral-eo "4th"-numeral-en
"a"-numeral-eo "th"-numeral-en
","-comma-eo ","-comma-en
"abako"-noun-eo "abacus"-noun-en
"abatejo"-noun-eo "abbey"-noun-en
"abato"-noun-eo "abbot"-noun-en
"abdiki"-verb-eo "abdicate"-verb-en
"abdiko"-noun-eo "abdication"-noun-en
"abdomeno"-noun-eo "abdomen"-noun-en
"abelo"-noun-eo "bee"-noun-en
"aberacio"-noun-eo "aberration"-noun-en
"abio"-noun-eo "fir"-noun-en
"Abisenio"-properNoun-eo "Abyssinia"-properNoun-en
"abisma"-adjective-eo "pitiful"-adjective-en
"abismo"-noun-eo "abyss"-noun-en
"ablacio"-noun-eo "ablation"-noun-en
"abnegacio"-noun-eo "abnegation"-noun-en
"aboli"-verb-eo "abolish"-verb-en
"abolicii"-verb-eo "abolish"-verb-en
"abomena"-adjective-eo "vile"-adjective-en
"abomena"-adjective-eo "atrocious"-adjective-en
"abomena"-adjective-eo "appalling"-adjective-en
"abomena"-adjective-eo "heinous"-adjective-en
"abomena"-adjective-eo "monstrous"-adjective-en
"abomena"-adjective-eo "unspeakable"-adjective-en
"abomenaĵo"-noun-eo "atrocity"-noun-en
"abomene"-adverb-eo "disgusting"-adverb-en
"abomeninda"-adjective-eo "loathsome"-adjective-en
"abomeninde"-adverb-eo "abominably"-adverb-en
"abomeninde"-adverb-eo "hateful"-adverb-en
"abomeninde"-adverb-eo "detestable"-adverb-en
"abomeno"-noun-eo "disgust"-noun-en
"abomeno"-noun-eo "abomination"-noun-en
"abomeno"-noun-eo "loathing"-noun-en
"abonanto"-noun-eo "subscriber"-noun-en
"abonilo"-noun-eo "form"-noun-en
"abono"-noun-eo "subscription"-noun-en
"aborti"-verb-eo "abort"-verb-en
"aborto"-noun-eo "miscarriage"-noun-en
"abrikoto"-noun-eo "apricot"-noun-en
"abrupta"-adjective-eo "sudden"-adjective-en
"absciso"-noun-eo "abscissa"-noun-en
"absoluta"-adjective-eo "absolute"-adjective-en
"absolute"-adverb-eo "absolutely"-adverb-en
"absolutismo"-noun-eo "absolutism"-noun-en
"absolutismo"-noun-eo "authoritarianism"-noun-en
"absolvo"-noun-eo "absolution"-noun-en
"absorbi"-verb-eo "absorb"-verb-en
"absorbi"-verb-eo "preoccupy"-verb-en
"abstemio"-noun-eo "abstinence"-noun-en
"abstinado"-noun-eo "fast"-noun-en
"abstini"-verb-eo "abstain"-verb-en
"abstrakta"-adjective-eo "abstract"-adjective-en
"absurda"-adjective-eo "absurd"-adjective-en
"absurda"-adjective-eo "nonsense"-adjective-en
"absurda"-adjective-eo "preposterous"-adjective-en
"absurde"-adverb-eo "absurdly"-adverb-en
"absurde"-adverb-eo "nonsensical"-adverb-en
"absurde"-adverb-eo "bull"-adverb-en
"abunda"-adjective-eo "abundant"-adjective-en
"abunda"-adjective-eo "ample"-adjective-en
"abunda"-adjective-eo "copious"-adjective-en
"abunde"-adverb-eo "readily"-adverb-en
"abunde"-adverb-eo "abundantly"-adverb-en
"abunde"-adverb-eo "amply"-adverb-en
"abundo"-noun-eo "plenty"-noun-en
"aĉa"-adjective-eo "nasty"-adjective-en
"aĉa"-adjective-eo "ghastly"-adjective-en
"aĉa"-adjective-eo "lousy"-adjective-en
"aĉa"-adjective-eo "rubbish"-adjective-en
"aĉaĵo"-noun-eo "mess"-noun-en
"aĉe"-adverb-eo "badly"-adverb-en
"aĉe"-adverb-eo "horrid"-adverb-en
"aĉe"-adverb-eo "shitty"-adverb-en
"aĉetanto"-noun-eo "customer"-noun-en
"aĉetanto"-noun-eo "buyer"-noun-en
"aĉetisto"-noun-eo "buyer"-noun-en
"aĉeto"-noun-eo "purchase"-noun-en
"acida"-adjective-eo "bitter"-adjective-en
"acida"-adjective-eo "sour"-adjective-en
"acida"-adjective-eo "acidic"-adjective-en
"acida"-adjective-eo "acid"-adjective-en
"acido"-noun-eo "acid"-noun-en
"acipensero"-noun-eo "sturgeon"-noun-en
"adapti"-verb-eo "adapt"-verb-en
"adapti"-verb-eo "tailor"-verb-en
"adapti"-verb-eo "gear"-verb-en
"adaptilo"-noun-eo "adapter"-noun-en
"adapto"-noun-eo "adaptation"-noun-en
"adekvata"-adjective-eo "comprehensive"-adjective-en
"adekvata"-adjective-eo "adequate"-adjective-en
"adekvate"-adverb-eo "adequately"-adverb-en
"adekvateco"-noun-eo "adequacy"-noun-en
"adepto"-noun-eo "follower"-noun-en
"adepto"-noun-eo "adherent"-noun-en
"adiaŭ"-interjection-eo "goodbye"-interjection-en
"adiaŭo"-noun-eo "goodbye"-noun-en
"adicii"-verb-eo "add"-verb-en
"adicio"-noun-eo "addition"-noun-en
"adjektivo"-noun-eo "adjective"-noun-en
"adjutanto"-noun-eo "aide"-noun-en
"administra"-adjective-eo "executive"-adjective-en
"administracia"-adjective-eo "administrative"-adjective-en
"administracio"-noun-eo "administration"-noun-en
"administrantaro"-noun-eo "management"-noun-en
"administranto"-noun-eo "administrator"-noun-en
"administrejo"-noun-eo "directorate"-noun-en
"admiralitato"-noun-eo "admiralty"-noun-en
"admiralo"-noun-eo "admiral"-noun-en
"admiranto"-noun-eo "fan"-noun-en
"admiranto"-noun-eo "admirer"-noun-en
"admirinda"-adjective-eo "admirable"-adjective-en
"admirinde"-adverb-eo "wonderfully"-adverb-en
"admirinde"-adverb-eo "admirably"-adverb-en
"admiro"-noun-eo "admiration"-noun-en
"admono"-noun-eo "warning"-noun-en
"admono"-noun-eo "exhortation"-noun-en
"admono"-noun-eo "admonition"-noun-en
"adoleska"-adjective-eo "teenage"-adjective-en
"adoleska"-adjective-eo "adolescent"-adjective-en
"adoleskanto"-noun-eo "teenager"-noun-en
"adoleskanto"-noun-eo "teen"-noun-en
"adoleskanto"-noun-eo "adolescent"-noun-en
"adolta"-adjective-eo "pornographic"-adjective-en
"adolteco"-noun-eo "adulthood"-noun-en
"adolto"-noun-eo "adult"-noun-en
"adopti"-verb-eo "adopt"-verb-en
"adopti"-verb-eo "espouse"-verb-en
"adoptita"-adjective-eo "adoptive"-adjective-en
"adoptita"-adjective-eo "foster"-adjective-en
"adopto"-noun-eo "adoption"-noun-en
"adorado"-noun-eo "adoration"-noun-en
"adoranto"-noun-eo "worshipper"-noun-en
"adoro"-noun-eo "worship"-noun-en
"adrenalino"-noun-eo "adrenaline"-noun-en
"adresaro"-noun-eo "directory"-noun-en
"adresato"-noun-eo "addressee"-noun-en
"adreso"-noun-eo "address"-noun-en
"adulta"-adjective-eo "adulterous"-adjective-en
"adultema"-adjective-eo "adulterous"-adjective-en
"adulto"-noun-eo "adultery"-noun-en
"adultulo"-noun-eo "adulterer"-noun-en
"adverbo"-noun-eo "adverb"-noun-en
"adversa"-adjective-eo "adverse"-adjective-en
"advokato"-noun-eo "attorney"-noun-en
"advokato"-noun-eo "lawyer"-noun-en
"aera"-adjective-eo "ephemeral"-adjective-en
"aera"-adjective-eo "aerial"-adjective-en
"aero"-noun-eo "air"-noun-en
"aerobia"-adjective-eo "aerobic"-adjective-en
"aerodinamika"-adjective-eo "aerodynamic"-adjective-en
"aerolito"-noun-eo "meteorite"-noun-en
"aeroplano"-noun-eo "plane"-noun-en
"aeroplano"-noun-eo "aeroplane"-noun-en
"aerospaca"-adjective-eo "aerospace"-adjective-en
"aerostato"-noun-eo "balloon"-noun-en
"aertransporto"-noun-eo "airlift"-noun-en
"afabla"-adjective-eo "civil"-adjective-en
"afabla"-adjective-eo "genial"-adjective-en
"afabla"-adjective-eo "kind"-adjective-en
"afabla"-adjective-eo "affable"-adjective-en
"afable"-adverb-eo "kindly"-adverb-en
"afableco"-noun-eo "kindness"-noun-en
"afekcia"-adjective-eo "affective"-adjective-en
"afekcii"-verb-eo "attack"-verb-en
"afekcio"-noun-eo "emotion"-noun-en
"afekta"-adjective-eo "showy"-adjective-en
"afekta"-adjective-eo "prim"-adjective-en
"afektaĵo"-noun-eo "mannerism"-noun-en
"afektema"-adjective-eo "showy"-adjective-en
"afekto"-noun-eo "manner"-noun-en
"afero"-noun-eo "affair"-noun-en
"afero"-noun-eo "cause"-noun-en
"afero"-noun-eo "issue"-noun-en
"afero"-noun-eo "matter"-noun-en
"afero"-noun-eo "thing"-noun-en
"afgana"-adjective-eo "afghan"-adjective-en
"Afganio"-properNoun-eo "Afghanistan"-properNoun-en
"afgano"-noun-eo "afghan"-noun-en
"afikso"-noun-eo "affix"-noun-en
"afineco"-noun-eo "affinity"-noun-en
"afiŝado"-noun-eo "advertising"-noun-en
"afiŝi"-verb-eo "advertise"-verb-en
"afiŝo"-noun-eo "poster"-noun-en
"afiŝo"-noun-eo "placard"-noun-en
"afiŝo"-noun-eo "posting"-noun-en
"aflikta"-adjective-eo "distressing"-adjective-en
"aflikti"-verb-eo "upset"-verb-en
"aflikti"-verb-eo "afflict"-verb-en
"aflikti"-verb-eo "distress"-verb-en
"afliktiĝo"-noun-eo "grief"-noun-en
"afliktiĝo"-noun-eo "hardship"-noun-en
"aflikto"-noun-eo "hardship"-noun-en
"aflikto"-noun-eo "adversity"-noun-en
"aflikto"-noun-eo "affliction"-noun-en
"aflikto"-noun-eo "distress"-noun-en
"aflikto"-noun-eo "woe"-noun-en
"aflikto"-noun-eo "travail"-noun-en
"aforismo"-noun-eo "saying"-noun-en
"aforismo"-noun-eo "aphorism"-noun-en
"afranki"-verb-eo "stamp"-verb-en
"afrika"-adjective-eo "African"-adjective-en
"afrikano"-noun-eo "African"-noun-en
"Afriko"-properNoun-eo "Africa"-properNoun-en
"aĝa"-adjective-eo "old"-adjective-en
"agaci"-verb-eo "aggravate"-verb-en
"agado"-noun-eo "activity"-noun-en
"agado"-noun-eo "gig"-noun-en
"agariko"-noun-eo "mushroom"-noun-en
"agendo"-noun-eo "diary"-noun-en
"agenteco"-noun-eo "agency"-noun-en
"agentejo"-noun-eo "agency"-noun-en
"agento"-noun-eo "agent"-noun-en
"agento"-noun-eo "operative"-noun-en
"aĝio"-noun-eo "percentage"-noun-en
"agiti"-verb-eo "agitate"-verb-en
"agitiĝo"-noun-eo "confusion"-noun-en
"aglo"-noun-eo "eagle"-noun-en
"aglomeri"-verb-eo "fuse"-verb-en
"aglutina"-adjective-eo "agglutinative"-adjective-en
"aglutini"-verb-eo "agglutinate"-verb-en
"agnoski"-verb-eo "acknowledge"-verb-en
"agnoski"-verb-eo "admit"-verb-en
"agnostika"-adjective-eo "agnostic"-adjective-en
"agnostikismo"-noun-eo "agnosticism"-noun-en
"agnostikulo"-noun-eo "agnostic"-noun-en
"ago"-noun-eo "act"-noun-en
"ago"-noun-eo "action"-noun-en
"aĝo"-noun-eo "age"-noun-en
"agonio"-noun-eo "agony"-noun-en
"agordilo"-noun-eo "tuner"-noun-en
"agordisto"-noun-eo "tuner"-noun-en
"agordo"-noun-eo "configuration"-noun-en
"agordo"-noun-eo "tuning"-noun-en
"agrabla"-adjective-eo "pleasant"-adjective-en
"agrabla"-adjective-eo "agreeable"-adjective-en
"agrabla"-adjective-eo "congenial"-adjective-en
"agrable"-adverb-eo "nicely"-adverb-en
"agrable"-adverb-eo "pleasantly"-adverb-en
"agrafi"-verb-eo "hook"-verb-en
"agrafo"-noun-eo "hook"-noun-en
"agrara"-adjective-eo "agricultural"-adjective-en
"agrara"-adjective-eo "agrarian"-adjective-en
"agresa"-adjective-eo "aggressive"-adjective-en
"agresanto"-noun-eo "aggressor"-noun-en
"agresema"-adjective-eo "aggressive"-adjective-en
"agrikultura"-adjective-eo "agricultural"-adjective-en
"agrikulturo"-noun-eo "agriculture"-noun-en
"agrikulturo"-noun-eo "farming"-noun-en
"agrokultura"-adjective-eo "agricultural"-adjective-en
"agrokulturo"-noun-eo "farming"-noun-en
"ajatolo"-noun-eo "ayatollah"-noun-en
"ajlo"-noun-eo "garlic"-noun-en
"ajna"-determiner-eo "any"-determiner-en
"ajna"-determiner-eo "either"-determiner-en
"ajna"-determiner-eo "whatever"-determiner-en
"aĵo"-noun-eo "stuff"-noun-en
"aĵo"-noun-eo "something"-noun-en
"aĵura"-adjective-eo "perforated"-adjective-en
"akademia"-adjective-eo "academic"-adjective-en
"akademiano"-noun-eo "academician"-noun-en
"akademio"-noun-eo "academy"-noun-en
"akapari"-verb-eo "corner"-verb-en
