"10a"-adjective-eo "X"-adjective-es
"11a"-adjective-eo "XI"-adjective-es
"12a"-adjective-eo "XII"-adjective-es
"13a"-adjective-eo "XIII"-adjective-es
"14a"-adjective-eo "XIV"-adjective-es
"15a"-adjective-eo "XV"-adjective-es
"16a"-adjective-eo "XVI"-adjective-es
"17a"-adjective-eo "XVII"-adjective-es
"18a"-adjective-eo "XVIII"-adjective-es
"19a"-adjective-eo "XIX"-adjective-es
"1a"-adjective-eo "I"-adjective-es
"20a"-adjective-eo "XX"-adjective-es
"21a"-adjective-eo "XXI"-adjective-es
"22a"-adjective-eo "XXII"-adjective-es
"2a"-adjective-eo "II"-adjective-es
"3a"-adjective-eo "III"-adjective-es
"4a"-adjective-eo "IV"-adjective-es
"5a"-adjective-eo "V"-adjective-es
"6a"-adjective-eo "VI"-adjective-es
"7a"-adjective-eo "VII"-adjective-es
"8a"-adjective-eo "VIII"-adjective-es
"9a"-adjective-eo "IX"-adjective-es
","-comma-eo ","-comma-es
"abako"-noun-eo "ábaco"-noun-es
"abandono"-noun-eo "abandono"-noun-es
"abasido"-noun-eo "abasida"-noun-es
"abasido"-noun-eo "abasí"-noun-es
"Abaso"-properNoun-eo "Abbás"-properNoun-es
"abatejo"-noun-eo "abadía"-noun-es
"abato"-noun-eo "abad"-noun-es
"ABB"-properNoun-eo "ABB"-properNoun-es
"Abbott"-properNoun-eo "Abbott"-properNoun-es
"Abbott"-properNoun-eo "Abbott"-noun-es
"Abbott"-noun-eo "Abbott"-properNoun-es
"Abbott"-noun-eo "Abbott"-noun-es
"Abbott Laboratories"-properNoun-eo "Abbott Laboratories"-properNoun-es
"abdiki"-verb-eo "abdicar"-verb-es
"abdiko"-noun-eo "abdicación"-noun-es
"abdomeno"-noun-eo "abdomen"-noun-es
"abela"-adjective-eo "abeliano"-adjective-es
"abela"-adjective-eo "de Abel"-adjective-es
"abelejo"-noun-eo "colmena"-noun-es
"abelisto"-noun-eo "apicultor"-noun-es
