"10a"-adjective-eo "Xème"-adjective-fr
"10a"-numeral-eo "X"-numeral-fr
"11a"-adjective-eo "XIème"-adjective-fr
"11a"-numeral-eo "XI"-numeral-fr
"12a"-adjective-eo "XIIème"-adjective-fr
"12a"-numeral-eo "XII"-numeral-fr
"13a"-adjective-eo "XIIIème"-adjective-fr
"13a"-numeral-eo "XIII"-numeral-fr
"14a"-adjective-eo "XIVème"-adjective-fr
"14a"-numeral-eo "XIV"-numeral-fr
"15a"-adjective-eo "XVème"-adjective-fr
"15a"-numeral-eo "XV"-numeral-fr
"16a"-adjective-eo "XVIème"-adjective-fr
"16a"-numeral-eo "XVI"-numeral-fr
"17a"-adjective-eo "XVIIème"-adjective-fr
"17a"-numeral-eo "XVII"-numeral-fr
"18a"-adjective-eo "XVIIIème"-adjective-fr
"18a"-numeral-eo "XVIII"-numeral-fr
"19a"-adjective-eo "XIXème"-adjective-fr
"19a"-numeral-eo "XIX"-numeral-fr
"1a"-adjective-eo "1er"-adjective-fr
"1a"-adjective-eo "Ier"-adjective-fr
"1a"-numeral-eo "I"-numeral-fr
"20a"-adjective-eo "XXème"-adjective-fr
"20a"-numeral-eo "XX"-numeral-fr
"21a"-adjective-eo "XXIème"-adjective-fr
"21a"-numeral-eo "XXI"-numeral-fr
"22a"-adjective-eo "XXIIème"-adjective-fr
"22a"-numeral-eo "XXII"-numeral-fr
"23a"-adjective-eo "XXIIIème"-adjective-fr
"23a"-numeral-eo "XXIII"-numeral-fr
"2a"-adjective-eo "2nd"-adjective-fr
"2a"-adjective-eo "IIème"-adjective-fr
"2a"-adjective-eo "IInd"-adjective-fr
"2a"-numeral-eo "II"-numeral-fr
"3a"-adjective-eo "IIIème"-adjective-fr
"3a"-numeral-eo "III"-numeral-fr
"4a"-adjective-eo "IVème"-adjective-fr
"4a"-numeral-eo "IV"-numeral-fr
"50a"-adjective-eo "Lème"-adjective-fr
"5a"-adjective-eo "Vème"-adjective-fr
"5a"-numeral-eo "V"-numeral-fr
"6a"-adjective-eo "VIème"-adjective-fr
"6a"-numeral-eo "VI"-numeral-fr
"7a"-adjective-eo "VIIème"-adjective-fr
"7a"-numeral-eo "VII"-numeral-fr
"8a"-adjective-eo "VIIIème"-adjective-fr
"8a"-numeral-eo "VIII"-numeral-fr
"9a"-adjective-eo "IXème"-adjective-fr
"9a"-numeral-eo "IX"-numeral-fr
"a"-numeral-eo "e"-numeral-fr
","-comma-eo ","-comma-fr
"Aalst"-properNoun-eo "Aalst"-properNoun-fr
"Aarschot"-properNoun-eo "Aarschot"-properNoun-fr
"abako"-noun-eo "abaque"-noun-fr
"abako"-noun-eo "boulier"-noun-fr
"abako"-noun-eo "nomogramme"-noun-fr
"abako"-noun-eo "table"-noun-fr
"abandoni"-verb-eo "faire un abandonnement"-verb-fr
"abandono"-noun-eo "abandonnement"-noun-fr
"abasido"-noun-eo "Abbasside"-noun-fr
"Abaso"-properNoun-eo "Abbas"-properNoun-fr
"abatejo"-noun-eo "abbaye"-noun-fr
"abatinejo"-noun-eo "abbaye"-noun-fr
"abato"-noun-eo "abbé"-noun-fr
"abato"-noun-eo "abbesse"-noun-fr
"ABB"-properNoun-eo "ABB"-properNoun-fr
"Abbeville"-properNoun-eo "Abbeville"-properNoun-fr
"Abbott"-properNoun-eo "Abbott"-properNoun-fr
"Abbott Laboratories"-properNoun-eo "Abbott Laboratories"-properNoun-fr
"ABC"-properNoun-eo "ABC"-properNoun-fr
"abdiki"-verb-eo "abdiquer"-verb-fr
"abdiki"-verb-eo "démettre"-verb-fr
"abdiki"-verb-eo "démissionner"-verb-fr
"abdiko"-noun-eo "abdication"-noun-fr
"abdiko"-noun-eo "démission"-noun-fr
"abdomeno"-noun-eo "abdomen"-noun-fr
"abela"-adjective-eo "abélien"-adjective-fr
"abela"-adjective-eo "commutatif"-adjective-fr
"abeledo"-noun-eo "apidé"-noun-fr
"abelejo"-noun-eo "rucher"-noun-fr
"abelino"-noun-eo "abeille femelle"-noun-fr
"abelisto"-noun-eo "apiculteur"-noun-fr
"abelmanĝulo"-noun-eo "guêpier"-noun-fr
"abelo"-noun-eo "abeille"-noun-fr
"Abelo"-properNoun-eo "Abel"-properNoun-fr
"abelreĝino"-noun-eo "reine"-noun-fr
"abelŝedo"-noun-eo "rucher"-noun-fr
"abelsvarmo"-noun-eo "essaim"-noun-fr
"abelujo"-noun-eo "ruche"-noun-fr
"aberacio"-noun-eo "aberration"-noun-fr
"abio"-noun-eo "sapin"-noun-fr
"Abisenio"-properNoun-eo "Abyssinie"-properNoun-fr
"abisma"-adjective-eo "abyssal"-adjective-fr
"abisma"-adjective-eo "incommensurable"-adjective-fr
"abisma"-adjective-eo "insondable"-adjective-fr
"abisma"-adjective-eo "illimité"-adjective-fr
"abisma"-adjective-eo "infini"-adjective-fr
"abisma"-adjective-eo "profond"-adjective-fr
"abisme"-adverb-eo "incommensurablement"-adverb-fr
"abismo"-noun-eo "abime"-noun-fr
"abismo"-noun-eo "abysse"-noun-fr
"abismo"-noun-eo "gouffre"-noun-fr
"abismo"-noun-eo "précipice"-noun-fr
"abismo"-noun-eo "tréfonds"-noun-fr
"abismo"-noun-eo "abîme"-noun-fr
