"l"-noun-oc "l"-noun-es
"ne"-adverb-oc "ni siquiera"-adverb-es
"e"-coordinatingConjunction-oc "y"-coordinatingConjunction-es
"mas"-coordinatingConjunction-oc "pero"-coordinatingConjunction-es
"mas"-coordinatingConjunction-oc "sino"-coordinatingConjunction-es
"mai"-coordinatingConjunction-oc "pero"-coordinatingConjunction-es
"ni"-coordinatingConjunction-oc "ni"-coordinatingConjunction-es
"ne mai"-coordinatingConjunction-oc "ni"-coordinatingConjunction-es
"ni mai"-coordinatingConjunction-oc "ni"-coordinatingConjunction-es
"o"-coordinatingConjunction-oc "o"-coordinatingConjunction-es
"ò"-coordinatingConjunction-oc "o"-coordinatingConjunction-es
"que"-subordinatingConjunction-oc "que"-subordinatingConjunction-es
"que"-subordinatingConjunction-oc "de que"-subordinatingConjunction-es
"quand"-relativePronoun-oc "cuando"-relativePronoun-es
"quand"-relativePronoun-oc "en cuanto"-relativePronoun-es
"a l'entorn"-adverb-oc "alrededor"-adverb-es
"a"-preposition-oc "a"-preposition-es
"de"-preposition-oc "de"-preposition-es
"a causa de"-preposition-oc "debido a"-preposition-es
"a cargue de"-preposition-oc "a cargo de"-preposition-es
"a despiet de"-preposition-oc "a pesar de"-preposition-es
"a la demanda de"-preposition-oc "a petición de"-preposition-es
"al lòc de"-preposition-oc "en lugar de"-preposition-es
"al luòc de"-preposition-oc "en lugar de"-preposition-es
"a partir de"-preposition-oc "a partir de"-preposition-es
"a l'escasença de"-preposition-oc "con motivo de"-preposition-es
"mejançant"-preposition-oc "mediante"-preposition-es
"mejançant"-preposition-oc "por intermedio de"-preposition-es
"mejançant"-preposition-oc "por medio de"-preposition-es
"a trauèrs de"-preposition-oc "a través de"-preposition-es
"a travèrs de"-preposition-oc "a través de"-preposition-es
"cap a"-preposition-oc "hacia"-preposition-es
"coma"-preposition-oc "como"-preposition-es
"com"-preposition-oc "como"-preposition-es
"contra"-preposition-oc "contra"-preposition-es
"còntra"-preposition-oc "contra"-preposition-es
"cossent damb"-preposition-oc "acorde con"-preposition-es
"cossent damb"-preposition-oc "de acuerdo con"-preposition-es
"cossent damb"-preposition-oc "en consonancia con"-preposition-es
"darrièr"-adverb-oc "detrás"-adverb-es
"davant"-adverb-oc "a la cabeza"-adverb-es
"davant"-adverb-oc "al frente"-adverb-es
"davant"-adverb-oc "enfrente"-adverb-es
"davant"-adverb-oc "delante"-adverb-es
"demest"-preposition-oc "entre"-preposition-es
"demont de"-preposition-oc "sobre"-preposition-es
