English	Spanish	Correct/Wrong	Comments
first-adverb-en	primeramente-adverb-es		not sure, I'd say "firstly" or "in the fist place" instead
run-noun-en	corrida-noun-es	Wrong	
descend-verb-en	bajar-verb-es	Correct	
energetic-adjective-en	enérgico-adjective-es	Correct	
right away-adverb-en	inmediatamente-adverb-es	Correct	
close-verb-en	encerrar-verb-es	Correct	
general-adjective-en	global-adjective-es	Correct	rarely, I guess, but it could be a right translation
up to here-adverb-en	allí-adverb-es	Wrong	I'd say "hasta allí"
English-adjective-en	inglés-adjective-es	Correct	
rise-verb-en	subir-verb-es	Correct	
diverse-adjective-en	vario-adjective-es	Correct	
out there-adverb-en	allá-adverb-es	Correct	
hall-noun-en	portal-noun-es	Correct	rare translation but could happen (as "entrance area")
forty-five-numeral-en	cuarenta y cinco-numeral-es	Correct	
gale-noun-en	tormenta-noun-es	Correct	this is not an exact translation, though
tongue-noun-en	idioma-noun-es	Correct	
stage-noun-en	estadio-noun-es	Correct	
back-verb-en	sustentar-verb-es	Correct	
rise-noun-en	elevación-noun-es	Correct	
showy-adjective-en	afectado-adjective-es		interesting finding, but I cannot be sure
personality-noun-en	celebridad-noun-es	Correct	
the US-properNoun-en	EEUU-properNoun-es	Wrong	"los EEUU"
eighty-seven-numeral-en	ochenta y siete-numeral-es	Correct	
replace-verb-en	sustituir-verb-es	Correct	
insulate-verb-en	aislar-verb-es	Correct	
in Aragonese-adverb-en	en aragonés-adverb-es	Correct	
trouble-verb-en	molestar-verb-es	Correct	
enormous-adjective-en	mastodóntico-adjective-es	Correct	
two-numeral-en	dos-numeral-es	Correct	
gruesome-adjective-en	horrible-adjective-es	Correct	
wane-verb-en	declinar-verb-es	Correct	
Aragon-properNoun-en	Aragó-properNoun-es	Wrong	possibly a typo in the ES side? (it should be "Aragón")
in Norvegian-adverb-en	en noruego-adverb-es	Correct	
meanwhile-adverb-en	mientras tanto-adverb-es	Correct	
eighty-one-numeral-en	ochenta y uno-numeral-es	Correct	
famed-adjective-en	famoso-adjective-es	Correct	
Mediterranean-adjective-en	mediterráneo-adjective-es	Correct	
Florida-properNoun-en	Florido-properNoun-es	Wrong	the only Florida I know is also "Florida" in ES
couple-verb-en	acoplar-verb-es	Correct	
father-noun-en	pariente-noun-es	Wrong	
good-looking-adjective-en	bello-adjective-es	Correct	
plot-noun-en	conspiración-noun-es	Correct	
rise-noun-en	alta-noun-es	Wrong	It's close but I do not see it as a possible translation
extraneous-adjective-en	forastero-adjective-es	Wrong	not sure, though
comprehensive-adjective-en	amplio-adjective-es	Correct	
competition-noun-en	competidor-noun-es	Wrong	
swiftly-adverb-en	deprisa-adverb-es	Correct	
Mexico-properNoun-en	Estados Unidos Mexicanos-properNoun-es	Wrong	I'd say "Méjico"
shed-verb-en	verter-verb-es	Wrong	
Atlantic-properNoun-en	océano Atlántico-properNoun-es	Wrong	I'd say "Atlántico"
rascal-noun-en	pícaro-noun-es	Correct	
Mohammed-properNoun-en	Mohamed-properNoun-es	Correct	
shine-verb-en	lucir-verb-es	Correct	
Philip-properNoun-en	Philippe-properNoun-es	Wrong	
location-noun-en	emplazamiento-noun-es	Correct	
