								Y/N	Comments
tremendamente	adverb	spa	terriblemente	adverb	spa	0	0.84	Y	
sistemático	adjective	spa	sistémico	adjective	spa	0	0.84	N	
colapso	noun	spa	desplome	noun	spa	0	0.653333	Y	
ladera	noun	spa	costado	noun	spa	0	0.84	N	
compañero	noun	spa	camarada	noun	spa	0	0.746667	Y	
vocalista	noun	spa	cantante	noun	spa	0	0.84	Y	
caramelo	noun	spa	bombón	noun	spa	0	0.84	N	
explanada	noun	spa	llanura	noun	spa	0	0.746667	Y	
explorador	noun	spa	navegador	noun	spa	0	0.653333	Y	
arder	verb	spa	abrasar	verb	spa	0	0.98	Y	
entretanto	adverb	spa	entre tanto	adverb	spa	0	0.933333	Y	
por otra parte	adverb	spa	por otro lado	adverb	spa	0	1	Y	
gusto	noun	spa	cata	noun	spa	0	0.6	N	
risotada	noun	spa	carcajada	noun	spa	0	0.84	Y	
siquiera	adverb	spa	al menos	adverb	spa	0	1	Y	
desgraciado	adjective	spa	desdichado	adjective	spa	0	1	Y	
conclusión	noun	spa	final	noun	spa	0	0.746667	Y	
localidad	noun	spa	localización	noun	spa	0	0.533333	N	
apear	verb	spa	bajar	verb	spa	0	0.746667	Y	
porche	noun	spa	vestíbulo	noun	spa	0	0.533333	N	
galo	noun	spa	francés	noun	spa	0	0.746667	Y	
por lo general	adverb	spa	en general	adverb	spa	0	0.98	Y	
cola	noun	spa	rabo	noun	spa	0	1	Y	
problema	noun	spa	problemática	noun	spa	0	0.746667	Y	
encuestar	verb	spa	investigar	verb	spa	0	0.933333	N	
desenroscar	verb	spa	desatornillar	verb	spa	0	0.98	Y	
docente	adjective	spa	educativo	adjective	spa	0	0.98	Y	
avanzar	verb	spa	progresar	verb	spa	0	0.84	Y	
fundamentación	noun	spa	fundación	noun	spa	0	0.84	Y	
nieto	noun	spa	sobrino	noun	spa	0	0.98	N	
sospecha	noun	spa	desconfianza	noun	spa	0	0.533333	Y	
cient	numeral	spa	millar	numeral	spa	0	1	N	
impulsar	verb	spa	empujar	verb	spa	0	0.84	Y	
plazuela	noun	spa	plazoleta	noun	spa	0	0.833333	Y	
rama	noun	spa	ramo	noun	spa	0	0.84	N	
trueque	noun	spa	permuta	noun	spa	0	0.533333	Y	
viñedo	noun	spa	vid	noun	spa	0	1	Y	
entrada	noun	spa	ingreso	noun	spa	0	0.98	Y	
un	numeral	spa	uno	numeral	spa	0	1	Y	
grieta	noun	spa	hendedura	noun	spa	0	0.84	Y	
presupuestación	noun	spa	presupuesto	noun	spa	0	0.98	Y	
compañero	noun	spa	acompañante	noun	spa	0	0.98	Y	
baya	noun	spa	bahía	noun	spa	0	0.746667	N	
fuerza	noun	spa	pujanza	noun	spa	0	0.84	Y	
plano	adjective	spa	liso	adjective	spa	0	0.533333	Y	
cuanto antes	adverb	spa	a la mayor brevedad posible	adverb	spa	0	0.746667	Y	
feliz	adjective	spa	dichoso	adjective	spa	0	0.98	Y	
foráneo	adjective	spa	ajeno	adjective	spa	0	0.533333	Y	
boleto	noun	spa	tique	noun	spa	0	1	Y	
abono	noun	spa	estiércol	noun	spa	0	0.746667	Y	
necropsia	noun	spa	autopsia	noun	spa	0	0.746667	Y	
fundación	noun	spa	fundamento	noun	spa	0	0.533333	Y	
desleal	adjective	spa	infiel	adjective	spa	0	0.98	Y	
longitud	noun	spa	eslora	noun	spa	0	0.98	Y	
hoja	noun	spa	cuchilla	noun	spa	0	1	Y	
atribuíble	adjective	spa	atribuible	adjective	spa	0	0.666667	N	No lleva tilde
liderazgo	noun	spa	liderato	noun	spa	0	1	Y	
arriendo	noun	spa	arrendamiento	noun	spa	0	1	Y	
conducto	noun	spa	encañado	noun	spa	0	0.933333	Y	
sólo	adverb	spa	tan sólo	adverb	spa	0	1	Y	
mozo	noun	spa	niño	noun	spa	0	0.533333	Y	
abocar	verb	spa	escanciar	verb	spa	0	0.84	Y	
logo	noun	spa	logotipo	noun	spa	0	0.84	Y	
perno	noun	spa	caracol	noun	spa	0	0.533333	N	
a escape	adverb	spa	a todo gas	adverb	spa	0	0.746667	Y	
peleón	adjective	spa	pendenciero	adjective	spa	0	0.84	Y	
lucha	noun	spa	pugna	noun	spa	0	1	Y	
rodaja	noun	spa	tajada	noun	spa	0	0.84	Y	
