first	adverb	en	primeramente	adverb	es	Y
run	noun	en	corrida	noun	es	N
descend	verb	en	bajar	verb	es	Y
energetic	adjective	en	enérgico	adjective	es	Y
right away	adverb	en	inmediatamente	adverb	es	Y
close	verb	en	encerrar	verb	es	Y
general	adjective	en	global	adjective	es	Y
up to here	adverb	en	allí	adverb	es	N
English	adjective	en	inglés	adjective	es	Y
rise	verb	en	subir	verb	es	Y
diverse	adjective	en	vario	adjective	es	Y
out there	adverb	en	allá	adverb	es	Y
hall	noun	en	portal	noun	es	Y
forty	five	numeral	cuarenta y cinco	numeral	es	Y
gale	noun	en	tormenta	noun	es	Y
tongue	noun	en	idioma	noun	es	Y
stage	noun	en	estadio	noun	es	Y
back	verb	en	sustentar	verb	es	Y
rise	noun	en	elevación	noun	es	Y
showy	adjective	en	afectado	adjective	es	Y
personality	noun	en	celebridad	noun	es	Y
the US	properNoun	en	EEUU	properNoun	es	N
eighty	seven	numeral	ochenta y siete	numeral	es	Y
replace	verb	en	sustituir	verb	es	Y
insulate	verb	en	aislar	verb	es	Y
in Aragonese	adverb	en	en aragonés	adverb	es	Y
trouble	verb	en	molestar	verb	es	Y
enormous	adjective	en	mastodóntico	adjective	es	Y
two	numeral	en	dos	numeral	es	Y
gruesome	adjective	en	horrible	adjective	es	Y
wane	verb	en	declinar	verb	es	Y
Aragon	properNoun	en	Aragó	properNoun	es	N
in Norvegian	adverb	en	en noruego	adverb	es	Y
meanwhile	adverb	en	mientras tanto	adverb	es	Y
eighty	one	numeral	ochenta y uno	numeral	es	Y
famed	adjective	en	famoso	adjective	es	Y
Mediterranean	adjective	en	mediterráneo	adjective	es	Y
Florida	properNoun	en	Florido	properNoun	es	N
couple	verb	en	acoplar	verb	es	Y
father	noun	en	pariente	noun	es	N
good	looking	adjective	bello	adjective	es	Y
plot	noun	en	conspiración	noun	es	Y
rise	noun	en	alta	noun	es	N
extraneous	adjective	en	forastero	adjective	es	N
comprehensive	adjective	en	amplio	adjective	es	Y
competition	noun	en	competidor	noun	es	N
swiftly	adverb	en	deprisa	adverb	es	Y
Mexico	properNoun	en	Estados Unidos Mexicanos	properNoun	es	N
shed	verb	en	verter	verb	es	Y
Atlantic	properNoun	en	océano Atlántico	properNoun	es	N
rascal	noun	en	pícaro	noun	es	Y
Mohammed	properNoun	en	Mohamed	properNoun	es	Y
shine	verb	en	lucir	verb	es	Y
Philip	properNoun	en	Philippe	properNoun	es	N
location	noun	en	emplazamiento	noun	es	Y
pair	noun	en	pareja	noun	es	Y
over there	adverb	en	ahí	adverb	es	Y
four	numeral	en	cuatro	numeral	es	Y
attraction	noun	en	atractivo	noun	es	Y
the Netherlands	properNoun	en	Holanda	properNoun	es	Y
twenty	four	numeral	veinticuatro	numeral	es	Y
French	adjective	en	francés	adjective	es	Y
in German	adverb	en	en alemán	adverb	es	Y
chain	noun	en	canal	noun	es	N
Pedro	properNoun	en	Pierre	properNoun	es	N
business	noun	en	comercio	noun	es	Y
whole	adjective	en	total	adjective	es	Y
the Netherlands	properNoun	en	Países Bajos	properNoun	es	Y
goal	noun	en	finalidad	noun	es	Y
reach	verb	en	conseguir	verb	es	Y
enter	verb	en	entrar	verb	es	Y
nice	adjective	en	bonito	adjective	es	Y
Iranian	adjective	en	iraní	adjective	es	Y
conceivably	adverb	en	quizás	adverb	es	Y
US	properNoun	en	EEUU	properNoun	es	Y
end	noun	en	plazo	noun	es	N
a million	numeral	en	millón	numeral	es	Y
Navarra	properNoun	en	Nafarroa	properNoun	es	N
hall	noun	en	porche	noun	es	Y
farm	noun	en	hacienda	noun	es	Y
news	noun	en	comunicado	noun	es	N
male	noun	en	hombre	noun	es	Y
joint	adjective	en	colectivo	adjective	es	Y
Czech	adjective	en	checo	adjective	es	Y
liberate	verb	en	liberar	verb	es	Y
story	noun	en	relato	noun	es	Y
esteem	noun	en	apreciación	noun	es	Y
change	noun	en	intercambio	noun	es	N
obvious	adjective	en	evidente	adjective	es	Y
violently	adverb	en	violentamente	adverb	es	Y
underline	verb	en	enfatizar	verb	es	Y
everlasting	adjective	en	eterno	adjective	es	Y
array	noun	en	conjunto	noun	es	Y
lament	verb	en	lamentar	verb	es	Y
Danish	adjective	en	danés	adjective	es	Y
get hold of	verb	en	alcanzar	verb	es	Y
transplant	noun	en	transplante	noun	es	Y
sting	noun	en	pincho	noun	es	N
excessive	adjective	en	desmesurado	adjective	es	Y
personnel	noun	en	plantilla	noun	es	Y
support	verb	en	sostener	verb	es	Y
straight through	adverb	en	por completo	adverb	es	N
graduation	noun	en	gradación	noun	es	Y
here	adverb	en	allá	adverb	es	N
light up	verb	en	iluminar	verb	es	Y
continuous	adjective	en	incesante	adjective	es	Y
civil	adjective	en	amable	adjective	es	Y
clarify	verb	en	explicar	verb	es	Y
Scandinavian	adjective	en	escandinavo	adjective	es	Y
slacken	verb	en	soltar	verb	es	Y
gain	noun	en	adquisición	noun	es	Y
creation	noun	en	criatura	noun	es	N
sudden	adjective	en	inesperado	adjective	es	Y
Jordan	properNoun	en	Jourdain	properNoun	es	N
to the fore	adverb	en	a la cabeza	adverb	es	Y
sixty	one	numeral	sesenta y uno	numeral	es	Y
crew	noun	en	brigada	noun	es	N
reunion	noun	en	reunificación	noun	es	Y
nearby	adjective	en	próximo	adjective	es	Y
