"ac’h"-interjection-bre "arrg"-interjection-fra
"ac’hanta"-interjection-bre "alors"-interjection-fra
"a galon"-interjection-bre "cordialement"-interjection-fra
"a galon ganeoc’h"-interjection-bre "cordialement"-interjection-fra
"a galon ganit"-interjection-bre "cordialement"-interjection-fra
"aiou"-interjection-bre "aïe"-interjection-fra
"ai’ta"-interjection-bre "courage"-interjection-fra
"alo"-interjection-bre "allô"-interjection-fra
"aotrou ker"-interjection-bre "cher monsieur"-interjection-fra
"aotrounez ker"-interjection-bre "chers messieurs"-interjection-fra
"aotrouien ger"-interjection-bre "chers messieurs"-interjection-fra
"ata"-interjection-bre "alors"-interjection-fra
"azen gornek"-interjection-bre "âne bâté"-interjection-fra
"bec’h de’i"-interjection-bre "allons-y"-interjection-fra
"bec’h dezhi"-interjection-bre "allons-y"-interjection-fra
"bimbalaoñ"-interjection-bre "ding ding dong"-interjection-fra
"bis"-interjection-bre "bis"-interjection-fra
"biskoazh c’hoazh"-interjection-bre "ça alors"-interjection-fra
"biskoazh kement all"-interjection-bre "ça alors"-interjection-fra
"bloavezh mat"-interjection-bre "bonne année"-interjection-fra
"bloavezh mat d’an holl"-interjection-bre "bonne année à tous"-interjection-fra
"bloavezh mat dit"-interjection-bre "bonne année"-interjection-fra
"bloavezh mat deoc’h"-interjection-bre "bonne année"-interjection-fra
"bloavezh mat deoc’h-holl"-interjection-bre "bonne année à tous"-interjection-fra
"boñ"-interjection-bre "bon"-interjection-fra
"chañs vat"-interjection-bre "bonne chance"-interjection-fra
"dao"-interjection-bre "pan"-interjection-fra
"daoñ"-interjection-bre "toc"-interjection-fra
"d’ar c’hentañ gwel"-interjection-bre "à la prochaine"-interjection-fra
"deiz-ha-bloaz laouen"-interjection-bre "bon anniversaire"-interjection-fra
"deiz-ha-bloaz laouen d’an holl"-interjection-bre "bon anniversaire à tous"-interjection-fra
"deiz-ha-bloaz laouen dit"-interjection-bre "bon anniversaire"-interjection-fra
"deiz-ha-bloaz laouen deoc’h"-interjection-bre "bon anniversaire"-interjection-fra
"deiz-ha-bloaz laouen deoc’h-holl"-interjection-bre "bon anniversaire à tous"-interjection-fra
"demat"-interjection-bre "bonjour"-interjection-fra
"demat d’an holl"-interjection-bre "bonjour à tous"-interjection-fra
"demat dit"-interjection-bre "bonjour"-interjection-fra
"demat deoc’h"-interjection-bre "bonjour"-interjection-fra
"demat deoc’h-holl"-interjection-bre "bonjour à tous"-interjection-fra
"digatra"-interjection-bre "tralalère"-interjection-fra
"dimezell ger"-interjection-bre "chère mademoiselle"-interjection-fra
"dimezelled ker"-interjection-bre "chères mesdemoiselles"-interjection-fra
"ec’h"-interjection-bre "berk"-interjection-fra
"fin"-interjection-bre "enfin"-interjection-fra
"evel-se bezet graet"-interjection-bre "ainsi soit-il"-interjection-fra
"gouel laouen"-interjection-bre "bonne fête"-interjection-fra
"gouel laouen d’an holl"-interjection-bre "bonne fête à tous"-interjection-fra
"gouel laouen dit"-interjection-bre "bonne fête"-interjection-fra
"gouel laouen deoc’h"-interjection-bre "bonne fête"-interjection-fra
"gouel laouen deoc’h-holl"-interjection-bre "bonne fête à tous"-interjection-fra
"gouel mat"-interjection-bre "bonne fête"-interjection-fra
"gouel mat d’an holl"-interjection-bre "bonne fête à tous"-interjection-fra
"gouel mat dit"-interjection-bre "bonne fête"-interjection-fra
"gouel mat deoc’h"-interjection-bre "bonne fête"-interjection-fra
"gouel mat deoc’h-holl"-interjection-bre "bonne fête à tous"-interjection-fra
"gwenn da ved"-interjection-bre "que la paix soit avec toi"-interjection-fra
"gwenn ho ped"-interjection-bre "que la paix soit avec vous"-interjection-fra
"ha"-interjection-bre "ah"-interjection-fra
"hama"-interjection-bre "eh bien"-interjection-fra
"hañ"-interjection-bre "hein"-interjection-fra
"heu"-interjection-bre "heu"-interjection-fra
"hopala"-interjection-bre "attention"-interjection-fra
"Hosanna"-interjection-bre "Hosanna"-interjection-fra
"it e peoc’h"-interjection-bre "allez en paix"-interjection-fra
"itron ger"-interjection-bre "chère madame"-interjection-fra
"itronezed ker"-interjection-bre "chères mesdames"-interjection-fra
"kalon"-interjection-bre "courage"-interjection-fra
"kalon deoc’h"-interjection-bre "bon courage"-interjection-fra
"kalon dit"-interjection-bre "bon courage"-interjection-fra
"kea"-interjection-bre "quoi"-interjection-fra
"ken ar c’hentañ"-interjection-bre "à la prochaine"-interjection-fra
"ken ar c’hentañ gweled"-interjection-bre "à la prochaine"-interjection-fra
"ken ar c’hentañ tro"-interjection-bre "à la prochaine"-interjection-fra
"ken ar wezh all"-interjection-bre "à la prochaine"-interjection-fra
"kenavo"-interjection-bre "au revoir"-interjection-fra
"kenavo ar c’hentañ"-interjection-bre "au revoir et à la prochaine"-interjection-fra
"kenavo ar c’hentañ gweled"-interjection-bre "au revoir et à la prochaine"-interjection-fra
"kenavo ar wezh all"-interjection-bre "au revoir et à la prochaine"-interjection-fra
"kenavo d’an holl"-interjection-bre "au revoir à tous"-interjection-fra
"kenavo dit"-interjection-bre "au revoir"-interjection-fra
"kenavo deoc’h"-interjection-bre "au revoir"-interjection-fra
"kenavo deoc’h-holl"-interjection-bre "au revoir à tous"-interjection-fra
"ken bremaik"-interjection-bre "à tout à l’heure"-interjection-fra
"ken bremazont"-interjection-bre "à tout à l’heure"-interjection-fra
"ken digwener"-interjection-bre "à vendredi"-interjection-fra
"ken dilun"-interjection-bre "à lundi"-interjection-fra
"ken diouzhtu"-interjection-bre "à tout de suite"-interjection-fra
"ken diriaou"-interjection-bre "à jeudi"-interjection-fra
"ken dimerc’her"-interjection-bre "à mercredi"-interjection-fra
"ken dimeurzh"-interjection-bre "à mardi"-interjection-fra
"ken disadorn"-interjection-bre "à samedi"-interjection-fra
"ken disul"-interjection-bre "à dimanche"-interjection-fra
"ken diwezhatoc’h"-interjection-bre "à tout à l’heure"-interjection-fra
"ken diwezhatoc’hik"-interjection-bre "à plus"-interjection-fra
"keneil ker"-interjection-bre "cher ami"-interjection-fra
"keneilez ker"-interjection-bre "chère amie"-interjection-fra
"keneiled ker"-interjection-bre "chers amis"-interjection-fra
"keneilezed ker"-interjection-bre "chères amies"-interjection-fra
"ken e vi gwelet"-interjection-bre "à la prochaine"-interjection-fra
"ken e vi lennet"-interjection-bre "à te lire"-interjection-fra
"kentañ tro"-interjection-bre "à la prochaine"-interjection-fra
"ken tuch"-interjection-bre "à plus"-interjection-fra
"ken tuchant"-interjection-bre "à tout à l’heure"-interjection-fra
"ken tuchantik"-interjection-bre "à tout à l’heure"-interjection-fra
"kenvroad ker"-interjection-bre "cher compatriote"-interjection-fra
"kenvroadez ker"-interjection-bre "chère compatriote"-interjection-fra
"kenvroiz ker"-interjection-bre "chers compatriotes"-interjection-fra
