"2-3-5 system"-noun-eng "sistema 2-3-5"-noun-cat
"3GPP"-noun-eng "3GPP"-noun-cat
"4-2-4 system"-noun-eng "sistema 4-2-4"-noun-cat
"4-3-3 system"-noun-eng "sistema 4-3-3"-noun-cat
"4-4-2 system"-noun-eng "sistema 4-4-2"-noun-cat
"abaca"-noun-eng "abacà"-noun-cat
"abacus"-noun-eng "àbac"-noun-cat
"abalone"-noun-eng "orella de mar"-noun-cat
"abampere"-noun-eng "abampere"-noun-cat
"abandonment"-noun-eng "abandonament"-noun-cat
"abandonment"-noun-eng "abandó"-noun-cat
"abatement"-noun-eng "reducció"-noun-cat
"abattoir"-noun-eng "escorxador"-noun-cat
"abbess"-noun-eng "abat"-noun-cat
"abbey"-noun-eng "abadia"-noun-cat
"abbot"-noun-eng "abat"-noun-cat
"abbreviation"-noun-eng "abreviatura"-noun-cat
"abdication"-noun-eng "abdicació"-noun-cat
"abdomen"-noun-eng "abdomen"-noun-cat
"abdomen"-noun-eng "ventre"-noun-cat
"abduction"-noun-eng "abducció"-noun-cat
"aberration"-noun-eng "aberració"-noun-cat
"ability"-noun-eng "capacitat"-noun-cat
"ability"-noun-eng "habilitat"-noun-cat
"abiogenesis"-noun-eng "abiogènesi"-noun-cat
"abjuration"-noun-eng "abjuració"-noun-cat
"ablation"-noun-eng "ablació"-noun-cat
"ablative"-noun-eng "ablatiu"-noun-cat
"ablution"-noun-eng "ablució"-noun-cat
"abnegation"-noun-eng "abnegació"-noun-cat
"abnormality"-noun-eng "anormalitat"-noun-cat
"abode"-noun-eng "domicili"-noun-cat
"abode"-noun-eng "estatge"-noun-cat
"abolitionism"-noun-eng "abolicionisme"-noun-cat
"abolitionist"-noun-eng "abolicionista"-noun-cat
"abolition"-noun-eng "abolició"-noun-cat
"abomination"-noun-eng "abominació"-noun-cat
"aborigine"-noun-eng "aborigen"-noun-cat
"abortionist"-noun-eng "avortista"-noun-cat
"abortion"-noun-eng "avortament"-noun-cat
"abrasiometer"-noun-eng "abrasímetre"-noun-cat
"abrasion"-noun-eng "abrasió"-noun-cat
"abrasive"-noun-eng "abrasiu"-noun-cat
"abrogation"-noun-eng "abrogació"-noun-cat
"abruptness"-noun-eng "brusquedat"-noun-cat
"abscess"-noun-eng "abscés"-noun-cat
"abscissa"-noun-eng "abscissa"-noun-cat
"absence"-noun-eng "absència"-noun-cat
"absenteeism"-noun-eng "absentisme"-noun-cat
"absolution"-noun-eng "absolució"-noun-cat
"absolutism"-noun-eng "absolutisme"-noun-cat
"absorbance"-noun-eng "absorbància"-noun-cat
"absorbent"-noun-eng "absorbent"-noun-cat
"absorber"-noun-eng "absorbidor"-noun-cat
"absorptiometer"-noun-eng "absorciòmetre"-noun-cat
"absorptiometry"-noun-eng "absorciometria"-noun-cat
"absorption"-noun-eng "absorbiment"-noun-cat
"absorption"-noun-eng "absorció"-noun-cat
"absorptivity"-noun-eng "absortivitat"-noun-cat
"abstemiousness"-noun-eng "sobrietat"-noun-cat
"abstentionism"-noun-eng "abstencionisme"-noun-cat
"abstentionist"-noun-eng "abstencionista"-noun-cat
"abstention"-noun-eng "abstenció"-noun-cat
"abstinence"-noun-eng "abstinència"-noun-cat
"abstractionism"-noun-eng "abstraccionisme"-noun-cat
"abstraction"-noun-eng "abstracció"-noun-cat
"absurdity"-noun-eng "absurditat"-noun-cat
"abulia"-noun-eng "abúlia"-noun-cat
"abundance"-noun-eng "abundància"-noun-cat
"abuse of power"-noun-eng "abús de poder"-noun-cat
"abuse"-noun-eng "abús"-noun-cat
"abvolt"-noun-eng "abvolt"-noun-cat
"abyss"-noun-eng "abisme"-noun-cat
"acacia"-noun-eng "acàcia"-noun-cat
"academician"-noun-eng "acadèmic"-noun-cat
"academism"-noun-eng "academicisme"-noun-cat
"academy"-noun-eng "acadèmia"-noun-cat
"acanthocyte"-noun-eng "acantòcit"-noun-cat
"acanthocytosis"-noun-eng "acantocitosi"-noun-cat
"acanthosis"-noun-eng "acantosi"-noun-cat
"acanthosome"-noun-eng "acantosoma"-noun-cat
"acanthus"-noun-eng "acant"-noun-cat
"acaricide"-noun-eng "acaricida"-noun-cat
"acarus"-noun-eng "àcar"-noun-cat
"acceleration"-noun-eng "acceleració"-noun-cat
"accelerator"-noun-eng "accelerador"-noun-cat
"accelerometer"-noun-eng "acceleròmetre"-noun-cat
"accent"-noun-eng "accent"-noun-cat
"accentuation"-noun-eng "accentuació"-noun-cat
"acceptance"-noun-eng "acceptació"-noun-cat
"acceptor"-noun-eng "acceptor"-noun-cat
"access code"-noun-eng "clau d'accés"-noun-cat
"accessibility"-noun-eng "accessibilitat"-noun-cat
"accession"-noun-eng "accessió"-noun-cat
"accessory"-noun-eng "accessori"-noun-cat
"access"-noun-eng "accés"-noun-cat
"accident"-noun-eng "accident"-noun-cat
"acclamation"-noun-eng "aclamació"-noun-cat
"acclimatisation"-noun-eng "aclimatació"-noun-cat
"accolade"-noun-eng "guardó"-noun-cat
"accommodation"-noun-eng "allotjament"-noun-cat
"accommodation"-noun-eng "hostalatge"-noun-cat
"accommodation"-noun-eng "hostatge"-noun-cat
"accompaniment"-noun-eng "acompanyament"-noun-cat
"accomplice"-noun-eng "còmplice"-noun-cat
"accomplishment"-noun-eng "fita"-noun-cat
"accordion"-noun-eng "acordió"-noun-cat
"accord"-noun-eng "acord"-noun-cat
"accountability"-noun-eng "comptabilitat"-noun-cat
"accountancy"-noun-eng "comptabilitat"-noun-cat
"accountant"-noun-eng "comptable"-noun-cat
"account number"-noun-eng "número de compte"-noun-cat
"accounting"-noun-eng "comptabilitat"-noun-cat
"account"-noun-eng "compte"-noun-cat
"account"-noun-eng "narració"-noun-cat
"account"-noun-eng "relació"-noun-cat
"accreditation"-noun-eng "acreditació"-noun-cat
"accretion"-noun-eng "acreció"-noun-cat
"acculturation"-noun-eng "aculturació"-noun-cat
"accumulation"-noun-eng "acumulació"-noun-cat
"accumulator"-noun-eng "acumulador"-noun-cat
"accuracy"-noun-eng "exactitud"-noun-cat
"accuracy"-noun-eng "precisió"-noun-cat
"accusation"-noun-eng "acusació"-noun-cat
"accused"-noun-eng "acusat"-noun-cat
"accuser"-noun-eng "acusador"-noun-cat
"acephalia"-noun-eng "acefàlia"-noun-cat
"acephalia"-noun-eng "acefàlia"-noun-cat
"ace"-noun-eng "as"-noun-cat
"acetabulum"-noun-eng "acetàbul"-noun-cat
"acetal"-noun-eng "acetal"-noun-cat
"acetate"-noun-eng "acetat"-noun-cat
"acetification"-noun-eng "acetificació"-noun-cat
"acetoacetate"-noun-eng "acetoacetat"-noun-cat
"acetone"-noun-eng "acetona"-noun-cat
"acetophenone"-noun-eng "acetofenona"-noun-cat
"acetylcholine"-noun-eng "acetilcolina"-noun-cat
"acetylene"-noun-eng "acetilè"-noun-cat
"acetyl"-noun-eng "acetil"-noun-cat
"ache"-noun-eng "dolor"-noun-cat
"achievement"-noun-eng "consecució"-noun-cat
"achroite"-noun-eng "acroïta"-noun-cat
"acid rain"-noun-eng "pluja àcida"-noun-cat
"acidification"-noun-eng "acidificació"-noun-cat
"acidimeter"-noun-eng "acidímetre"-noun-cat
"acidimetry"-noun-eng "acidimetria"-noun-cat
"acidity"-noun-eng "acidesa"-noun-cat
"acidosis"-noun-eng "acidosi"-noun-cat
"acid"-noun-eng "àcid"-noun-cat
"acknowledgement"-noun-eng "reconeixement"-noun-cat
"acknowledgment"-noun-eng "reconeixement"-noun-cat
"acme"-noun-eng "acme"-noun-cat
"acne"-noun-eng "acne"-noun-cat
"acnode"-noun-eng "acnode"-noun-cat
"aconite"-noun-eng "acònit"-noun-cat
"acorn"-noun-eng "bellota"-noun-cat
"acorn"-noun-eng "gla"-noun-cat
"acoustics"-noun-eng "acústica"-noun-cat
"acquaintance"-noun-eng "conegut"-noun-cat
"acquisition"-noun-eng "adquisició"-noun-cat
"acre"-noun-eng "acre"-noun-cat
"acrobatics"-noun-eng "acrobàcia"-noun-cat
"acrobat"-noun-eng "acròbata"-noun-cat
"acrolein"-noun-eng "acroleïna"-noun-cat
"acromegaly"-noun-eng "acromegàlia"-noun-cat
"acromion"-noun-eng "acromi"-noun-cat
"acronym"-noun-eng "acrònim"-noun-cat
"acronym"-noun-eng "sigla"-noun-cat
"acrosome"-noun-eng "acrosoma"-noun-cat
"acryl"-noun-eng "acrilat"-noun-cat
"act of God"-noun-eng "cas fortuït"-noun-cat
"act of nature"-noun-eng "cas fortuït"-noun-cat
"actinide"-noun-eng "actínid"-noun-cat
"actinium"-noun-eng "actini"-noun-cat
"actinogram"-noun-eng "actinograma"-noun-cat
"actinograph"-noun-eng "actinògraf"-noun-cat
"actinolite"-noun-eng "actinolita"-noun-cat
"actinometer"-noun-eng "actinòmetre"-noun-cat
"actinometry"-noun-eng "actinometria"-noun-cat
"actinometry"-noun-eng "actinometria"-noun-cat
"actin"-noun-eng "actina"-noun-cat
"action"-noun-eng "acció"-noun-cat
"activation"-noun-eng "activació"-noun-cat
"activator"-noun-eng "activador"-noun-cat
"ActiveX"-noun-eng "ActiveX"-noun-cat
"activism"-noun-eng "activisme"-noun-cat
"activist"-noun-eng "activista"-noun-cat
"activity"-noun-eng "activitat"-noun-cat
"actomyosin"-noun-eng "actomiosina"-noun-cat
"actor"-noun-eng "actor"-noun-cat
"actress"-noun-eng "actor"-noun-cat
"act"-noun-eng "acció"-noun-cat
"act"-noun-eng "acte"-noun-cat
"act"-noun-eng "llei"-noun-cat
"actualism"-noun-eng "actualisme"-noun-cat
"actuality"-noun-eng "actualitat"-noun-cat
"actuary"-noun-eng "actuari"-noun-cat
"actuator"-noun-eng "accionador"-noun-cat
"actuator"-noun-eng "actuador"-noun-cat
"acuity"-noun-eng "acuïtat"-noun-cat
"acupuncture"-noun-eng "acupuntura"-noun-cat
"acuteness"-noun-eng "agudesa"-noun-cat
"acyclicity"-noun-eng "aciclicitat"-noun-cat
"adage"-noun-eng "adagi"-noun-cat
"adaptability"-noun-eng "adaptabilitat"-noun-cat
"adaptation"-noun-eng "adaptació"-noun-cat
"adapter"-noun-eng "adaptador"-noun-cat
"adaptor"-noun-eng "adaptador"-noun-cat
"ad hoc network"-noun-eng "xarxa ad hoc"-noun-cat
"addend"-noun-eng "sumand"-noun-cat
"addendum"-noun-eng "addenda"-noun-cat
"adder"-noun-eng "sumador"-noun-cat
"addiction"-noun-eng "addicció"-noun-cat
"addict"-noun-eng "addicte"-noun-cat
"addition"-noun-eng "addició"-noun-cat
"addition"-noun-eng "afegit"-noun-cat
"additive"-noun-eng "additiu"-noun-cat
"additivity"-noun-eng "additivitat"-noun-cat
"addressability"-noun-eng "adreçabilitat"-noun-cat
"addressee"-noun-eng "destinatari"-noun-cat
"address"-noun-eng "adreça"-noun-cat
"address"-noun-eng "al·locució"-noun-cat
"address"-noun-eng "direcció"-noun-cat
"adenine"-noun-eng "adenina"-noun-cat
"adenohypophysis"-noun-eng "adenohipòfisi"-noun-cat
"adenoidectomy"-noun-eng "adenoïdectomia"-noun-cat
"adenoma"-noun-eng "adenoma"-noun-cat
"adenomatosis"-noun-eng "adenomatosi"-noun-cat
"adenopathy"-noun-eng "adenopatia"-noun-cat
"adenosine triphosphate"-noun-eng "trifosfat d'adenosina"-noun-cat
"adenosine"-noun-eng "adenosina"-noun-cat
"adenosinetriphosphatase"-noun-eng "adenosinatrifosfatasa"-noun-cat
"adept"-noun-eng "expert"-noun-cat
"adherence"-noun-eng "adherència"-noun-cat
"adherence"-noun-eng "adhesió"-noun-cat
"adherent"-noun-eng "partidari"-noun-cat
"adhesion"-noun-eng "adhesió"-noun-cat
"adhesive"-noun-eng "adhesiu"-noun-cat
"adhocracy"-noun-eng "adhocràcia"-noun-cat
"adipate"-noun-eng "adipat"-noun-cat
"adipoblast"-noun-eng "adipoblast"-noun-cat
"adipocyte"-noun-eng "adipòcit"-noun-cat
"adiposis"-noun-eng "adiposi"-noun-cat
