"10a"-adjective-epo "Xème"-adjective-fra
"10a"-numeral-epo "X"-numeral-fra
"11a"-adjective-epo "XIème"-adjective-fra
"11a"-numeral-epo "XI"-numeral-fra
"12a"-adjective-epo "XIIème"-adjective-fra
"12a"-numeral-epo "XII"-numeral-fra
"13a"-adjective-epo "XIIIème"-adjective-fra
"13a"-numeral-epo "XIII"-numeral-fra
"14a"-adjective-epo "XIVème"-adjective-fra
"14a"-numeral-epo "XIV"-numeral-fra
"15a"-adjective-epo "XVème"-adjective-fra
"15a"-numeral-epo "XV"-numeral-fra
"16a"-adjective-epo "XVIème"-adjective-fra
"16a"-numeral-epo "XVI"-numeral-fra
"17a"-adjective-epo "XVIIème"-adjective-fra
"17a"-numeral-epo "XVII"-numeral-fra
"18a"-adjective-epo "XVIIIème"-adjective-fra
"18a"-numeral-epo "XVIII"-numeral-fra
"19a"-adjective-epo "XIXème"-adjective-fra
"19a"-numeral-epo "XIX"-numeral-fra
"1a"-adjective-epo "1er"-adjective-fra
"1a"-adjective-epo "Ier"-adjective-fra
"1a"-numeral-epo "I"-numeral-fra
"20a"-adjective-epo "XXème"-adjective-fra
"20a"-numeral-epo "XX"-numeral-fra
"21a"-adjective-epo "XXIème"-adjective-fra
"21a"-numeral-epo "XXI"-numeral-fra
"22a"-adjective-epo "XXIIème"-adjective-fra
"22a"-numeral-epo "XXII"-numeral-fra
"23a"-adjective-epo "XXIIIème"-adjective-fra
"23a"-numeral-epo "XXIII"-numeral-fra
"2a"-adjective-epo "2nd"-adjective-fra
"2a"-adjective-epo "IIème"-adjective-fra
"2a"-adjective-epo "IInd"-adjective-fra
"2a"-numeral-epo "II"-numeral-fra
"3a"-adjective-epo "IIIème"-adjective-fra
"3a"-numeral-epo "III"-numeral-fra
"4a"-adjective-epo "IVème"-adjective-fra
"4a"-numeral-epo "IV"-numeral-fra
"50a"-adjective-epo "Lème"-adjective-fra
"5a"-adjective-epo "Vème"-adjective-fra
"5a"-numeral-epo "V"-numeral-fra
"6a"-adjective-epo "VIème"-adjective-fra
"6a"-numeral-epo "VI"-numeral-fra
"7a"-adjective-epo "VIIème"-adjective-fra
"7a"-numeral-epo "VII"-numeral-fra
"8a"-adjective-epo "VIIIème"-adjective-fra
"8a"-numeral-epo "VIII"-numeral-fra
"9a"-adjective-epo "IXème"-adjective-fra
"9a"-numeral-epo "IX"-numeral-fra
","-comma-epo ","-comma-fra
"-"-punctuation-epo "-"-punctuation-fra
"..."-punctuation-epo "..."-punctuation-fra
"Aalst"-properNoun-epo "Aalst"-properNoun-fra
"Aarschot"-properNoun-epo "Aarschot"-properNoun-fra
"abako"-noun-epo "abaque"-noun-fra
"abako"-noun-epo "boulier"-noun-fra
"abako"-noun-epo "nomogramme"-noun-fra
"abako"-noun-epo "table"-noun-fra
"abandoni"-verb-epo "faire un abandonnement"-verb-fra
"abandono"-noun-epo "abandonnement"-noun-fra
"abasido"-noun-epo "Abbasside"-noun-fra
"Abaso"-properNoun-epo "Abbas"-properNoun-fra
"abatejo"-noun-epo "abbaye"-noun-fra
"abatinejo"-noun-epo "abbaye"-noun-fra
"abato"-noun-epo "abbé"-noun-fra
"abato"-noun-epo "abbesse"-noun-fra
"ABB"-properNoun-epo "ABB"-properNoun-fra
"Abbeville"-properNoun-epo "Abbeville"-properNoun-fra
"Abbott"-properNoun-epo "Abbott"-properNoun-fra
"Abbott Laboratories"-properNoun-epo "Abbott Laboratories"-properNoun-fra
"ABC"-properNoun-epo "ABC"-properNoun-fra
"abdiki"-verb-epo "abdiquer"-verb-fra
"abdiki"-verb-epo "démettre"-verb-fra
"abdiki"-verb-epo "démissionner"-verb-fra
"abdiko"-noun-epo "abdication"-noun-fra
"abdiko"-noun-epo "démission"-noun-fra
"abdomeno"-noun-epo "abdomen"-noun-fra
"abela"-adjective-epo "abélien"-adjective-fra
"abela"-adjective-epo "commutatif"-adjective-fra
"abeledo"-noun-epo "apidé"-noun-fra
"abelejo"-noun-epo "rucher"-noun-fra
"abelino"-noun-epo "abeille femelle"-noun-fra
"abelisto"-noun-epo "apiculteur"-noun-fra
"abelmanĝulo"-noun-epo "guêpier"-noun-fra
"abelo"-noun-epo "abeille"-noun-fra
"Abelo"-properNoun-epo "Abel"-properNoun-fra
"abelreĝino"-noun-epo "reine"-noun-fra
"abelŝedo"-noun-epo "rucher"-noun-fra
"abelsvarmo"-noun-epo "essaim"-noun-fra
"abelujo"-noun-epo "ruche"-noun-fra
"aberacio"-noun-epo "aberration"-noun-fra
"Abidarmo"-properNoun-epo "abhidharma"-noun-fra
"abio"-noun-epo "sapin"-noun-fra
"Abisenio"-properNoun-epo "Abyssinie"-properNoun-fra
"abisma"-adjective-epo "abyssal"-adjective-fra
"abisma"-adjective-epo "incommensurable"-adjective-fra
"abisma"-adjective-epo "insondable"-adjective-fra
"abisma"-adjective-epo "illimité"-adjective-fra
"abisma"-adjective-epo "infini"-adjective-fra
"abisma"-adjective-epo "profond"-adjective-fra
"abisme"-adverb-epo "incommensurablement"-adverb-fra
"abismo"-noun-epo "abime"-noun-fra
"abismo"-noun-epo "abysse"-noun-fra
"abismo"-noun-epo "gouffre"-noun-fra
"abismo"-noun-epo "précipice"-noun-fra
"abismo"-noun-epo "tréfonds"-noun-fra
"abismo"-noun-epo "abîme"-noun-fra
"abiturienteco"-noun-epo "baccalauréat"-noun-fra
"abituriento"-noun-epo "bachelier"-noun-fra
"ablacio"-noun-epo "ablation"-noun-fra
"ablativa"-adjective-epo "ablatif"-adjective-fra
"ablativo"-noun-epo "ablatif"-noun-fra
"abnegacia"-adjective-epo "désintéressé"-adjective-fra
"abnegacia"-adjective-epo "détaché"-adjective-fra
"abnegacio"-noun-epo "abnégation"-noun-fra
"abnegacio"-noun-epo "désintéressement"-noun-fra
"aboco"-noun-epo "abécédaire"-noun-fra
"aboco"-noun-epo "rudiment"-noun-fra
"aboco"-noun-epo "alphabet"-noun-fra
"aboco"-properNoun-epo "ABC"-properNoun-fra
"abocolibro"-noun-epo "abécédaire"-noun-fra
"abocolibro"-properNoun-epo "ABC"-properNoun-fra
"aboli"-verb-epo "abolir"-verb-fra
"aboli"-verb-epo "abroger"-verb-fra
"aboli"-verb-epo "annuler"-verb-fra
"abolicii"-verb-epo "abroger"-verb-fra
"abolicii"-verb-epo "abolir"-verb-fra
"abolicii"-verb-epo "annuler"-verb-fra
"abolicio"-noun-epo "abolition"-noun-fra
"abolo"-noun-epo "abolition"-noun-fra
"abomena"-adjective-epo "abominable"-adjective-fra
"abomena"-adjective-epo "dégoûtant"-adjective-fra
"abomena"-adjective-epo "détestable"-adjective-fra
"abomena"-adjective-epo "répugnant"-adjective-fra
"abomena"-adjective-epo "horrible"-adjective-fra
"abomenaĵo"-noun-epo "atrocité"-noun-fra
"abomenaĵo"-noun-epo "ignominie"-noun-fra
"abomenaĵo"-noun-epo "abomination"-noun-fra
"abomenaĵo"-noun-epo "honte"-noun-fra
"abomenaĵo"-noun-epo "horreur"-noun-fra
"abomene"-adverb-epo "abominablement"-adverb-fra
"abomene"-adverb-epo "détestablement"-adverb-fra
"abomene"-adverb-epo "horriblement"-adverb-fra
"abomeni"-verb-epo "abhorrer"-verb-fra
"abomeni"-verb-epo "abominer"-verb-fra
