"'Ndrangheta"-properNoun-fra "'Ndrangheta"-properNoun-cat
"10ème"-adjective-fra "10"-adjective-cat
"11ème"-adjective-fra "11"-adjective-cat
"12ème"-adjective-fra "12"-adjective-cat
"13ème"-adjective-fra "13"-adjective-cat
"14ème"-adjective-fra "14"-adjective-cat
"15ème"-adjective-fra "15"-adjective-cat
"16ème"-adjective-fra "16"-adjective-cat
"17ème"-adjective-fra "17"-adjective-cat
"18ème"-adjective-fra "18"-adjective-cat
"19ème"-adjective-fra "19"-adjective-cat
"1er"-adjective-fra "1"-adjective-cat
"1er"-adjective-fra "1"-adjective-cat
"20 minutos"-properNoun-fra "20 minutos"-properNoun-cat
"20ème"-adjective-fra "20"-adjective-cat
"2ème"-adjective-fra "2"-adjective-cat
"2G"-noun-fra "2G"-noun-cat
"2nd"-adjective-fra "2"-adjective-cat
"3ème"-adjective-fra "3"-adjective-cat
"3G"-noun-fra "3G"-noun-cat
"3xl.net"-properNoun-fra "3xl.net"-properNoun-cat
"4ème"-adjective-fra "4"-adjective-cat
"4G"-noun-fra "4G"-noun-cat
"5ème"-adjective-fra "5"-adjective-cat
"5G"-noun-fra "5G"-noun-cat
"6ème"-adjective-fra "6"-adjective-cat
"6G"-noun-fra "6G"-noun-cat
"7ème"-adjective-fra "7"-adjective-cat
"8ème"-adjective-fra "8"-adjective-cat
"9ème"-adjective-fra "9"-adjective-cat
"@teneu"-properNoun-fra "@teneu"-properNoun-cat
"à"-preposition-fra "a"-preposition-cat
"à"-preposition-fra "amb"-preposition-cat
"à"-preposition-fra "de"-preposition-cat
"à"-preposition-fra "en"-preposition-cat
"à"-preposition-fra "cap a"-preposition-cat
"à bientôt"-interjection-fra "fins aviat"-interjection-cat
"à bientôt"-interjection-fra "fins prompte"-interjection-cat
"à tout à l'heure"-interjection-fra "fins ara"-interjection-cat
"à bord"-adverb-fra "a bord"-adverb-cat
"à cause de"-preposition-fra "a causa de"-preposition-cat
"à cause de"-preposition-fra "per culpa de"-preposition-cat
"à cause que"-subordinatingConjunction-fra "a causa que"-subordinatingConjunction-cat
"à cheval"-adverb-fra "a cavall"-adverb-cat
"à contrecœur"-adverb-fra "a desgrat"-adverb-cat
"à côté"-adverb-fra "al costat"-adverb-cat
"à côté de"-preposition-fra "al costat de"-preposition-cat
"à coup sûr"-adverb-fra "de ben segur"-adverb-cat
"à court terme"-adverb-fra "a curt termini"-adverb-cat
"à craquer"-adverb-fra "de gom a gom"-adverb-cat
"à droite"-adverb-fra "a la dreta"-adverb-cat
"à échelle"-adverb-fra "a escala"-adverb-cat
"à elle"-adjective-fra "seu"-adjective-cat
"à eux"-adjective-fra "seu"-adjective-cat
"à feu et à sang"-adverb-fra "a matadegolla"-adverb-cat
"a fortiori"-adverb-fra "amb més raó"-adverb-cat
"à gauche"-adverb-fra "a l'esquerra"-adverb-cat
"à genoux"-adverb-fra "de genollons"-adverb-cat
"à genoux"-adverb-fra "de genolls"-adverb-cat
"à grand-peine"-adverb-fra "difícilment"-adverb-cat
"à grand-peine"-adverb-fra "amb penes i treballs"-adverb-cat
"à grande échelle"-adverb-fra "a gran escala"-adverb-cat
"à haute voix"-adverb-fra "en veu alta"-adverb-cat
"à huis clos"-adverb-fra "a porta tancada"-adverb-cat
"à juste titre"-adverb-fra "merescudament"-adverb-cat
"à l'abattage"-adverb-fra "a baix preu"-adverb-cat
"à l'abattage"-adverb-fra "a preus rebentats"-adverb-cat
"à l'abattage"-adverb-fra "a un preu rebentat"-adverb-cat
"à l'affilée"-adverb-fra "un darrere l'altre"-adverb-cat
"à l'aise"-adjective-fra "còmode"-adjective-cat
"mal à l'aise"-adjective-fra "incòmode"-adjective-cat
"à l'automne"-adverb-fra "a la tardor"-adverb-cat
"à l'avance"-adverb-fra "abans"-adverb-cat
"à l'écart"-adverb-fra "a part"-adverb-cat
"à l'égard de"-preposition-fra "respecte a"-preposition-cat
"à l'encontre"-adverb-fra "en contra"-adverb-cat
"à l'encontre de"-preposition-fra "en contra de"-preposition-cat
"à l'envers"-adverb-fra "a l'inrevés"-adverb-cat
"à l'envers"-adverb-fra "al revés"-adverb-cat
"à l'époque"-adverb-fra "en aquell temps"-adverb-cat
"à l'époque de"-preposition-fra "a l'època de"-preposition-cat
"à l'exception de"-preposition-fra "excepte"-preposition-cat
"à l'instar de"-preposition-fra "a la manera de"-preposition-cat
"à l'insu de"-preposition-fra "a l'esquena de"-preposition-cat
"à l'intérieur"-adverb-fra "a l'interior"-adverb-cat
"à l'occasion"-adverb-fra "si escau"-adverb-cat
"à l'occasion"-adverb-fra "si s'escau"-adverb-cat
"à l'occasion de"-preposition-fra "en ocasió de"-preposition-cat
