"Agustus"-noun-ind "agustus"-noun-zlm
"Belanda"-properNoun-ind "Belanda"-properNoun-zlm
"Belanda"-properNoun-ind "belanda"-noun-zlm
"Buddha"-noun-ind "buddhisme"-noun-zlm
"Cina"-properNoun-ind "China"-properNoun-zlm
"Cina"-properNoun-ind "cina"-noun-zlm
"Desember"-noun-ind "desember"-noun-zlm
"Dr."-noun-ind "Dr."-noun-zlm
"Dr"-noun-ind "Dr"-noun-zlm
"Fandy"-properNoun-ind "Fandy"-properNoun-zlm
"Inggris"-properNoun-ind "Britain"-properNoun-zlm
"Inggris"-properNoun-ind "British"-properNoun-zlm
"Inggris"-properNoun-ind "Inggeris"-properNoun-zlm
"Inggris"-properNoun-ind "inggris"-noun-zlm
"Jakarta"-properNoun-ind "Jakarta"-properNoun-zlm
"Juli"-noun-ind "juli"-noun-zlm
"Juni"-noun-ind "jun"-noun-zlm
"Juni"-noun-ind "juni"-noun-zlm
"Jupiter"-noun-ind "musytari"-noun-zlm
"Kamboja"-properNoun-ind "kemboja"-noun-zlm
"Kristen"-noun-ind "Kristian"-noun-zlm
"Kristen"-noun-ind "kristen"-noun-zlm
"Lee Kuan Yew"-properNoun-ind "Lee Kuan Yew"-properNoun-zlm
"Maret"-noun-ind "maret"-noun-zlm
"Masehi"-noun-ind "masehi"-noun-zlm
"Minggu"-noun-ind "Ahad"-noun-zlm
"Minggu"-noun-ind "minggu"-noun-zlm
"New York"-properNoun-ind "New York"-properNoun-zlm
"Perancis"-properNoun-ind "France"-properNoun-zlm
"Persia"-properNoun-ind "parsi"-noun-zlm
"Sanskerta"-noun-ind "sanskrit"-noun-zlm
"Yesus"-properNoun-ind "Yesus"-properNoun-zlm
"ab"-noun-ind "ab"-noun-zlm
"aba"-noun-ind "aba"-noun-zlm
"abad"-noun-ind "abad"-noun-zlm
"abad"-noun-ind "kurun"-noun-zlm
"abadi"-adjective-ind "abadi"-adjective-zlm
"abah"-noun-ind "abah"-noun-zlm
"abai"-adjective-ind "abai"-adjective-zlm
"abang"-noun-ind "abang"-noun-zlm
"abdi"-noun-ind "abdi"-noun-zlm
"abdomen"-noun-ind "abdomen"-noun-zlm
"abdul"-noun-ind "abdul"-noun-zlm
"abidin"-noun-ind "abidin"-noun-zlm
"abjad"-noun-ind "abjad"-noun-zlm
"abnormal"-adjective-ind "abnormal"-adjective-zlm
