"-"-punctuation-isl "-"-punctuation-eng
"núll"-numeral-isl "zero"-numeral-eng
"einn"-numeral-isl "one"-numeral-eng
"tveir"-numeral-isl "two"-numeral-eng
"þrír"-numeral-isl "three"-numeral-eng
"fjórir"-numeral-isl "four"-numeral-eng
"fimm"-numeral-isl "five"-numeral-eng
"sex"-numeral-isl "six"-numeral-eng
"sjö"-numeral-isl "seven"-numeral-eng
"átta"-numeral-isl "eight"-numeral-eng
"níu"-numeral-isl "nine"-numeral-eng
"tíu"-numeral-isl "ten"-numeral-eng
"ellefu"-numeral-isl "eleven"-numeral-eng
"tólf"-numeral-isl "twelve"-numeral-eng
"þrettán"-numeral-isl "thirteen"-numeral-eng
"fjórtán"-numeral-isl "fourteen"-numeral-eng
"fimmtán"-numeral-isl "fifteen"-numeral-eng
"sextán"-numeral-isl "sixteen"-numeral-eng
"sautján"-numeral-isl "seventeen"-numeral-eng
"seytján"-numeral-isl "seventeen"-numeral-eng
"átján"-numeral-isl "eighteen"-numeral-eng
"nítján"-numeral-isl "nineteen"-numeral-eng
"tuttugu"-numeral-isl "twenty"-numeral-eng
"þrjátíu"-numeral-isl "thirty"-numeral-eng
"fjörutíu"-numeral-isl "forty"-numeral-eng
"fimmtíu"-numeral-isl "fifty"-numeral-eng
"sextíu"-numeral-isl "sixty"-numeral-eng
"sjötíu"-numeral-isl "seventy"-numeral-eng
"áttatíu"-numeral-isl "eighty"-numeral-eng
"níutíu"-numeral-isl "ninety"-numeral-eng
"hundrað"-numeral-isl "hundred"-numeral-eng
"þúsund"-numeral-isl "thousand"-numeral-eng
"janúar"-noun-isl "January"-noun-eng
"febrúar"-noun-isl "February"-noun-eng
"mars"-noun-isl "March"-noun-eng
"apríl"-noun-isl "April"-noun-eng
"maí"-noun-isl "May"-noun-eng
"júní"-noun-isl "June"-noun-eng
"júlí"-noun-isl "July"-noun-eng
"ágúst"-noun-isl "August"-noun-eng
"september"-noun-isl "September"-noun-eng
"október"-noun-isl "October"-noun-eng
"nóvember"-noun-isl "November"-noun-eng
"desember"-noun-isl "December"-noun-eng
"mánudagur"-noun-isl "Monday"-noun-eng
"þriðjudagur"-noun-isl "Tuesday"-noun-eng
"miðvikudagur"-noun-isl "Wednesday"-noun-eng
"fimmtudagur"-noun-isl "Thursday"-noun-eng
"föstudagur"-noun-isl "Friday"-noun-eng
"laugardagur"-noun-isl "Saturday"-noun-eng
"sunnudagur"-noun-isl "Sunday"-noun-eng
"í gær"-adverb-isl "yesterday"-adverb-eng
"í gærmorgun"-adverb-isl "yesterday morning"-adverb-eng
"í gærkvöldi"-adverb-isl "yesterday evening"-adverb-eng
"í dag"-adverb-isl "today"-adverb-eng
"í morgun"-adverb-isl "this morning"-adverb-eng
"í kvöld"-adverb-isl "this evening"-adverb-eng
"á morgun"-adverb-isl "tomorrow"-adverb-eng
"á dögunum"-adverb-isl "in recent days"-adverb-eng
"á sunnudagskvöld"-adverb-isl "on Sunday evening"-adverb-eng
"á næstu mánuðum"-adverb-isl "in the coming months"-adverb-eng
"annað kvöld"-adverb-isl "tomorrow night"-adverb-eng
"í ár"-adverb-isl "this year"-adverb-eng
"í fyrra"-adverb-isl "last year"-adverb-eng
"til samans"-adverb-isl "together"-adverb-eng
"í hittið fyrra"-adverb-isl "the year last"-adverb-eng
"í upphafi"-adverb-isl "in the beginning"-adverb-eng
"frá upphafi"-adverb-isl "from the beginning"-adverb-eng
"í framtíðinni"-adverb-isl "in the future"-adverb-eng
"í bili"-adverb-isl "for the moment"-adverb-eng
"í fyrstu"-adverb-isl "at first"-adverb-eng
"í vikunni"-adverb-isl "this week"-adverb-eng
"í vor"-adverb-isl "this spring"-adverb-eng
"í sumar"-adverb-isl "this summer"-adverb-eng
"í haust"-adverb-isl "this autumn"-adverb-eng
"í vetur"-adverb-isl "this winter"-adverb-eng
"í fyrravor"-adverb-isl "last spring"-adverb-eng
"í fyrrasumar"-adverb-isl "last summer"-adverb-eng
"í fyrrahaust"-adverb-isl "last autumn"-adverb-eng
"í fyrravetur"-adverb-isl "last winter"-adverb-eng
"klukkan eitt"-adverb-isl "one o'clock"-adverb-eng
"klukkan tvö"-adverb-isl "two o'clock"-adverb-eng
"klukkan þrjú"-adverb-isl "three o'clock"-adverb-eng
"klukkan fjögur"-adverb-isl "four o'clock"-adverb-eng
"klukkan fimm"-adverb-isl "five o'clock"-adverb-eng
"klukkan sex"-adverb-isl "six o'clock"-adverb-eng
"klukkan sjö"-adverb-isl "seven o'clock"-adverb-eng
"klukkan átta"-adverb-isl "eight o'clock"-adverb-eng
"klukkan níu"-adverb-isl "nine o'clock"-adverb-eng
"klukkan tíu"-adverb-isl "ten o'clock"-adverb-eng
"klukkan ellefu"-adverb-isl "eleven o'clock"-adverb-eng
"klukkan tólf"-adverb-isl "twelve o'clock"-adverb-eng
"klukkan hálf-eitt"-adverb-isl "twelve-thirty"-adverb-eng
"klukkan hálf-tvö"-adverb-isl "one-thirty"-adverb-eng
"klukkan hálf-þrjú"-adverb-isl "two-thirty"-adverb-eng
"klukkan hálf-fjögur"-adverb-isl "three-thirty"-adverb-eng
"klukkan hálf-fimm"-adverb-isl "four-thirty"-adverb-eng
"klukkan hálf-sex"-adverb-isl "five-thirty"-adverb-eng
"klukkan hálf-sjö"-adverb-isl "six-thirty"-adverb-eng
"klukkan hálf-átta"-adverb-isl "seven-thirty"-adverb-eng
"klukkan hálf-níú"-adverb-isl "eight-thirty"-adverb-eng
"klukkan hálf-tíu"-adverb-isl "nine-thirty"-adverb-eng
"klukkan hálf-ellefu"-adverb-isl "ten-thirty"-adverb-eng
"klukkan hálf-tólf"-adverb-isl "eleven-thirty"-adverb-eng
"kortér yfir"-adverb-isl "fifteen minutes past"-adverb-eng
"kortér gengin í"-adverb-isl "fifteen minutes past"-adverb-eng
"vantar kortér í"-adverb-isl "fifteen minutes before"-adverb-eng
"ég"-pronoun-isl "prpers"-pronoun-eng
"þú"-pronoun-isl "prpers"-pronoun-eng
"þér"-pronoun-isl "prpers"-pronoun-eng
"hann"-pronoun-isl "prpers"-pronoun-eng
"hún"-pronoun-isl "prpers"-pronoun-eng
"það"-pronoun-isl "prpers"-pronoun-eng
"vér"-pronoun-isl "prpers"-pronoun-eng
"minn"-pronoun-isl "mine"-pronoun-eng
"þinn"-pronoun-isl "yours"-pronoun-eng
"sinn"-pronoun-isl "its"-pronoun-eng
"sinn"-pronoun-isl "his"-pronoun-eng
"sinn"-pronoun-isl "hers"-pronoun-eng
"sinn"-pronoun-isl "his"-pronoun-eng
"mínir"-pronoun-isl "ours"-pronoun-eng
"þínir"-pronoun-isl "yours"-pronoun-eng
"sínir"-pronoun-isl "theirs"-pronoun-eng
"sá"-pronoun-isl "the one"-pronoun-eng
"sá"-pronoun-isl "the one"-pronoun-eng
"sá"-pronoun-isl "the one"-pronoun-eng
"sá"-pronoun-isl "the one"-pronoun-eng
"þessi"-pronoun-isl "this"-pronoun-eng
"þessi"-pronoun-isl "this"-pronoun-eng
"þessi"-pronoun-isl "this"-pronoun-eng
"þessi"-pronoun-isl "this"-pronoun-eng
"hinn"-pronoun-isl "that"-pronoun-eng
"hinn"-pronoun-isl "that"-pronoun-eng
"hinn"-pronoun-isl "that"-pronoun-eng
"hinn"-pronoun-isl "that"-pronoun-eng
"ýmis"-pronoun-isl "various"-pronoun-eng
"neinn"-pronoun-isl "any"-pronoun-eng
"allur"-pronoun-isl "all"-pronoun-eng
"annar"-pronoun-isl "another"-pronoun-eng
"báðir"-pronoun-isl "both"-pronoun-eng
"enginn"-pronoun-isl "nobody"-pronoun-eng
"nokkur"-pronoun-isl "some"-pronoun-eng
"sumur"-pronoun-isl "some"-pronoun-eng
"hver"-pronoun-isl "each"-pronoun-eng
"einhver"-pronoun-isl "some"-pronoun-eng
"sérhver"-pronoun-isl "everyone"-pronoun-eng
"hvor"-pronoun-isl "each"-pronoun-eng
"hver"-pronoun-isl "what"-pronoun-eng
"hvor"-pronoun-isl "who"-pronoun-eng
"hvaða"-pronoun-isl "which"-pronoun-eng
"sig"-pronoun-isl "himself"-pronoun-eng
"sig"-pronoun-isl "herself"-pronoun-eng
"sig"-pronoun-isl "itself"-pronoun-eng
"sig"-pronoun-isl "themselves"-pronoun-eng
"sig"-pronoun-isl "themselves"-pronoun-eng
"sig"-pronoun-isl "themselves"-pronoun-eng
"sjálfur"-pronoun-isl "himself"-pronoun-eng
"sjálfur"-pronoun-isl "herself"-pronoun-eng
"sjálfur"-pronoun-isl "itself"-pronoun-eng
"sjálfur"-pronoun-isl "themselves"-pronoun-eng
"sjálfur"-pronoun-isl "themselves"-pronoun-eng
"sjálfur"-pronoun-isl "themselves"-pronoun-eng
"a.m.k."-properNoun-isl "at least"-properNoun-eng
"apr."-properNoun-isl "Ap."-properNoun-eng
"ath."-properNoun-isl "NB."-properNoun-eng
"bls."-properNoun-isl "p."-properNoun-eng
"des."-properNoun-isl "Dec."-properNoun-eng
"dr."-properNoun-isl "Dr."-properNoun-eng
"e."-properNoun-isl "after"-properNoun-eng
"e.Kr."-properNoun-isl "A.D."-properNoun-eng
"e.h."-properNoun-isl "after noon"-properNoun-eng
"e.t.v."-properNoun-isl "perhaps"-properNoun-eng
"f."-properNoun-isl "before"-properNoun-eng
"f.Kr."-properNoun-isl "B.C."-properNoun-eng
"f.h."-properNoun-isl "before noon"-properNoun-eng
"feb."-properNoun-isl "Feb."-properNoun-eng
"fl."-properNoun-isl "more"-properNoun-eng
"gr."-properNoun-isl "paid"-properNoun-eng
"h.f."-properNoun-isl "Ltd."-properNoun-eng
"hf."-properNoun-isl "Ltd."-properNoun-eng
"jan."-properNoun-isl "Jan."-properNoun-eng
"júl."-properNoun-isl "July"-properNoun-eng
"jún."-properNoun-isl "June"-properNoun-eng
"kl."-properNoun-isl "o'clock"-properNoun-eng
"klst."-properNoun-isl "hour"-properNoun-eng
"kr."-properNoun-isl "ISK"-properNoun-eng
"m.a."-properNoun-isl "among other things"-properNoun-eng
"m.fl."-properNoun-isl "many more"-properNoun-eng
"m.t.t."-properNoun-isl "considering"-properNoun-eng
"m.ö.o."-properNoun-isl "in other words"-properNoun-eng
"mgr."-properNoun-isl "paragraph"-properNoun-eng
"millj."-properNoun-isl "mill."-properNoun-eng
"n.k."-properNoun-isl "next"-properNoun-eng
"nr."-properNoun-isl "no."-properNoun-eng
"nóv."-properNoun-isl "Nov."-properNoun-eng
"o.fl."-properNoun-isl "and more"-properNoun-eng
"o.s.frv."-properNoun-isl "etc."-properNoun-eng
"o.þ.h."-properNoun-isl "and such"-properNoun-eng
"ofl."-properNoun-isl "and more"-properNoun-eng
"okt."-properNoun-isl "Oct."-properNoun-eng
"s.l."-properNoun-isl "last"-properNoun-eng
"s.s."-properNoun-isl "such as"-properNoun-eng
"sbr."-properNoun-isl "cf."-properNoun-eng
"sep."-properNoun-isl "Sep."-properNoun-eng
"sept."-properNoun-isl "Sept."-properNoun-eng
"skv."-properNoun-isl "according to"-properNoun-eng
"sl."-properNoun-isl "last"-properNoun-eng
"sr."-properNoun-isl "Rev."-properNoun-eng
"t.a.m."-properNoun-isl "e.g."-properNoun-eng
"t.d."-properNoun-isl "e.g."-properNoun-eng
"t.h."-properNoun-isl "on the right"-properNoun-eng
"t.v."-properNoun-isl "on the left"-properNoun-eng
"tbl."-properNoun-isl "issue no."-properNoun-eng
"tilv."-properNoun-isl "ref."-properNoun-eng
"u.þ.b."-properNoun-isl "approx."-properNoun-eng
"ágú."-properNoun-isl "Aug."-properNoun-eng
"ísl."-properNoun-isl "Icelandic"-properNoun-eng
"þ.a.l."-properNoun-isl "therefore"-properNoun-eng
"þ.e."-properNoun-isl "i.e."-properNoun-eng
"þ.e.a.s."-properNoun-isl "i.e."-properNoun-eng
"þ.m.t."-properNoun-isl "incl."-properNoun-eng
"þ.á.m."-properNoun-isl "incl."-properNoun-eng
"þús."-properNoun-isl "thous."-properNoun-eng
"fyrstur"-adjective-isl "first"-adjective-eng
"annar"-adjective-isl "second"-adjective-eng
"þriðji"-adjective-isl "third"-adjective-eng
"fjórði"-adjective-isl "fourth"-adjective-eng
"fimmti"-adjective-isl "fifth"-adjective-eng
"sjötti"-adjective-isl "sixth"-adjective-eng
"sjöundi"-adjective-isl "seventh"-adjective-eng
"áttundi"-adjective-isl "eighth"-adjective-eng
"níundi"-adjective-isl "ninth"-adjective-eng
"tíundi"-adjective-isl "tenth"-adjective-eng
"ellefti"-adjective-isl "eleventh"-adjective-eng
"tólfti"-adjective-isl "twelfth"-adjective-eng
"þrettándi"-adjective-isl "thirteenth"-adjective-eng
"fjórtándi"-adjective-isl "fourteenth"-adjective-eng
"fimmtándi"-adjective-isl "fifteenth"-adjective-eng
"sextándi"-adjective-isl "sixteenth"-adjective-eng
"sautjándi"-adjective-isl "seventeenth"-adjective-eng
"átjándi"-adjective-isl "eighteenth"-adjective-eng
"nítjándi"-adjective-isl "nineteenth"-adjective-eng
"tuttugasti"-adjective-isl "twentieth"-adjective-eng
"þrítugasti"-adjective-isl "thirtieth"-adjective-eng
"fertugasti"-adjective-isl "fortieth"-adjective-eng
