"ja"-coordinatingConjunction-sme "og"-coordinatingConjunction-nob
"dahje"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"dahjege"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"vai"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"vuoi"-subordinatingConjunction-sme "for at"-coordinatingConjunction-nob
"sihke"-adverb-sme "både"-coordinatingConjunction-nob
"earret"-coordinatingConjunction-sme "unntatt"-coordinatingConjunction-nob
"earret"-coordinatingConjunction-sme "foruten"-coordinatingConjunction-nob
"muhto"-coordinatingConjunction-sme "men"-coordinatingConjunction-nob
"muhte"-coordinatingConjunction-sme "men"-coordinatingConjunction-nob
"juogo"-subordinatingConjunction-sme "enten"-coordinatingConjunction-nob
"juosgo"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"ehte"-subordinatingConjunction-sme "at"-coordinatingConjunction-nob
"ahte"-coordinatingConjunction-sme "at"-coordinatingConjunction-nob
"ahte"-subordinatingConjunction-sme "at"-subordinatingConjunction-nob
"ja/dahje"-coordinatingConjunction-sme "og/eller"-coordinatingConjunction-nob
"dahe"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"dahege"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"dehe"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"dehege"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"ele"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"elege"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"ele ge"-coordinatingConjunction-sme "eller"-coordinatingConjunction-nob
"go"-subordinatingConjunction-sme "når"-subordinatingConjunction-nob
"go"-subordinatingConjunction-sme "at"-subordinatingConjunction-nob
"go"-subordinatingConjunction-sme "så"-subordinatingConjunction-nob
"go"-subordinatingConjunction-sme "enn"-subordinatingConjunction-nob
"go"-subordinatingConjunction-sme "som"-subordinatingConjunction-nob
"go"-subordinatingConjunction-sme "da"-subordinatingConjunction-nob
"go"-subordinatingConjunction-sme "fordi"-subordinatingConjunction-nob
"ovdalgo"-subordinatingConjunction-sme "før"-subordinatingConjunction-nob
"maŋŋá go"-subordinatingConjunction-sme "etter at"-subordinatingConjunction-nob
"eará go"-subordinatingConjunction-sme "annet enn"-subordinatingConjunction-nob
"maŋŋágo"-subordinatingConjunction-sme "etter at"-subordinatingConjunction-nob
"maŋŋelgo"-subordinatingConjunction-sme "etter at"-subordinatingConjunction-nob
"jus"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"juos"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"jis"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"joas"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"jes"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"earretgo"-subordinatingConjunction-sme "bortsett fra når"-subordinatingConjunction-nob
"earetgo"-subordinatingConjunction-sme "bortsett fra når"-subordinatingConjunction-nob
"earágo"-subordinatingConjunction-sme "bortsett fra når"-subordinatingConjunction-nob
"iežágo"-subordinatingConjunction-sme "bortsett fra når"-subordinatingConjunction-nob
"seammaládjego"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"seammaláhkaigo"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"seammaláhkáigo"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"seammáládjego"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"seammáláhkaigo"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"seammáláhkáigo"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"jos"-subordinatingConjunction-sme "hvis"-subordinatingConjunction-nob
"dego"-subordinatingConjunction-sme "som"-subordinatingConjunction-nob
"dego"-subordinatingConjunction-sme "som om"-subordinatingConjunction-nob
"dugo"-subordinatingConjunction-sme "som om"-subordinatingConjunction-nob
"nugo"-subordinatingConjunction-sme "slik som"-subordinatingConjunction-nob
"vai"-subordinatingConjunction-sme "for å"-subordinatingConjunction-nob
"vai"-subordinatingConjunction-sme "for at"-subordinatingConjunction-nob
"vái"-subordinatingConjunction-sme "for å"-subordinatingConjunction-nob
"vái"-subordinatingConjunction-sme "for at"-subordinatingConjunction-nob
"vaikko"-subordinatingConjunction-sme "selv om"-subordinatingConjunction-nob
"vaikkeba"-subordinatingConjunction-sme "selv om"-subordinatingConjunction-nob
"vaikkoba"-subordinatingConjunction-sme "selv om"-subordinatingConjunction-nob
"amas"-subordinatingConjunction-sme "for at ikke"-subordinatingConjunction-nob
"jogo"-subordinatingConjunction-sme "enten"-coordinatingConjunction-nob
"dasgo"-subordinatingConjunction-sme "fordi"-subordinatingConjunction-nob
"danne go"-subordinatingConjunction-sme "fordi"-subordinatingConjunction-nob
"das go"-subordinatingConjunction-sme "fordi"-subordinatingConjunction-nob
"nu ahte"-subordinatingConjunction-sme "slik at"-subordinatingConjunction-nob
"nu ahte"-subordinatingConjunction-sme "at"-subordinatingConjunction-nob
"nuvt ahte"-subordinatingConjunction-sme "slik at"-subordinatingConjunction-nob
"nuvt ahte"-subordinatingConjunction-sme "at"-subordinatingConjunction-nob
"dan botta go"-subordinatingConjunction-sme "mens"-adverb-nob
"daningo"-subordinatingConjunction-sme "fordi"-subordinatingConjunction-nob
"dainnago"-subordinatingConjunction-sme "fordi"-subordinatingConjunction-nob
"dasságo"-subordinatingConjunction-sme "til at"-subordinatingConjunction-nob
"dassáigo"-subordinatingConjunction-sme "til at"-subordinatingConjunction-nob
"dassá"-subordinatingConjunction-sme "til at"-subordinatingConjunction-nob
"duššego"-subordinatingConjunction-sme "bare når"-subordinatingConjunction-nob
"mo"-adverb-sme "hvordan"-adverb-nob
"mot"-adverb-sme "hvordan"-adverb-nob
"movt"-adverb-sme "hvordan"-adverb-nob
"mo"-adverb-sme "som"-subordinatingConjunction-nob
"mot"-adverb-sme "som"-subordinatingConjunction-nob
"movt"-adverb-sme "som"-subordinatingConjunction-nob
"dan dihte"-adverb-sme "derfor"-adverb-nob
"dan dihte"-adverb-sme "fordi"-subordinatingConjunction-nob
"siskkabeallai"-adverb-sme "på innsiden"-adverb-nob
"siskkabeallai"-postposition-sme "på innsiden av"-preposition-nob
"siskkabeallai"-preposition-sme "på innsiden av"-preposition-nob
"vuolábeallai"-adverb-sme "nedenfor"-adverb-nob
"vuolábeallai"-postposition-sme "nedenfor"-preposition-nob
"vuolábeallai"-preposition-sme "nedenfor"-preposition-nob
"olis"-postposition-sme "i henhold til"-preposition-nob
"olis"-preposition-sme "i henhold til"-preposition-nob
"olis"-postposition-sme "i samsvar med"-preposition-nob
"olis"-preposition-sme "i samsvar med"-preposition-nob
"olis"-postposition-sme "når det gjelder"-preposition-nob
"olis"-preposition-sme "når det gjelder"-preposition-nob
"olis"-postposition-sme "i tråd med"-preposition-nob
"olis"-preposition-sme "i tråd med"-preposition-nob
"olis"-postposition-sme "under"-preposition-nob
"olis"-preposition-sme "under"-preposition-nob
"olis"-postposition-sme "i forhold til"-preposition-nob
"olggobeale"-postposition-sme "utenfor"-preposition-nob
"olggobeale"-preposition-sme "utenfor"-preposition-nob
"siskkobeale"-preposition-sme "utenfor"-preposition-nob
"siskkobeale"-postposition-sme "utenfor"-preposition-nob
"ala"-adverb-sme "på"-adverb-nob
"ala"-postposition-sme "på"-preposition-nob
"nala"-adverb-sme "på"-adverb-nob
"nala"-postposition-sme "på"-preposition-nob
"alde"-adverb-sme "på"-adverb-nob
"alde"-postposition-sme "på"-preposition-nob
"alde"-postposition-sme "om"-preposition-nob
"nalde"-adverb-sme "på"-adverb-nob
"nalde"-postposition-sme "på"-preposition-nob
"nalde"-postposition-sme "om"-preposition-nob
"almmá"-adverb-sme "uten"-adverb-nob
"badjel"-adverb-sme "over"-adverb-nob
"badjel"-postposition-sme "over"-preposition-nob
"badjel"-preposition-sme "over"-preposition-nob
"badjelii"-postposition-sme "over"-preposition-nob
"badjelii"-preposition-sme "over"-preposition-nob
"bajábealde"-postposition-sme "ovenfor"-preposition-nob
"bajábealde"-preposition-sme "ovenfor"-preposition-nob
"báldda"-postposition-sme "ved siden av"-preposition-nob
"oarjjabealde"-postposition-sme "på vestsida av"-preposition-nob
"oarjjabealde"-preposition-sme "på vestsida av"-preposition-nob
"bálddas"-postposition-sme "ved siden av"-preposition-nob
"báldii"-postposition-sme "ved siden av"-preposition-nob
"beales"-postposition-sme "på vegne av"-preposition-nob
"beales"-postposition-sme "for"-preposition-nob
"bealis"-postposition-sme "på vegne av"-preposition-nob
"bealis"-postposition-sme "for"-preposition-nob
"beallái"-postposition-sme "overfor"-preposition-nob
"beallái"-preposition-sme "overfor"-preposition-nob
"birra"-postposition-sme "på"-preposition-nob
"birra"-postposition-sme "rundt"-preposition-nob
"birra"-postposition-sme "om"-preposition-nob
"birra"-preposition-sme "rundt"-preposition-nob
"birra"-adverb-sme "omkring"-adverb-nob
"bokte"-postposition-sme "via"-preposition-nob
"bakte"-postposition-sme "via"-preposition-nob
"bokte"-postposition-sme "ved"-preposition-nob
"bakte"-postposition-sme "ved"-preposition-nob
"bokte"-postposition-sme "med"-preposition-nob
"bakte"-postposition-sme "med"-preposition-nob
"buohta"-postposition-sme "overfor"-preposition-nob
"buohta"-adverb-sme "overfor"-adverb-nob
"čađa"-postposition-sme "gjennom"-preposition-nob
"čađa"-preposition-sme "gjennom"-preposition-nob
"dáfus"-postposition-sme "med hensyn til"-preposition-nob
"dihte"-postposition-sme "for"-preposition-nob
"dihte"-postposition-sme "for å"-subordinatingConjunction-nob
"dihte"-postposition-sme "på grunn av"-preposition-nob
"duohkin"-postposition-sme "bak"-preposition-nob
"duohken"-postposition-sme "bak"-preposition-nob
"duohkin"-postposition-sme "avhengig av"-preposition-nob
"duohken"-postposition-sme "avhengig av"-preposition-nob
"duohkái"-postposition-sme "bak"-preposition-nob
"earet"-preposition-sme "unntatt"-preposition-nob
"earret"-preposition-sme "unntatt"-preposition-nob
"earret"-coordinatingConjunction-sme "unntatt"-preposition-nob
