"av"-preposition-swe "af"-preposition-dan
"ca"-preposition-swe "ca"-preposition-dan
"genom"-preposition-swe "gennem"-preposition-dan
"med"-preposition-swe "med"-preposition-dan
"på"-preposition-swe "på"-preposition-dan
"över"-preposition-swe "over"-preposition-dan
"i"-preposition-swe "i"-preposition-dan
"till"-preposition-swe "til"-preposition-dan
"till"-preposition-swe "mod"-preposition-dan
"mot"-preposition-swe "mod"-preposition-dan
"mot"-preposition-swe "til"-preposition-dan
"åt"-preposition-swe "til"-preposition-dan
"inför"-preposition-swe "foran"-preposition-dan
"före"-preposition-swe "før"-preposition-dan
"för"-preposition-swe "for"-preposition-dan
"ovan"-preposition-swe "ovenover"-preposition-dan
"om"-preposition-swe "om"-preposition-dan
"efter"-preposition-swe "efter"-preposition-dan
"under"-preposition-swe "under"-preposition-dan
"från"-preposition-swe "fra"-preposition-dan
"ur"-preposition-swe "ud af"-preposition-dan
"ur"-preposition-swe "fra"-preposition-dan
"inifrån"-preposition-swe "inde fra"-preposition-dan
"sedan"-preposition-swe "siden"-preposition-dan
"per"-preposition-swe "per"-preposition-dan
"ovanpå"-preposition-swe "ovenpå"-preposition-dan
"mellan"-preposition-swe "mellem"-preposition-dan
"emellan"-preposition-swe "imellem"-preposition-dan
"förutom"-preposition-swe "undtagen"-preposition-dan
"via"-preposition-swe "via"-preposition-dan
"trots"-preposition-swe "på trods af"-preposition-dan
"kring"-preposition-swe "omkring"-preposition-dan
"omkring"-preposition-swe "omkring"-preposition-dan
"utanför"-preposition-swe "udenfor"-preposition-dan
"hos"-preposition-swe "hos"-preposition-dan
"innan"-preposition-swe "inden"-preposition-dan
"vid"-preposition-swe "ved"-preposition-dan
"ovanför"-preposition-swe "overfor"-preposition-dan
"längs"-preposition-swe "langs"-preposition-dan
"inom"-preposition-swe "inden for"-preposition-dan
"enligt"-preposition-swe "ifølge"-preposition-dan
"bland"-preposition-swe "blandt"-preposition-dan
"angående"-preposition-swe "angående"-preposition-dan
"utan"-preposition-swe "uden"-preposition-dan
"ifrån"-preposition-swe "fra"-preposition-dan
"emot"-preposition-swe "imod"-preposition-dan
"igenom"-preposition-swe "igennem"-preposition-dan
"tills"-preposition-swe "indtil"-preposition-dan
"framför"-preposition-swe "frem for"-preposition-dan
"nära"-preposition-swe "nær"-preposition-dan
"uppe i"-preposition-swe "oppe på"-preposition-dan
"upp till"-preposition-swe "op til"-preposition-dan
"även om"-preposition-swe "selvom"-preposition-dan
"angående"-preposition-swe "overfor"-preposition-dan
"angående"-preposition-swe "vedrørende"-preposition-dan
"bakom"-preposition-swe "bag"-preposition-dan
"bland"-preposition-swe "der i blandt"-preposition-dan
"bland"-preposition-swe "heriblandt"-preposition-dan
"bland"-preposition-swe "inde blandt"-preposition-dan
"efter"-preposition-swe "henad"-preposition-dan
"emot"-preposition-swe "bort mod"-preposition-dan
"emot"-preposition-swe "henimod"-preposition-dan
"emot"-preposition-swe "op imod"-preposition-dan
"framför"-preposition-swe "foran"-preposition-dan
"framför"-preposition-swe "fremfor"-preposition-dan
"genom"-preposition-swe "igennem"-preposition-dan
"genom"-preposition-swe "væk gennem"-preposition-dan
"igenom"-preposition-swe "gennem"-preposition-dan
"igenom"-preposition-swe "op igennem"-preposition-dan
"igenom"-preposition-swe "væk igennem"-preposition-dan
"inför"-preposition-swe "fremfor"-preposition-dan
"innanför"-preposition-swe "indenfor"-preposition-dan
"inom"-preposition-swe "indenfor"-preposition-dan
"inuti"-preposition-swe "inde i"-preposition-dan
"kring"-preposition-swe "rundt"-preposition-dan
"nära"-preposition-swe "ved"-preposition-dan
"omkring"-preposition-swe "rundt"-preposition-dan
"ovanför"-preposition-swe "angående"-preposition-dan
"ovanför"-preposition-swe "vedrørende"-preposition-dan
"på grund av"-preposition-swe "på grund af"-preposition-dan
"på"-preposition-swe "frempå"-preposition-dan
"som"-preposition-swe "som"-preposition-dan
"trots"-preposition-swe "efter"-preposition-dan
"utom"-preposition-swe "udenfor"-preposition-dan
"ut"-preposition-swe "ud"-preposition-dan
"utöver"-preposition-swe "udad"-preposition-dan
"utöver"-preposition-swe "udover"-preposition-dan
"vid"-preposition-swe "henved"-preposition-dan
"vid"-preposition-swe "nær"-preposition-dan
"åt"-preposition-swe "mod"-preposition-dan
