"whatever"-determiner-en "qualsevol"-determiner-ca
"qualsevol"-determiner-ca "whatever"-determiner-en
"un"-pronoun-ca "oneself"-reflexivePersonalPronoun-en
"un"-pronoun-ca "oneself"-pronoun-en
"oneself"-reflexivePersonalPronoun-en "un"-pronoun-ca
"oneself"-reflexivePersonalPronoun-en "hom"-pronoun-ca
"oneself"-pronoun-en "un"-pronoun-ca
"oneself"-pronoun-en "hom"-pronoun-ca
"hom"-pronoun-ca "oneself"-reflexivePersonalPronoun-en
"hom"-pronoun-ca "oneself"-pronoun-en
"per"-preposition-ca "in order to"-preposition-en
"in order to"-preposition-en "per"-preposition-ca
"in order to"-preposition-en "per a"-preposition-ca
"in order to"-preposition-en "a favor de"-preposition-ca
"per a"-preposition-ca "in order to"-preposition-en
"a favor de"-preposition-ca "in order to"-preposition-en
"capaç"-adjective-ca "able"-adjective-en
"able"-adjective-en "capaç"-adjective-ca
"cru"-adjective-ca "crude"-adjective-en
"cru"-adjective-ca "raw"-adjective-en
"crude"-adjective-en "cru"-adjective-ca
"raw"-adjective-en "cru"-adjective-ca
"dubtós"-adjective-ca "questionable"-adjective-en
"questionable"-adjective-en "dubtós"-adjective-ca
"malalt"-adjective-ca "sick"-adjective-en
"malalt"-adjective-ca "ill"-adjective-en
"sick"-adjective-en "malalt"-adjective-ca
"ill"-adjective-en "malalt"-adjective-ca
"perfecte"-adjective-ca "flawless"-adjective-en
"flawless"-adjective-en "perfecte"-adjective-ca
"verd"-adjective-ca "green"-adjective-en
"green"-adjective-en "verd"-adjective-ca
"poderós"-adjective-ca "mighty"-adjective-en
"mighty"-adjective-en "poderós"-adjective-ca
"tricky"-adjective-en "delicat"-adjective-ca
"delicat"-adjective-ca "tricky"-adjective-en
"atractiu"-adjective-ca "alluring"-adjective-en
"alluring"-adjective-en "atractiu"-adjective-ca
"careful"-adjective-en "atent"-adjective-ca
"atent"-adjective-ca "careful"-adjective-en
"elevat"-adjective-ca "lofty"-adjective-en
"elevat"-adjective-ca "high"-adjective-en
"lofty"-adjective-en "elevat"-adjective-ca
"high"-adjective-en "elevat"-adjective-ca
"viu"-adjective-ca "living"-adjective-en
"living"-adjective-en "viu"-adjective-ca
"agut"-adjective-ca "sharp"-adjective-en
"sharp"-adjective-en "agut"-adjective-ca
"sour"-adjective-en "agre"-adjective-ca
"agre"-adjective-ca "sour"-adjective-en
"afectuós"-adjective-ca "fond"-adjective-en
"fond"-adjective-en "afectuós"-adjective-ca
"soft"-adjective-en "dolç"-adjective-ca
"dolç"-adjective-ca "soft"-adjective-en
"dolç"-adjective-ca "sweet"-adjective-en
"sweet"-adjective-en "dolç"-adjective-ca
"fine"-adjective-en "bo"-adjective-ca
"bo"-adjective-ca "fine"-adjective-en
"fierce"-adjective-en "feroç"-adjective-ca
"feroç"-adjective-ca "fierce"-adjective-en
"greu"-adjective-ca "grievous"-adjective-en
"grievous"-adjective-en "greu"-adjective-ca
"close"-adjective-en "proper"-adjective-ca
"close"-adjective-en "pròxim"-adjective-ca
"proper"-adjective-ca "close"-adjective-en
"proper"-adjective-ca "near"-adjective-en
"pròxim"-adjective-ca "close"-adjective-en
"pròxim"-adjective-ca "near"-adjective-en
"near"-adjective-en "proper"-adjective-ca
"near"-adjective-en "pròxim"-adjective-ca
"additional"-adjective-en "suplementari"-adjective-ca
"suplementari"-adjective-ca "additional"-adjective-en
"joint"-adjective-en "comú"-adjective-ca
"comú"-adjective-ca "joint"-adjective-en
"gross"-adjective-en "brut"-adjective-ca
"brut"-adjective-ca "gross"-adjective-en
"brut"-adjective-ca "dirty"-adjective-en
"dirty"-adjective-en "brut"-adjective-ca
"dumb"-adjective-en "mut"-adjective-ca
"mut"-adjective-ca "dumb"-adjective-en
"nasty"-adjective-en "mal"-adjective-ca
"mal"-adjective-ca "nasty"-adjective-en
"mal"-adjective-ca "mean"-adjective-en
"mean"-adjective-en "mal"-adjective-ca
"fosc"-adjective-ca "dark"-adjective-en
"dark"-adjective-en "fosc"-adjective-ca
"dark"-adjective-en "obscur"-adjective-ca
"obscur"-adjective-ca "dark"-adjective-en
"enormous"-adjective-en "gegantí"-adjective-ca
"gegantí"-adjective-ca "enormous"-adjective-en
"quick"-adjective-en "ràpid"-adjective-ca
"ràpid"-adjective-ca "quick"-adjective-en
"ràpid"-adjective-ca "fast"-adjective-en
"fast"-adjective-en "ràpid"-adjective-ca
"clever"-adjective-en "enginyós"-adjective-ca
"enginyós"-adjective-ca "clever"-adjective-en
"segur"-adjective-ca "sure"-adjective-en
"segur"-adjective-ca "safe"-adjective-en
"sure"-adjective-en "segur"-adjective-ca
