"the other"-pronoun-en "l'altre"-pronoun-ca
"l'altre"-pronoun-ca "the other"-pronoun-en
"by far"-adverb-en "de bon tros"-adverb-ca
"de bon tros"-adverb-ca "by far"-adverb-en
"on sale"-adverb-en "en venda"-adverb-ca
"en venda"-adverb-ca "on sale"-adverb-en
"en venda"-adverb-ca "for sale"-adverb-en
"en venda"-adverb-ca "up for sale"-adverb-en
"for sale"-adverb-en "en venda"-adverb-ca
"up for sale"-adverb-en "en venda"-adverb-ca
"moltes vegades"-adverb-ca "many a time"-adverb-en
"moltes vegades"-adverb-ca "many's the time"-adverb-en
"moltes vegades"-adverb-ca "over and over again"-adverb-en
"moltes vegades"-adverb-ca "time and again"-adverb-en
"many a time"-adverb-en "moltes vegades"-adverb-ca
"many's the time"-adverb-en "moltes vegades"-adverb-ca
"over and over again"-adverb-en "moltes vegades"-adverb-ca
"time and again"-adverb-en "moltes vegades"-adverb-ca
"in decline"-adverb-en "en decadència"-adverb-ca
"en decadència"-adverb-ca "in decline"-adverb-en
"on the go"-adverb-en "en marxa"-adverb-ca
"en marxa"-adverb-ca "on the go"-adverb-en
"en marxa"-adverb-ca "into motion"-adverb-en
"en marxa"-adverb-ca "on the march"-adverb-en
"en marxa"-adverb-ca "on the move"-adverb-en
"into motion"-adverb-en "en marxa"-adverb-ca
"on the march"-adverb-en "en marxa"-adverb-ca
"on the move"-adverb-en "en marxa"-adverb-ca
"on his own"-adverb-en "en el seu propi"-adverb-ca
"en el seu propi"-adverb-ca "on his own"-adverb-en
"en el seu propi"-adverb-ca "on her own"-adverb-en
"en el seu propi"-adverb-ca "on their own"-adverb-en
"en el seu propi"-adverb-ca "on its own"-adverb-en
"on her own"-adverb-en "en el seu propi"-adverb-ca
"on their own"-adverb-en "en el seu propi"-adverb-ca
"on their own"-adverb-en "per si soles"-adverb-ca
"on their own"-adverb-en "per si sols"-adverb-ca
"on its own"-adverb-en "en el seu propi"-adverb-ca
"on its own"-adverb-en "per si sola"-adverb-ca
"on its own"-adverb-en "per si sol"-adverb-ca
"per si soles"-adverb-ca "on their own"-adverb-en
"per si sols"-adverb-ca "on their own"-adverb-en
"in the old days"-adverb-en "en altres temps"-adverb-ca
"en altres temps"-adverb-ca "in the old days"-adverb-en
"en altres temps"-adverb-ca "in the olden days"-adverb-en
"in the olden days"-adverb-en "en altres temps"-adverb-ca
"anywhere"-adverb-en "a qualsevol lloc"-adverb-ca
"a qualsevol lloc"-adverb-ca "anywhere"-adverb-en
"hypermedia"-noun-en "hipermèdia"-noun-ca
"hipermèdia"-noun-ca "hypermedia"-noun-en
"3GPP"-noun-en "3GPP"-noun-ca
"3GPP"-noun-ca "3GPP"-noun-en
"ActiveX"-noun-en "ActiveX"-noun-ca
