"any"-determiner-en "gens de"-determiner-ca
"gens de"-determiner-ca "any"-determiner-en
"beyond"-preposition-en "allèn de"-preposition-ca
"allèn de"-preposition-ca "beyond"-preposition-en
"among"-preposition-en "enmig de"-preposition-ca
"enmig de"-preposition-ca "among"-preposition-en
"in the middle of"-preposition-en "al mig de"-preposition-ca
"al mig de"-preposition-ca "in the middle of"-preposition-en
"one"-numeral-en "un"-numeral-ca
"un"-numeral-ca "one"-numeral-en
"or"-coordinatingConjunction-en "bé"-coordinatingConjunction-ca
"or"-coordinatingConjunction-en "o bé"-coordinatingConjunction-ca
"bé"-coordinatingConjunction-ca "or"-coordinatingConjunction-en
"o bé"-coordinatingConjunction-ca "or"-coordinatingConjunction-en
"before"-adverb-en "ans"-adverb-ca
"ans"-adverb-ca "before"-adverb-en
"overnight"-adverb-en "de la nit al dia"-adverb-ca
"de la nit al dia"-adverb-ca "overnight"-adverb-en
"out"-adverb-en "al defora"-adverb-ca
"al defora"-adverb-ca "out"-adverb-en
"below"-adverb-en "al dessota"-adverb-ca
"al dessota"-adverb-ca "below"-adverb-en
"al dessota"-adverb-ca "underneath"-adverb-en
"underneath"-adverb-en "al dessota"-adverb-ca
"afterwards"-adverb-en "en acabat"-adverb-ca
"en acabat"-adverb-ca "afterwards"-adverb-en
"for a long time"-adverb-en "molt temps"-adverb-ca
"molt temps"-adverb-ca "for a long time"-adverb-en
"after all"-adverb-en "després de tot"-adverb-ca
"després de tot"-adverb-ca "after all"-adverb-en
"over and over"-adverb-en "moltes vegades"-adverb-ca
"moltes vegades"-adverb-ca "over and over"-adverb-en
"moltes vegades"-adverb-ca "many times"-adverb-en
"many times"-adverb-en "moltes vegades"-adverb-ca
"at random"-adverb-en "a l'atzar"-adverb-ca
"a l'atzar"-adverb-ca "at random"-adverb-en
"a l'atzar"-adverb-ca "randomly"-adverb-en
"randomly"-adverb-en "a l'atzar"-adverb-ca
"always"-adverb-en "a tothora"-adverb-ca
"a tothora"-adverb-ca "always"-adverb-en
"rather"-adverb-en "més aïna"-adverb-ca
"rather"-adverb-en "més aïnes"-adverb-ca
"rather"-adverb-en "més tost"-adverb-ca
"més aïna"-adverb-ca "rather"-adverb-en
"més aïnes"-adverb-ca "rather"-adverb-en
"més tost"-adverb-ca "rather"-adverb-en
"almost"-adverb-en "casi"-adverb-ca
"casi"-adverb-ca "almost"-adverb-en
"neither"-adverb-en "tampoc no"-adverb-ca
"tampoc no"-adverb-ca "neither"-adverb-en
"yesterday"-adverb-en "ahir mateix"-adverb-ca
"ahir mateix"-adverb-ca "yesterday"-adverb-en
"again"-adverb-en "un altre cop"-adverb-ca
"un altre cop"-adverb-ca "again"-adverb-en
"twice"-adverb-en "dues vegades"-adverb-ca
"dues vegades"-adverb-ca "twice"-adverb-en
