"favourably"-adverb-en "favorablemente"-adverb-es
"favorablemente"-adverb-es "favourably"-adverb-en
"quien"-pronoun-es "whom"-pronoun-en
"whom"-pronoun-en "quien"-pronoun-es
"whom"-pronoun-en "que"-pronoun-es
"whom"-pronoun-en "el que"-pronoun-es
"whom"-pronoun-en "el cual"-pronoun-es
"whom"-pronoun-en "cual"-pronoun-es
"whom"-pronoun-en "a quién"-pronoun-es
"que"-pronoun-es "whom"-pronoun-en
"el que"-pronoun-es "whom"-pronoun-en
"el cual"-pronoun-es "whom"-pronoun-en
"cual"-pronoun-es "whom"-pronoun-en
"a quién"-pronoun-es "whom"-pronoun-en
"represivo"-adjective-es "repressive"-adjective-en
"repressive"-adjective-en "represivo"-adjective-es
"lujoso"-adjective-es "luxurious"-adjective-en
"luxurious"-adjective-en "lujoso"-adjective-es
"reference"-verb-en "referenciar"-verb-es
"referenciar"-verb-es "reference"-verb-en
"grotesco"-adjective-es "grotesque"-adjective-en
"grotesque"-adjective-en "grotesco"-adjective-es
"escalar"-verb-es "scale"-verb-en
"scale"-verb-en "escalar"-verb-es
"colisionar"-verb-es "collide"-verb-en
"collide"-verb-en "colisionar"-verb-es
"majestuoso"-adjective-es "stately"-adjective-en
"stately"-adjective-en "majestuoso"-adjective-es
"segundo"-adjective-es "second"-adjective-en
"second"-adjective-en "segundo"-adjective-es
"cuarto"-adjective-es "fourth"-adjective-en
"fourth"-adjective-en "cuarto"-adjective-es
"quinto"-adjective-es "fifth"-adjective-en
"fifth"-adjective-en "quinto"-adjective-es
"sixth"-adjective-en "sexto"-adjective-es
"sexto"-adjective-es "sixth"-adjective-en
"séptimo"-adjective-es "seventh"-adjective-en
"seventh"-adjective-en "séptimo"-adjective-es
"octavo"-adjective-es "eighth"-adjective-en
"eighth"-adjective-en "octavo"-adjective-es
"noveno"-adjective-es "ninth"-adjective-en
"ninth"-adjective-en "noveno"-adjective-es
"décimo"-adjective-es "tenth"-adjective-en
