"a algún lugar"-adverb-es "to somewhere"-adverb-en
"to somewhere"-adverb-en "a algún lugar"-adverb-es
"for the sake of"-preposition-en "por el bien de"-preposition-es
"por el bien de"-preposition-es "for the sake of"-preposition-en
"homewards"-adverb-en "a casa"-adverb-es
"a casa"-adverb-es "homewards"-adverb-en
"hovercraft"-noun-en "aerodeslizador"-noun-es
"aerodeslizador"-noun-es "hovercraft"-noun-en
"morriña"-noun-es "homesickness"-noun-en
"homesickness"-noun-en "morriña"-noun-es
"repulsion"-noun-en "repulsión"-noun-es
"repulsión"-noun-es "repulsion"-noun-en
"agudeza"-noun-es "acuteness"-noun-en
"acuteness"-noun-en "agudeza"-noun-es
"consanguinity"-noun-en "consanguinidad"-noun-es
"consanguinidad"-noun-es "consanguinity"-noun-en
"arboriculture"-noun-en "arboricultura"-noun-es
"arboricultura"-noun-es "arboriculture"-noun-en
"spiritualism"-noun-en "espiritualismo"-noun-es
"espiritualismo"-noun-es "spiritualism"-noun-en
"psalmody"-noun-en "salmodia"-noun-es
"salmodia"-noun-es "psalmody"-noun-en
"predestination"-noun-en "predestinación"-noun-es
"predestinación"-noun-es "predestination"-noun-en
"poetics"-noun-en "poética"-noun-es
"poética"-noun-es "poetics"-noun-en
"pennant"-noun-en "banderín"-noun-es
"banderín"-noun-es "pennant"-noun-en
"myrrh"-noun-en "mirra"-noun-es
"mirra"-noun-es "myrrh"-noun-en
"musk"-noun-en "almizcle"-noun-es
"almizcle"-noun-es "musk"-noun-en
"mildew"-noun-en "mildiu"-noun-es
"mildew"-noun-en "moho"-noun-es
"mildiu"-noun-es "mildew"-noun-en
"moho"-noun-es "mildew"-noun-en
"ichthyology"-noun-en "ictiología"-noun-es
"ictiología"-noun-es "ichthyology"-noun-en
"henna"-noun-en "henna"-noun-es
"henna"-noun-es "henna"-noun-en
"dejection"-noun-en "deyección"-noun-es
"deyección"-noun-es "dejection"-noun-en
"unitarianism"-noun-en "unitarismo"-noun-es
"unitarismo"-noun-es "unitarianism"-noun-en
"vulcanism"-noun-en "vulcanismo"-noun-es
"vulcanismo"-noun-es "vulcanism"-noun-en
"Maoism"-noun-en "maoísmo"-noun-es
"maoísmo"-noun-es "Maoism"-noun-en
"punto muerto"-noun-es "dead centre"-noun-en
"punto muerto"-noun-es "stand-off"-noun-en
"dead centre"-noun-en "punto muerto"-noun-es
"dead centre"-noun-en "punto neutro"-noun-es
