"adekvate"-adverb-eo "adequadament"-adverb-ca
"adequadament"-adverb-ca "adekvate"-adverb-eo
"libervole"-adverb-eo "voluntàriament"-adverb-ca
"voluntàriament"-adverb-ca "libervole"-adverb-eo
"malĝuste"-adverb-eo "incorrectament"-adverb-ca
"incorrectament"-adverb-ca "malĝuste"-adverb-eo
"baldaŭ"-adverb-eo "aviat"-adverb-ca
"baldaŭ"-adverb-eo "prompte"-adverb-ca
"aviat"-adverb-ca "baldaŭ"-adverb-eo
"prompte"-adverb-ca "baldaŭ"-adverb-eo
"obertament"-adverb-ca "malfermite"-adverb-eo
"malfermite"-adverb-eo "obertament"-adverb-ca
"probablement"-adverb-ca "probable"-adverb-eo
"probable"-adverb-eo "probablement"-adverb-ca
"efektive"-adverb-eo "efectivament"-adverb-ca
"efektive"-adverb-eo "de fet"-adverb-ca
"efectivament"-adverb-ca "efektive"-adverb-eo
"de fet"-adverb-ca "efektive"-adverb-eo
"grave"-adverb-eo "greument"-adverb-ca
"greument"-adverb-ca "grave"-adverb-eo
"actualment"-adverb-ca "nune"-adverb-eo
"nune"-adverb-eo "actualment"-adverb-ca
"portempe"-adverb-eo "temporalment"-adverb-ca
"temporalment"-adverb-ca "portempe"-adverb-eo
"a més"-adverb-ca "plie"-adverb-eo
"plie"-adverb-eo "a més"-adverb-ca
"plie"-adverb-eo "a més a més"-adverb-ca
"a més a més"-adverb-ca "plie"-adverb-eo
"popularment"-adverb-ca "popole"-adverb-eo
"popole"-adverb-eo "popularment"-adverb-ca
"regule"-adverb-eo "regularment"-adverb-ca
"regularment"-adverb-ca "regule"-adverb-eo
"habitualment"-adverb-ca "komune"-adverb-eo
"komune"-adverb-eo "habitualment"-adverb-ca
"komune"-adverb-eo "conjuntament"-adverb-ca
"normalment"-adverb-ca "normale"-adverb-eo
"normale"-adverb-eo "normalment"-adverb-ca
"conjuntament"-adverb-ca "komune"-adverb-eo
"lluny"-adverb-ca "for"-adverb-eo
"for"-adverb-eo "lluny"-adverb-ca
"senfine"-adverb-eo "indefinidament"-adverb-ca
"indefinidament"-adverb-ca "senfine"-adverb-eo
"kelkfoje"-adverb-eo "de vegades"-adverb-ca
"kelkfoje"-adverb-eo "a vegades"-adverb-ca
"de vegades"-adverb-ca "kelkfoje"-adverb-eo
"a vegades"-adverb-ca "kelkfoje"-adverb-eo
"esporàdicament"-adverb-ca "sporade"-adverb-eo
"sporade"-adverb-eo "esporàdicament"-adverb-ca
"senvole"-adverb-eo "involuntàriament"-adverb-ca
"involuntàriament"-adverb-ca "senvole"-adverb-eo
"profundament"-adverb-ca "profunde"-adverb-eo
"profunde"-adverb-eo "profundament"-adverb-ca
"absolutament"-adverb-ca "absolute"-adverb-eo
"absolute"-adverb-eo "absolutament"-adverb-ca
"nedisputeble"-adverb-eo "indiscutiblement"-adverb-ca
"indiscutiblement"-adverb-ca "nedisputeble"-adverb-eo
"nelonge"-adverb-eo "breument"-adverb-ca
"breument"-adverb-ca "nelonge"-adverb-eo
"ĝoje"-adverb-eo "alegrement"-adverb-ca
"alegrement"-adverb-ca "ĝoje"-adverb-eo
"degudament"-adverb-ca "kiel decas"-adverb-eo
"kiel decas"-adverb-eo "degudament"-adverb-ca
