"qualsevol"-determiner-ca "neniu"-determiner-eo
"neniu"-determiner-eo "qualsevol"-determiner-ca
"ajna"-determiner-eo "cap"-determiner-ca
"cap"-determiner-ca "ajna"-determiner-eo
"algun"-determiner-ca "kelka"-determiner-eo
"kelka"-determiner-eo "algun"-determiner-ca
"iu"-determiner-eo "un"-determiner-ca
"iu"-determiner-eo "uns quants"-determiner-ca
"un"-determiner-ca "iu"-determiner-eo
"uns quants"-determiner-ca "iu"-determiner-eo
"aquest"-determiner-ca "tiu"-determiner-eo
"tiu"-determiner-eo "aquest"-determiner-ca
"tiu"-determiner-eo "este"-determiner-ca
"este"-determiner-ca "tiu"-determiner-eo
"molt"-determiner-ca "multe da"-determiner-eo
"multe da"-determiner-eo "molt"-determiner-ca
"multa"-determiner-eo "gaire"-determiner-ca
"gaire"-determiner-ca "multa"-determiner-eo
"inkluzive"-adverb-eo "fins i tot"-adverb-ca
"fins i tot"-adverb-ca "inkluzive"-adverb-eo
"iom post iom"-adverb-eo "progressivament"-adverb-ca
"iom post iom"-adverb-eo "de mica en mica"-adverb-ca
"progressivament"-adverb-ca "iom post iom"-adverb-eo
"de mica en mica"-adverb-ca "iom post iom"-adverb-eo
"aviat"-adverb-ca "rapide"-adverb-eo
"rapide"-adverb-eo "aviat"-adverb-ca
"prompte"-adverb-ca "frue"-adverb-eo
"frue"-adverb-eo "prompte"-adverb-ca
"laŭdire"-adverb-eo "suposadament"-adverb-ca
"suposadament"-adverb-ca "laŭdire"-adverb-eo
"possiblement"-adverb-ca "se eble"-adverb-eo
"se eble"-adverb-eo "possiblement"-adverb-ca
"fortament"-adverb-ca "intense"-adverb-eo
"intense"-adverb-eo "fortament"-adverb-ca
"apude"-adverb-eo "a prop"-adverb-ca
"a prop"-adverb-ca "apude"-adverb-eo
"enllà"-adverb-ca "tie"-adverb-eo
"tie"-adverb-eo "enllà"-adverb-ca
"ací"-adverb-ca "ĉi tie"-adverb-eo
"ĉi tie"-adverb-eo "ací"-adverb-ca
"ĉi tie"-adverb-eo "aquí"-adverb-ca
"aquí"-adverb-ca "ĉi tie"-adverb-eo
"enrere"-adverb-ca "malantaŭe"-adverb-eo
"malantaŭe"-adverb-eo "enrere"-adverb-ca
"malantaŭe"-adverb-eo "endarrere"-adverb-ca
"malantaŭe"-adverb-eo "endarrera"-adverb-ca
"endarrere"-adverb-ca "malantaŭe"-adverb-eo
"endarrera"-adverb-ca "malantaŭe"-adverb-eo
"sistemàticament"-adverb-ca "principe"-adverb-eo
"principe"-adverb-eo "sistemàticament"-adverb-ca
"ĉiutage"-adverb-eo "diàriament"-adverb-ca
"diàriament"-adverb-ca "ĉiutage"-adverb-eo
"kutime"-adverb-eo "ordinàriament"-adverb-ca
"ordinàriament"-adverb-ca "kutime"-adverb-eo
"normalment"-adverb-ca "ordinare"-adverb-eo
"ordinare"-adverb-eo "normalment"-adverb-ca
"superbe"-adverb-eo "magníficament"-adverb-ca
"magníficament"-adverb-ca "superbe"-adverb-eo
"fora"-adverb-ca "eksteren"-adverb-eo
"eksteren"-adverb-eo "fora"-adverb-ca
"ekstere"-adverb-eo "enfora"-adverb-ca
"enfora"-adverb-ca "ekstere"-adverb-eo
"de vegades"-adverb-ca "iafoje"-adverb-eo
"iafoje"-adverb-eo "de vegades"-adverb-ca
"iafoje"-adverb-eo "a vegades"-adverb-ca
"a vegades"-adverb-ca "iafoje"-adverb-eo
"absolutament"-adverb-ca "tute"-adverb-eo
"tute"-adverb-eo "absolutament"-adverb-ca
"tute"-adverb-eo "íntegrament"-adverb-ca
"íntegrament"-adverb-ca "tute"-adverb-eo
"enterament"-adverb-ca "plene"-adverb-eo
"plene"-adverb-eo "enterament"-adverb-ca
"plene"-adverb-eo "totalment"-adverb-ca
"sekve"-adverb-eo "consegüentment"-adverb-ca
"consegüentment"-adverb-ca "sekve"-adverb-eo
"ĝuste"-adverb-eo "bé"-adverb-ca
"ĝuste"-adverb-eo "just"-adverb-ca
"bé"-adverb-ca "ĝuste"-adverb-eo
"just"-adverb-ca "ĝuste"-adverb-eo
"amablement"-adverb-ca "ĝentile"-adverb-eo
"ĝentile"-adverb-eo "amablement"-adverb-ca
"certe"-adverb-eo "segurament"-adverb-ca
"segurament"-adverb-ca "certe"-adverb-eo
"male"-adverb-eo "per contra"-adverb-ca
"per contra"-adverb-ca "male"-adverb-eo
"en canvi"-adverb-ca "kontraŭe"-adverb-eo
"kontraŭe"-adverb-eo "en canvi"-adverb-ca
"nur"-adverb-eo "solament"-adverb-ca
"solament"-adverb-ca "nur"-adverb-eo
"únicament"-adverb-ca "sole"-adverb-eo
"únicament"-adverb-ca "unike"-adverb-eo
"sole"-adverb-eo "únicament"-adverb-ca
"unike"-adverb-eo "únicament"-adverb-ca
"merament"-adverb-ca "simple"-adverb-eo
"simple"-adverb-eo "merament"-adverb-ca
"poste"-adverb-eo "seguidament"-adverb-ca
"poste"-adverb-eo "més endavant"-adverb-ca
"seguidament"-adverb-ca "poste"-adverb-eo
"més endavant"-adverb-ca "poste"-adverb-eo
"constantment"-adverb-ca "konstante"-adverb-eo
"konstante"-adverb-eo "constantment"-adverb-ca
"antaŭe"-adverb-eo "enfront"-adverb-ca
"enfront"-adverb-ca "antaŭe"-adverb-eo
"enfront"-adverb-ca "fronte"-adverb-eo
"davant"-adverb-ca "fronte"-adverb-eo
"fronte"-adverb-eo "enfront"-adverb-ca
"fronte"-adverb-eo "davant"-adverb-ca
"fronte"-adverb-eo "al davant"-adverb-ca
"al davant"-adverb-ca "fronte"-adverb-eo
"a sota"-adverb-ca "malsupre"-adverb-eo
"malsupre"-adverb-eo "a sota"-adverb-ca
"malsupre"-adverb-eo "sota"-adverb-ca
"sube"-adverb-eo "avall"-adverb-ca
"avall"-adverb-ca "sube"-adverb-eo
"sota"-adverb-ca "malsupre"-adverb-eo
"extremadament"-adverb-ca "ege"-adverb-eo
"extremadament"-adverb-ca "treege"-adverb-eo
"ege"-adverb-eo "extremadament"-adverb-ca
"treege"-adverb-eo "extremadament"-adverb-ca
"tuj"-adverb-eo "immediatament"-adverb-ca
"immediatament"-adverb-ca "tuj"-adverb-eo
"finalment"-adverb-ca "laste"-adverb-eo
"laste"-adverb-eo "finalment"-adverb-ca
"ĵus"-adverb-eo "recentment"-adverb-ca
"recentment"-adverb-ca "ĵus"-adverb-eo
"àmpliament"-adverb-ca "vaste"-adverb-eo
"vaste"-adverb-eo "àmpliament"-adverb-ca
"totalment"-adverb-ca "plene"-adverb-eo
"ĝenerale"-adverb-eo "globalment"-adverb-ca
"ĝenerale"-adverb-eo "en general"-adverb-ca
"globalment"-adverb-ca "ĝenerale"-adverb-eo
"en general"-adverb-ca "ĝenerale"-adverb-eo
"iomete"-adverb-eo "lleugerament"-adverb-ca
"lleugerament"-adverb-ca "iomete"-adverb-eo
"tio"-pronoun-eo "que"-pronoun-ca
"que"-pronoun-ca "tio"-pronoun-eo
"kiu"-relativePronoun-eo "què"-pronoun-ca
"què"-pronoun-ca "kiu"-relativePronoun-eo
"què"-pronoun-ca "kiu"-pronoun-eo
"kiu"-pronoun-eo "què"-pronoun-ca
"kio"-relativePronoun-eo "el que"-pronoun-ca
"el que"-pronoun-ca "kio"-relativePronoun-eo
"el que"-pronoun-ca "kio"-pronoun-eo
"kio"-pronoun-eo "el que"-pronoun-ca
"prpers"-pronoun-eo "es"-reflexivePersonalPronoun-ca
"prpers"-pronoun-eo "es"-pronoun-ca
"prpers"-pronoun-eo "hom"-pronoun-ca
"es"-reflexivePersonalPronoun-ca "prpers"-pronoun-eo
"es"-pronoun-ca "prpers"-pronoun-eo
"hom"-pronoun-ca "prpers"-pronoun-eo
"amb"-preposition-ca "al"-preposition-eo
"al"-preposition-eo "amb"-preposition-ca
"al"-preposition-eo "en"-preposition-ca
"en"-preposition-ca "al"-preposition-eo
"en"-preposition-ca "sur"-preposition-eo
"en"-preposition-ca "ĉe"-preposition-eo
"rilate al"-preposition-eo "quant a"-preposition-ca
"quant a"-preposition-ca "rilate al"-preposition-eo
"a través de"-preposition-ca "trans"-preposition-eo
"trans"-preposition-eo "a través de"-preposition-ca
"fare de"-preposition-eo "per"-preposition-ca
"per"-preposition-ca "fare de"-preposition-eo
"per"-preposition-ca "de"-preposition-eo
"de"-preposition-eo "per"-preposition-ca
"de"-preposition-eo "a partir de"-preposition-ca
"a partir de"-preposition-ca "de"-preposition-eo
"des de"-preposition-ca "ekde"-preposition-eo
"ekde"-preposition-eo "des de"-preposition-ca
