"alta"-noun-ca "malalitigo"-noun-eo
"malalitigo"-noun-eo "alta"-noun-ca
"assistent"-adjective-ca "ĉeesta"-adjective-eo
"ĉeesta"-adjective-eo "assistent"-adjective-ca
"candent"-adjective-ca "brulanta"-adjective-eo
"brulanta"-adjective-eo "candent"-adjective-ca
"cigarreta"-noun-ca "cigareto"-noun-eo
"cigareto"-noun-eo "cigarreta"-noun-ca
"broquet"-noun-ca "buŝaĵo"-noun-eo
"buŝaĵo"-noun-eo "broquet"-noun-ca
"cantell"-noun-ca "randumo"-noun-eo
"randumo"-noun-eo "cantell"-noun-ca
"bruguerola"-noun-ca "kaluno"-noun-eo
"kaluno"-noun-eo "bruguerola"-noun-ca
"viable"-adverb-ca "realigeble"-adverb-eo
"realigeble"-adverb-eo "viable"-adverb-ca
"putada"-noun-ca "ĉikanaĵo"-noun-eo
"ĉikanaĵo"-noun-eo "putada"-noun-ca
"fagina"-noun-ca "mustelkato"-noun-eo
"mustelkato"-noun-eo "fagina"-noun-ca
"lleu"-adverb-ca "bagatela"-adverb-eo
"lleu"-adverb-ca "malgrava"-adverb-eo
"lleu"-adverb-ca "leĝera"-adverb-eo
"lleu"-adverb-ca "malpeza"-adverb-eo
"bagatela"-adverb-eo "lleu"-adverb-ca
"bagatela"-adverb-eo "banal"-adverb-ca
"bagatela"-adverb-eo "insignificant"-adverb-ca
"malgrava"-adverb-eo "lleu"-adverb-ca
"malgrava"-adverb-eo "fútil"-adverb-ca
"leĝera"-adverb-eo "lleu"-adverb-ca
"leĝera"-adverb-eo "superficial"-adverb-ca
"malpeza"-adverb-eo "lleu"-adverb-ca
"instruït"-adjective-ca "instruita"-adjective-eo
"instruita"-adjective-eo "instruït"-adjective-ca
"cotxinilla"-noun-ca "koĉo"-noun-eo
"koĉo"-noun-eo "cotxinilla"-noun-ca
"coloquinta"-noun-ca "citrolo"-noun-eo
"citrolo"-noun-eo "coloquinta"-noun-ca
"citrolo"-noun-eo "sindriera"-noun-ca
"citrolo"-noun-eo "xíndria"-noun-ca
"contralt"-noun-ca "kontraltulino"-noun-eo
"kontraltulino"-noun-eo "contralt"-noun-ca
"crin"-noun-ca "kolharo"-noun-eo
"kolharo"-noun-eo "crin"-noun-ca
"melonera"-noun-ca "melonujo"-noun-eo
"melonujo"-noun-eo "melonera"-noun-ca
"esca"-noun-ca "meĉaĵo"-noun-eo
"meĉaĵo"-noun-eo "esca"-noun-ca
"meĉaĵo"-noun-eo "ble"-noun-ca
"rosec"-noun-ca "timeto"-noun-eo
"timeto"-noun-eo "rosec"-noun-ca
"miosotis"-noun-ca "neforgesumino"-noun-eo
"neforgesumino"-noun-eo "miosotis"-noun-ca
"condemnar a mort"-verb-ca "mortpuni"-verb-eo
"mortpuni"-verb-eo "condemnar a mort"-verb-ca
"necesser"-noun-ca "tualetujo"-noun-eo
"tualetujo"-noun-eo "necesser"-noun-ca
"paramilitar"-noun-ca "armeecano"-noun-eo
"paramilitar"-noun-ca "paraarmeano"-noun-eo
"armeecano"-noun-eo "paramilitar"-noun-ca
"paraarmeano"-noun-eo "paramilitar"-noun-ca
"piquet"-noun-ca "strikoposteno"-noun-eo
"strikoposteno"-noun-eo "piquet"-noun-ca
"reietó"-noun-ca "reĝeto"-noun-eo
"reĝeto"-noun-eo "reietó"-noun-ca
"pintallavis"-noun-ca "ruĝigilo"-noun-eo
"ruĝigilo"-noun-eo "pintallavis"-noun-ca
"ruĝigilo"-noun-eo "coloret"-noun-ca
"rulot"-noun-ca "domveturilo"-noun-eo
"domveturilo"-noun-eo "rulot"-noun-ca
"irresponsable"-noun-ca "malrespondeculo"-noun-eo
"irresponsable"-noun-ca "malresponsulo"-noun-eo
"irresponsable"-noun-ca "nerespondeculo"-noun-eo
"irresponsable"-noun-ca "neresponsulo"-noun-eo
"malrespondeculo"-noun-eo "irresponsable"-noun-ca
"malresponsulo"-noun-eo "irresponsable"-noun-ca
"nerespondeculo"-noun-eo "irresponsable"-noun-ca
"neresponsulo"-noun-eo "irresponsable"-noun-ca
"sociolingüísticament"-adverb-ca "socilingve"-adverb-eo
"socilingve"-adverb-eo "sociolingüísticament"-adverb-ca
"tetera"-noun-ca "temaŝino"-noun-eo
"temaŝino"-noun-eo "tetera"-noun-ca
"trucatge"-noun-ca "trukaĵo"-noun-eo
"trukaĵo"-noun-eo "trucatge"-noun-ca
"virtuós"-noun-ca "virtulo"-noun-eo
"virtulo"-noun-eo "virtuós"-noun-ca
"sublevar"-verb-ca "ribeligi"-verb-eo
"ribeligi"-verb-eo "sublevar"-verb-ca
"picador"-noun-ca "rajdejo"-noun-eo
"rajdejo"-noun-eo "picador"-noun-ca
"fer soroll"-verb-ca "brui"-verb-eo
"brui"-verb-eo "fer soroll"-verb-ca
"estelat"-adjective-ca "stelforma"-adjective-eo
"stelforma"-adjective-eo "estelat"-adjective-ca
"sense sostre"-adjective-ca "senhejme"-adjective-eo
"senhejme"-adjective-eo "sense sostre"-adjective-ca
"a"-noun-eo "a"-noun-ca
"a"-noun-ca "a"-noun-eo
"spite"-adverb-eo "a despit"-adverb-ca
"a despit"-adverb-ca "spite"-adverb-eo
"spite al"-preposition-eo "a despit de"-preposition-ca
"a despit de"-preposition-ca "spite al"-preposition-eo
"plenmane"-adverb-eo "a grapats"-adverb-ca
"a grapats"-adverb-ca "plenmane"-adverb-eo
"de hodiaŭ"-adverb-eo "a partir d'hui"-adverb-ca
"a partir d'hui"-adverb-ca "de hodiaŭ"-adverb-eo
"lenpulme"-adverb-eo "a plens pulmons"-adverb-ca
"a plens pulmons"-adverb-ca "lenpulme"-adverb-eo
"tuj antaŭ"-preposition-eo "a punt de"-preposition-ca
"a punt de"-preposition-ca "tuj antaŭ"-preposition-eo
"popece"-adverb-eo "a tant la peça"-adverb-ca
"a tant la peça"-adverb-ca "popece"-adverb-eo
"abatino"-noun-eo "abadessa"-noun-ca
"abadessa"-noun-ca "abatino"-noun-eo
"enabismiĝi"-verb-eo "abismar-se"-verb-ca
"abismar-se"-verb-ca "enabismiĝi"-verb-eo
"burĝiĝi"-verb-eo "aburgesar-se"-verb-ca
"aburgesar-se"-verb-ca "burĝiĝi"-verb-eo
"misuzo de aŭtoritato"-noun-eo "abús de poder"-noun-ca
"abús de poder"-noun-ca "misuzo de aŭtoritato"-noun-eo
"kampadprotesto"-noun-eo "acampada de protesta"-noun-ca
"acampada de protesta"-noun-ca "kampadprotesto"-noun-eo
"atingebla"-adverb-eo "accessible"-adverb-ca
"atingebla"-adverb-eo "assequible"-adverb-ca
"accessible"-adverb-ca "atingebla"-adverb-eo
"assequible"-adverb-ca "atingebla"-adverb-eo
"protesta ago"-noun-eo "acció-protesta"-noun-ca
"acció-protesta"-noun-ca "protesta ago"-noun-eo
"elmontro de malaprobo"-noun-eo "acció de rebuig"-noun-ca
"acció de rebuig"-noun-ca "elmontro de malaprobo"-noun-eo
"rekta ago"-noun-eo "acció directa"-noun-ca
"acció directa"-noun-ca "rekta ago"-noun-eo
"akra"-adverb-eo "acre"-adverb-ca
"acre"-adverb-ca "akra"-adverb-eo
"akromata"-adverb-eo "acromàticament"-adverb-ca
"acromàticament"-adverb-ca "akromata"-adverb-eo
"akuza"-adverb-eo "acusador"-adverb-ca
"acusador"-adverb-ca "akuza"-adverb-eo
"senkapa"-adverb-eo "acèfal"-adverb-ca
"acèfal"-adverb-ca "senkapa"-adverb-eo
"admirinda"-adverb-eo "admirable"-adverb-ca
"admirable"-adverb-ca "admirinda"-adverb-eo
"ekdormi"-verb-eo "adormir-se"-verb-ca
"adormir-se"-verb-ca "ekdormi"-verb-eo
"adulti"-verb-eo "cometre adulteri"-verb-ca
"cometre adulteri"-verb-ca "adulti"-verb-eo
"antaŭaverta"-adjective-eo "advertidor"-adjective-ca
"advertidor"-adjective-ca "antaŭaverta"-adjective-eo
"antaŭaverta"-adverb-eo "advertidor"-adverb-ca
"advertidor"-adverb-ca "antaŭaverta"-adverb-eo
"defenda advokato"-noun-eo "advocat defensor"-noun-ca
"advocat defensor"-noun-ca "defenda advokato"-noun-eo
"afabla"-adverb-eo "afable"-adverb-ca
"afable"-adverb-ca "afabla"-adverb-eo
"afable"-adverb-ca "malakra"-adverb-eo
"afable"-adverb-ca "plaĉa"-adverb-eo
"malakra"-adverb-eo "afable"-adverb-ca
"plaĉa"-adverb-eo "afable"-adverb-ca
"filigi"-verb-eo "afillar"-verb-ca
"afillar"-verb-ca "filigi"-verb-eo
"malĝoji"-verb-eo "afligir-se"-verb-ca
"afligir-se"-verb-ca "malĝoji"-verb-eo
"senvoĉa"-adverb-eo "afònicament"-adverb-ca
"afònicament"-adverb-ca "senvoĉa"-adverb-eo
"malvarmumi"-verb-eo "agafar fred"-verb-ca
"malvarmumi"-verb-eo "constipar-se"-verb-ca
"malvarmumi"-verb-eo "refredar-se"-verb-ca
"agafar fred"-verb-ca "malvarmumi"-verb-eo
"constipar-se"-verb-ca "malvarmumi"-verb-eo
"refredar-se"-verb-ca "malvarmumi"-verb-eo
"agnostika"-adverb-eo "agnòsticament"-adverb-ca
"agnòsticament"-adverb-ca "agnostika"-adverb-eo
