"desagradable"-adjective-ca "neagrabla"-adjective-eo
"neagrabla"-adjective-eo "desagradable"-adjective-ca
"dolent"-adjective-ca "mava"-adjective-eo
"mava"-adjective-eo "dolent"-adjective-ca
"administració"-noun-ca "entreprenejo"-noun-eo
"entreprenejo"-noun-eo "administració"-noun-ca
"entreprenejo"-noun-eo "despatx"-noun-ca
"entreprenejo"-noun-eo "oficina"-noun-ca
"adult"-adjective-ca "plenkreskula"-adjective-eo
"plenkreskula"-adjective-eo "adult"-adjective-ca
"tanca"-noun-ca "kulasbloko"-noun-eo
"kulasbloko"-noun-eo "tanca"-noun-ca
"agressiu"-adjective-ca "agresiva"-adjective-eo
"agresiva"-adjective-eo "agressiu"-adjective-ca
"rebuda"-noun-ca "akceptado"-noun-eo
"akceptado"-noun-eo "rebuda"-noun-ca
"recepció"-noun-ca "ricevado"-noun-eo
"ricevado"-noun-eo "recepció"-noun-ca
"accident"-noun-ca "akcidenco"-noun-eo
"akcidenco"-noun-eo "accident"-noun-ca
"eix"-noun-ca "spindelo"-noun-eo
"spindelo"-noun-eo "eix"-noun-ca
"spindelo"-noun-eo "tambor"-noun-ca
"spindelo"-noun-eo "fus"-noun-ca
"aquàtic"-adjective-ca "akvoloĝa"-adjective-eo
"akvoloĝa"-adjective-eo "aquàtic"-adjective-ca
"síndria"-noun-ca "citrolo"-noun-eo
"citrolo"-noun-eo "síndria"-noun-ca
"amant"-noun-ca "geamatoj"-noun-eo
"geamatoj"-noun-eo "amant"-noun-ca
"preservació"-noun-ca "prezervado"-noun-eo
"prezervado"-noun-eo "preservació"-noun-ca
"ascendent"-noun-ca "prulo"-noun-eo
"prulo"-noun-eo "ascendent"-noun-ca
"antiamericanisme"-noun-ca "antiamerikanismo"-noun-eo
"antiamericanisme"-noun-ca "kontraŭamerikanismo"-noun-eo
"antiamericanisme"-noun-ca "antiusonanismo"-noun-eo
"antiamericanisme"-noun-ca "kontraŭusonanismo"-noun-eo
"antiamericanisme"-noun-ca "antiamerikismo"-noun-eo
"antiamericanisme"-noun-ca "kontraŭamerikismo"-noun-eo
"antiamerikanismo"-noun-eo "antiamericanisme"-noun-ca
