"1a"-numeral-eo "1st"-numeral-en
"1st"-numeral-en "1a"-numeral-eo
"2a"-numeral-eo "2nd"-numeral-en
"2nd"-numeral-en "2a"-numeral-eo
"3a"-numeral-eo "3rd"-numeral-en
"3rd"-numeral-en "3a"-numeral-eo
"4a"-numeral-eo "4th"-numeral-en
"4th"-numeral-en "4a"-numeral-eo
"a"-numeral-eo "th"-numeral-en
"th"-numeral-en "a"-numeral-eo
","-comma-eo ","-comma-en
","-comma-en ","-comma-eo
"abomena"-adjective-eo "heinous"-adjective-en
"abomena"-adjective-eo "unspeakable"-adjective-en
"heinous"-adjective-en "abomena"-adjective-eo
"unspeakable"-adjective-en "abomena"-adjective-eo
"abomene"-adverb-eo "disgusting"-adverb-en
"disgusting"-adverb-en "abomene"-adverb-eo
"disgusting"-adverb-en "naŭze"-adverb-eo
"naŭze"-adverb-eo "disgusting"-adverb-en
"naŭze"-adverb-eo "nauseating"-adverb-en
"naŭze"-adverb-eo "nauseous"-adverb-en
"abomeninda"-adjective-eo "loathsome"-adjective-en
"loathsome"-adjective-en "abomeninda"-adjective-eo
"abomeninde"-adverb-eo "hateful"-adverb-en
"abomeninde"-adverb-eo "detestable"-adverb-en
"hateful"-adverb-en "abomeninde"-adverb-eo
"hateful"-adverb-en "malaminde"-adverb-eo
"detestable"-adverb-en "abomeninde"-adverb-eo
"malaminde"-adverb-eo "hateful"-adverb-en
"abomeno"-noun-eo "loathing"-noun-en
"loathing"-noun-en "abomeno"-noun-eo
"aborto"-noun-eo "miscarriage"-noun-en
"miscarriage"-noun-en "aborto"-noun-eo
"absurda"-adjective-eo "nonsense"-adjective-en
"absurda"-adjective-eo "preposterous"-adjective-en
"nonsense"-adjective-en "absurda"-adjective-eo
"preposterous"-adjective-en "absurda"-adjective-eo
"absurde"-adverb-eo "nonsensical"-adverb-en
"absurde"-adverb-eo "bull"-adverb-en
"nonsensical"-adverb-en "absurde"-adverb-eo
"bull"-adverb-en "absurde"-adverb-eo
"abunda"-adjective-eo "ample"-adjective-en
"ample"-adjective-en "abunda"-adjective-eo
"aĉa"-adjective-eo "lousy"-adjective-en
"aĉa"-adjective-eo "rubbish"-adjective-en
"lousy"-adjective-en "aĉa"-adjective-eo
"rubbish"-adjective-en "aĉa"-adjective-eo
"aĉe"-adverb-eo "horrid"-adverb-en
"aĉe"-adverb-eo "shitty"-adverb-en
"horrid"-adverb-en "aĉe"-adverb-eo
"horrid"-adverb-en "horore"-adverb-eo
"shitty"-adverb-en "aĉe"-adverb-eo
"horore"-adverb-eo "horrid"-adverb-en
"acida"-adjective-eo "acid"-adjective-en
"acid"-adjective-en "acida"-adjective-eo
"adekvateco"-noun-eo "adequacy"-noun-en
"adequacy"-noun-en "adekvateco"-noun-eo
"adequacy"-noun-en "sufiĉeco"-noun-eo
"sufiĉeco"-noun-eo "adequacy"-noun-en
"administrejo"-noun-eo "directorate"-noun-en
"directorate"-noun-en "administrejo"-noun-eo
"directorate"-noun-en "direktorio"-noun-eo
"direktorio"-noun-eo "directorate"-noun-en
"admiralitato"-noun-eo "admiralty"-noun-en
"admiralty"-noun-en "admiralitato"-noun-eo
"admono"-noun-eo "exhortation"-noun-en
"admono"-noun-eo "admonition"-noun-en
"exhortation"-noun-en "admono"-noun-eo
"admonition"-noun-en "admono"-noun-eo
"adopti"-verb-eo "espouse"-verb-en
"espouse"-verb-en "adopti"-verb-eo
"adoranto"-noun-eo "worshipper"-noun-en
"worshipper"-noun-en "adoranto"-noun-eo
"adultulo"-noun-eo "adulterer"-noun-en
"adulterer"-noun-en "adultulo"-noun-eo
"advokato"-noun-eo "attorney"-noun-en
"attorney"-noun-en "advokato"-noun-eo
"afekta"-adjective-eo "prim"-adjective-en
"prim"-adjective-en "afekta"-adjective-eo
"prim"-adjective-en "pruda"-adjective-eo
"pruda"-adjective-eo "prim"-adjective-en
"afektaĵo"-noun-eo "mannerism"-noun-en
"mannerism"-noun-en "afektaĵo"-noun-eo
"afgano"-noun-eo "afghan"-noun-en
"afghan"-noun-en "afgano"-noun-eo
"afiŝo"-noun-eo "placard"-noun-en
"afiŝo"-noun-eo "posting"-noun-en
"placard"-noun-en "afiŝo"-noun-eo
"posting"-noun-en "afiŝo"-noun-eo
"posting"-noun-en "postenigo"-noun-eo
"postenigo"-noun-eo "posting"-noun-en
"aflikta"-adjective-eo "distressing"-adjective-en
"distressing"-adjective-en "aflikta"-adjective-eo
"distressing"-adjective-en "turmenta"-adjective-eo
"turmenta"-adjective-eo "distressing"-adjective-en
"aflikto"-noun-eo "woe"-noun-en
"aflikto"-noun-eo "travail"-noun-en
"woe"-noun-en "aflikto"-noun-eo
"travail"-noun-en "aflikto"-noun-eo
"afrikano"-noun-eo "African"-noun-en
"African"-noun-en "afrikano"-noun-eo
"agento"-noun-eo "operative"-noun-en
"operative"-noun-en "agento"-noun-eo
"agrabla"-adjective-eo "congenial"-adjective-en
"congenial"-adjective-en "agrabla"-adjective-eo
"agrafi"-verb-eo "hook"-verb-en
"hook"-verb-en "agrafi"-verb-eo
"aĵo"-noun-eo "something"-noun-en
"something"-noun-en "aĵo"-noun-eo
"aĵura"-adjective-eo "perforated"-adjective-en
"perforated"-adjective-en "aĵura"-adjective-eo
"akaro"-noun-eo "mite"-noun-en
"mite"-noun-en "akaro"-noun-eo
"mite"-noun-en "monereto"-noun-eo
"monereto"-noun-eo "mite"-noun-en
"akceptejo"-noun-eo "lobby"-noun-en
"lobby"-noun-en "akceptejo"-noun-eo
"lobby"-noun-en "premgrupo"-noun-eo
"premgrupo"-noun-eo "lobby"-noun-en
"akcesora"-adjective-eo "accessory"-adjective-en
"accessory"-adjective-en "akcesora"-adjective-eo
"akcipitro"-noun-eo "hawk"-noun-en
"hawk"-noun-en "akcipitro"-noun-eo
"hawk"-noun-en "falko"-noun-eo
"hawk"-noun-en "nizo"-noun-eo
"falko"-noun-eo "hawk"-noun-en
"nizo"-noun-eo "hawk"-noun-en
"akomodi"-verb-eo "accomodate"-verb-en
"accomodate"-verb-en "akomodi"-verb-eo
"aksingo"-noun-eo "hub"-noun-en
"hub"-noun-en "aksingo"-noun-eo
"hub"-noun-en "nabo"-noun-eo
"nabo"-noun-eo "hub"-noun-en
"akuŝo"-noun-eo "maternity"-noun-en
"maternity"-noun-en "akuŝo"-noun-eo
"akuzanto"-noun-eo "plaintiff"-noun-en
"plaintiff"-noun-en "akuzanto"-noun-eo
"akuzito"-noun-eo "defendant"-noun-en
"defendant"-noun-en "akuzito"-noun-eo
"akuzo"-noun-eo "accusation"-noun-en
"accusation"-noun-en "akuzo"-noun-eo
"akva"-adjective-eo "watery"-adjective-en
"watery"-adjective-en "akva"-adjective-eo
"akvamarino"-noun-eo "aquamarine"-noun-en
