"neniu"-determiner-eo "ninguno"-determiner-es
"ninguno"-determiner-es "neniu"-determiner-eo
"alguno"-determiner-es "iu"-determiner-eo
"iu"-determiner-eo "alguno"-determiner-es
"iu"-determiner-eo "cierto"-determiner-es
"cierto"-determiner-es "iu"-determiner-eo
"la"-determiner-eo "el"-determiner-es
"el"-determiner-es "la"-determiner-eo
"aquel"-determiner-es "tiu"-determiner-eo
"tiu"-determiner-eo "aquel"-determiner-es
"ĉi tiu"-determiner-eo "este"-determiner-es
"este"-determiner-es "ĉi tiu"-determiner-eo
"malmulta"-determiner-eo "poco"-determiner-es
"poco"-determiner-es "malmulta"-determiner-eo
"mucho"-determiner-es "multa"-determiner-eo
"multa"-determiner-eo "mucho"-determiner-es
"aún"-adverb-es "ankoraŭ"-adverb-eo
"ankoraŭ"-adverb-eo "aún"-adverb-es
"ankoraŭ"-adverb-eo "todavía"-adverb-es
"todavía"-adverb-es "ankoraŭ"-adverb-eo
"adekvate"-adverb-eo "adecuadamente"-adverb-es
"adecuadamente"-adverb-es "adekvate"-adverb-eo
"ĝoje"-adverb-eo "alegremente"-adverb-es
"alegremente"-adverb-es "ĝoje"-adverb-eo
"abunde"-adverb-eo "abundantemente"-adverb-es
"abundantemente"-adverb-es "abunde"-adverb-eo
"grave"-adverb-eo "gravemente"-adverb-es
"gravemente"-adverb-es "grave"-adverb-eo
"libremente"-adverb-es "libere"-adverb-eo
"libere"-adverb-eo "libremente"-adverb-es
"intence"-adverb-eo "intencionadamente"-adverb-es
"intence"-adverb-eo "deliberadamente"-adverb-es
"intence"-adverb-eo "expresamente"-adverb-es
"intencionadamente"-adverb-es "intence"-adverb-eo
"deliberadamente"-adverb-es "intence"-adverb-eo
"expresamente"-adverb-es "intence"-adverb-eo
"nuevamente"-adverb-es "denove"-adverb-eo
"denove"-adverb-eo "nuevamente"-adverb-es
"denove"-adverb-eo "de nuevo"-adverb-es
"de nuevo"-adverb-es "denove"-adverb-eo
"apenas"-adverb-es "apenaŭ"-adverb-eo
"apenaŭ"-adverb-eo "apenas"-adverb-es
"difícilmente"-adverb-es "malfacile"-adverb-eo
"malfacile"-adverb-eo "difícilmente"-adverb-es
"dume"-adverb-eo "mientras tanto"-adverb-es
"mientras tanto"-adverb-es "dume"-adverb-eo
"ahora"-adverb-es "nun"-adverb-eo
"nun"-adverb-eo "ahora"-adverb-es
"hoy"-adverb-es "hodiaŭ"-adverb-eo
"hodiaŭ"-adverb-eo "hoy"-adverb-es
"nuntempe"-adverb-eo "actualmente"-adverb-es
"nuntempe"-adverb-eo "hoy en día"-adverb-es
"nuntempe"-adverb-eo "por ahora"-adverb-es
"actualmente"-adverb-es "nuntempe"-adverb-eo
"hoy en día"-adverb-es "nuntempe"-adverb-eo
"por ahora"-adverb-es "nuntempe"-adverb-eo
"unue"-adverb-eo "primero"-adverb-es
"unue"-adverb-eo "primeramente"-adverb-es
"primero"-adverb-es "unue"-adverb-eo
"primeramente"-adverb-es "unue"-adverb-eo
"provisionalmente"-adverb-es "provizore"-adverb-eo
"provizore"-adverb-eo "provisionalmente"-adverb-es
"samtempe"-adverb-eo "a la vez"-adverb-es
"samtempe"-adverb-eo "al mismo tiempo"-adverb-es
"samtempe"-adverb-eo "simultáneamente"-adverb-es
"a la vez"-adverb-es "samtempe"-adverb-eo
"al mismo tiempo"-adverb-es "samtempe"-adverb-eo
"simultáneamente"-adverb-es "samtempe"-adverb-eo
"paralelamente"-adverb-es "paralele"-adverb-eo
"paralele"-adverb-eo "paralelamente"-adverb-es
"mallarĝe"-adverb-eo "estrechamente"-adverb-es
"mallarĝe"-adverb-eo "angostamente"-adverb-es
"estrechamente"-adverb-es "mallarĝe"-adverb-eo
"angostamente"-adverb-es "mallarĝe"-adverb-eo
"baldaŭ"-adverb-eo "a corto plazo"-adverb-es
"baldaŭ"-adverb-eo "pronto"-adverb-es
"a corto plazo"-adverb-es "baldaŭ"-adverb-eo
"pronto"-adverb-es "baldaŭ"-adverb-eo
"pronto"-adverb-es "frue"-adverb-eo
"frue"-adverb-eo "pronto"-adverb-es
"matene"-adverb-eo "por la mañana"-adverb-es
"por la mañana"-adverb-es "matene"-adverb-eo
"rápidamente"-adverb-es "rapide"-adverb-eo
"rapide"-adverb-eo "rápidamente"-adverb-es
"rapide"-adverb-eo "deprisa"-adverb-es
"deprisa"-adverb-es "rapide"-adverb-eo
"aproximadamente"-adverb-es "proksimume"-adverb-eo
"proksimume"-adverb-eo "aproximadamente"-adverb-es
"alrededor"-adverb-es "ĉirkaŭe"-adverb-eo
"ĉirkaŭe"-adverb-eo "alrededor"-adverb-es
"apude"-adverb-eo "cerca"-adverb-es
"cerca"-adverb-es "apude"-adverb-eo
"mayoritariamente"-adverb-es "majoritate"-adverb-eo
"mayoritariamente"-adverb-es "plimulte"-adverb-eo
"majoritate"-adverb-eo "mayoritariamente"-adverb-es
"plimulte"-adverb-eo "mayoritariamente"-adverb-es
"separadamente"-adverb-es "aparte"-adverb-eo
"aparte"-adverb-eo "separadamente"-adverb-es
"aparte"-adverb-eo "aparte"-adverb-es
"aparte"-adverb-eo "particularmente"-adverb-es
"aparte"-adverb-es "aparte"-adverb-eo
"particularmente"-adverb-es "aparte"-adverb-eo
"sobre todo"-adverb-es "ĉefe"-adverb-eo
"ĉefe"-adverb-eo "sobre todo"-adverb-es
"ĉefe"-adverb-eo "principalmente"-adverb-es
"especialmente"-adverb-es "speciale"-adverb-eo
"speciale"-adverb-eo "especialmente"-adverb-es
"furiosamente"-adverb-es "furioze"-adverb-eo
"furioze"-adverb-eo "furiosamente"-adverb-es
"inicialmente"-adverb-es "komence"-adverb-eo
"komence"-adverb-eo "inicialmente"-adverb-es
"fidele"-adverb-eo "fielmente"-adverb-es
"fielmente"-adverb-es "fidele"-adverb-eo
"específicamente"-adverb-es "specife"-adverb-eo
"specife"-adverb-eo "específicamente"-adverb-es
"concretamente"-adverb-es "konkrete"-adverb-eo
"konkrete"-adverb-eo "concretamente"-adverb-es
"videble"-adverb-eo "visiblemente"-adverb-es
"visiblemente"-adverb-es "videble"-adverb-eo
"indiscutiblemente"-adverb-es "nediskuteble"-adverb-eo
"nediskuteble"-adverb-eo "indiscutiblemente"-adverb-es
"lógicamente"-adverb-es "logike"-adverb-eo
"logike"-adverb-eo "lógicamente"-adverb-es
"aparentemente"-adverb-es "ŝajne"-adverb-eo
"ŝajne"-adverb-eo "aparentemente"-adverb-es
"probablemente"-adverb-es "probable"-adverb-eo
"probable"-adverb-eo "probablemente"-adverb-es
"verŝajne"-adverb-eo "seguramente"-adverb-es
"seguramente"-adverb-es "verŝajne"-adverb-eo
"posiblemente"-adverb-es "eble"-adverb-eo
"eble"-adverb-eo "posiblemente"-adverb-es
"eble"-adverb-eo "quizás"-adverb-es
"eble"-adverb-eo "quizá"-adverb-es
"eble"-adverb-eo "tal vez"-adverb-es
"quizás"-adverb-es "eble"-adverb-eo
"quizá"-adverb-es "eble"-adverb-eo
"tal vez"-adverb-es "eble"-adverb-eo
"konsentite"-adverb-eo "de acuerdo"-adverb-es
"de acuerdo"-adverb-es "konsentite"-adverb-eo
"preferentemente"-adverb-es "prefere"-adverb-eo
"prefere"-adverb-eo "preferentemente"-adverb-es
"iom post iom"-adverb-eo "progresivamente"-adverb-es
"iom post iom"-adverb-eo "poco a poco"-adverb-es
"progresivamente"-adverb-es "iom post iom"-adverb-eo
"poco a poco"-adverb-es "iom post iom"-adverb-eo
"despacio"-adverb-es "malrapide"-adverb-eo
"malrapide"-adverb-eo "despacio"-adverb-es
"malrapide"-adverb-eo "lentamente"-adverb-es
"lentamente"-adverb-es "malrapide"-adverb-eo
"atente"-adverb-eo "atentamente"-adverb-es
"atentamente"-adverb-es "atente"-adverb-eo
"independientemente"-adverb-es "sendepende"-adverb-eo
"sendepende"-adverb-eo "independientemente"-adverb-es
"sucesivamente"-adverb-es "sinsekve"-adverb-eo
"sinsekve"-adverb-eo "sucesivamente"-adverb-es
"potence"-adverb-eo "poderosamente"-adverb-es
"poderosamente"-adverb-es "potence"-adverb-eo
"ekstere"-adverb-eo "fuera"-adverb-es
"ekstere"-adverb-eo "afuera"-adverb-es
"fuera"-adverb-es "ekstere"-adverb-eo
"afuera"-adverb-es "ekstere"-adverb-eo
"pace"-adverb-eo "pacíficamente"-adverb-es
"pacíficamente"-adverb-es "pace"-adverb-eo
"nesufiĉe"-adverb-eo "insuficientemente"-adverb-es
"insuficientemente"-adverb-es "nesufiĉe"-adverb-eo
"eterne"-adverb-eo "eternamente"-adverb-es
"eternamente"-adverb-es "eterne"-adverb-eo
"siempre"-adverb-es "ĉiam"-adverb-eo
"ĉiam"-adverb-eo "siempre"-adverb-es
"periódicamente"-adverb-es "periode"-adverb-eo
