"refoje"-adverb-eo "otra vez"-adverb-es
"otra vez"-adverb-es "refoje"-adverb-eo
"tamen"-adverb-eo "sin embargo"-adverb-es
"sin embargo"-adverb-es "tamen"-adverb-eo
"pretere"-adverb-eo "más allá"-adverb-es
"más allá"-adverb-es "pretere"-adverb-eo
"por adelantado"-adverb-es "anticipe"-adverb-eo
"anticipe"-adverb-eo "por adelantado"-adverb-es
"vario"-determiner-es "plura"-determiner-eo
"plura"-determiner-eo "vario"-determiner-es
"el que"-noun-es "tiuj kiuj"-relativePronoun-eo
"tiuj kiuj"-relativePronoun-eo "el que"-noun-es
"tiuj kiuj"-relativePronoun-eo "el que"-relativePronoun-es
"el que"-relativePronoun-es "tiuj kiuj"-relativePronoun-eo
"hacinar"-verb-es "stakigi"-verb-eo
"stakigi"-verb-eo "hacinar"-verb-es
"stakigi"-verb-eo "amontonar"-verb-es
"stakigi"-verb-eo "agolpar"-verb-es
"amontonar"-verb-es "stakigi"-verb-eo
"agolpar"-verb-es "stakigi"-verb-eo
"dikti"-verb-eo "dictar"-verb-es
"dictar"-verb-es "dikti"-verb-eo
"brili"-verb-eo "brillar"-verb-es
"brillar"-verb-es "brili"-verb-eo
"iluminar"-verb-es "lumigi"-verb-eo
"lumigi"-verb-eo "iluminar"-verb-es
"testamenti"-verb-eo "legar"-verb-es
"legar"-verb-es "testamenti"-verb-eo
"scii"-verb-eo "saber"-verb-es
"saber"-verb-es "scii"-verb-eo
"koni"-verb-eo "conocer"-verb-es
"conocer"-verb-es "koni"-verb-eo
"vendi"-verb-eo "vender"-verb-es
"vender"-verb-es "vendi"-verb-eo
"antaŭi"-verb-eo "adelantar"-verb-es
"adelantar"-verb-es "antaŭi"-verb-eo
"adelantar"-verb-es "antaŭeniri"-verb-eo
"adelantar"-verb-es "avanci"-verb-eo
"antaŭeniri"-verb-eo "adelantar"-verb-es
"avanci"-verb-eo "adelantar"-verb-es
"krei"-verb-eo "crear"-verb-es
"crear"-verb-es "krei"-verb-eo
"eksalti"-verb-eo "brincar"-verb-es
"eksalti"-verb-eo "botar"-verb-es
"brincar"-verb-es "eksalti"-verb-eo
"botar"-verb-es "eksalti"-verb-eo
"saltar"-verb-es "salti"-verb-eo
"salti"-verb-eo "saltar"-verb-es
"karakterizi"-verb-eo "caracterizar"-verb-es
"caracterizar"-verb-es "karakterizi"-verb-eo
"rezar"-verb-es "preĝi"-verb-eo
"preĝi"-verb-eo "rezar"-verb-es
"preĝi"-verb-eo "rogar"-verb-es
"rogar"-verb-es "preĝi"-verb-eo
"enganchar"-verb-es "glui"-verb-eo
"glui"-verb-eo "enganchar"-verb-es
"suspekti"-verb-eo "sospechar"-verb-es
"sospechar"-verb-es "suspekti"-verb-eo
"degenerigi"-verb-eo "degradar"-verb-es
"degradar"-verb-es "degenerigi"-verb-eo
"perdonar"-verb-es "pardoni"-verb-eo
"pardoni"-verb-eo "perdonar"-verb-es
"spiri"-verb-eo "respirar"-verb-es
"respirar"-verb-es "spiri"-verb-eo
"inspiri"-verb-eo "inspirar"-verb-es
"inspirar"-verb-es "inspiri"-verb-eo
"antaŭgardo"-noun-eo "preservación"-noun-es
"preservación"-noun-es "antaŭgardo"-noun-eo
"metamorfosis"-noun-es "metamorfozo"-noun-eo
"metamorfozo"-noun-eo "metamorfosis"-noun-es
"armisticio"-noun-es "armistico"-noun-eo
"armistico"-noun-eo "armisticio"-noun-es
"subgrundo"-noun-eo "subsuelo"-noun-es
"subsuelo"-noun-es "subgrundo"-noun-eo
"grimpado"-noun-eo "escalada"-noun-es
"escalada"-noun-es "grimpado"-noun-eo
"atingeblo"-noun-eo "accesibilidad"-noun-es
"accesibilidad"-noun-es "atingeblo"-noun-eo
"accesibilidad"-noun-es "atingebleco"-noun-eo
"accesibilidad"-noun-es "alireblo"-noun-eo
"accesibilidad"-noun-es "alirebleco"-noun-eo
"atingebleco"-noun-eo "accesibilidad"-noun-es
"alireblo"-noun-eo "accesibilidad"-noun-es
"alirebleco"-noun-eo "accesibilidad"-noun-es
"konscio"-noun-eo "consciencia"-noun-es
"consciencia"-noun-es "konscio"-noun-eo
"servuto"-noun-eo "servidumbre"-noun-es
"servidumbre"-noun-es "servuto"-noun-eo
"torreta"-noun-es "tureto"-noun-eo
"tureto"-noun-eo "torreta"-noun-es
"sobre"-noun-es "koverto"-noun-eo
"koverto"-noun-eo "sobre"-noun-es
"disponebleco"-noun-eo "disponibilidad"-noun-es
"disponibilidad"-noun-es "disponebleco"-noun-eo
"distraĵo"-noun-eo "despiste"-noun-es
"despiste"-noun-es "distraĵo"-noun-eo
"eksperimentado"-noun-eo "experimentación"-noun-es
"experimentación"-noun-es "eksperimentado"-noun-eo
"moralidad"-noun-es "moraleco"-noun-eo
"moraleco"-noun-eo "moralidad"-noun-es
"abomenaĵo"-noun-eo "atrocidad"-noun-es
"atrocidad"-noun-es "abomenaĵo"-noun-eo
"alproprigo"-noun-eo "apropiación"-noun-es
"apropiación"-noun-es "alproprigo"-noun-eo
"apropiación"-noun-es "proprigo"-noun-eo
"proprigo"-noun-eo "apropiación"-noun-es
"simpligo"-noun-eo "simplificación"-noun-es
"simplificación"-noun-es "simpligo"-noun-eo
"trasferencia"-noun-es "ĝiraĵo"-noun-eo
"ĝiraĵo"-noun-eo "trasferencia"-noun-es
"ornamavazo"-noun-eo "búcaro"-noun-es
"búcaro"-noun-es "ornamavazo"-noun-eo
"malprofito"-noun-eo "extravío"-noun-es
"extravío"-noun-es "malprofito"-noun-eo
"transmisio"-noun-eo "trasmisión"-noun-es
"trasmisión"-noun-es "transmisio"-noun-eo
"inhibicio"-noun-eo "inhibición"-noun-es
"inhibición"-noun-es "inhibicio"-noun-eo
"presa"-noun-es "predo"-noun-eo
"predo"-noun-eo "presa"-noun-es
"malkonstruo"-noun-eo "demolición"-noun-es
"demolición"-noun-es "malkonstruo"-noun-eo
"delantero"-noun-es "antaŭaĵo"-noun-eo
"delantero"-noun-es "antaŭo"-noun-eo
"antaŭaĵo"-noun-eo "delantero"-noun-es
"antaŭo"-noun-eo "delantero"-noun-es
"golulo"-noun-eo "cancerbero"-noun-es
"cancerbero"-noun-es "golulo"-noun-eo
"stock"-noun-es "stoko"-noun-eo
"stoko"-noun-eo "stock"-noun-es
"investituro"-noun-eo "investidura"-noun-es
"investidura"-noun-es "investituro"-noun-eo
"juĝi"-verb-eo "juzgar"-verb-es
"juzgar"-verb-es "juĝi"-verb-eo
"kredi"-verb-eo "creer"-verb-es
"creer"-verb-es "kredi"-verb-eo
"filtrar"-verb-es "filtri"-verb-eo
"filtri"-verb-eo "filtrar"-verb-es
"interesi"-verb-eo "interesar"-verb-es
"interesar"-verb-es "interesi"-verb-eo
"entuziasmigi"-verb-eo "entusiasmar"-verb-es
"entusiasmar"-verb-es "entuziasmigi"-verb-eo
"konsumi"-verb-eo "consumir"-verb-es
"consumir"-verb-es "konsumi"-verb-eo
"aislar"-verb-es "izoli"-verb-eo
"izoli"-verb-eo "aislar"-verb-es
"negoci"-verb-eo "negociar"-verb-es
"negociar"-verb-es "negoci"-verb-eo
"ŝpari"-verb-eo "ahorrar"-verb-es
"ahorrar"-verb-es "ŝpari"-verb-eo
"konservi"-verb-eo "conservar"-verb-es
"conservar"-verb-es "konservi"-verb-eo
"intercambiar"-verb-es "interŝanĝi"-verb-eo
"interŝanĝi"-verb-eo "intercambiar"-verb-es
"bapti"-verb-eo "bautizar"-verb-es
"bautizar"-verb-es "bapti"-verb-eo
"sciigi"-verb-eo "notificar"-verb-es
"notificar"-verb-es "sciigi"-verb-eo
"helpi"-verb-eo "auxiliar"-verb-es
"helpi"-verb-eo "ayudar"-verb-es
"helpi"-verb-eo "socorrer"-verb-es
"auxiliar"-verb-es "helpi"-verb-eo
"ayudar"-verb-es "helpi"-verb-eo
"socorrer"-verb-es "helpi"-verb-eo
"malaperi"-verb-eo "desaparecer"-verb-es
"desaparecer"-verb-es "malaperi"-verb-eo
"kosti"-verb-eo "costar"-verb-es
"costar"-verb-es "kosti"-verb-eo
"forviŝi"-verb-eo "borrar"-verb-es
"borrar"-verb-es "forviŝi"-verb-eo
"secar"-verb-es "sekigi"-verb-eo
"sekigi"-verb-eo "secar"-verb-es
"razi"-verb-eo "afeitar"-verb-es
"afeitar"-verb-es "razi"-verb-eo
"importar"-verb-es "importi"-verb-eo
"importi"-verb-eo "importar"-verb-es
"akcepti"-verb-eo "aceptar"-verb-es
"aceptar"-verb-es "akcepti"-verb-eo
