"absceso"-noun-es "abceso"-noun-eo
"abceso"-noun-eo "absceso"-noun-es
"plétora"-noun-es "pletoro"-noun-eo
"pletoro"-noun-eo "plétora"-noun-es
"desgraciado"-noun-es "malfeliĉulo"-noun-eo
"desgraciado"-noun-es "kompatindulo"-noun-eo
"desgraciado"-noun-es "senfortunulo"-noun-eo
"malfeliĉulo"-noun-eo "desgraciado"-noun-es
"kompatindulo"-noun-eo "desgraciado"-noun-es
"senfortunulo"-noun-eo "desgraciado"-noun-es
"afectuosidad"-noun-es "alligiteco"-noun-eo
"afectuosidad"-noun-es "sindoneco"-noun-eo
"alligiteco"-noun-eo "afectuosidad"-noun-es
"sindoneco"-noun-eo "afectuosidad"-noun-es
"vaporizador"-noun-es "ŝprucigileto"-noun-eo
"ŝprucigileto"-noun-eo "vaporizador"-noun-es
"asumible"-adjective-es "suprenebla"-adjective-eo
"suprenebla"-adjective-eo "asumible"-adjective-es
"asumiblemente"-adverb-es "supreneble"-adverb-eo
"supreneble"-adverb-eo "asumiblemente"-adverb-es
"saltamontes"-noun-es "herbsaltulo"-noun-eo
"herbsaltulo"-noun-eo "saltamontes"-noun-es
"agudización"-noun-es "narkotado"-noun-eo
"narkotado"-noun-eo "agudización"-noun-es
"procesado"-noun-es "procesorado"-noun-eo
"procesado"-noun-es "procezado"-noun-eo
"procesado"-noun-es "enprocesigo"-noun-eo
"procesado"-noun-es "enprocesiĝo"-noun-eo
"procesorado"-noun-eo "procesado"-noun-es
"procezado"-noun-eo "procesado"-noun-es
"enprocesigo"-noun-eo "procesado"-noun-es
"enprocesiĝo"-noun-eo "procesado"-noun-es
"desembarcadero"-noun-es "navighaltejo"-noun-eo
"desembarcadero"-noun-es "varfo"-noun-eo
"navighaltejo"-noun-eo "desembarcadero"-noun-es
"varfo"-noun-eo "desembarcadero"-noun-es
"pordiosero"-noun-es "almozisto"-noun-eo
"almozisto"-noun-eo "pordiosero"-noun-es
"dignatario"-noun-es "moŝtulo"-noun-eo
"moŝtulo"-noun-eo "dignatario"-noun-es
"moŝtulo"-noun-eo "prócer"-noun-es
"desprendido"-noun-es "malavarulo"-noun-eo
"malavarulo"-noun-eo "desprendido"-noun-es
"bisexual"-adjective-es "duseksa"-adjective-eo
"duseksa"-adjective-eo "bisexual"-adjective-es
"bisexual"-noun-es "duseksulo"-noun-eo
"duseksulo"-noun-eo "bisexual"-noun-es
"antiséptico"-adjective-es "antisepsilo"-adjective-eo
"antisepsilo"-adjective-eo "antiséptico"-adjective-es
"argivo"-noun-es "argolandano"-noun-eo
"argolandano"-noun-eo "argivo"-noun-es
"petulante"-adjective-es "fipetola"-adjective-eo
"fipetola"-adjective-eo "petulante"-adjective-es
"petulancia"-noun-es "fipetolemo"-noun-eo
"fipetolemo"-noun-eo "petulancia"-noun-es
"nuclearmente"-adverb-es "nuklee"-adverb-eo
"nuklee"-adverb-eo "nuclearmente"-adverb-es
"babilonio"-adjective-es "babilonia"-adjective-eo
"babilonia"-adjective-eo "babilonio"-adjective-es
"charlatán"-noun-es "babilemulo"-noun-eo
"babilemulo"-noun-eo "charlatán"-noun-es
"bajorrelieve"-noun-es "basareliefo"-noun-eo
"basareliefo"-noun-eo "bajorrelieve"-noun-es
"palangana"-noun-es "lavpelvo"-noun-eo
"lavpelvo"-noun-eo "palangana"-noun-es
"bajo"-noun-es "basgitaro"-noun-eo
"basgitaro"-noun-eo "bajo"-noun-es
"equimosis"-noun-es "eĥimozo"-noun-eo
"eĥimozo"-noun-eo "equimosis"-noun-es
"belga"-noun-es "belgino"-noun-eo
"belgino"-noun-eo "belga"-noun-es
"benedictino"-adjective-es "benediktana"-adjective-eo
"benediktana"-adjective-eo "benedictino"-adjective-es
"bizcocho"-noun-es "biskoto"-noun-eo
"biskoto"-noun-eo "bizcocho"-noun-es
"biskoto"-noun-eo "biscote"-noun-es
"carrete"-noun-es "filmruleto"-noun-eo
"filmruleto"-noun-eo "carrete"-noun-es
"acomodado"-adjective-es "riĉeta"-adjective-eo
"riĉeta"-adjective-eo "acomodado"-adjective-es
"braquicéfalo"-noun-es "braĥicefalo"-noun-eo
"braĥicefalo"-noun-eo "braquicéfalo"-noun-es
"burocráticamente"-adverb-es "burokratie"-adverb-eo
"burokratie"-adverb-eo "burocráticamente"-adverb-es
"por vía oral"-adverb-es "perbuŝe"-adverb-eo
"perbuŝe"-adverb-eo "por vía oral"-adverb-es
"centrípeto"-adjective-es "alcentra"-adjective-eo
"alcentra"-adjective-eo "centrípeto"-adjective-es
"digitalizador"-noun-es "bitigilo"-noun-eo
"bitigilo"-noun-eo "digitalizador"-noun-es
"cicuta"-noun-es "granda cikuto"-noun-eo
"granda cikuto"-noun-eo "cicuta"-noun-es
"dinamarqués"-noun-es "dana"-noun-eo
"dana"-noun-eo "dinamarqués"-noun-es
"concluyentemente"-adverb-es "konkludige"-adverb-eo
"konkludige"-adverb-eo "concluyentemente"-adverb-es
"defraudador"-adjective-es "fraŭdinta"-adjective-eo
"fraŭdinta"-adjective-eo "defraudador"-adjective-es
"circunstancialmente"-adverb-es "cirkonstance"-adverb-eo
"cirkonstance"-adverb-eo "circunstancialmente"-adverb-es
"corregimiento"-noun-es "koregidorlando"-noun-eo
"corregimiento"-noun-es "koregidorejo"-noun-eo
"koregidorlando"-noun-eo "corregimiento"-noun-es
"koregidorejo"-noun-eo "corregimiento"-noun-es
"Dostoyevski"-properNoun-es "Dostojevskij"-noun-eo
"Dostojevskij"-noun-eo "Dostoyevski"-properNoun-es
"Dostojevskij"-noun-eo "Dostoyevski"-noun-es
"Dostoyevski"-noun-es "Dostojevskij"-noun-eo
"bicentenario"-noun-es "ducentjara datreveno"-noun-eo
"ducentjara datreveno"-noun-eo "bicentenario"-noun-es
"bimestral"-adjective-es "sesonjara"-adjective-eo
"sesonjara"-adjective-eo "bimestral"-adjective-es
"bimestre"-noun-es "jarsesono"-noun-eo
"jarsesono"-noun-eo "bimestre"-noun-es
"desmesura"-noun-es "senmodereco"-noun-eo
"desmesura"-noun-es "malmodereco"-noun-eo
"senmodereco"-noun-eo "desmesura"-noun-es
"malmodereco"-noun-eo "desmesura"-noun-es
"expreso"-noun-es "ekspres-trajno"-noun-eo
"ekspres-trajno"-noun-eo "expreso"-noun-es
"electroquímica"-noun-es "elektrokemio"-noun-eo
"elektrokemio"-noun-eo "electroquímica"-noun-es
"usado"-adjective-es "uzita"-adjective-eo
"uzita"-adjective-eo "usado"-adjective-es
"prócer"-adjective-es "moŝta"-adjective-eo
"moŝta"-adjective-eo "prócer"-adjective-es
"prócer"-noun-es "moŝtulo"-noun-eo
"hacia dentro"-adverb-es "interen"-adverb-eo
"interen"-adverb-eo "hacia dentro"-adverb-es
"mastodóntico"-adjective-es "mastodonta"-adjective-eo
"mastodonta"-adjective-eo "mastodóntico"-adjective-es
"epicúreo"-adjective-es "epikurisma"-adjective-eo
"epikurisma"-adjective-eo "epicúreo"-adjective-es
"epicúreo"-noun-es "epikuristo"-noun-eo
"epikuristo"-noun-eo "epicúreo"-noun-es
"etnógrafo"-noun-es "etnografiisto"-noun-eo
"etnografiisto"-noun-eo "etnógrafo"-noun-es
"cabrón"-noun-es "merdulo"-noun-eo
"merdulo"-noun-eo "cabrón"-noun-es
"águila pescadora"-noun-es "pandiono"-noun-eo
"pandiono"-noun-eo "águila pescadora"-noun-es
"flexiblemente"-adverb-es "malrigide"-adverb-eo
"malrigide"-adverb-eo "flexiblemente"-adverb-es
"flexibilización"-noun-es "malrigidiĝo"-noun-eo
"flexibilización"-noun-es "malrigidigo"-noun-eo
"flexibilización"-noun-es "fleksigo"-noun-eo
"malrigidiĝo"-noun-eo "flexibilización"-noun-es
"malrigidigo"-noun-eo "flexibilización"-noun-es
"fleksigo"-noun-eo "flexibilización"-noun-es
"procrear"-verb-es "elkrei"-verb-eo
"elkrei"-verb-eo "procrear"-verb-es
"groenlandés"-adjective-es "groenlanda"-adjective-eo
"groenlanda"-adjective-eo "groenlandés"-adjective-es
"groenlandés"-noun-es "groenlandano"-noun-eo
"groenlandano"-noun-eo "groenlandés"-noun-es
"mora de los pantanos"-noun-es "kamemoro"-noun-eo
"kamemoro"-noun-eo "mora de los pantanos"-noun-es
"kamemoro"-noun-eo "mora de ronces"-noun-es
"mora de ronces"-noun-es "kamemoro"-noun-eo
"cargador"-noun-es "ŝarĝilo"-noun-eo
"cargador"-noun-es "doktisto"-noun-eo
