"10a"-adjective-eo "X"-adjective-es
"X"-adjective-es "10a"-adjective-eo
"11a"-adjective-eo "XI"-adjective-es
"XI"-adjective-es "11a"-adjective-eo
"12a"-adjective-eo "XII"-adjective-es
"XII"-adjective-es "12a"-adjective-eo
"13a"-adjective-eo "XIII"-adjective-es
"XIII"-adjective-es "13a"-adjective-eo
"14a"-adjective-eo "XIV"-adjective-es
"XIV"-adjective-es "14a"-adjective-eo
"15a"-adjective-eo "XV"-adjective-es
"XV"-adjective-es "15a"-adjective-eo
"16a"-adjective-eo "XVI"-adjective-es
"XVI"-adjective-es "16a"-adjective-eo
"17a"-adjective-eo "XVII"-adjective-es
"XVII"-adjective-es "17a"-adjective-eo
"18a"-adjective-eo "XVIII"-adjective-es
"XVIII"-adjective-es "18a"-adjective-eo
"19a"-adjective-eo "XIX"-adjective-es
"XIX"-adjective-es "19a"-adjective-eo
"1a"-adjective-eo "I"-adjective-es
"I"-adjective-es "1a"-adjective-eo
"20a"-adjective-eo "XX"-adjective-es
"XX"-adjective-es "20a"-adjective-eo
"21a"-adjective-eo "XXI"-adjective-es
"XXI"-adjective-es "21a"-adjective-eo
"2a"-adjective-eo "II"-adjective-es
"II"-adjective-es "2a"-adjective-eo
"3a"-adjective-eo "III"-adjective-es
"III"-adjective-es "3a"-adjective-eo
"4a"-adjective-eo "IV"-adjective-es
"IV"-adjective-es "4a"-adjective-eo
"5a"-adjective-eo "V"-adjective-es
"V"-adjective-es "5a"-adjective-eo
"6a"-adjective-eo "VI"-adjective-es
"VI"-adjective-es "6a"-adjective-eo
"7a"-adjective-eo "VII"-adjective-es
"VII"-adjective-es "7a"-adjective-eo
"8a"-adjective-eo "VIII"-adjective-es
"VIII"-adjective-es "8a"-adjective-eo
"9a"-adjective-eo "IX"-adjective-es
"IX"-adjective-es "9a"-adjective-eo
"abandono"-noun-eo "abandono"-noun-es
"abandono"-noun-es "abandono"-noun-eo
"abandono"-noun-es "forlaso"-noun-eo
"forlaso"-noun-eo "abandono"-noun-es
"Abbott"-properNoun-eo "Abbott"-properNoun-es
"Abbott"-properNoun-eo "Abbott"-noun-es
"Abbott"-properNoun-es "Abbott"-properNoun-eo
"Abbott"-properNoun-es "Abbott"-noun-eo
"Abbott"-noun-es "Abbott"-properNoun-eo
"Abbott"-noun-es "Abbott"-noun-eo
"Abbott"-noun-eo "Abbott"-properNoun-es
"Abbott"-noun-eo "Abbott"-noun-es
"abdiko"-noun-eo "abdicación"-noun-es
"abdicación"-noun-es "abdiko"-noun-eo
"abelejo"-noun-eo "colmena"-noun-es
"colmena"-noun-es "abelejo"-noun-eo
"colmena"-noun-es "abelujo"-noun-eo
"abelujo"-noun-eo "colmena"-noun-es
"abelujo"-noun-eo "colmenar"-noun-es
"abelisto"-noun-eo "apicultor"-noun-es
"apicultor"-noun-es "abelisto"-noun-eo
"Abelo"-properNoun-eo "Abel"-properNoun-es
"Abel"-properNoun-es "Abelo"-properNoun-eo
"Abel"-properNoun-es "Abel"-properNoun-eo
"Abel"-properNoun-es "Abel"-noun-eo
"Abel"-properNoun-eo "Abel"-properNoun-es
"Abel"-noun-eo "Abel"-properNoun-es
"abelsvarmo"-noun-eo "enjambre"-noun-es
"enjambre"-noun-es "abelsvarmo"-noun-eo
"colmenar"-noun-es "abelujo"-noun-eo
"Abisenio"-properNoun-eo "Abisinia"-properNoun-es
"Abisinia"-properNoun-es "Abisenio"-properNoun-eo
"abisma"-adjective-eo "abismal"-adjective-es
"abismal"-adjective-es "abisma"-adjective-eo
"abiturienteco"-noun-eo "bachillerato"-noun-es
"bachillerato"-noun-es "abiturienteco"-noun-eo
"ablacio"-noun-eo "ablación"-noun-es
"ablación"-noun-es "ablacio"-noun-eo
"ablativo"-noun-eo "ablativo"-noun-es
"ablativo"-noun-es "ablativo"-noun-eo
"aboli"-verb-eo "abolir"-verb-es
"aboli"-verb-eo "abrogar"-verb-es
"aboli"-verb-eo "derogar"-verb-es
"abolir"-verb-es "aboli"-verb-eo
"abolir"-verb-es "abolicii"-verb-eo
"abrogar"-verb-es "aboli"-verb-eo
"abrogar"-verb-es "abolicii"-verb-eo
"derogar"-verb-es "aboli"-verb-eo
"abolicii"-verb-eo "abolir"-verb-es
"abolicii"-verb-eo "abrogar"-verb-es
"abolicio"-noun-eo "abolición"-noun-es
"abolición"-noun-es "abolicio"-noun-eo
"abolición"-noun-es "forigo"-noun-eo
"forigo"-noun-eo "abolición"-noun-es
"forigo"-noun-eo "eliminación"-noun-es
"forigo"-noun-eo "supresión"-noun-es
"abolo"-noun-eo "derogación"-noun-es
"derogación"-noun-es "abolo"-noun-eo
"abomeninda"-adjective-eo "abominable"-adjective-es
"abominable"-adjective-es "abomeninda"-adjective-eo
"abomeninde"-adverb-eo "abominablemente"-adverb-es
"abominablemente"-adverb-es "abomeninde"-adverb-eo
"abomeno"-noun-eo "abominación"-noun-es
"abominación"-noun-es "abomeno"-noun-eo
"abonanto"-noun-eo "subscriptor"-noun-es
"abonanto"-noun-eo "suscriptor"-noun-es
"subscriptor"-noun-es "abonanto"-noun-eo
"suscriptor"-noun-es "abonanto"-noun-eo
"aborto"-noun-eo "aborto"-noun-es
"aborto"-noun-es "aborto"-noun-eo
"abrikoto"-noun-eo "albaricoque"-noun-es
"albaricoque"-noun-es "abrikoto"-noun-eo
