"n'importe quel"-determiner-fr "ajna"-determiner-eo
"ajna"-determiner-eo "n'importe quel"-determiner-fr
"neniu"-determiner-eo "nul"-determiner-fr
"neniu"-determiner-eo "aucun"-determiner-fr
"nul"-determiner-fr "neniu"-determiner-eo
"aucun"-determiner-fr "neniu"-determiner-eo
"la"-determiner-eo "le"-determiner-fr
"le"-determiner-fr "la"-determiner-eo
"certain"-determiner-fr "iu"-determiner-eo
"iu"-determiner-eo "certain"-determiner-fr
"iu"-determiner-eo "quelque"-determiner-fr
"quelque"-determiner-fr "iu"-determiner-eo
"quelque"-determiner-fr "kelka"-determiner-eo
"kelka"-determiner-eo "quelque"-determiner-fr
"ce"-determiner-fr "tiu"-determiner-eo
"ce"-determiner-fr "ĉi tiu"-determiner-eo
"tiu"-determiner-eo "ce"-determiner-fr
"ĉi tiu"-determiner-eo "ce"-determiner-fr
"nesufiĉe"-adverb-eo "insuffisamment"-adverb-fr
"insuffisamment"-adverb-fr "nesufiĉe"-adverb-eo
"à peine"-adverb-fr "apenaŭ"-adverb-eo
"apenaŭ"-adverb-eo "à peine"-adverb-fr
"malfacile"-adverb-eo "difficilement"-adverb-fr
"difficilement"-adverb-fr "malfacile"-adverb-eo
"publike"-adverb-eo "publiquement"-adverb-fr
"publiquement"-adverb-fr "publike"-adverb-eo
"malfermite"-adverb-eo "ouvertement"-adverb-fr
"ouvertement"-adverb-fr "malfermite"-adverb-eo
"grave"-adverb-eo "gravement"-adverb-fr
"grave"-adverb-eo "grièvement"-adverb-fr
"gravement"-adverb-fr "grave"-adverb-eo
"grièvement"-adverb-fr "grave"-adverb-eo
"amicalement"-adverb-fr "amike"-adverb-eo
"amike"-adverb-eo "amicalement"-adverb-fr
"iom post iom"-adverb-eo "progressivement"-adverb-fr
"progressivement"-adverb-fr "iom post iom"-adverb-eo
"malrapide"-adverb-eo "lentement"-adverb-fr
"lentement"-adverb-fr "malrapide"-adverb-eo
"doucement"-adverb-fr "milde"-adverb-eo
"milde"-adverb-eo "doucement"-adverb-fr
"à court terme"-adverb-fr "baldaŭ"-adverb-eo
"baldaŭ"-adverb-eo "à court terme"-adverb-fr
"baldaŭ"-adverb-eo "bientôt"-adverb-fr
"bientôt"-adverb-fr "baldaŭ"-adverb-eo
"bientôt"-adverb-fr "frue"-adverb-eo
"frue"-adverb-eo "bientôt"-adverb-fr
"frue"-adverb-eo "tôt"-adverb-fr
"vite"-adverb-fr "rapide"-adverb-eo
"rapide"-adverb-eo "vite"-adverb-fr
"rapide"-adverb-eo "rapidement"-adverb-fr
"rapide"-adverb-eo "promptement"-adverb-fr
"rapidement"-adverb-fr "rapide"-adverb-eo
"promptement"-adverb-fr "rapide"-adverb-eo
"tôt"-adverb-fr "frue"-adverb-eo
"atente"-adverb-eo "attentivement"-adverb-fr
"attentivement"-adverb-fr "atente"-adverb-eo
"raisonnablement"-adverb-fr "prudente"-adverb-eo
"prudente"-adverb-eo "raisonnablement"-adverb-fr
"favore"-adverb-eo "favorablement"-adverb-fr
"favorablement"-adverb-fr "favore"-adverb-eo
"accidentellement"-adverb-fr "hazarde"-adverb-eo
"hazarde"-adverb-eo "accidentellement"-adverb-fr
"simple nur"-adverb-eo "simplement"-adverb-fr
"simplement"-adverb-fr "simple nur"-adverb-eo
"simplement"-adverb-fr "simple"-adverb-eo
"simple"-adverb-eo "simplement"-adverb-fr
"simple"-adverb-eo "bonnement"-adverb-fr
"bonnement"-adverb-fr "simple"-adverb-eo
"ĉiam"-adverb-eo "toujours"-adverb-fr
"toujours"-adverb-fr "ĉiam"-adverb-eo
"malbone"-adverb-eo "mal"-adverb-fr
"mal"-adverb-fr "malbone"-adverb-eo
"unuflanke"-adverb-eo "d'une part"-adverb-fr
"d'une part"-adverb-fr "unuflanke"-adverb-eo
"maljuste"-adverb-eo "injustement"-adverb-fr
"injustement"-adverb-fr "maljuste"-adverb-eo
"severe"-adverb-eo "sévèrement"-adverb-fr
"sévèrement"-adverb-fr "severe"-adverb-eo
"probable"-adverb-eo "probablement"-adverb-fr
"probablement"-adverb-fr "probable"-adverb-eo
"verŝajne"-adverb-eo "sûrement"-adverb-fr
"sûrement"-adverb-fr "verŝajne"-adverb-eo
"possiblement"-adverb-fr "eble"-adverb-eo
"eble"-adverb-eo "possiblement"-adverb-fr
"eble"-adverb-eo "peut-être"-adverb-fr
"peut-être"-adverb-fr "eble"-adverb-eo
"pozitive"-adverb-eo "positivement"-adverb-fr
"positivement"-adverb-fr "pozitive"-adverb-eo
"jes"-adverb-eo "oui"-adverb-fr
"oui"-adverb-fr "jes"-adverb-eo
"d'accord"-adverb-fr "konsentite"-adverb-eo
"konsentite"-adverb-eo "d'accord"-adverb-fr
"logike"-adverb-eo "logiquement"-adverb-fr
"logiquement"-adverb-fr "logike"-adverb-eo
"periode"-adverb-eo "périodiquement"-adverb-fr
"périodiquement"-adverb-fr "periode"-adverb-eo
"à plusieurs reprises"-adverb-fr "ree"-adverb-eo
"ree"-adverb-eo "à plusieurs reprises"-adverb-fr
"indéfiniment"-adverb-fr "nedifinite"-adverb-eo
"nedifinite"-adverb-eo "indéfiniment"-adverb-fr
"autour"-adverb-fr "ĉirkaŭe"-adverb-eo
"ĉirkaŭe"-adverb-eo "autour"-adverb-fr
