"explicitement"-adverb-fr "eksplicite"-adverb-eo
"eksplicite"-adverb-eo "explicitement"-adverb-fr
"on"-reflexivePersonalPronoun-fr "prpers"-reflexivePersonalPronoun-eo
"on"-reflexivePersonalPronoun-fr "sin"-reflexivePersonalPronoun-eo
"on"-reflexivePersonalPronoun-fr "sin"-pronoun-eo
"prpers"-reflexivePersonalPronoun-eo "on"-reflexivePersonalPronoun-fr
"sin"-reflexivePersonalPronoun-eo "on"-reflexivePersonalPronoun-fr
"sin"-pronoun-eo "on"-reflexivePersonalPronoun-fr
"entasser"-verb-fr "stakigi"-verb-eo
"stakigi"-verb-eo "entasser"-verb-fr
"pridemandi"-verb-eo "interroger"-verb-fr
"interroger"-verb-fr "pridemandi"-verb-eo
"luire"-verb-fr "brili"-verb-eo
"brili"-verb-eo "luire"-verb-fr
"brili"-verb-eo "briller"-verb-fr
"briller"-verb-fr "brili"-verb-eo
"éclairer"-verb-fr "lumigi"-verb-eo
"lumigi"-verb-eo "éclairer"-verb-fr
"lumigi"-verb-eo "illuminer"-verb-fr
"illuminer"-verb-fr "lumigi"-verb-eo
"komunigi"-verb-eo "généraliser"-verb-fr
"généraliser"-verb-fr "komunigi"-verb-eo
"konvinki"-verb-eo "convaincre"-verb-fr
"convaincre"-verb-fr "konvinki"-verb-eo
"unuigi"-verb-eo "unifier"-verb-fr
"unifier"-verb-fr "unuigi"-verb-eo
"testamenti"-verb-eo "léguer"-verb-fr
"léguer"-verb-fr "testamenti"-verb-eo
"réaffirmer"-verb-fr "reaserti"-verb-eo
"reaserti"-verb-eo "réaffirmer"-verb-fr
"dikti"-verb-eo "dicter"-verb-fr
"dicter"-verb-fr "dikti"-verb-eo
"degenerigi"-verb-eo "dégrader"-verb-fr
"dégrader"-verb-fr "degenerigi"-verb-eo
"maski"-verb-eo "masquer"-verb-fr
"masquer"-verb-fr "maski"-verb-eo
"pessimiste"-adjective-fr "pesimisma"-adjective-eo
"pesimisma"-adjective-eo "pessimiste"-adjective-fr
"suspekti"-verb-eo "soupçonner"-verb-fr
"suspekti"-verb-eo "suspecter"-verb-fr
"soupçonner"-verb-fr "suspekti"-verb-eo
"suspecter"-verb-fr "suspekti"-verb-eo
"enterigi"-verb-eo "terrer"-verb-fr
"enterigi"-verb-eo "enterrer"-verb-fr
"terrer"-verb-fr "enterigi"-verb-eo
"terrer"-verb-fr "entombigi"-verb-eo
"enterrer"-verb-fr "enterigi"-verb-eo
"enterrer"-verb-fr "entombigi"-verb-eo
"entombigi"-verb-eo "terrer"-verb-fr
"entombigi"-verb-eo "enterrer"-verb-fr
"entombigi"-verb-eo "enfouir"-verb-fr
"enfouir"-verb-fr "entombigi"-verb-eo
"vendi"-verb-eo "vendre"-verb-fr
"vendre"-verb-fr "vendi"-verb-eo
"castrer"-verb-fr "kastri"-verb-eo
"kastri"-verb-eo "castrer"-verb-fr
"filtri"-verb-eo "filtrer"-verb-fr
"filtrer"-verb-fr "filtri"-verb-eo
"scii"-verb-eo "savoir"-verb-fr
"savoir"-verb-fr "scii"-verb-eo
"koni"-verb-eo "connaître"-verb-fr
"connaître"-verb-fr "koni"-verb-eo
"praktiki"-verb-eo "pratiquer"-verb-fr
"pratiquer"-verb-fr "praktiki"-verb-eo
"écrire"-verb-fr "skribi"-verb-eo
"skribi"-verb-eo "écrire"-verb-fr
"kosti"-verb-eo "coûter"-verb-fr
"coûter"-verb-fr "kosti"-verb-eo
"juĝi"-verb-eo "juger"-verb-fr
"juger"-verb-fr "juĝi"-verb-eo
"kredi"-verb-eo "croire"-verb-fr
"croire"-verb-fr "kredi"-verb-eo
"sankcii"-verb-eo "sanctionner"-verb-fr
"sanctionner"-verb-fr "sankcii"-verb-eo
"pardonner"-verb-fr "pardoni"-verb-eo
"pardoni"-verb-eo "pardonner"-verb-fr
"instali"-verb-eo "installer"-verb-fr
"installer"-verb-fr "instali"-verb-eo
"prier"-verb-fr "preĝi"-verb-eo
"preĝi"-verb-eo "prier"-verb-fr
"rekomendi"-verb-eo "prôner"-verb-fr
"prôner"-verb-fr "rekomendi"-verb-eo
"financer"-verb-fr "financi"-verb-eo
"financi"-verb-eo "financer"-verb-fr
"pligravigi"-verb-eo "aggraver"-verb-fr
"aggraver"-verb-fr "pligravigi"-verb-eo
"forgesi"-verb-eo "oublier"-verb-fr
"oublier"-verb-fr "forgesi"-verb-eo
"plibonigi"-verb-eo "améliorer"-verb-fr
"améliorer"-verb-fr "plibonigi"-verb-eo
"influi"-verb-eo "influencer"-verb-fr
"influencer"-verb-fr "influi"-verb-eo
"celebri"-verb-eo "célébrer"-verb-fr
"celebri"-verb-eo "fêter"-verb-fr
"célébrer"-verb-fr "celebri"-verb-eo
"célébrer"-verb-fr "festi"-verb-eo
"fêter"-verb-fr "celebri"-verb-eo
"fêter"-verb-fr "festi"-verb-eo
"festi"-verb-eo "célébrer"-verb-fr
"festi"-verb-eo "fêter"-verb-fr
"paralizi"-verb-eo "paralyser"-verb-fr
"paralyser"-verb-fr "paralizi"-verb-eo
"interesi"-verb-eo "intéresser"-verb-fr
"intéresser"-verb-fr "interesi"-verb-eo
"entuziasmigi"-verb-eo "enthousiasmer"-verb-fr
"enthousiasmer"-verb-fr "entuziasmigi"-verb-eo
"aider"-verb-fr "helpi"-verb-eo
"helpi"-verb-eo "aider"-verb-fr
"helpi"-verb-eo "secourir"-verb-fr
"secourir"-verb-fr "helpi"-verb-eo
"konstati"-verb-eo "constater"-verb-fr
"constater"-verb-fr "konstati"-verb-eo
"kondamni"-verb-eo "condamner"-verb-fr
"condamner"-verb-fr "kondamni"-verb-eo
"planti"-verb-eo "planter"-verb-fr
"planter"-verb-fr "planti"-verb-eo
"konsumi"-verb-eo "consommer"-verb-fr
"consommer"-verb-fr "konsumi"-verb-eo
"vojaĝi"-verb-eo "voyager"-verb-fr
"voyager"-verb-fr "vojaĝi"-verb-eo
"ŝpari"-verb-eo "épargner"-verb-fr
"épargner"-verb-fr "ŝpari"-verb-eo
"konservi"-verb-eo "conserver"-verb-fr
"conserver"-verb-fr "konservi"-verb-eo
"échanger"-verb-fr "interŝanĝi"-verb-eo
"interŝanĝi"-verb-eo "échanger"-verb-fr
"bapti"-verb-eo "baptiser"-verb-fr
"baptiser"-verb-fr "bapti"-verb-eo
"bani"-verb-eo "baigner"-verb-fr
"baigner"-verb-fr "bani"-verb-eo
"portreti"-verb-eo "portraire"-verb-fr
"portraire"-verb-fr "portreti"-verb-eo
"identigi"-verb-eo "identifier"-verb-fr
"identifier"-verb-fr "identigi"-verb-eo
"Romain"-properNoun-eo "Romain"-properNoun-fr
"Romain"-properNoun-fr "Romain"-properNoun-eo
"Romain"-properNoun-fr "Romain"-noun-eo
"Romain"-noun-eo "Romain"-properNoun-fr
"timigo"-noun-eo "intimidation"-noun-fr
"intimidation"-noun-fr "timigo"-noun-eo
"actualisation"-noun-fr "ĝisdatigo"-noun-eo
"ĝisdatigo"-noun-eo "actualisation"-noun-fr
"activiste"-noun-fr "aktivisto"-noun-eo
"aktivisto"-noun-eo "activiste"-noun-fr
"régularisation"-noun-fr "reguligo"-noun-eo
"reguligo"-noun-eo "régularisation"-noun-fr
"reguligo"-noun-eo "regulation"-noun-fr
"regulation"-noun-fr "reguligo"-noun-eo
"regulation"-noun-fr "reguliĝo"-noun-eo
"reguliĝo"-noun-eo "regulation"-noun-fr
"tributo"-noun-eo "tribut"-noun-fr
"tribut"-noun-fr "tributo"-noun-eo
"facturation"-noun-fr "fakturado"-noun-eo
"fakturado"-noun-eo "facturation"-noun-fr
"détection"-noun-fr "detekto"-noun-eo
"detekto"-noun-eo "détection"-noun-fr
"voĉdonanto"-noun-eo "votant"-noun-fr
"votant"-noun-fr "voĉdonanto"-noun-eo
"aspirant"-noun-fr "aspiranto"-noun-eo
"aspiranto"-noun-eo "aspirant"-noun-fr
"alĝustigo"-noun-eo "ajustage"-noun-fr
"alĝustigo"-noun-eo "équilibrage"-noun-fr
"ajustage"-noun-fr "alĝustigo"-noun-eo
"équilibrage"-noun-fr "alĝustigo"-noun-eo
"rétention"-noun-fr "reteno"-noun-eo
"reteno"-noun-eo "rétention"-noun-fr
"scie"-noun-fr "segilo"-noun-eo
"segilo"-noun-eo "scie"-noun-fr
"convocation"-noun-fr "kunvoko"-noun-eo
"kunvoko"-noun-eo "convocation"-noun-fr
"konstanteco"-noun-eo "constance"-noun-fr
"constance"-noun-fr "konstanteco"-noun-eo
"forviŝi"-verb-eo "effacer"-verb-fr
"effacer"-verb-fr "forviŝi"-verb-eo
"sécher"-verb-fr "sekigi"-verb-eo
"sekigi"-verb-eo "sécher"-verb-fr
"razi"-verb-eo "raser"-verb-fr
"raser"-verb-fr "razi"-verb-eo
"ficher"-verb-fr "najli"-verb-eo
"najli"-verb-eo "ficher"-verb-fr
"najli"-verb-eo "clouer"-verb-fr
"clouer"-verb-fr "najli"-verb-eo
"mezuri"-verb-eo "mesurer"-verb-fr
"mezuri"-verb-eo "métrer"-verb-fr
"mesurer"-verb-fr "mezuri"-verb-eo
