"confortablement"-adverb-fr "komforte"-adverb-eo
"komforte"-adverb-eo "confortablement"-adverb-fr
"ouvertement"-adverb-fr "senvuale"-adverb-eo
"senvuale"-adverb-eo "ouvertement"-adverb-fr
"progressivement"-adverb-fr "progresive"-adverb-eo
"progresive"-adverb-eo "progressivement"-adverb-fr
"accidentellement"-adverb-fr "akcidente"-adverb-eo
"akcidente"-adverb-eo "accidentellement"-adverb-fr
"malproksime"-adverb-eo "loin"-adverb-fr
"loin"-adverb-fr "malproksime"-adverb-eo
"en bas"-adverb-fr "malsupren"-adverb-eo
"malsupren"-adverb-eo "en bas"-adverb-fr
"se"-reflexivePersonalPronoun-fr "prpers"-reflexivePersonalPronoun-eo
"se"-reflexivePersonalPronoun-fr "sin"-reflexivePersonalPronoun-eo
"se"-reflexivePersonalPronoun-fr "sin"-pronoun-eo
"prpers"-reflexivePersonalPronoun-eo "se"-reflexivePersonalPronoun-fr
"prpers"-reflexivePersonalPronoun-eo "se"-pronoun-fr
"prpers"-reflexivePersonalPronoun-eo "on"-pronoun-fr
"sin"-reflexivePersonalPronoun-eo "se"-reflexivePersonalPronoun-fr
"sin"-reflexivePersonalPronoun-eo "se"-pronoun-fr
"sin"-reflexivePersonalPronoun-eo "on"-pronoun-fr
"sin"-pronoun-eo "se"-reflexivePersonalPronoun-fr
"sin"-pronoun-eo "se"-pronoun-fr
"sin"-pronoun-eo "on"-pronoun-fr
"se"-pronoun-fr "prpers"-reflexivePersonalPronoun-eo
"se"-pronoun-fr "sin"-reflexivePersonalPronoun-eo
"se"-pronoun-fr "sin"-pronoun-eo
"on"-pronoun-fr "prpers"-reflexivePersonalPronoun-eo
"on"-pronoun-fr "sin"-reflexivePersonalPronoun-eo
"on"-pronoun-fr "sin"-pronoun-eo
"tout"-pronoun-fr "ĉio"-pronoun-eo
"ĉio"-pronoun-eo "tout"-pronoun-fr
"difini"-verb-eo "définir"-verb-fr
"définir"-verb-fr "difini"-verb-eo
"viziti"-verb-eo "visiter"-verb-fr
"visiter"-verb-fr "viziti"-verb-eo
"promesplena"-adjective-eo "prometteur"-adjective-fr
"prometteur"-adjective-fr "promesplena"-adjective-eo
"suspekta"-adjective-eo "suspect"-adjective-fr
"suspect"-adjective-fr "suspekta"-adjective-eo
"ekzameni"-verb-eo "examiner"-verb-fr
"examiner"-verb-fr "ekzameni"-verb-eo
"embrasser"-verb-fr "kisi"-verb-eo
"embrasser"-verb-fr "brakumi"-verb-eo
