"Aalst"-properNoun-eo "Aalst"-properNoun-fr
"Aalst"-properNoun-fr "Aalst"-properNoun-eo
"Aarschot"-properNoun-eo "Aarschot"-properNoun-fr
"Aarschot"-properNoun-fr "Aarschot"-properNoun-eo
"abandoni"-verb-eo "faire un abandonnement"-verb-fr
"faire un abandonnement"-verb-fr "abandoni"-verb-eo
"Abbeville"-properNoun-eo "Abbeville"-properNoun-fr
"Abbeville"-properNoun-fr "Abbeville"-properNoun-eo
"abeledo"-noun-eo "apidé"-noun-fr
"apidé"-noun-fr "abeledo"-noun-eo
"abelino"-noun-eo "abeille femelle"-noun-fr
"abeille femelle"-noun-fr "abelino"-noun-eo
"abime"-noun-fr "profundego"-noun-eo
"profundego"-noun-eo "abime"-noun-fr
"abnegacia"-adjective-eo "détaché"-adjective-fr
"détaché"-adjective-fr "abnegacia"-adjective-eo
"affreusement"-adverb-fr "forloge"-adverb-eo
"affreusement"-adverb-fr "forpuŝe malbele"-adverb-eo
"affreusement"-adverb-fr "malbelege"-adverb-eo
"forloge"-adverb-eo "affreusement"-adverb-fr
"forpuŝe malbele"-adverb-eo "affreusement"-adverb-fr
"malbelege"-adverb-eo "affreusement"-adverb-fr
"avorton"-noun-fr "abortulo"-noun-eo
"abortulo"-noun-eo "avorton"-noun-fr
"Abottsford"-properNoun-eo "Abottsford"-properNoun-fr
"Abottsford"-properNoun-fr "Abottsford"-properNoun-eo
"abrakadabro"-noun-eo "abracadabra"-noun-fr
"abracadabra"-noun-fr "abrakadabro"-noun-eo
"abrotano"-noun-eo "aurone"-noun-fr
"aurone"-noun-fr "abrotano"-noun-eo
"absida koridoro"-noun-eo "ambulatoire"-noun-fr
"ambulatoire"-noun-fr "absida koridoro"-noun-eo
"absoluta valoro"-noun-eo "valeur absolue"-noun-fr
"valeur absolue"-noun-fr "absoluta valoro"-noun-eo
"absolute konverĝa"-adjective-eo "absolument convergent"-adjective-fr
"absolument convergent"-adjective-fr "absolute konverĝa"-adjective-eo
