"n'importe quel"-determiner-fr "qualsevol"-determiner-ca
"qualsevol"-determiner-ca "n'importe quel"-determiner-fr
"nul"-determiner-fr "cap"-determiner-ca
"cap"-determiner-ca "nul"-determiner-fr
"cap"-determiner-ca "aucun"-determiner-fr
"aucun"-determiner-fr "cap"-determiner-ca
"algun"-determiner-ca "quelque"-determiner-fr
"quelque"-determiner-fr "algun"-determiner-ca
"quelque"-determiner-fr "uns quants"-determiner-ca
"uns quants"-determiner-ca "quelque"-determiner-fr
"certain"-determiner-fr "cert"-determiner-ca
"cert"-determiner-ca "certain"-determiner-fr
"el"-determiner-ca "le"-determiner-fr
"le"-determiner-fr "el"-determiner-ca
"ce"-determiner-fr "aquell"-determiner-ca
"ce"-determiner-fr "eixe"-determiner-ca
"ce"-determiner-fr "aqueix"-determiner-ca
"ce"-determiner-fr "aquest"-determiner-ca
"ce"-determiner-fr "este"-determiner-ca
"aquell"-determiner-ca "ce"-determiner-fr
"eixe"-determiner-ca "ce"-determiner-fr
"aqueix"-determiner-ca "ce"-determiner-fr
"aquest"-determiner-ca "ce"-determiner-fr
"este"-determiner-ca "ce"-determiner-fr
"comment"-adverb-fr "com"-adverb-ca
"com"-adverb-ca "comment"-adverb-fr
"mon"-determiner-fr "el meu"-determiner-ca
"el meu"-determiner-ca "mon"-determiner-fr
"el teu"-determiner-ca "ton"-determiner-fr
"ton"-determiner-fr "el teu"-determiner-ca
"votre"-determiner-fr "el vostre"-determiner-ca
"el vostre"-determiner-ca "votre"-determiner-fr
"el seu"-determiner-ca "son"-determiner-fr
"el seu"-determiner-ca "leur"-determiner-fr
"son"-determiner-fr "el seu"-determiner-ca
"leur"-determiner-fr "el seu"-determiner-ca
"leur"-determiner-fr "llur"-determiner-ca
"llur"-determiner-ca "leur"-determiner-fr
"el nostre"-determiner-ca "notre"-determiner-fr
"notre"-determiner-fr "el nostre"-determiner-ca
"res"-pronoun-ca "rien"-pronoun-fr
"rien"-pronoun-fr "res"-pronoun-ca
"tout le monde"-pronoun-fr "tothom"-pronoun-ca
"tothom"-pronoun-ca "tout le monde"-pronoun-fr
"tout"-pronoun-fr "tot"-pronoun-ca
"tot"-pronoun-ca "tout"-pronoun-fr
"chacun"-pronoun-fr "cadascú"-pronoun-ca
"cadascú"-pronoun-ca "chacun"-pronoun-fr
"aucun"-pronoun-fr "ningú"-pronoun-ca
"ningú"-pronoun-ca "aucun"-pronoun-fr
"ningú"-pronoun-ca "personne"-pronoun-fr
"personne"-pronoun-fr "ningú"-pronoun-ca
"alguna cosa"-pronoun-ca "quelque chose"-pronoun-fr
"quelque chose"-pronoun-fr "alguna cosa"-pronoun-ca
"quelque chose"-pronoun-fr "quelcom"-pronoun-ca
"quelcom"-pronoun-ca "quelque chose"-pronoun-fr
"algú"-pronoun-ca "quelqu'un"-pronoun-fr
"quelqu'un"-pronoun-fr "algú"-pronoun-ca
"algun"-pronoun-ca "certains"-pronoun-fr
"certains"-pronoun-fr "algun"-pronoun-ca
"atentament"-adverb-ca "attentivement"-adverb-fr
"attentivement"-adverb-fr "atentament"-adverb-ca
"a la menuda"-adverb-ca "au détail"-adverb-fr
"au détail"-adverb-fr "a la menuda"-adverb-ca
"públicament"-adverb-ca "publiquement"-adverb-fr
"publiquement"-adverb-fr "públicament"-adverb-ca
"obertament"-adverb-ca "ouvertement"-adverb-fr
"ouvertement"-adverb-fr "obertament"-adverb-ca
"independentment"-adverb-ca "indépendamment"-adverb-fr
"indépendamment"-adverb-fr "independentment"-adverb-ca
"majoritàriament"-adverb-ca "majoritairement"-adverb-fr
"majoritairement"-adverb-fr "majoritàriament"-adverb-ca
"a part"-adverb-ca "à part"-adverb-fr
"à part"-adverb-fr "a part"-adverb-ca
"poderosament"-adverb-ca "puissamment"-adverb-fr
"puissamment"-adverb-fr "poderosament"-adverb-ca
"favorablement"-adverb-ca "favorablement"-adverb-fr
"favorablement"-adverb-fr "favorablement"-adverb-ca
"durament"-adverb-ca "durement"-adverb-fr
"durement"-adverb-fr "durament"-adverb-ca
"greument"-adverb-ca "grièvement"-adverb-fr
"greument"-adverb-ca "gravement"-adverb-fr
"grièvement"-adverb-fr "greument"-adverb-ca
"gravement"-adverb-fr "greument"-adverb-ca
"insuficientment"-adverb-ca "insuffisamment"-adverb-fr
"insuffisamment"-adverb-fr "insuficientment"-adverb-ca
"mai"-adverb-ca "jamais"-adverb-fr
"jamais"-adverb-fr "mai"-adverb-ca
"déjà"-adverb-fr "ja"-adverb-ca
"ja"-adverb-ca "déjà"-adverb-fr
"prèviament"-adverb-ca "préalablement"-adverb-fr
"préalablement"-adverb-fr "prèviament"-adverb-ca
"antérieurement"-adverb-fr "anteriorment"-adverb-ca
"anteriorment"-adverb-ca "antérieurement"-adverb-fr
"estretament"-adverb-ca "étroitement"-adverb-fr
"étroitement"-adverb-fr "estretament"-adverb-ca
"à la fois"-adverb-fr "alhora"-adverb-ca
"alhora"-adverb-ca "à la fois"-adverb-fr
"simultàniament"-adverb-ca "simultanément"-adverb-fr
"simultanément"-adverb-fr "simultàniament"-adverb-ca
"paral·lelament"-adverb-ca "parallèlement"-adverb-fr
"parallèlement"-adverb-fr "paral·lelament"-adverb-ca
"aproximadament"-adverb-ca "approchant"-adverb-fr
"aproximadament"-adverb-ca "quelque"-adverb-fr
"aproximadament"-adverb-ca "environ"-adverb-fr
"approchant"-adverb-fr "aproximadament"-adverb-ca
"quelque"-adverb-fr "aproximadament"-adverb-ca
"environ"-adverb-fr "aproximadament"-adverb-ca
"al voltant"-adverb-ca "autour"-adverb-fr
"autour"-adverb-fr "al voltant"-adverb-ca
"a la vora"-adverb-ca "près"-adverb-fr
"près"-adverb-fr "a la vora"-adverb-ca
"près"-adverb-fr "prop"-adverb-ca
"près"-adverb-fr "a prop"-adverb-ca
"prop"-adverb-ca "près"-adverb-fr
"a prop"-adverb-ca "près"-adverb-fr
"a prop"-adverb-ca "auprès"-adverb-fr
"auprès"-adverb-fr "a prop"-adverb-ca
"aviat"-adverb-ca "tôt"-adverb-fr
"aviat"-adverb-ca "bientôt"-adverb-fr
"tôt"-adverb-fr "aviat"-adverb-ca
"tôt"-adverb-fr "d'hora"-adverb-ca
"bientôt"-adverb-fr "aviat"-adverb-ca
"d'hora"-adverb-ca "tôt"-adverb-fr
"ràpidament"-adverb-ca "rapidement"-adverb-fr
"ràpidament"-adverb-ca "vite"-adverb-fr
"ràpidament"-adverb-ca "promptement"-adverb-fr
"rapidement"-adverb-fr "ràpidament"-adverb-ca
"vite"-adverb-fr "ràpidament"-adverb-ca
"vite"-adverb-fr "de pressa"-adverb-ca
"promptement"-adverb-fr "ràpidament"-adverb-ca
"de pressa"-adverb-ca "vite"-adverb-fr
"tímidament"-adverb-ca "timidement"-adverb-fr
"timidement"-adverb-fr "tímidament"-adverb-ca
"específicament"-adverb-ca "spécifiquement"-adverb-fr
"spécifiquement"-adverb-fr "específicament"-adverb-ca
"concretament"-adverb-ca "concrètement"-adverb-fr
"concrètement"-adverb-fr "concretament"-adverb-ca
"entre-temps"-adverb-fr "mentrestant"-adverb-ca
"mentrestant"-adverb-ca "entre-temps"-adverb-fr
"avui"-adverb-ca "aujourd'hui"-adverb-fr
"aujourd'hui"-adverb-fr "avui"-adverb-ca
"aujourd'hui"-adverb-fr "hui"-adverb-ca
"aujourd'hui"-adverb-fr "hui dia"-adverb-ca
"aujourd'hui"-adverb-fr "avui dia"-adverb-ca
"aujourd'hui"-adverb-fr "avui en dia"-adverb-ca
"hui"-adverb-ca "aujourd'hui"-adverb-fr
"hui dia"-adverb-ca "aujourd'hui"-adverb-fr
"avui dia"-adverb-ca "aujourd'hui"-adverb-fr
"avui en dia"-adverb-ca "aujourd'hui"-adverb-fr
"ara"-adverb-ca "maintenant"-adverb-fr
"maintenant"-adverb-fr "ara"-adverb-ca
"actualment"-adverb-ca "actuellement"-adverb-fr
"actuellement"-adverb-fr "actualment"-adverb-ca
"d'altra banda"-adverb-ca "d'autre part"-adverb-fr
"d'altra banda"-adverb-ca "par ailleurs"-adverb-fr
"d'autre part"-adverb-fr "d'altra banda"-adverb-ca
"par ailleurs"-adverb-fr "d'altra banda"-adverb-ca
"lliurement"-adverb-ca "librement"-adverb-fr
"librement"-adverb-fr "lliurement"-adverb-ca
"molt de temps"-adverb-ca "longtemps"-adverb-fr
"longtemps"-adverb-fr "molt de temps"-adverb-ca
"abundantment"-adverb-ca "abondamment"-adverb-fr
"abondamment"-adverb-fr "abundantment"-adverb-ca
"popularment"-adverb-ca "populairement"-adverb-fr
"populairement"-adverb-fr "popularment"-adverb-ca
"sovint"-adverb-ca "souvent"-adverb-fr
"souvent"-adverb-fr "sovint"-adverb-ca
"conjuntament"-adverb-ca "ensemble"-adverb-fr
"conjuntament"-adverb-ca "conjointement"-adverb-fr
"ensemble"-adverb-fr "conjuntament"-adverb-ca
"ensemble"-adverb-fr "ensems"-adverb-ca
"conjointement"-adverb-fr "conjuntament"-adverb-ca
"conjointement"-adverb-fr "juntament"-adverb-ca
"ensems"-adverb-ca "ensemble"-adverb-fr
"juntament"-adverb-ca "conjointement"-adverb-fr
"systématiquement"-adverb-fr "sistemàticament"-adverb-ca
"sistemàticament"-adverb-ca "systématiquement"-adverb-fr
"allègrement"-adverb-fr "alegrement"-adverb-ca
"alegrement"-adverb-ca "allègrement"-adverb-fr
"legalment"-adverb-ca "légalement"-adverb-fr
"légalement"-adverb-fr "legalment"-adverb-ca
"dûment"-adverb-fr "degudament"-adverb-ca
"degudament"-adverb-ca "dûment"-adverb-fr
"personalment"-adverb-ca "personnellement"-adverb-fr
"personnellement"-adverb-fr "personalment"-adverb-ca
"pacíficament"-adverb-ca "pacifiquement"-adverb-fr
"pacifiquement"-adverb-fr "pacíficament"-adverb-ca
"per una banda"-adverb-ca "d'une part"-adverb-fr
"d'une part"-adverb-fr "per una banda"-adverb-ca
"d'une part"-adverb-fr "d'una banda"-adverb-ca
"d'una banda"-adverb-ca "d'une part"-adverb-fr
"injustament"-adverb-ca "injustement"-adverb-fr
"injustement"-adverb-fr "injustament"-adverb-ca
"sévèrement"-adverb-fr "severament"-adverb-ca
"severament"-adverb-ca "sévèrement"-adverb-fr
"sempre"-adverb-ca "toujours"-adverb-fr
"toujours"-adverb-fr "sempre"-adverb-ca
"indéfiniment"-adverb-fr "indefinidament"-adverb-ca
"indefinidament"-adverb-ca "indéfiniment"-adverb-fr
"contínuament"-adverb-ca "continuellement"-adverb-fr
"continuellement"-adverb-fr "contínuament"-adverb-ca
"constamment"-adverb-fr "constantment"-adverb-ca
"constantment"-adverb-ca "constamment"-adverb-fr
"periòdicament"-adverb-ca "périodiquement"-adverb-fr
"périodiquement"-adverb-fr "periòdicament"-adverb-ca
"repetidament"-adverb-ca "à plusieurs reprises"-adverb-fr
"à plusieurs reprises"-adverb-fr "repetidament"-adverb-ca
"visiblement"-adverb-ca "visiblement"-adverb-fr
"visiblement"-adverb-fr "visiblement"-adverb-ca
"considerablement"-adverb-ca "considérablement"-adverb-fr
"considérablement"-adverb-fr "considerablement"-adverb-ca
"fidelment"-adverb-ca "fidèlement"-adverb-fr
"fidèlement"-adverb-fr "fidelment"-adverb-ca
"exclusivement"-adverb-fr "exclusivament"-adverb-ca
"exclusivament"-adverb-ca "exclusivement"-adverb-fr
"pas du tout"-adverb-fr "gens"-adverb-ca
"gens"-adverb-ca "pas du tout"-adverb-fr
"absolutament"-adverb-ca "absolument"-adverb-fr
"absolument"-adverb-fr "absolutament"-adverb-ca
"indiscutablement"-adverb-fr "indiscutiblement"-adverb-ca
"indiscutiblement"-adverb-ca "indiscutablement"-adverb-fr
"aparentment"-adverb-ca "apparemment"-adverb-fr
"apparemment"-adverb-fr "aparentment"-adverb-ca
"suposadament"-adverb-ca "soi-disant"-adverb-fr
"soi-disant"-adverb-fr "suposadament"-adverb-ca
"peut-être"-adverb-fr "potser"-adverb-ca
"potser"-adverb-ca "peut-être"-adverb-fr
"possiblement"-adverb-fr "possiblement"-adverb-ca
"possiblement"-adverb-ca "possiblement"-adverb-fr
"probablement"-adverb-ca "probablement"-adverb-fr
"probablement"-adverb-fr "probablement"-adverb-ca
"pleinement"-adverb-fr "plenament"-adverb-ca
