"França"-properNoun-ca "France"-properNoun-fr
"France"-properNoun-fr "França"-properNoun-ca
"Monclús"-noun-fr "Monclús"-properNoun-ca
"Monclús"-properNoun-ca "Monclús"-noun-fr
"Monclús"-properNoun-ca "Monclús"-properNoun-fr
"Monclús"-properNoun-fr "Monclús"-properNoun-ca
"cultural"-adjective-ca "culturel"-adjective-fr
"culturel"-adjective-fr "cultural"-adjective-ca
"Llenas"-noun-fr "Llenas"-properNoun-ca
"Llenas"-properNoun-ca "Llenas"-noun-fr
"Llenas"-properNoun-ca "Llenas"-properNoun-fr
"Llenas"-properNoun-fr "Llenas"-properNoun-ca
"Ocaña"-noun-fr "Ocaña"-properNoun-ca
"Ocaña"-properNoun-ca "Ocaña"-noun-fr
"Ocaña"-properNoun-ca "Ocaña"-properNoun-fr
"Ocaña"-properNoun-fr "Ocaña"-properNoun-ca
"sécher"-verb-fr "eixugar"-verb-ca
"eixugar"-verb-ca "sécher"-verb-fr
"eixugar"-verb-ca "essuyer"-verb-fr
"essuyer"-verb-fr "eixugar"-verb-ca
"Vivier"-noun-fr "Vivier"-properNoun-ca
"Vivier"-properNoun-ca "Vivier"-noun-fr
"Vivier"-properNoun-ca "Vivier"-properNoun-fr
"Vivier"-properNoun-fr "Vivier"-properNoun-ca
"avoir l'habitude de"-verb-fr "acostumar a"-verb-ca
"avoir l'habitude de"-verb-fr "soler"-verb-ca
"acostumar a"-verb-ca "avoir l'habitude de"-verb-fr
"soler"-verb-ca "avoir l'habitude de"-verb-fr
"Márquez"-noun-fr "Márquez"-properNoun-ca
"Márquez"-properNoun-ca "Márquez"-noun-fr
"Márquez"-properNoun-ca "Márquez"-properNoun-fr
"Márquez"-properNoun-fr "Márquez"-properNoun-ca
"intensification"-noun-fr "intensificació"-noun-ca
"intensificació"-noun-ca "intensification"-noun-fr
"aura"-noun-fr "aura"-noun-ca
"aura"-noun-ca "aura"-noun-fr
"Vandette"-noun-fr "Vandette"-properNoun-ca
"Vandette"-properNoun-ca "Vandette"-noun-fr
"Vandette"-properNoun-ca "Vandette"-properNoun-fr
"Vandette"-properNoun-fr "Vandette"-properNoun-ca
"Piebalgs"-noun-fr "Piebalgs"-properNoun-ca
"Piebalgs"-properNoun-ca "Piebalgs"-noun-fr
"Piebalgs"-properNoun-ca "Piebalgs"-properNoun-fr
"Piebalgs"-properNoun-fr "Piebalgs"-properNoun-ca
"Ylla"-noun-fr "Ylla"-properNoun-ca
"Ylla"-properNoun-ca "Ylla"-noun-fr
"Ylla"-properNoun-ca "Ylla"-properNoun-fr
"Ylla"-properNoun-fr "Ylla"-properNoun-ca
"caricaturer"-verb-fr "caricaturar"-verb-ca
"caricaturer"-verb-fr "caricaturitzar"-verb-ca
"caricaturar"-verb-ca "caricaturer"-verb-fr
"caricaturitzar"-verb-ca "caricaturer"-verb-fr
"approximatif"-adjective-fr "aproximat"-adjective-ca
"aproximat"-adjective-ca "approximatif"-adjective-fr
"senyorial"-adjective-ca "majestueux"-adjective-fr
"majestueux"-adjective-fr "senyorial"-adjective-ca
"majestueux"-adjective-fr "majestuós"-adjective-ca
"Destrempes"-noun-fr "Destrempes"-properNoun-ca
"Destrempes"-properNoun-ca "Destrempes"-noun-fr
"Destrempes"-properNoun-ca "Destrempes"-properNoun-fr
"Destrempes"-properNoun-fr "Destrempes"-properNoun-ca
"roupie"-noun-fr "rupia"-noun-ca
"rupia"-noun-ca "roupie"-noun-fr
"cratère"-noun-fr "cràter"-noun-ca
"cràter"-noun-ca "cratère"-noun-fr
"Fullum"-noun-fr "Fullum"-properNoun-ca
"Fullum"-properNoun-ca "Fullum"-noun-fr
"Fullum"-properNoun-ca "Fullum"-properNoun-fr
"Fullum"-properNoun-fr "Fullum"-properNoun-ca
"Sohier"-noun-fr "Sohier"-properNoun-ca
"Sohier"-properNoun-ca "Sohier"-noun-fr
"Sohier"-properNoun-ca "Sohier"-properNoun-fr
"Sohier"-properNoun-fr "Sohier"-properNoun-ca
"Gibouleau"-noun-fr "Gibouleau"-properNoun-ca
"Gibouleau"-properNoun-ca "Gibouleau"-noun-fr
"Gibouleau"-properNoun-ca "Gibouleau"-properNoun-fr
"Gibouleau"-properNoun-fr "Gibouleau"-properNoun-ca
"onomastique"-noun-fr "onomàstica"-noun-ca
"onomàstica"-noun-ca "onomastique"-noun-fr
"dolç"-adjective-ca "sucré"-adjective-fr
"sucré"-adjective-fr "dolç"-adjective-ca
"consumir"-verb-ca "consumer"-verb-fr
"consumer"-verb-fr "consumir"-verb-ca
"consumer"-verb-fr "consumar"-verb-ca
"polynôme"-noun-fr "polinomi"-noun-ca
"polinomi"-noun-ca "polynôme"-noun-fr
"étouffer"-verb-fr "asfixiar"-verb-ca
"asfixiar"-verb-ca "étouffer"-verb-fr
"asfixiar"-verb-ca "asphyxier"-verb-fr
"asphyxier"-verb-fr "asfixiar"-verb-ca
"faux"-noun-fr "dalla"-noun-ca
"dalla"-noun-ca "faux"-noun-fr
"Malboeuf"-noun-fr "Malboeuf"-properNoun-ca
"Malboeuf"-properNoun-ca "Malboeuf"-noun-fr
"Malboeuf"-properNoun-ca "Malboeuf"-properNoun-fr
"Malboeuf"-properNoun-fr "Malboeuf"-properNoun-ca
"Windows XP"-properNoun-fr "Windows XP"-properNoun-ca
"Windows XP"-properNoun-ca "Windows XP"-properNoun-fr
"pupa"-noun-ca "bouton"-noun-fr
"bouton"-noun-fr "pupa"-noun-ca
"ram"-noun-ca "bouquet"-noun-fr
"bouquet"-noun-fr "ram"-noun-ca
"agrégé"-noun-fr "agregat"-noun-ca
"agregat"-noun-ca "agrégé"-noun-fr
"agregat"-noun-ca "attaché"-noun-fr
"attaché"-noun-fr "agregat"-noun-ca
"irréconciliable"-adjective-fr "irreconciliable"-adjective-ca
"irreconciliable"-adjective-ca "irréconciliable"-adjective-fr
"blet"-adjective-fr "passat"-adjective-ca
"passat"-adjective-ca "blet"-adjective-fr
"passat"-adjective-ca "passé"-adjective-fr
"passé"-adjective-fr "passat"-adjective-ca
"Ganley"-noun-fr "Ganley"-properNoun-ca
"Ganley"-properNoun-ca "Ganley"-noun-fr
"Ganley"-properNoun-ca "Ganley"-properNoun-fr
"Ganley"-properNoun-fr "Ganley"-properNoun-ca
"Maheux"-noun-fr "Maheux"-properNoun-ca
"Maheux"-properNoun-ca "Maheux"-noun-fr
"Maheux"-properNoun-ca "Maheux"-properNoun-fr
"Maheux"-properNoun-fr "Maheux"-properNoun-ca
"Seminaro"-noun-fr "Seminaro"-properNoun-ca
"Seminaro"-properNoun-ca "Seminaro"-noun-fr
"Seminaro"-properNoun-ca "Seminaro"-properNoun-fr
"Seminaro"-properNoun-fr "Seminaro"-properNoun-ca
"Evangelista"-noun-fr "Evangelista"-properNoun-ca
"Evangelista"-properNoun-ca "Evangelista"-noun-fr
"Evangelista"-properNoun-ca "Evangelista"-properNoun-fr
"Evangelista"-properNoun-fr "Evangelista"-properNoun-ca
"Kane"-noun-fr "Kane"-properNoun-ca
"Kane"-properNoun-ca "Kane"-noun-fr
