"intimement"-adverb-fr "íntimamente"-adverb-es
"íntimamente"-adverb-es "intimement"-adverb-fr
"incorrectement"-adverb-fr "incorrectamente"-adverb-es
"incorrectamente"-adverb-es "incorrectement"-adverb-fr
"ci-dessous"-adverb-fr "aquí abajo"-adverb-es
"aquí abajo"-adverb-es "ci-dessous"-adverb-fr
"possiblement"-adverb-fr "de ser posible"-adverb-es
"de ser posible"-adverb-es "possiblement"-adverb-fr
"separadamente"-adverb-es "séparément"-adverb-fr
"séparément"-adverb-fr "separadamente"-adverb-es
"furieusement"-adverb-fr "furiosamente"-adverb-es
"furiosamente"-adverb-es "furieusement"-adverb-fr
"originairement"-adverb-fr "originalmente"-adverb-es
"originalmente"-adverb-es "originairement"-adverb-fr
"originalmente"-adverb-es "originellement"-adverb-fr
"originalmente"-adverb-es "originalement"-adverb-fr
"originellement"-adverb-fr "originalmente"-adverb-es
"originalement"-adverb-fr "originalmente"-adverb-es
"explicitement"-adverb-fr "explícitamente"-adverb-es
"explícitamente"-adverb-es "explicitement"-adverb-fr
"admirablement"-adverb-fr "admirablemente"-adverb-es
"admirablemente"-adverb-es "admirablement"-adverb-fr
"merveilleusement"-adverb-fr "maravillosamente"-adverb-es
"maravillosamente"-adverb-es "merveilleusement"-adverb-fr
"subtilement"-adverb-fr "sutilmente"-adverb-es
"sutilmente"-adverb-es "subtilement"-adverb-fr
"intelligemment"-adverb-fr "inteligentemente"-adverb-es
"inteligentemente"-adverb-es "intelligemment"-adverb-fr
"inclusivement"-adverb-fr "inclusivamente"-adverb-es
"inclusivamente"-adverb-es "inclusivement"-adverb-fr
"minutieusement"-adverb-fr "pormenorizadamente"-adverb-es
"pormenorizadamente"-adverb-es "minutieusement"-adverb-fr
"un poco"-adverb-es "un peu"-adverb-fr
"un peu"-adverb-fr "un poco"-adverb-es
"magnifiquement"-adverb-fr "magníficamente"-adverb-es
"magníficamente"-adverb-es "magnifiquement"-adverb-fr
"il y a peu"-adverb-fr "hace poco"-adverb-es
"hace poco"-adverb-es "il y a peu"-adverb-fr
"en general"-adverb-es "en général"-adverb-fr
"en général"-adverb-fr "en general"-adverb-es
"sustancialmente"-adverb-es "substantiellement"-adverb-fr
"substantiellement"-adverb-fr "sustancialmente"-adverb-es
"substantiellement"-adverb-fr "substancialmente"-adverb-es
"substancialmente"-adverb-es "substantiellement"-adverb-fr
"horriblemente"-adverb-es "horriblement"-adverb-fr
"horriblemente"-adverb-es "affreusement"-adverb-fr
"horriblement"-adverb-fr "horriblemente"-adverb-es
"affreusement"-adverb-fr "horriblemente"-adverb-es
"abominablemente"-adverb-es "abominablement"-adverb-fr
"abominablement"-adverb-fr "abominablemente"-adverb-es
