"despacio"-adverb-es "peu à peu"-adverb-fr
"peu à peu"-adverb-fr "despacio"-adverb-es
"temporalmente"-adverb-es "temporairement"-adverb-fr
"temporairement"-adverb-fr "temporalmente"-adverb-es
"au-dehors"-adverb-fr "fuera"-adverb-es
"au-dehors"-adverb-fr "afuera"-adverb-es
"fuera"-adverb-es "au-dehors"-adverb-fr
"afuera"-adverb-es "au-dehors"-adverb-fr
"por un lado"-adverb-es "d'un côté"-adverb-fr
"d'un côté"-adverb-fr "por un lado"-adverb-es
"posiblemente"-adverb-es "possiblement"-adverb-fr
"possiblement"-adverb-fr "posiblemente"-adverb-es
"indiscutiblemente"-adverb-es "indiscutablement"-adverb-fr
"indiscutablement"-adverb-fr "indiscutiblemente"-adverb-es
"inclusivement"-adverb-fr "inclusive"-adverb-es
"inclusive"-adverb-es "inclusivement"-adverb-fr
"todavía"-adverb-es "toujours pas"-adverb-fr
"toujours pas"-adverb-fr "todavía"-adverb-es
"toujours pas"-adverb-fr "aún"-adverb-es
"aún"-adverb-es "toujours pas"-adverb-fr
"detalladamente"-adverb-es "minutieusement"-adverb-fr
"minutieusement"-adverb-fr "detalladamente"-adverb-es
"mucho"-adverb-es "très"-adverb-fr
"mucho"-adverb-es "guère"-adverb-fr
"très"-adverb-fr "mucho"-adverb-es
"guère"-adverb-fr "mucho"-adverb-es
"enseguida"-adverb-es "sitôt"-adverb-fr
"sitôt"-adverb-fr "enseguida"-adverb-es
"sitôt"-adverb-fr "inmediatamente"-adverb-es
"inmediatamente"-adverb-es "sitôt"-adverb-fr
"continuamente"-adverb-es "continuellement"-adverb-fr
"continuellement"-adverb-fr "continuamente"-adverb-es
"sans doute"-adverb-fr "sin duda"-adverb-es
"sin duda"-adverb-es "sans doute"-adverb-fr
"previamente"-adverb-es "précédemment"-adverb-fr
"précédemment"-adverb-fr "previamente"-adverb-es
"précédemment"-adverb-fr "anteriormente"-adverb-es
"anteriormente"-adverb-es "précédemment"-adverb-fr
"delante"-adverb-es "au-devant"-adverb-fr
"au-devant"-adverb-fr "delante"-adverb-es
"además"-adverb-es "en outre"-adverb-fr
"en outre"-adverb-fr "además"-adverb-es
"allá"-adverb-es "par-là"-adverb-fr
"par-là"-adverb-fr "allá"-adverb-es
"par-là"-adverb-fr "allí"-adverb-es
"allí"-adverb-es "par-là"-adverb-fr
"posteriormente"-adverb-es "plus tard"-adverb-fr
"plus tard"-adverb-fr "posteriormente"-adverb-es
"aproximadamente"-adverb-es "à peu près"-adverb-fr
"à peu près"-adverb-fr "aproximadamente"-adverb-es
"alrededor"-adverb-es "alentour"-adverb-fr
"alentour"-adverb-fr "alrededor"-adverb-es
"cuál"-pronoun-es "lequel"-pronoun-fr
"lequel"-pronoun-fr "cuál"-pronoun-es
"lequel"-pronoun-fr "que"-relativePronoun-es
"lequel"-pronoun-fr "quién"-pronoun-es
"que"-relativePronoun-es "lequel"-pronoun-fr
"quién"-pronoun-es "lequel"-pronoun-fr
"por medio de"-preposition-es "au moyen de"-preposition-fr
"au moyen de"-preposition-fr "por medio de"-preposition-es
"au moyen de"-preposition-fr "mediante"-preposition-es
"mediante"-preposition-es "au moyen de"-preposition-fr
"conforme a"-preposition-es "suivant"-preposition-fr
"conforme a"-preposition-es "d'après"-preposition-fr
"suivant"-preposition-fr "conforme a"-preposition-es
"suivant"-preposition-fr "según"-preposition-es
"d'après"-preposition-fr "conforme a"-preposition-es
"d'après"-preposition-fr "según"-preposition-es
"según"-preposition-es "suivant"-preposition-fr
"según"-preposition-es "d'après"-preposition-fr
"fuera de"-preposition-es "hors de"-preposition-fr
"hors de"-preposition-fr "fuera de"-preposition-es
"además de"-preposition-es "en plus de"-preposition-fr
"en plus de"-preposition-fr "además de"-preposition-es
"excepto"-preposition-es "hormis"-preposition-fr
"hormis"-preposition-fr "excepto"-preposition-es
"hormis"-preposition-fr "salvo"-preposition-es
"salvo"-preposition-es "hormis"-preposition-fr
"desde"-preposition-es "à partir de"-preposition-fr
"à partir de"-preposition-fr "desde"-preposition-es
"près de"-preposition-fr "cerca de"-preposition-es
"cerca de"-preposition-es "près de"-preposition-fr
"a través de"-preposition-es "au travers de"-preposition-fr
"au travers de"-preposition-fr "a través de"-preposition-es
"en"-preposition-es "ès"-preposition-fr
"ès"-preposition-fr "en"-preposition-es
"ante"-preposition-es "au-devant de"-preposition-fr
"au-devant de"-preposition-fr "ante"-preposition-es
"au-devant de"-preposition-fr "delante de"-preposition-es
"delante de"-preposition-es "au-devant de"-preposition-fr
"en frente de"-preposition-es "en face de"-preposition-fr
"en face de"-preposition-fr "en frente de"-preposition-es
"medio"-adjective-es "demi"-adjective-fr
"demi"-adjective-fr "medio"-adjective-es
"questionner"-verb-fr "cuestionar"-verb-es
"cuestionar"-verb-es "questionner"-verb-fr
"hermano"-noun-es "sœur"-noun-fr
"sœur"-noun-fr "hermano"-noun-es
"Romain"-noun-fr "novela"-noun-es
"novela"-noun-es "Romain"-noun-fr
"cúpula"-noun-es "coupole"-noun-fr
"coupole"-noun-fr "cúpula"-noun-es
"comerciante"-noun-es "négociant"-noun-fr
"négociant"-noun-fr "comerciante"-noun-es
"infección"-noun-es "contagion"-noun-fr
"contagion"-noun-fr "infección"-noun-es
"discothèque"-noun-fr "discoteca"-noun-es
"discoteca"-noun-es "discothèque"-noun-fr
"tranvía"-noun-es "tram"-noun-fr
"tram"-noun-fr "tranvía"-noun-es
"degradación"-noun-es "dégénération"-noun-fr
"dégénération"-noun-fr "degradación"-noun-es
"niebla"-noun-es "brume"-noun-fr
"brume"-noun-fr "niebla"-noun-es
"orthographe"-noun-fr "ortografía"-noun-es
"ortografía"-noun-es "orthographe"-noun-fr
"película"-noun-es "pellicule"-noun-fr
"pellicule"-noun-fr "película"-noun-es
"orgullo"-noun-es "fierté"-noun-fr
"fierté"-noun-fr "orgullo"-noun-es
"barandilla"-noun-es "parapet"-noun-fr
"barandilla"-noun-es "balustrade"-noun-fr
"parapet"-noun-fr "barandilla"-noun-es
"parapet"-noun-fr "baranda"-noun-es
"balustrade"-noun-fr "barandilla"-noun-es
"baranda"-noun-es "parapet"-noun-fr
"courtoisie"-noun-fr "cortesía"-noun-es
"cortesía"-noun-es "courtoisie"-noun-fr
"víspera"-noun-es "jour précédent"-noun-fr
"jour précédent"-noun-fr "víspera"-noun-es
"yerno"-noun-es "beau-fils"-noun-fr
"beau-fils"-noun-fr "yerno"-noun-es
"beau-fils"-noun-fr "nuera"-noun-es
"nuera"-noun-es "beau-fils"-noun-fr
"demandeur"-noun-fr "solicitante"-noun-es
"solicitante"-noun-es "demandeur"-noun-fr
"Chinois"-noun-fr "chino"-noun-es
"chino"-noun-es "Chinois"-noun-fr
"entrevue"-noun-fr "entrevista"-noun-es
"entrevista"-noun-es "entrevue"-noun-fr
"pastor"-noun-es "pâtre"-noun-fr
"pâtre"-noun-fr "pastor"-noun-es
"baloncesto"-noun-es "basket"-noun-fr
"baloncesto"-noun-es "basketball"-noun-fr
"basket"-noun-fr "baloncesto"-noun-es
"basketball"-noun-fr "baloncesto"-noun-es
"reserva"-noun-es "réservation"-noun-fr
"réservation"-noun-fr "reserva"-noun-es
"reclamo"-noun-es "réclame"-noun-fr
"réclame"-noun-fr "reclamo"-noun-es
"prólogo"-noun-es "préface"-noun-fr
"préface"-noun-fr "prólogo"-noun-es
"avería"-noun-es "panne"-noun-fr
"panne"-noun-fr "avería"-noun-es
"rage"-noun-fr "rabia"-noun-es
"rabia"-noun-es "rage"-noun-fr
"violación"-noun-es "viol"-noun-fr
"viol"-noun-fr "violación"-noun-es
"castigo"-noun-es "châtiment"-noun-fr
"châtiment"-noun-fr "castigo"-noun-es
"cinturón"-noun-es "ceinturon"-noun-fr
"ceinturon"-noun-fr "cinturón"-noun-es
"magnitud"-noun-es "magnitude"-noun-fr
"magnitude"-noun-fr "magnitud"-noun-es
"estrella"-noun-es "star"-noun-fr
"star"-noun-fr "estrella"-noun-es
"evento"-noun-es "évènement"-noun-fr
"évènement"-noun-fr "evento"-noun-es
"évènement"-noun-fr "suceso"-noun-es
"évènement"-noun-fr "acontecimiento"-noun-es
"évènement"-noun-fr "caso"-noun-es
"suceso"-noun-es "évènement"-noun-fr
"acontecimiento"-noun-es "évènement"-noun-fr
"caso"-noun-es "évènement"-noun-fr
"empresa"-noun-es "emprise"-noun-fr
"emprise"-noun-fr "empresa"-noun-es
"piso"-noun-es "étage"-noun-fr
"étage"-noun-fr "piso"-noun-es
"suelo"-noun-es "plancher"-noun-fr
"plancher"-noun-fr "suelo"-noun-es
"reino"-noun-es "règne"-noun-fr
"règne"-noun-fr "reino"-noun-es
"habilidad"-noun-es "habileté"-noun-fr
"habileté"-noun-fr "habilidad"-noun-es
"estudio"-noun-es "studio"-noun-fr
"studio"-noun-fr "estudio"-noun-es
"aliment"-noun-fr "alimento"-noun-es
"alimento"-noun-es "aliment"-noun-fr
"comida"-noun-es "manger"-noun-fr
"manger"-noun-fr "comida"-noun-es
"cambio"-noun-es "change"-noun-fr
"change"-noun-fr "cambio"-noun-es
"inversión"-noun-es "inversion"-noun-fr
"inversion"-noun-fr "inversión"-noun-es
"frottement"-noun-fr "fricción"-noun-es
"fricción"-noun-es "frottement"-noun-fr
"cabaña"-noun-es "cabane"-noun-fr
"cabane"-noun-fr "cabaña"-noun-es
"material"-noun-es "matériau"-noun-fr
"matériau"-noun-fr "material"-noun-es
"laguna"-noun-es "étang"-noun-fr
"étang"-noun-fr "laguna"-noun-es
"inventaire"-noun-fr "inventario"-noun-es
"inventario"-noun-es "inventaire"-noun-fr
"diète"-noun-fr "dieta"-noun-es
"dieta"-noun-es "diète"-noun-fr
"fracaso"-noun-es "fiasco"-noun-fr
"fiasco"-noun-fr "fracaso"-noun-es
"bec"-noun-fr "pico"-noun-es
"pico"-noun-es "bec"-noun-fr
"coup d'état"-noun-fr "golpe de estado"-noun-es
"golpe de estado"-noun-es "coup d'état"-noun-fr
"pendant"-noun-fr "pendiente"-noun-es
"pendiente"-noun-es "pendant"-noun-fr
"barca"-noun-es "canot"-noun-fr
"canot"-noun-fr "barca"-noun-es
"roca"-noun-es "rocher"-noun-fr
"rocher"-noun-fr "roca"-noun-es
"gouffre"-noun-fr "abismo"-noun-es
"abismo"-noun-es "gouffre"-noun-fr
"final"-noun-es "final"-noun-fr
"final"-noun-fr "final"-noun-es
"final"-noun-fr "fin"-noun-es
"fin"-noun-es "final"-noun-fr
"énfasis"-noun-es "emphase"-noun-fr
"emphase"-noun-fr "énfasis"-noun-es
"dédicace"-noun-fr "dedicación"-noun-es
"dedicación"-noun-es "dédicace"-noun-fr
"ejército"-noun-es "armada"-noun-fr
"armada"-noun-fr "ejército"-noun-es
"orilla"-noun-es "rivage"-noun-fr
"rivage"-noun-fr "orilla"-noun-es
"borde"-noun-es "lisière"-noun-fr
"lisière"-noun-fr "borde"-noun-es
"lisière"-noun-fr "margen"-noun-es
"margen"-noun-es "lisière"-noun-fr
"personal"-noun-es "effectif"-noun-fr
"effectif"-noun-fr "personal"-noun-es
